#a			1阴平53 3阴上45 4阳上242 5阴去33 6阳去21 7a上阴入55 7b下阴入33 8上阳入21 8下阳入24				
p	[1]巴芭疤笆爸[2]琶杷耙爬[3]把[5]霸壩欛坝[6]罢□{把地里的菜全部拔掉}						
pʰ	[5]怕						
m	[1]孖{双胞胎}妈[2]麻痲[3]□{~年：今年}[4]马码[5]妈{母亲的旧称；二妈：二伯母}[6]骂						
f	[1]花[5]化						
t	[3]打						
tʰ	[1]他它[3]□{~个边去：从这边走}						
n	[1]□{只，个，量词。两~人：两个人}[2]娜[3]乸{猪乸}[4]哪那[6]乸{床头~；养~：养妈}						
l	[3]□{用手拿}[5]□{黑暗中摸索；捡、摸}啦{句末语气词，表陈述语气。我交□hɛ42作业啦：我交了作业}						
ts	[1]楂渣抓[2]茶查[3]□{豆~：酸豆角}[5]诈榨乍[6]□{树~：树枝。~紧：用树枝等拦住}						
tsʰ	[1]叉差{~别；~错；参~}[5]岔汊						
θ	[1]莎沙纱[3]洒[5]耍						
k	[1]家加痂嘉傢[3]假{真~；放假}贾[5]架驾嫁稼价						
h	[1]虾蝦哈□{咳嗽有痰}[2]霞遐[4]下{地~}[6]厦{旁屋,厦门}下夏{姓~,春~}暇						
ŋ	[2]牙芽衙[4]雅瓦{名词}						
ʔ	[3]哑						
Ø	[1]杈鸦丫桠[5]阿{~哥}亚						
#ia							
Ø	[4]诺{唱~：叩头作揖}[6]夜廿{“二十”的合音}						
#ua							
k	[1]瓜[3]寡剐[5]挂卦						
kʰ	[1]夸跨胯						
Ø	[1]蛙洼[2]华{姓~，~山，中~}铧桦[6]画{图画，名词}话						
#ai							
p	[1]□{手~：手残}[2]排牌簰[3]摆[5]拜闭陛[6]稗蔽敝弊币毙败						
pʰ	[1]批□{~屋住：租房子住}[5]派						
m	[1]□{[乜mɐt5□lai42(θai42)]合音：什么}[2]埋谜迷[4]买米[5]□{女阴}[6]卖迈						
f	[5]快						
t	[1]低姼{公~:外公。婆~:外婆}[2]题提啼堤蹄[3]抵底牴□{一铜盘为一~，量词}[4]弟[5]戴帝蒂带[6]大{~小，~夫。阿~:姑母}递第						
tʰ	[1]梯[3]体睇{看}[5]态贷太泰替涕剃嚏						
n	[2]泥[4]乃奶						
l	[1]拉□{乜~：什么，又读θai42}[2]犁黎隶[3]□{睏~颈:落枕}[4]礼□{~尿：尿床}[5]□{男孩}癞[6]例厉励丽荔赖□{祭祀时倒酒于地}						
ts	[1]斋挤荠剂[2]豺齐柴脐[3]崽仔{~女：子女。蚊~：蚊子}[4]柿{发冷~：一种柿子}[5]债滞制製祭际济□{~胀:吃胀(骂人语)}[6]寨						
tsʰ	[1]猜钗差搋{~糍:揉粉团做糍粑}[3]□{歪,斜}						
θ	[1]西筛犀□{乜~：什么，又读lai42}□{~银钱：浪费钱}荽{芫~：香菜}[3]洗使驶[5]晒势逝世细婿[6]誓						
k	[1]皆阶秸楷佳街鸡[3]解{~开；押~}□{~个支笔写：用这支笔写}[5]介界芥尬疥届戒计{~算}继□{一~车：一架车}[6]□{倾~：聊天}计{有~：有计谋}						
kʰ	[1]稽溪[3]启[5]契						
h	[1]揩{~到：碰到}[2]谐骇鞋[4]蟹[6]懈械系{~统;联~}係						
ŋ	[1]挨[2]涯崖捱桅危伪[4]蚁[5]爱{唔~：不喜欢}[6]艾艺毅魏霓倪						
Ø	[1]埃[3]矮隘						
#iai							
Ø	[1]□{衫袖~：袖子脏了}[3]□{~着腰骨:扭了腰}[6]□{喫~：吃肉(对小孩语)}						
#uai							
k	[1]乖圭闺龟归[2]逵葵[3]枴诡轨癸鬼[5]怪桂季贵[6]跪柜						
kʰ	[1]盔规亏窥挥辉[2]槐[3]毁[5]块{一~地}筷傀愧[6]携奎						
Ø	[1]歪威[2]怀维惟遗唯围违淮[3]萎委[4]伟苇纬讳[5]畏慰胃谓猬彙餵{喂养}[6]坏秽惠慧为{作~，~什么}位卫彗						
#au							
pʰ	[1]□{一团。一~火：一肚子气}[3]剖[5]□{~□mau33：不实}						
m	[2]谋[3]朽{木头等腐烂}[4]牡[5]□{萝卜糠了}[6]貌茂贸谬						
f	[6]浮{云~市，地名}						
