上饶郑坊			
#汉字	解释	音标	
#来源		胡松柏等《赣东北方言调查研究》	
#声调		1阴平44 2阳平24 3上声231 5去声52 7阴入4 8阳入23	
#说明		平上去入基本按古声母清浊各分阴阳两类，但平、上声阳调字和部分去声阳调字声调合一。部分全独上声字、浊去字与清去字同调。	
多		to1	
拖		tʰo1	
驼		do2	
大		do2	
大		do5	
萝		lai2	
搓		tsʰo1	
哥		ko5	
个	一个	kai5	
鹅		ŋo2	
我	第一人称	ŋᴀ2	
我	读字	ŋo2	
饿		ŋo5	
茄		giɛ2	
破		pʰai5	
婆		buɤ2	
磨	名词	muɤ5	
绿		to3	
糯		nuɤ5	
坐		so2	
锁		so3	
过		kuᴀ5	
火		xuᴀ3	
货		xuᴀ5	
祸		xuᴀ5	
靴		xyɛ1	
疤		pᴀ1	
怕		pʰᴀ5	
爬		bᴀ2	
靶	名词	bᴀ2	
马		mᴀ2	
骂		muɤ5	
茶		dzᴀ2	
渣		tsᴀ1	
叉		tsʰᴀ1	
沙		sᴀ1	
加		kᴀ1	
假	真假	kᴀ3	
牙		ŋᴀ2	
虾		xᴀ1	
下	方位	xo2	
哑		ŋo3	
写		ɕiɛ3	
斜		ɕiɛ2	
遮		tɕiɛ1	
车		tɕʰiɛ1	
蛇		ɕiɛ2	
爷		iɛ2	
瓜		kuᴀ1	
瓦		uᴀ2	
花		xuᴀ1	
补		puɤ3	
谱		pʰuɤ3	
布		puɤ5	
簿		buɤ2	
步		bʰuɤ5	
赌		tuɤ3	
土		tʰuɤ3	
涂		duɤ2	
路		luɤ5	
做		tso5	
醋		tsʰuɤ5	
错		tsʰo5	
箍		kʰuɤ1	
苦		kʰuɤ3	
吴		ŋo2	
五		ŋo2	
虎		xuɤ3	
胡		uɤ2	
户		uɤ2	
乌		uɤ1	
女		ȵy2	
蛆		tɕʰyɛ1	
徐		dʑyɛ2	
猪		tᴀ1	
除		dʑyɛ2	
锄		sc2	
梳		sᴀ1	
煮		iɛ3	
书		ɕiɛ1	
鼠		tɕʰiɛ3	
锯		kɛ5	
去		kɤ5	
鱼		ŋc2	
许		ɕyɛ3	
斧		fu3	
抚		fu2	
须	胡须	ɕyɛ1	
柱		dʑyɛ2	
数	数目	suɤ5	
主		tɕyɛ3	
竖		ɕyɛ2	
树		dʑʰiu5	
区		kʰyɛ1	
雨		yaʔ8	
芋		yɛ2	
戴		tuai5	
台		duai2	
袋		dʰuai5	
来		huai2	
菜		tsʰuai5	
财		dzuai2	
在		dzai2	
改		kuai3	
开		kʰuai1	
海		xuai3	
爱		ŋai5	
贝		puai5	
带	鞋带	tai5	
太		tʰai5	
盖		kuai5	
艾		ŋai5	
害		xuai5	
拜		pai5	
排		bai2	
豺		sai2	
界		kai5	
摆		pai3	
派		pʰai5	
稗		bᴀ5	
买		mai2	
卖		mai2	
奶	乳	nɛ1	
柴		sai2	
晒		sai5	
街		kai1	
捱	捱打	ŋai2	
鞋		xai2	
矮		ŋai3	
败		bʰai5	
毙		pi5	
世		ɕiɛ5	
艺		ȵi5	
闭		pi5	
米		mi2	
底		tiɛ3	
梯		tʰuai1	
弟		diɛ2	
泥		niɛ2	
梨		li2	
齐		dʑi2	
洗		ɕi3	
细	小	suai5	
鸡		ki1	
溪		kʰiɛ1	
