V1	V2	V2	
pa	7	35	八
pʰa	2	13	爬
fa	6	33	罰
ta	5	223	跌
tʰa	6	33	踏
tsa	2	13	雜
tsʰa	7	35	擦
tʂa	7	35	閘紮
ʂa	7	35	殺
tʂʰa	2	13	茶
ka	5	223	嫁
xa	5	223	瞎
ma	3	42	馬
na	7	35	蠟辣
ŋa	2	13	牙
pa	3	42	把
fa	7	35	法發
ta	6	33	大
tʰa	7	35	塔
ʂa	1	55	沙杉
tʂʰa	7	35	插
ka	7	35	夾
xa	1	55	蝦
na	1	55	拉
ŋa	6	33	啞
ta	7	35	搭達
ŋa	7	35	鴨
ta	3	42	打
po	6	33	薄
pʰo	2	13	婆
to	6	33	奪
tʰo	7	35	脫托
tso	6	33	坐
so	7	35	索
tsʰo	5	223	錯
tʂo	6	33	著
ko	5	223	個過
kʰo	5	223	課
xo	2	13	河活
mo	2	13	磨
no	2	13	鑼螺
Ǿo	2	13	鵝
po	7	35	簿撥剝
pʰo	5	223	破
to	3	42	躲
tʰo	1	55	拖
tso	7	35	作
so	3	42	鎖所
tʂo	7	35	桌鐲
ko	7	35	鴿割各郭角
kʰo	7	35	渴闊殼
xo	5	223	貨
mo	6	33	磨
no	7	35	落
Ǿo	5	223	握
pʰo	7	35	潑
to	1	55	多
tso	3	42	左
ko	3	42	果
kʰo	3	42	可
xo	6	33	禍盒或
mo	7	35	末
Ǿo	6	33	餓二
ko	1	55	歌
xo	7	35	鶴霍
mo	1	55	摸
Ǿo	7	35	惡
xo	3	42	火
pu	5	223	布
pʰu	2	13	鋪
fu	2	13	壺浮服
vu	2	13	吳
ku	3	233	古
kʰu	5	223	褲
mu	5	223	目
pu	6	33	步
pʰu	3	42	譜
fu	5	223	付富副
vu	6	33	霧
ku	7	35	骨穀
kʰu	7	35	哭
mu	7	35	木
fu	6	33	戶父縛
vu	7	35	物屋
ku	1	55	箍
kʰu	3	42	苦
mu	3	42	母
fu	7	35	佛福
vu	3	42	五武
fu	3	42	虎府婦
vu	1	55	烏
pi	6	33	幣
pʰi	2	13	皮
ti	6	33	弟遞地
tʰi	5	223	去剃
tɕi	5	223	寄記季
ɕi	5	223	系戲
tɕʰi	2	13	騎棋
mi	7	35	密
ni	6	33	栗
ȵi	2	13	泥犁梨
Ǿi	2	13	移姨
pi	7	35	鼻筆逼壁
pʰi	5	223	屁
ti	7	35	笛
tʰi	7	35	踢
tɕi	6	33	集
ɕi	7	35	習吸息惜席錫
tɕʰi	5	223	契器氣
mi	3	42	米
ni	7	35	曆
ȵi	7	35	立力
Ǿi	5	223	藝意
pi	3	42	比
pʰi	7	35	匹
ti	1	55	低
tʰi	1	55	梯
tɕi	7	35	急及吸吉極積擊
ɕi	3	42	洗喜
tɕʰi	7	35	七吃
ni	3	42	李
Ǿi	6	33	義
tɕi	3	42	幾
ɕi	1	55	西溪希
tɕʰi	1	55	溪
Ǿi	7	35	一益
tɕi	1	55	雞饑
Ǿi	3	42	蟻
Ǿi	1	55	衣
tɕy	2	13	渠橘
ɕy	3	42	許
tɕʰy	2	13	徐
Ǿy	2	13	魚余
tɕy	5	223	鋸句劇
tɕʰy	3	42	取曲
Ǿy	5	223	裕律
tɕy	7	35	菊局
tɕʰy	1	55	區
Ǿy	6	33	遇芋
tɕy	3	42	舉
Ǿy	7	35	玉
Ǿy	3	42	女呂雨
pai	5	223	拜
pʰai	2	13	排牌
tai	5	223	帶
tʰai	2	13	台
sai	6	33	塞
tsʰai	2	13	財
ʂai	5	223	曬
tʂʰai	2	13	柴
kai	5	223	蓋戒
kʰai	5	223	蟹
xai	2	13	鞋還
mai	2	13	埋
nai	2	13	來
ŋai	2	13	岩
pai	6	33	敗
pʰai	5	223	派
