ᴀ
p[1]巴芭疤吧笆琶杷[2]爸[3]把[5]坝欛壩罢[7]八
pʰ[2]爬钯耙[5]怕帕
m[1]妈[2]麻痳[3]马码[5]骂
f[7]法发发伐筏罚
t[3]打[5]大
tʰ[1]他
n[1]拉垃[2]哪拿[3]哪[5]那
s[1]痧[3]傻洒撒
tş[1]查渣[5]诈榨炸乍
tşʰ[1]叉差差茬钗[2]茶搽查察[5]杈岔
ş[1]沙纱砂[3]洒
x[1]𨉣虾


æ
pʰ[7]拔
m[7]抹
f[7]乏
t[7]搭答沓溻达
tʰ[7]踏搨塔榻遢塌獭
n[7]纳腊蜡镴捺辣瘌肋
s[7]萨
tş[7]杂劄眨闸煠札铡
tşʰ[7]插擦
ş[7]殺
kʰ[7]咳

ai
p[3]摆[5]拜稗败
pʰ[2]排牌徘[5]派
m[2]埋[3]买[5]卖迈
t[1]呆[3]逮[5]戴贷待怠殆代袋带大
tʰ[1]胎[2]台台台苔抬[5]态太泰
n[2]来[3]乃奶[5]耐奈赖癞
ts[1]栽
s[5]赛晒
tş[1]灾斋[3]宰载[5]再载在载债寨
tşʰ[1]猜差钗[2]纔才材财裁豺柴[3]彩采踩睬[5]菜蔡
ş[1]腮鳃筛筛
k[1]该皆阶街[3]改解[5]盖丐介界芥疥届戒
kʰ[1]开揩[3]凯楷[5]概溉慨
ŋ[1]哀埃唉挨[2]硙崖捱岩[3]蔼矮[5]碍爱艾隘
x[2]孩鞋蟹还[3]海[5]亥害骇

an
p[1]班斑扳颁搬般[3]板版[5]扮办瓣半绊伴拌
pʰ[1]攀潘[2]盘[5]盼襻判畔叛
m[2]瞒馒[3]满[5]慢鳗漫幔蔓
f[1]帆翻番藩[2]凡梵烦矾繁[3]反[5]泛范范犯贩饭
t[1]耽担丹单当裆[3]胆掸疸党挡檔[5]担淡旦诞但弹蛋当荡宕
tʰ[1]贪探坍滩摊瘫汤荡[2]潭谭坛谈痰檀坛弹堂棠螳唐糖塘[3]毯坦倘躺[5]㮇叹炭烫趟
