诗sɿ³³
时sɿ⁴⁵
使sɿ²⁴
矢{有的放～}sɿ²⁴
是sɿ¹¹
士sɿ¹¹
试sɿ¹¹
世sɿ¹¹
事sɿ¹¹
侍{服～}sɿ¹¹
识sɿ⁴⁴
石sa⁴⁴
食sɿ⁴⁴
梯tʰi¹¹
题tʰi⁴⁵
体tʰi²⁴
弟tʰi¹¹
替tʰi¹¹
第tʰi¹¹
滴tia⁴⁴
笛tʰia⁴⁴
衣i³³
移i⁴⁵
椅i²⁴
以i²⁴
意i¹¹
异i¹¹
一i⁴⁴
逸{安～，好～恶劳}i¹¹
灯tiĩ³³
棉miĩ⁴⁵
等tiĩ²⁴
免miĩ²⁴
凳tiĩ¹¹
面{见～}miĩ¹¹
得tie⁴⁴
灭mie⁴⁴
方xoŋ³³
房xoŋ⁴⁵
天tʰiĩ³³
田tʰiĩ⁴⁵
初ʦʰəu³³
锄ʦʰəu⁴⁵
昏fən³³
魂fən⁴⁵
胸ɕin³³
雄ɕin⁴⁵
碗ø̃ỹ²⁴
晩vã²⁴
委vei²⁴
尾vei²⁴
隐in²⁴
引in²⁴
比pi²⁴
米mi²⁴
九kiəu²⁴
有iəu²⁴
卷{～起来}tø̃ỹ²⁴
远ø̃ỹ²⁴
付fu¹¹
妇fu¹¹
附fu¹¹
到tau¹¹
稻tʰau¹¹
盗tʰau¹¹
四sɿ¹¹
似sɿ¹¹
寺ʦʰɿ¹¹
试sɿ¹¹
市sɿ¹¹
示sɿ¹¹
注ky¹¹
柱ky¹¹
住kʰy¹¹
见kiĩ¹¹
件kʰiĩ¹¹
健kʰiĩ¹¹
救kiəu¹¹
舅kʰiəu¹¹
旧kʰiəu¹¹
汉xø̃ỹ¹¹
旱xø̃ỹ¹¹
汗{出～}xø̃ỹ¹¹
八pa⁴⁴
拔pʰa⁴⁴
发{～芽}fa⁴⁴
罚fa⁴⁴
督təu⁴⁴
毒tʰəu⁴⁴
桌ʦo⁴⁴
浊tʰəu⁴⁴
失sɿ⁴⁴
实sɿ⁴⁴
湿sɿ⁴⁴
十sɿ⁴⁴
高kau³³
猪ky³³
专tø̃ỹ³³
尊ʦən³³
低ti³³
边piĩ³³
安ŋø̃ỹ³³
开kʰai³³
抽tʰəu³³
初ʦʰəu³³
粗ʦʰəu³³
天tʰiĩ³³
偏pʰiĩ³³
婚fən³³
伤soŋ³³
三sã³³
飞fei³³
穷kʰin⁴⁵
陈tʰən⁴⁵
床ʦʰoŋ⁴⁵
才ʦʰai⁴⁵
唐tʰoŋ⁴⁵
平pʰiã⁴⁵{白}/pʰin⁴⁵{文}
寒xø̃ỹ⁴⁵
神sən⁴⁵
徐ʨʰi⁴⁵
扶fu⁴⁵
鹅ŋo⁴⁵
娘ȵioŋ⁴⁵
人ȵin⁴⁵{白}/vən⁴⁵{文}
龙ləŋ⁴⁵
难{～题}lã⁴⁵
麻ma⁴⁵
文vən⁴⁵
云{白～}vən⁴⁵
古ku²⁴
展tø̃ỹ²⁴
纸ʦɿ²⁴
走ʨiau²⁴
短tø̃ỹ²⁴
比pi²⁴
碗ø̃ỹ²⁴
口kʰiau²⁴
丑tʰəu²⁴
楚ʦʰəu²⁴
草ʦʰau²⁴
体tʰi²⁴
普pʰu²⁴
好{～心}xau²⁴
手səu²⁴
死sɿ²⁴
粉fən²⁴
五ŋ̍²⁴
女ȵy²⁴
染ø̃ỹ²⁴
老lau²⁴
暖xø̃ỹ²⁴
买{～进}mai²⁴
网oŋ²⁴
有iəu²⁴
近kʰin¹¹
柱ky¹¹
是sɿ¹¹
坐ʦʰo¹¹
淡tʰã¹¹
抱pʰau¹¹
厚ɕiau¹¹
社sa¹¹
似sɿ¹¹
父fu¹¹
盖kai¹¹
帐{蚊～}toŋ¹¹
正{～确}tən¹¹
醉ʦi¹¹{白}/ʦʰei¹¹{文}
对tei¹¹
变piĩ¹¹
爱ŋai¹¹
抗kʰoŋ¹¹
唱tʰoŋ¹¹
菜ʦʰai¹¹
怕pʰa¹¹
汉xø̃ỹ¹¹
世sɿ¹¹
送səŋ¹¹
放xoŋ¹¹
共kʰəŋ¹¹
阵tʰən¹¹
助ʦʰəu¹¹
贱ʨʰiĩ¹¹
大{～小}tʰai¹¹
病pʰiã¹¹
害xai¹¹
树fy¹¹
谢ʨʰia¹¹
饭fã¹¹
岸ŋø̃ỹ¹¹
让ȵioŋ¹¹
漏liau¹¹
怒ləu¹¹
帽mau¹¹
望oŋ¹¹
用in¹¹
急ki⁴⁴
竹təu⁴⁴
织ʦɿ⁴⁴
积ʨi⁴⁴
得tie⁴⁴
笔pi⁴⁴
一i⁴⁴
曲{歌～}kʰiəu⁴⁴
出kʰy⁴⁴
七ʨʰi⁴⁴
秃tʰəu⁴⁴
匹pʰi⁴⁴
黑ɕie⁴⁴
湿sɿ⁴⁴
锡ɕia⁴⁴
福fu⁴⁴
割kø⁴⁴
桌ʦo⁴⁴
窄ʨie⁴⁴
接ʨie⁴⁴
搭ta⁴⁴
百pa⁴⁴{白}/pø⁴⁴{文}
约io⁴⁴
缺tʰø⁴⁴
尺tʰa⁴⁴
切{～菜}ʨʰie⁴⁴
铁tʰie⁴⁴
拍pʰa⁴⁴
歇ɕie⁴⁴
说sø⁴⁴
削ɕio⁴⁴
发{～芽}fa⁴⁴
月ŋø⁴⁴
入y⁴⁴
六ləu⁴⁴
纳lã⁴⁴
麦ma⁴⁴
袜va⁴⁴
药io⁴⁴
局ky⁴⁴
宅ʨʰie⁴⁴
食sɿ⁴⁴
