例字	老派	新派	
跛	po53	po53	
播	po213	po45	
簸	po53	po53	
頗	pʰo53	pʰo53	
坡	pʰo45	pʰo45	
玻	po45	po45	
破	pʰo213	pʰo213	
婆	pʰo21	pʰo21	
薄	po213	po213	
魔	mo21	mo21	
磨	mo21	mo21	
摩	mo45	mo45	
磨	mo213	mo21	
朵	to53	to53	
躲	to53	to53	
剁	to213	to213	
妥	tʰo53	tʰo53	
橢	tʰo53	tʰo53	
唾	tʰo213	tʰo213	
惰	to213	to213	
墮	to213	to213	
糯	lo213	lo213	
騾	lo21	lo21	
螺	lo21	lo21	
腡	lo21	lo21	
囉	lo45	lo45	
裸	lo53	lo53	
瘰	lo21	lo21	
摞	lo213	lo213	
銼	tsʰo213	tsʰo21	
矬	tsʰo21	tsʰo21	
坐	tso213	tso213	
座	tso213	tso213	
蓑	so45	so45	
梭	so45	so45	
唆	so45	so45	
鎖	so53	so53	
瑣	so53	so53	
過	ko213	ko213	
鈀	pʰa21	pʰa21	
耙	pʰa21	pʰa21	
麻	ma21	ma21	
蟆	ma21	ma21	
媽	ma45	ma45	
痲	ma21	ma21	
馬	ma53	ma53	
碼	ma53	ma53	
駡	ma213	ma213	
拿	la21	la21	
茶	tsʰa21	tsʰa21	
搽	tsʰa21	tsʰa21	
查	tsa45	tsa45	
渣	tsa45	tsa45	
詐	tsa213	tsa213	
榨	tsa213	tsa213	
炸	tsa213	tsa213	
叉	tsʰa45	tsʰa45	
杈	tsʰa45	tsʰa45	
差	tsʰa45	tsʰa45	
岔	tsʰa213	tsʰa213	
差	tsʰa45	tsʰa45	
茬	tsʰa21	tsʰa21	
查	tsʰa21	tsʰa21	
乍	tsa213	tsa213	
沙	sa45	sa45	
紗	sa45	sa45	
痧	sa45	sa45	
砂	sa45	sa45	
灑	sa53	sa53	
厦	sa53	sua53	
家	ʨia45	ʨia45	
加	ʨia45	ʨia45	
痂	ʨia45	ʨia45	
嘉	ʨia45	ʨia45	
傢	ʨia45	ʨia45	
假	ʨia53	ʨia53	
賈	ʨia53	ʨia53	
假	ʨia53	ʨia53	
架	ʨia213	ʨia213	
駕	ʨia213	ʨia213	
爹	tie45	tie45	
遮	tse45	tse45	
者	tse53	tse53	
蔗	tse213	tse21	
車	tsʰe45	tsʰe45	
扯	tsʰe53	tsʰe53	
蛇	se21	se21	
射	se213	se213	
麝	se213	se213	
賒	se45	se45	
奢	se45	se45	
捨	se53	se53	
赦	se213	se213	
舍	se213	se213	
佘	se21	se21	
畲	se45	se21	
社	se213	se213	
惹	ze53	ze53	
耶	ie45	ie45	
爺	ie21	ie21	
椰	ie21	ie45	
也	ie53	ie53	
野	ie53	ie53	
夜	ie213	ie213	
傻	sa53	sa53	
耍	sua53	sua53	
瓜	kua45	kua45	
蝸	o45	o45	
寡	kua53	kua53	
剮	kua53	kua53	
誇	kʰua45	kʰua45	
垮	kʰua53	kʰua53	
跨	kʰua213	kʰua213	
娃	ua21	ua21	
瓦	ua53	ua53	
瓦	ua53	ua53	
花	xua45	xua45	
化	xua213	xua213	
華	xua21	xua21	
鏵	xua21	xua21	
划	xua21	xua21	
塗	tʰu21	tʰu21	
圖	tʰu21	tʰu21	
杜	tu213	tu213	
肚	tu213	tu213	
度	tu213	tu213	
渡	tu213	tu213	
鍍	tu213	tu213	
奴	lu21	lu21	
努	lu53	lu53	
怒	lu213	lu213	
盧	lu21	lu53	
爐	lu21	lu21	
蘆	lu21	lu21	
鸕	lu21	lu21	
魯	lu53	lu53	
櫓	lu53	lu53	
虜	lu53	lu53	
滷	lu53	lu53	
路	lu213	lu213	
賂	lu213	lu213	
露	lu213	lu213	
鷺	lu213	lu213	
租	tsu45	tsu45	
祖	tsu53	tsu53	
組	tsu53	tsu53	
