[pʰi{44}]□{手、脚向两边分开}
[pʰi{52}]□{吐}
[mi{44}]□{揹}
[mi{33}]□{歪斜}
[vi{33}]□{吃腻}
[ti{44}]爹
[ni{44}]呢{疑问语气词}
[li{44}]□{来}
[ɬi{33}]写
[tʃi{44}]遮之□{乳房}
[tʃi{33}]姐
[tʃi{52}]蔗鹧借
[tʃʰi{44}]畲车
[tʃʰi{33}]□{回去}
[tʃʰi{52}]趄笡{路面倾斜}
[tʃʰi{21}]谢
[ʃi{44}]赊奢佘施
[ʃi{35}]蛇
[ʃi{33}]捨
[ʃi{23}]社
[ʃi{52}]騇赦舍
[ʃi{21}]麝射
[ŋi{52}]□{挤}
[i{44}]爷
[i{23}]野已以屿与羽宇
[i{21}]夜椰
[pu{44}]波玻菠褒
[pu{33}]葆褓保宝堡
[pu{52}]播簸报
[pʰu{44}]坡
[pʰu{35}]婆菩袍
[pʰu{33}]颇剖
[pʰu{23}]抱
[pʰu{52}]破
[pʰu{21}]菢爆暴
[mu{44}]魔摩摸
[mu{35}]旄髦馍毛磨{～刀}
[mu{21}]帽冒磨{石～}呒{不}
[fu{33}]火伙
[fu{52}]货
[vu{44}]涡莴窝蜗倭
[vu{35}]禾和
[vu{23}]祸
[tu{44}]叨多刀
[tu{33}]祷跺朵岛捣倒躲
[tu{52}]剁到倒
[tʰu{44}]拖滔
[tʰu{35}]焘涛绹萄陀佗坨砣鸵驼驮桃逃陶淘掏
[tʰu{33}]妥椭讨
[tʰu{52}]套
[tʰu{21}]蹈悼垛堕惰舵道稻盗导
[nu{44}]捼{搓}
[nu{35}]娜挪傩
[nu{23}]脑恼
[nu{21}]糯懦
[lu{44}]啰{～唆}捞{～钱}
[lu{35}]唠痨逻箩螺罗骡锣萝牢劳脶
[lu{33}]攞{买}
[lu{23}]老佬裸
[lu{52}]□{间隔}
[lu{21}]涝摞
[ɬu{44}]臊馊骚搔
[ɬu{35}]□{不平滑}
[ɬu{33}]锁琐嫂所
[ɬu{52}]扫
[tʃu{44}]糟遭
[tʃu{33}]蚤左佐早枣组阻
[tʃu{52}]灶
[tʃʰu{44}]搓磋操初
[tʃʰu{35}]嘈漕曹槽
[tʃʰu{33}]草
[tʃʰu{23}]坐
[tʃʰu{52}]锉挫糙躁错燥澡藻措
[tʃʰu{21}]座造皂
[ȵu{44}]□{糟蹋}
[ʃu{44}]傻
[ʃu{44}]蓑梭唆梳蔬疏
[ku{44}]篙歌哥高羔糕膏
[ku{33}]裹果稿
[ku{52}]诰个箇过告嗰
[kʰu{44}]蝌科戈棵颗柯锅
[kʰu{33}]可
[kʰu{52}]课靠
[ŋu{35}]敖讹娥峨鹅蛾俄
[ŋu{23}]我
[ŋu{21}]饿卧
[hu{44}]呵蒿薅{除草}
[hu{35}]蚝嚎壕河何荷毫豪
[hu{33}]好
[hu{52}]耗好
[hu{21}]皓贺号浩
[u{44}]屙苛
[u{33}]袄
[u{52}]涴
[pa{44}]吧芭疤巴爸笆
[pa{33}]把靶
[pa{52}]霸坝
[pʰa{35}]筢爬琶杷耙钯扒
[pʰa{52}]怕
[pʰa{21}]罢
[ma{44}]妈
[ma{35}]蟆麻
[ma{23}]蚂马码
[ma{21}]骂
[fa{44}]花
[fa{52}]化
[va{44}]洼娲娃
[va{35}]华哗铧
[va{21}]话画
[ta{44}]打{量词}
[ta{33}]打
[tʰa{44}]他它
[na{44}]□{黏}
[na{35}]拿
[na{33}]那哪
[na{23}]乸{母}
[la{44}]喇
[la{52}]□{变味}
[tʃa{44}]渣楂喳揸{抓}
[tʃa{52}]诈榨炸
[tʃʰa{44}]叉杈衩差{～别}
[tʃʰa{35}]茶搽查
[tʃʰa{52}]汊岔吒
[tʃʰa{21}]蚱
[ʃa{44}]砂痧裟鲨沙纱
[ʃa{33}]耍
[ka{44}]枷袈家加嘉
[ka{33}]贾假
[ka{52}]架价嫁驾稼尬
[kʰa{44}]卡{压制}
[kʰa{52}]卡{关～}
[ŋa{35}]呀伢衙牙芽
[ŋa{23}]雅瓦
[ha{44}]哈虾瘕{喉病}
