tse	邹周舟州洲诌帚		走肘	纣奏昼绉皱骤宙咒帚（扫~）揍				
tsʰe	抽	稠绸筹愁仇酬□（吃；吮）踌	丑	凑臭				□（语气助词，用在句末表示祈使的语气）
se	搜飕馊搜收□（茭~：茭白）		叟手首守	嗽瘦擞	受兽寿授售			□（语气助词，用在句末表示祈使的语气）
ke	勾钧沟		狗苟枸给（~与）	彀够构购媾勾				□（语气助词，用在句末表示遗憾的语气：没得~）
kʰe	抠		口	叩扣寇□（~陈酒：一种黄酒）				
xe	齁（咳嗽，气喘：我~得很属害）	侯喉猴候瘊	吼	□（浸）	后厚后逅			嗨（语气助词）
ŋe	欧鸥瓯呕（~吐）殴怄讴	牛-（公~）	藕偶	沤怄				
e		欸（叹词，答应时用）		欸（叹词，答应时用）				
lie								哩（语气助词，用在“没事~”一句上加强语气）
tɕie			者					
tɕʰie			且					
ɕie		谐=携	舍（宿~）		社			
ie		揉蹂	也		液腋			
kue	圭闺规龟归硅		轨鬼诡癸	桂贵瑰鳜刽=				
kʰue	盔亏窥=	魁奎逵葵馗葵睽	傀	窥-溃愧刽-	跪柜			
xue	灰恢诙麾挥辉晖徽	回茴蛔	悔毁诲	晦秽讳=贿=卉=	汇会（开~）绘烩彗惠蕙慧讳-卉-汇贿-			
tɕye	追锥		□（~来：过一会儿）	最缀赘坠醉=				
tɕʰye	催崔摧吹炊	随垂=锤捶槌隋-	璀	脆翠悴粹萃	罪			
ɕye	虽	隋=垂-绥谁髓	水	碎岁=（~月|守~）税睡祟瑞=隧	瑞			
ye			蕊	瑞	锐睿芮			
po	巴疤粑笆芭钯叭（喇~）蟆（癞~：蟾蜍）□（亮~~：儿语，指满月）		把㞎	罢=霸欛（~柄）坝（段家~：南通地名）				
pʰo	趴	爬杷耙扒		怕帕	罢			
mo	妈（~~：伯母；老~子：老姐妹儿）蟆（癞蛤~）□（~~：吸血的牛虻）	麻	马码玛蚂□（留意，监视）		骂			
tʰo	他她它（其~）							
no	喏（叹词，把东西递给别人时用）	拿						
tso	查（姓）渣楂遮 蔗（甘~）□（无赖，不认账：赌~）		□（~了：豆腐等嫩的东西形状变坏）	诈榨乍（~冷~热）炸（~弹；油~）咤（哪~：神名）				
tsʰo	叉杈钗钗车（马~）差（~人；~错）□（~嘴：乱插话；~舌：乱插话）	茶搽茬査（调~）	扯	岔衩□（~嘴：乱插话〔强调〕；~舌：乱插话〔强调〕）	昨（~子：昨天）			
so	沙纱鲨裟奢赊痧	蛇佘（姓）	舍	唦				
ko	家-（~里，当~）嘉-加-瓜（新派）佳-街袈-（围~儿：涎布；涎~儿：涎布）		寡（新派）剐（新派）假-（放~）	架-（~子）驾嫁-稼价挂（新派）卦（新派）褂（新派）				
kʰo	夸（新派）胯（新派）卡（~嗓子：吃饭后残渣留在嗓子里感到不舒服）	□（~强：逞强）	垮（新派）垮（新派）卡	跨（新派）卡（用手紧紧握住：~死）				
xo	花（新派）虾-（对~儿）哈（~痒：胳肢）	华（新派）哗（新派）桦（新派）嬅（新派）划（新派）	□（衣服由于摩擦破损或变色）	化（新派）	下-（~山，~头，以~）夏-（~天；姓）画（新派）划（新派）话（新派）			
ŋo	鸦-丫（~头：女儿）桠□（硬往里塞）挜（~给：强劝）	牙-芽-伢（~儿：小孩儿）蚜□（啃：骨头）	哑	垩（施肥）	□（挤）			
o	哦（叹词，表示同意；表示领会；表示醒悟）			哦（叹词，表示同意；表示领会；表示醒悟）				
io		□（叹词，吃惊时发声）						
kuo	瓜	□（小孩贪吃）	寡剐	挂（~历）卦（八~）褂（小~子）				
kʰuo	夸胯		垮垮	跨	□（~食：贪吃）			
