汉字	临沧	凤庆	云县	双江	永德	镇康	耿马	沧源
织	tʂʅ³¹	tʂʅ³¹	tʂʅ³¹	tʂʅ³¹	tʂʅ³¹	tʂʅ³¹	tsɿ³¹	tsɿ³¹
汁	tʂɤ³¹	tʂɤ³¹	tʂɤ³¹	tʂɤ³¹	tʂɤ³¹	tʂɤ³¹	tsɤ³¹	tsɤ³¹
质掷置	tʂʅ³¹	tʂʅ³¹	tʂʅ³¹	tʂʅ³¹	tʂʅ³¹	tʂʅ³¹	tsɿ³¹	tsɿ³¹
秩	tsʰɿ²¹³	tsʰɿ⁴⁵	tsʰɿ²¹³	tsʰɿ²¹³	tsʰɿ⁴⁵	tsʰɿ⁴⁵	tsʰɿ²¹³	tsʰɿ²¹³
吃蚩笞	tʂʰʅ³¹	tʂʰʅ³¹	tʂʰʅ³¹	tʂʰʅ³¹	tʂʰʅ³¹	tʂʰʅ³¹	tsʰɿ³¹	tsʰɿ³¹
齿	tʂʰʅ⁴⁴	tʂʰʅ⁵⁵	tʂʰʅ⁵⁵	tʂʰʅ⁵⁵	tʂʰʅ⁴⁴	tʂʰʅ⁵⁵	tsʰɿ⁴⁴	tsʰɿ⁴⁴
豉	ʂʅ⁵³	ʂʅ⁴²	ʂʅ⁵³	ʂʅ⁵³	ʂʅ⁴²	ʂʅ⁴²	sɿ⁵³	sɿ⁵³
翅	tsʰɿ²¹³	tsʰɿ⁴⁵	tsʰɿ²¹³	tsʰɿ²¹³	tsʰɿ⁴⁵	tsʰɿ⁴⁵	tsʰɿ²¹³	tsʰɿ²¹³
赤	tʂʰʅ³¹	tʂʰʅ³¹	tʂʰʅ³¹	tʂʰʅ³¹	tʂʰʅ³¹	tʂʰʅ³¹	tsʰɿ³¹	tsʰɿ³¹
湿失	ʂʅ³¹	ʂʅ³¹	ʂʅ³¹	ʂʅ³¹	ʂʅ³¹	ʂʅ³¹	sɿ³¹	sɿ³¹
师狮	sɿ⁴⁴	sɿ⁵⁵	sɿ⁵⁵	sɿ⁵⁵	sɿ⁴⁴	sɿ⁵⁵	sɿ⁴⁴	sɿ⁴⁴
虱	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹
事似士仕侍嗜柿	sɿ²¹³	sɿ⁴⁵	sɿ²¹³	sɿ²¹³	sɿ⁴⁵	sɿ⁴⁵	sɿ²¹³	sɿ²¹³
室释适	ʂʅ³¹	ʂʅ³¹	ʂʅ³¹	ʂʅ³¹	ʂʅ³¹	ʂʅ³¹	sɿ³¹	sɿ³¹
匙	tʂʰʅ⁴⁴	tʂʰʅ⁵⁵	tʂʰʅ⁵⁵	tʂʰʅ⁵⁵	tʂʰʅ⁴⁴	tʂʰʅ⁵⁵	tsʰɿ⁴⁴	tsʰɿ⁴⁴
日	ʐʅ³¹	zɿ³¹	ʐʅ³¹	ʐʅ³¹	ʐʅ³¹	ʐʅ³¹	zɿ³¹	zɿ³¹
子{儿~}	tsɿ⁴⁴	tsɿ⁵⁵	tsɿ⁵⁵	tsɿ⁵⁵	tsɿ⁴⁴	tsɿ⁵⁵	tsɿ⁴⁴	tsɿ⁴⁴
雌	tsɿ³¹	tsɿ³¹	tsɿ³¹	tsɿ³¹	tsɿ³¹	tsɿ³¹	tsɿ³¹	tsɿ³¹
儿而	ɚ³¹	ɚ³¹	ɚ³¹	ɚ³¹	ɚ³¹	ɚ³¹	ɚ³¹	ɚ³¹
尔耳洱饵	ɚ⁵³	ɚ⁴²	ɚ⁵³	ɚ⁵³	ɚ⁴²	ɚ⁴²	ɚ⁵³	ɚ⁵³
二	ɚ²¹³	ɚ⁴⁵	ɚ²¹³	ɚ²¹³	ɚ⁴⁵	ɚ⁴⁵	ɚ²¹³	ɚ²¹³
八捌	pᴀ³¹	pᴀ³¹	pᴀ³¹	pᴀ³¹	pᴀ³¹	pᴀ³¹	pᴀ³¹	pᴀ³¹
趴	pʰᴀ³¹	pʰᴀ³¹	pʰᴀ³¹	pʰᴀ³¹	pʰᴀ³¹	pʰᴀ³¹	pʰᴀ³¹	pʰᴀ³¹
扒杷耙琶筢	pʰᴀ⁴⁴	pʰᴀ⁵⁵	pʰᴀ⁵⁵	pʰᴀ⁵⁵	pʰᴀ⁴⁴	pʰᴀ⁵⁵	pʰᴀ⁴⁴	pʰᴀ⁴⁴
抹{~布}	mᴀ³¹	mᴀ³¹	mᴀ³¹	mᴀ³¹	mᴀ³¹	mᴀ³¹	mᴀ³¹	mᴀ³¹
蟆{蛤~}	mᴀ⁴⁴	mᴀ⁵⁵	mᴀ⁵⁵	mᴀ⁵⁵	mᴀ⁴⁴	mᴀ⁵⁵	mᴀ⁴⁴	mᴀ⁴⁴
蚂{~蚁}	mᴀ⁵³	mᴀ⁴²	mᴀ⁵³	mᴀ⁵³	mᴀ⁴²	mᴀ⁴²	mᴀ⁵³	mᴀ⁵³
蚂{~蚱}	mᴀ³¹	mᴀ³¹	mᴀ³¹	mᴀ³¹	mᴀ³¹	mᴀ³¹	mᴀ³¹	mᴀ³¹
发{~奋}	fᴀ³¹	fᴀ³¹	fᴀ³¹	fᴀ³¹	fᴀ³¹	fᴀ³¹	fᴀ³¹	fᴀ³¹
法{办~}	fᴀ³¹	fᴀ³¹	fᴀ³¹	fᴀ³¹	fᴀ³¹	fᴀ³¹	fᴀ³¹	fᴀ³¹
发{头~}	fᴀ⁴⁴	fᴀ⁵⁵	fᴀ⁵⁵	fᴀ⁵⁵	fᴀ⁴⁴	fᴀ⁵⁵	fᴀ⁴⁴	fᴀ⁴⁴
