"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	1	"雌疵支枝肢梔[～子花]資姿茲滋輜之芝"
"z"	"tsɿ"	3	"紫此紙只[～有]齒侈姊脂旨指子梓恥止趾址"
"z"	"tsɿ"	5	"刺制製翅次致至誌痣做[(白)]幟"
"c"	"tsʰɿ"	1	"差[參～]嗤"
"c"	"tsʰɿ"	5	"廁[～所]"
"zz"	"dzɿ"	2	"匙[箱～：撮爐灰的用具]瓷糍[～粑]慈磁鶿[鸕～]"
"zz"	"dzɿ"	6	"誓逝自字牸[～牛：母牛]伺痔"
"s"	"sɿ"	1	"斯廝施私師獅尸屍思司絲鷥[鷺～]詩"
"s"	"sɿ"	3	"豕死矢屎使史駛始"
"s"	"sɿ"	5	"世[(文)]賜四肆試訴[(白)告～]"
"s"	"sɿ"	7	"濕[(白)]"
"ss"	"zɿ"	2	"辭詞祠飼嗣時蒔[～田：插秧]臍[(白)]"
"ss"	"zɿ"	3	"柿"
"ss"	"zɿ"	6	"是氏豉[豆～]示視嗜似祀巳[辰～]寺士仕事市恃侍"
"ss"	"zɿ"	7	"十[(白)]拾[(白)]入[(白)交合]"
"bi"	"pi"	1	"蓖璧壁[(文)]"
"bi"	"pi"	2	"筆[(文)]畢[(文)]必[(文)]"
"bi"	"pi"	3	"彼比秕"
"bi"	"pi"	5	"弊幣斃敝蔽[(文)]閉[(文)]箅[～子]秘泌痹碧"
"bi"	"pi"	7	"筆[(白)]畢[(白)]必[(白)]凹[(訓讀)]"
"pi"	"pʰi"	1	"批臂披[(文)]譬飛[(白)雞毛～～：雞毛撣子]匹僻辟劈[(文)]"
"pi"	"pʰi"	3	"鄙庇弼"
"pi"	"pʰi"	5	"屁"
"bbi"	"bi"	2	"皮疲脾琵枇鼻[(文)]維[(白)]唯[(白)]惟[(白)]肥[(白)地蠻～]"
"bbi"	"bi"	3	"被[(白)～殼子：被單]"
"bbi"	"bi"	6	"被[(文)]婢避備篦鼻[(白)～頭：鼻子]未[(白)～來]"
"mi"	"mi"	1	"糜密[(文)]蜜[(文)]眯[閉：～倒眼睛]"
"mi"	"mi"	2	"迷彌眉[(白)]楣[(白)]媚[(白)]覓"
"mi"	"mi"	3	"米[(文)]靡尾[(白)～巴]"
"mi"	"mi"	5	"謎"
"mi"	"mi"	7	"密[(白)]蜜[(白)]"
"di"	"ti"	1	"低[(文)]的[目～]嫡敵些[(訓讀)好～]"
"di"	"ti"	3	"底[(文)]抵[(文)]"
"di"	"ti"	5	"帝滴[(文)]"
"di"	"ti"	7	"得[(白)好～很]"
"ti"	"tʰi"	1	"梯[(文)]踢[(文)]"
"ti"	"tʰi"	3	"體"
"ti"	"tʰi"	5	"替[(文)]涕剃[(文)]屜剔"
"ddi"	"di"	2	"隄堤題提[(文)]啼蹄笛[(文)]狄糴[(文)]遲[(白)]"
"ddi"	"di"	6	"弟[(文)～～]隸第[(文)門～]遞地[(文)～理]"
"li"	"li"	2	"梨犁[(文)]黎離籬璃釐笠[(文)]粒[(文)]栗[(文)板～]力[(文)]歷曆历"
"li"	"li"	3	"履狸李里裏理鯉"
"li"	"li"	5	"例厲勵禮吏麗荔利痢"
"li"	"li"	7	"立[(白)]笠[(白)～頭：斗笠]粒[(白)]"
"zhi"	"tʃi"	1	"雞[(文)]稽知蜘飢饑肌機譏基[(文)]箕[(文)]緝輯執汁急[(文)]級[(文)]吸質[(文)]即鯽[(文)]織[(文)]職戟屐[(文)]積跡脊擲隻[(文)]績擊激蟄"
"zhi"	"tʃi"	3	"擠几[茶～]己紀杞幾[～個；～乎]"
"zhi"	"tʃi"	5	"祭際濟劑計繼繫[～鞋帶]髻[(文)]智寄置記既季吉炙[(文)]"
"zhi"	"tʃi"	7	"急[(白)]級[(白)]質[(白)]"
"chi"	"tʃʰi"	1	"妻棲癡欺七[(文)]漆[(文)]膝[(文)]赤[(文)]斥尺[(文)]戚吃喫嗤"
"chi"	"tʃʰi"	2	"乞迄"
"chi"	"tʃʰi"	3	"啟起豈"
"chi"	"tʃʰi"	5	"砌[(文)]契[～約]器氣[(文)]汽𥉻[近～眼]"
"chi"	"tʃʰi"	7	"七[(白)]漆[(白)]"
"zzhi"	"dʒi"	2	"臍[(文)]薺池馳奇騎遲[(文)]祁鰭持其棋期旗集及疾侄直[(文)]值極殖植籍藉席[(文)]寂"
"zzhi"	"dʒi"	3	"徛[站立：～倒]"
"zzhi"	"dʒi"	5	"滯"
"zzhi"	"dʒi"	6	"誓[(文)]逝[(文)]歧企技妓稚治忌祈"
"gni"	"ȵi"	2	"泥[(文)]倪宜儀蟻誼尼疑凝"
"gni"	"ȵi"	3	"你[(文)]擬"
"gni"	"ȵi"	5	"藝刈二[(白)第～]貳[(白)]你[(白)]義議毅匿逆溺膩[(文)]"
"gni"	"ȵi"	7	"日[(白)今晡～：今天]入[(白)]"
"shi"	"ʃi"	1	"西[(文)]犀[(文)]溪奚兮攜犧熙希稀習[(文)]秩[(文)]悉濕[(文)]拾[(文)]十[(文)]泣實[(文)]失[(文)]室[(文)]恤息媳熄[(文)]食[(文)]蝕[(文)]識式飾昔惜夕適釋錫[(文)]析"
"shi"	"ʃi"	3	"洗[(文)]璽徙嬉喜嬸[(白)～～]"
"shi"	"ʃi"	5	"細[(文)]世[(白)]勢系係戲氣[(白)～～：味道不正常]棄"
"shi"	"ʃi"	7	"習[(白)]膝[(白)]秩[(白)]室[(白)]失[(白)]實[(白)]熄[(白)]"
"sshi"	"ʒi"	2	"日[(文)]石[(文)～板：文具]"
"i"	"i"	1	"倚伊醫衣依揖一[(文)]抑益亦譯液"
"i"	"i"	2	"移夷姨飴沂逸"
"i"	"i"	3	"椅矣已以"
"i"	"i"	5	"縊瞖易[難～；交～]冀肄意異憶億翼"
"i"	"i"	7	"一[(白)]"
"bu"	"pu"	1	"包[(白)]胞[(白)]苞晡[某一時段：今～日，昨～日，上～下～]"
"bu"	"pu"	3	"補飽[(白)]"
"bu"	"pu"	5	"布佈怖豹[(白)～公：老虎；～唧：豹子]爆[(白)]凸[(訓讀)]"
"bu"	"pu"	7	"撥[(白)]不薄剝[(白)]駁[(白)]"
"pu"	"pʰu"	1	"鋪[～路]朴樸卜撲醭仆[(文)]僕曝瀑泡[(白)～雪：鵝毛雪]"
"pu"	"pʰu"	3	"普浦脯甫捕輔"
"pu"	"pʰu"	5	"鋪[店～]破[(白)]赴訃[(文)]泡[(白)水～]"
"pu"	"pʰu"	7	"仆[(白)倒：前～後繼]"
"bbu"	"bu"	2	"蒲菩婆"
"bbu"	"bu"	3	"簿"
"bbu"	"bu"	6	"部步"
"bbu"	"bu"	7	"薄[(白)厚～；～荷]縛[(白)]"
"mu"	"mu"	2	"磨[(白)～刀]鵝[(白)]蛾[(白)]蜈[(白)]梧[(白)]茅[(白)]木[(文)]目[(文)]穆"
"mu"	"mu"	3	"母拇麼[～個：什麼；爲～個：爲什麼]"
"mu"	"mu"	5	"暮慕募墓誤[(白)]悟[(白)]幕牧磨[(白)石～]餓[(白)]"
"mu"	"mu"	7	"莫[(白)]寞[(白)]膜[(白)]摸[(白)]木[(白)]目[(白)]"
"fu"	"fu"	1	"夫膚敷俘麩孵[～小雞]呼復複腹复覆彿窠[鳥唧～：鳥窩]棵[一～樹]"
"fu"	"fu"	3	"府腑俯斧撫釜腐火[(白)～爐：廚房]夥伙虎滸"
"fu"	"fu"	5	"付傅賦附貨[(白)]荷[薄～]戽[～水]富副斛幅"
"fu"	"fu"	7	"喝[(白)]勿[(白)]蠚[(白)蜂子～人]殼[(白)腦～：頭]哭[(白)]福"
"ffu"	"vu"	2	"符扶芙無巫誣和[～氣]禾河荷[(白)～花]佛[(文)]物胡湖糊蝴葫狐壺乎瓠[～盧]鬍服[(文)]伏[(文)]袱[(文)]"
"ffu"	"vu"	3	"武侮"
"ffu"	"vu"	5	"霧務戊"
"ffu"	"vu"	6	"婦負父賀[(白)]互戶護滬瓠[～子]禍"
"ffu"	"vu"	7	"合[(白)]盒[(白)]佛[(白)]學[(白)～堂]服[(白)]伏[(白)]袱[(白)]"
"du"	"tu"	1	"多[(白)]都篤督"
"du"	"tu"	3	"朵躲堵[(文)]賭[(文)]肚[(文)]"
"du"	"tu"	5	"妒剁"
"du"	"tu"	7	"鐸[(白)]踱[(白)]"
"tu"	"tʰu"	1	"拖[(白)]突[(文)]禿[(文)]"
"tu"	"tʰu"	3	"土[(文)]"
"tu"	"tʰu"	5	"吐兔[(文)]"
"tu"	"tʰu"	7	"突[(白)]託[(白)]托[(白)]禿[(白)]"
