id	ini	fn	pt	单字	IPA	注释		小學堂	甘網處理後	issame	isui
1	t	ɔ	55	多	tɔ55	多少		tɔ55	tɔ55	1	False
2	tʰ	ɔ	55	拖	tʰɔ55	拖拉机			tʰɔ55	1	False
3	tʰ	a	55	他	tʰa55	其他		tʰa55	tʰa55	1	False
4	tʰ	ɔ	11	駝	tʰɔ21	骆驼		tʰɔ21	tʰɔ21	1	False
5	tʰ	ɔ	11	舵	tʰɔ21	舵手		tʰɔ21	tʰɔ21	1	False
6	t	ai	22	大	tai22	大夫、大黄		tai22	tai22	1	False
7	n	a	24	哪	na24	哪里；哪吒			na24	1	False
8	n	a	24	那	na24	那里；那霍（地名）		na24	na24	1	False
9	l	ɔ	11	羅	lɔ21	姓		lɔ21	lɔ21	1	False
10	l	ɔ	11	鑼	lɔ21	锣鼓		lɔ21	lɔ21	1	False
11	l	ɔ	11	蘿	lɔ21	萝卜			lɔ21	1	False
12	l	ɔ	11	籮	lɔ21	箩筐		lɔ21	lɔ21	1	False
13	ts	ɔ	24	左	tsɔ24	左右		tsɔ24	tsɔ24	1	False
14	ts	ɔ	24	佐	tsɔ24	辅佐		tsɔ33	tsɔ24	False	False
15	tsʰ	ɔ	55	搓	tsʰɔ55	搓手		tsʰɐi55	tsʰɔ55	False	False
16	k	ɔ	55	歌	kɔ55	唱歌		kɔ55	kɔ55	1	False
17	k	ɔ	55	哥	kɔ55	哥哥		kɔ55	kɔ55	1	False
18	k	ɔ	33	個	kɔ33	一个		kɔ33	kɔ33	1	False
19	h	ɔ	24	可	hɔ24	可以		hɔ24	hɔ24	1	False
20	ŋ	ɔ	11	蛾	ŋɔ21	飞蛾		ŋɔ21;ŋai33	ŋɔ21	False	False
21	ŋ	ɔ	24	鵝	ŋɔ24	天鹅		ŋɔ21	ŋɔ24	False	False
22	ŋ	ɔ	11	俄	ŋɔ21	俄国		ŋɔ21	ŋɔ21	1	False
23	ŋ	ɔ	33	我	ŋɔ33	我们		ŋɔ33	ŋɔ33	1	False
24	ŋ	ɔ	22	餓	ŋɔ22	肚子饿		ŋɔ22	ŋɔ22	1	False
25	h	ɔ	11	荷	hɔ21	薄荷		hɔ21	hɔ21	1	False
26	h	ɔ	11	河	hɔ21	黄河		hɔ21	hɔ21	1	False
27	h	ɔ	11	何	hɔ21	姓何		hɔ21	hɔ21	1	False
28	h	ɔ	11	荷	hɔ21	荷花		hɔ21	hɔ21	1	False
29	h	ɔ	22	賀	hɔ22	祝贺		hɔ22	hɔ22	1	False
30	∅	a	55	阿	ʔa55/ʔa33	阿哥		∅a33;∅ɔ33	∅a55	False	False
31	∅	ɔ	55	阿	ʔɔ55	阿胶；阿弥陀佛		∅a33;∅ɔ33	∅ɔ55	False	False
32	kʰ	œ	24	茄	kʰœ24/kʰɛ24	茄子	1	kʰɛ24	kʰœ24	False	False
33	p	ɔ	55	波	pɔ55	风波		pɔ55	pɔ55	1	False
34	p	ɔ	55	菠	pɔ55	菠菜			pɔ55	1	False
35	p	ei	55	跛	pei55	跛足		pei55	pei55	1	False
36	p	ɔ	55	簸	pɔ55	簸箕		pɔ33	pɔ55	False	False
37	p	ɔ	55	播	pɔ55	播种			pɔ55	1	False
38	p	ɔ	55	坡	pɔ55	山坡		pɔ55	pɔ55	1	False
39	p	ɔ	55	玻	pɔ55	玻璃		pɔ55	pɔ55	1	False
40	pʰ	ɔ	55	破	pʰɔ33	破坏		pʰɔ33	pʰɔ55	False	False
41	pʰ	ɔ	11	婆	pʰɔ21	外婆		pʰɔ21	pʰɔ21	1	False
42	p	ɔk	33	薄	pɔk3/pɔk2	薄荷		pɔk22	pɔk3	False	False
43	m	ɔ	55	魔	mɔ55	魔术		mɔ55	mɔ55	1	False
44	m	ɔ	11	磨	mɔ21	磨刀（动）		mɔ21;mɔ33	mɔ21	False	False
45	m	ɔ	55	摩	mɔ55	摩擦		mɔ24	mɔ55	False	False
46	m	ɔ	33	磨	mɔ33	石磨（名）		mɔ21;mɔ33	mɔ33	False	False
47	t	ɔ	24	朵	tɔ24/tœ24	一朵花		tœ24	tɔ24	False	False
48	t	ɔ	24	躲	tɔ24	躲避			tɔ24	1	False
49	t	iɔk	55	剁	tiɔk5	剁猪肉			tiɔk5	1	False
50	tʰ	ɔ	33	妥	tʰɔ33	妥当		tʰɔ33	tʰɔ33	1	False
51	s	oi	11	唾	soi21/tʰɔ33	唾液		tʰɔ33	soi21	False	False
52	n	ɔ	33	糯	nɔ33	糯米			nɔ33	1	False
53	l	ɔ	11	螺	lɔ21/lɔ24	田螺		lɔ24	lɔ21	False	False
54	l	ɔ	24	腡	lɔ24	手指纹			lɔ24	1	False
55	l	ɔ	55	囉	lɔ55	啰嗦			lɔ55	1	False
56	tsʰ	ɔ	33	銼	tsʰɔ33	锉刀		tsʰɔ33	tsʰɔ33	1	False
57	tsʰ	ɔ	33	坐	tsʰɔ33	请坐		tsʰɔ33	tsʰɔ33	1	False
58	ts	ɔ	22	座	tsɔ22	座位		tsɔ22	tsɔ22	1	False
59	s	ɔ	55	蓑	sɔ55	蓑衣		sɔ55	sɔ55	1	False
60	s	ɔ	55	梭	sɔ55	织布梭		sɔ55	sɔ55	1	False
61	s	ɔ	55	唆	sɔ55	唆使		sɔ55	sɔ55	1	False
62	s	ɔ	24	鎖	sɔ24	门锁		sɔ24	sɔ24	1	False
63	s	ɔ	24	瑣	sɔ24	琐碎		sɔ24	sɔ24	1	False
64	w	ɔ	55	鍋	wɔ55	砂锅；锅铲		wuɔ55	wɔ55	False	False
65	kʰ	ɔ	55	戈	kʰɔ55	大动干戈		kʰɔ55	kʰɔ55	1	False
66	k	ɔ	24	果	kɔ24	水果		kuɔ24;fɔ24	kɔ24	False	False
