cid	character	initial	final	tone	note
218	资	ts	ɿ	35	
219	死	s	ɿ	21	
220	四	s	ɿ	23	
221	迟	z	ɿ	24	
222	师	s	ɿ	35	
223	指	ts	ɿ	21	
224	二	∅	ɛ	23	
225	饥	tɕ	iʑ	35	
226	器	tɕh	iʑ	23	
227	姨	∅	iʑ	24	
228	李	l	iʑ	21	
229	子	ts	ɿ	21	
230	字	z	ɿ	23	
231	丝	s	ɿ	35	
232	祠	z	ɿ	24	
234	治	ts	ɿ	23	
235	柿	z	ɿ	21	
236	事	z	ɿ	23	
237	使	s	ɿ	21	
238	试	s	ɿ	23	
239	时	z	ɿ	24	
240	市	z	ɿ	21	
241	耳	∅	ɛ	21	
242	记	tɕ	iʑ	23	
243	棋	h	iʑ	24	
244	喜	ɕ	iʑ	21	
245	意	∅	iʑ	23	
246	几	tɕ	iʑ	21	
247	气	tɕh	iʑ	23	
248	希	ɕ	iʑ	35	
249	衣	∅	iʑ	21	
250	嘴	ts	ɪ	21	
251	随	h	ɪ	24	
252	吹	tsh	ɪ	35	
253	垂	h	ɪ	24	
254	规	k	uɪ	35	
255	亏	kh	uɪ	35	
256	跪	vh	uɪ	21	
257	危	v	ɪ	24	
258	类	l	ɛ	23	
259	醉	ts	ɪ	23	
260	追	ts	ɪ	35	
261	锤	h	ɪ	24	
262	水	s	ɪ	21	
263	龟	k	uɪ	35	
264	季	tɕ	iʑ	23	
265	柜	vh	uɪ	23	
266	位	v	ɪ	23	
267	飞	f	ɪ	35	
268	费	f	ɪ	23	
269	肥	v	ɪ	24	
270	尾	v	ɪ	21	
271	味	v	ɪ	23	
272	鬼	k	uɪ	21	
273	贵	k	uɪ	23	
274	围	v	ɪ	24	
275	胃	v	ɪ	23	
276	宝	p	ɔ	21	
277	抱	vh	ɔ	21	
278	毛	m	ɔ	24	
279	帽	m	ɔ	23	
280	刀	t	ɔ	35	
281	讨	th	ɔ	21	
282	桃	ɾh	ɔ	24	
283	道	ɾh	ɔ	21	
284	脑	n	ɔ	21	
285	老	l	ɔ	21	
286	早	ts	ɔ	21	
287	灶	ts	ɔ	23	
288	草	tsh	ɔ	21	
289	糙	tsh	ɔ	23	
290	造	h	ɔ	21	
291	嫂	s	ɔ	21	
292	高	k	ɔ	35	
293	靠	kh	ɔ	23	
294	熬	ŋ	ɔ	24	
295	好	x	ɔ	21	
296	号	h	ɔ	23	
297	包	p	ɔ	35	
298	饱	p	ɔ	21	
299	炮	ph	ɔ	23	
300	猫	m	ɔ	21	
301	闹	n	ɔ	23	
302	罩	ts	ɔ	23	
303	抓	ts	o	35	
304	找	ts	ɔ	21	
305	抄	tsh	ɔ	35	
306	交	tɕ	iɔ	35	
307	敲	kh	ɔ	35	白
307	敲	tɕh	iɔ	35	文
308	孝	ɕ	iɔ	23	
309	校	ɕh	iɔ	23	
310	表	p	iɔ	21	
311	票	ph	iɔ	23	
312	庙	m	iɔ	23	
313	焦	tɕ	iɔ	35	
314	小	ɕ	iɔ	21	
315	笑	ɕ	iɔ	23	
316	朝	h	ɔ	24	
317	照	ts	ɔ	23	
318	烧	s	ɔ	35	
319	绕	ȵ	iɔ	23	
320	桥	ɕh	iɔ	24	
321	轿	ɕh	iɔ	23	
322	腰	∅	iɔ	21	
323	要	∅	iɔ	23	
324	摇	∅	iɔ	24	
325	鸟	t	iɔ	21	白
325	鸟	ȵ	iɔ	21	文
326	钓	t	iɔ	23	
327	条	ɾh	iɔ	24	
328	料	l	iɔ	23	
329	箫	ɕ	iɔ	35	
330	叫	tɕ	iɔ	23	
331	母	m	ɵ	21	
332	抖	t	ɪ	21	
333	偷	th	ɪ	35	
334	头	ɾh	ɪ	24	
335	豆	ɾh	ɪ	23	
336	楼	l	ɪ	24	
337	走	ts	ɪ	21	
338	凑	tsh	ɪ	23	
339	钩	k	ɪ	35	
340	狗	k	ɪ	21	
341	够	k	ɪ	23	
342	口	kh	ɪ	21	
343	藕	ŋ	ɪ	21	
344	后	h	ɪ	21	
345	厚	h	ɪ	21	
346	富	f	u	23	
347	副	f	u	23	
348	浮	h	u	24	
349	妇	v	u	21	白
349	妇	f	u	21	文
350	流	l	ɪ	24	
351	酒	tɕ	iɵ	21	
352	修	ɕ	iɵ	35	
353	袖	h	ɪ	23	
354	抽	tsh	ɪ	35	
355	绸	h	ɪ	24	
356	愁	h	ɪ	24	
357	瘦	s	ɛ	23	
358	州	ts	ɪ	35	
359	臭	tsh	ɪ	23	
360	手	s	ɪ	21	
361	寿	h	ɪ	23	
362	九	tɕ	iɵ	21	
363	球	ɕh	iɵ	24	
364	舅	h	ɪ	21	
365	旧	h	ɪ	23	
366	牛	ŋ	ɪ	24	
367	休	ɕ	iɵ	35	
368	优	∅	iɵ	21	
369	有	∅	iɵ	21	
370	右	∅	iɵ	23	
371	油	∅	iɵ	24	
372	丢	t	iɵ	35	
373	幼	∅	iɵ	23	
374	贪	th	e	35	
375	潭	ɾh	e	24	
376	南	n	e	24	
377	蚕	h	e	24	
378	感	k	e	21	
379	含	h	æ̃	24	
380	暗	∅	e	23	
381	搭	t	a	21	
382	踏	th	a	21	
383	拉	l	a	21	
384	杂	h	a	35	
385	鸽	k	ɛ	21	
386	盒	h	ɛ	24	
387	胆	t	æ̃	21	
388	毯	th	æ̃	21	
389	淡	ɾh	æ̃	21	
390	蓝	l	æ̃	24	
391	三	s	æ̃	35	
392	甘	k	e	35	
393	敢	k	e	21	
394	喊	x	æ̃	21	
395	塔	th	a	21	
396	蜡	l	a	35	
397	赚	h	æ̃	21	
398	杉	s	æ̃	35	
399	减	tɕ	iæ̃	21	
400	咸	h	æ̃	24	
401	插	tsh	a	21	
402	闸	h	a	35	
403	夹	k	a	21	
404	衫	s	æ̃	35	
405	监	tɕ	iæ̃	35	
406	岩	ŋ	æ̃	24	
407	甲	tɕ	ia	21	
408	鸭	∅	a	21	
409	黏	ȵ	i	24	
410	尖	tɕ	i	35	
411	签	tɕh	i	35	
412	占	ts	e	23	
413	染	ȵ	i	21	
414	钳	h	i	24	
415	验	ȵ	i	23	
416	险	ɕ	i	21	
417	厌	∅	i	23	
418	炎	∅	i	24	
419	盐	∅	i	24	
420	接	tɕ	i	21	
421	折	ts	ɛ	21	
422	叶	∅	i	35	
423	剑	tɕ	i	23	
424	欠	tɕh	i	23	
425	严	ȵ	i	24	
426	业	ȵ	i	35	白
426	业	∅	i	35	文
427	点	t	i	21	
428	店	t	i	23	
429	添	th	i	35	
430	甜	ɾh	i	24	
431	念	ȵ	i	23	
432	嫌	h	i	24	
433	跌	t	i	21	
434	贴	th	i	21	
435	碟	ɾh	i	35	
436	协	ɕh	ia	35	白
436	协	ɕ	i	21	文
437	犯	v	æ̃	23	
438	法	f	a	21	
439	品	ph	iɤŋ	21	
440	林	l	iɤŋ	24	
441	浸	tɕ	iɤŋ	23	
442	心	ɕ	iɤŋ	35	
443	寻	ɕh	iɤŋ	24	
444	沉	h	ɤŋ	24	
445	参	s	ɤŋ	35	
446	针	ts	ɤŋ	35	
447	深	s	ɤŋ	35	
448	任	ȵ	iɤŋ	23	白
448	任	h	ɤŋ	23	文
449	金	tɕ	iɤŋ	35	
450	琴	ɕh	iɤŋ	24	
451	音	∅	iɤŋ	21	
452	立	l	iʑ	35	
453	集	h	iʑ	21	
454	习	h	iʑ	35	
455	汁	ts	ɪ	21	
456	十	h	ɪ	35	
457	入	h	ɪ	35	
458	急	tɕ	iʑ	21	
459	及	h	iʑ	35	白
459	及	tɕ	iʑ	21	文
460	吸	ɕ	iʑ	21	
461	单	t	æ̃	35	
462	炭	th	æ̃	23	
463	弹	ɾh	æ̃	24	
464	难	l	æ̃	24	
465	兰	l	æ̃	24	
466	懒	l	æ̃	21	
467	烂	l	æ̃	23	
468	伞	s	æ̃	21	
469	肝	k	e	35	
470	看	kh	e	23	
471	岸	ŋ	e	23	
