#ɿ
tʃʰ [33]扯厂[21]出[54]畅唱[45]车{马～}昌菖
ʃ [33]舍衫[21]射麝十拾实射[54]湿裳[13]社[45]赊商伤[121]蛇尝
ŋ [13]咬藕
h [33]喉□{玩}幸[13]厚[121]□{檩}

#uɤ
f [54]鞋[13]法[45]花
tʃ [21]寨□{拽}[13]抓[45]斋债[121]柴
tʃʰ [45]差{出～}
ʃ [21]涮刷[54]晒[45]衰[121]筛
k [21]介怪挂割葛刮[45]瓜街甘肝干关廓
kʰ [21]□{打}
∅ [33]呕[21]滑宦万[54]挖[13]瓦[45]安鞍豌弯湾[121]蛮还{～原}横{～直}横{蛮～}

#ɔ
p [21]八
pʰ [21]扑
m [33]懵[21]抹沫袜莫梦
t [33]堵肚{鱼～，猪～}肚{腹～ }[21]度渡镀镫独读毒
tʰ [33]唾土吐{～痰}[54]吐{呕～}兔
l [21]路露鹭[54]□{诱}[13]□{蘸}[121]卢炉芦鸬刘留榴硫
ts [33]祖酒[21]就[45]租
tsʰ [33]醋[21]搽擦[45]粗错秋
s [21]撒[54]素秀绣[45]苏酥修
tʃ [21]扎{一～ }[54]诈榨炸{～ 弹}[45]周州洲[121]锄酬阄
tʃʰ [21]觉{知～}[54]臭
ʃ [21]□{爸}受寿杀熟赎[54]适[45]梳疏收
k [54]界谷[45]鸽
h [21]哭
∅ [33]哑[21]鸭押压屋[45]丫

#uɔ
p [33]把{～握，～守，～柄}把{柄}补板版榜[21]□{躲}枇办[54]布罢[45]巴疤□{痂}班斑扳毕帮{一～人}[121]婆
pʰ [33]怕剖[54]铺{店～}[45]破铺{～设}
m [21]骂慢忘木[13]每亩[121]模
f [21]复{～兴}福复[121]服
t [33]朵胆党笃[21]大大{～夫，～黄，药名}答搭夺□{舂}[13]□{簸}[45]担{挑～}单[121]驼驮达
tʰ [54]炭[45]摊
n [54]牛[121]挪
l [33]□{舐}□{舔}[21]腊蜡[54]螺辣
ts [21]杂[54]溅
tsʰ [33]铲[21]插[13]楚[45]差{参～}抽餐错{～杂}
s [33]梭散{鞋带～了}散[21]洒[54]伞[13]洒[45]三
tʃ [33]惨斩盏[21]眨闸铡啄
tʃʰ [21]岔畜[45]初
ȵ [21]肉
ʃ [33]手守[21]削[54]漱[45]唆沙纱杉山闩缩叔[121]仇
k [33]哥假{真～}假{放～}敢减[21]夹夹{～衣}甲夹{～菜}国[54]架嫁价[45]家加郭
ŋ [21]岸[54]□{傻}[13]我
h [21]夏{姓}下{～降}夏{春～}狭峡限苋瞎[54]窄[13]下{底～}[45]虾□{俭}

#io
∅ [21]约辱[54]夜

#ei
p [21]匹[54]憋辟[13]被[45]别鳖[121]皮脾嫖
pʰ [33]歪{斜}歪[21]撇[45]批
m [33]妹[21]□{涝}□{潜}□{沉}□{溺}[54]闭[13]米尾灭篾[45]□{破}□{烂}抿[121]迷糜苗眠
f [21]会{开～}会{～不～}汇[54]废肺费[121]肥
t [33]底[21]待代袋涕第滴[54]戴带帝碟牒[13]弟[45]低[121]台苔抬题蹄迟
tʰ [33]体[21]帖贴蝶铁[54]太剃剔[45]胎梯□{鞘}
n [21]拿耐奈腻纳[121]泥尼
l [33]裂[21]荔[13]礼李里{一～}理鲤[121]来离{～别}璃离{～开半寸}梨厘
ts [33]在挤[21]接节[54]祭济靖[121]才财裁豺齐脐
tsʰ [33]翠[21]莝切截[54]砌[45]猜脆粹
s [33]洗[54]细岁小[45]西
tʃ [21]折{～叠}折{～断}浙折{弄～了}
tʃʰ [21]揭
ʃ [33]启使[21]□{扯}撕□{拉}[54]世势税
k [33]改戒解[21]劫□{涩}结[54]盖[45]该鸡机
kʰ [21]惧怯[54]概
ŋ [21]碍炎热孽□{殃}
h [33]□{耗}[21]害[13]海[45]开
∅ [54]艾爱

#uei
k [33]拐[21]瘸
kʰ [33]却
∅ [45]危围[121]葵维

#uøi
ts [13]攒
s [33]选[21]雪[45]薛
tʃʰ [54]串
ʃ [121]船
k [33]卷{～起}卷[45]柑[121]拳
kʰ [21]缺
ŋ [21]愿月[54]暗暗[13]软[121]元原源
h [21]血[54]劝[121]含衔

#ao
t [33]□{蜇}
n [33]脑
l [21]酪[13]柳
ts [33]袖
tʃ [45]赵

#iao
t [21]竹
l [33]鹿{～寨}[21]禄
tʃ [33]九久韭[21]旧[54]救究[13]舅
tʃʰ [121]求球
∅ [33]□{玄}[21]又右佑釉[13]有友柚[45]叫{人～}忧[121]柔尤由油游犹

#əu
p [33]保宝[21]耙部步背{～ 诵}菢拨薄驳[54]倍辈背报□{告}[13]簿抱[45]玻攀钵[121]爬杷鈀赔刨
pʰ [33]堡[21]泼[54]配
