声韵	调	#漢字	解釋
ko	7	郭	
ko	7	閣	
ko	7	鴿	
ko	7	割各郭角	
kõ	1	鋼光	
kõ	3	講	
ku	1	估	
ku	1	姑	
ku	1	孤	
ku	1	箍	
ku	1	箍	
ku	3	估	
ku	3	古	
ku	3	牯	
ku	3	股	
ku	3	鼓	
ku	3	古	
ku	5	固	
ku	5	故	
ku	5	過	
ku	5	雇	
ku	5	顧	
ku	5	過	
ku	7	穀	
ku	7	谷	
ku	7	骨	
ku	7	骨穀	
kua	1	乖	
kua	3	拐	
kua	3	拐	
kua	5	怪	
kua	5	怪	
kuan	1	關	
kuan	5	慣	
kuan	5	貫	
kuã	1	關	
kuõ	2	狂	
kuõ	5	慣	
kua	7	國	
kua	7	骨國	
kuɔ	1	瓜	
kuɔ	1	瓜	
kuɔ	3	剮	
kuɔ	3	寡	
kuɔ	5	卦	
kuɔ	5	掛	
kuɔ	5	掛	
kuɔ	7	刮	
kuɔ	7	括	
kuɔ	7	刮	
kuɜ	1	圭	
kuɜ	1	歸	
kuɜ	1	規	
kuɜ	1	閨	
kuɜ	1	龜	
kuɜ	1	規龜	
kuɜ	2	癸	
kuɜ	2	葵	
kuɜ	2	逵	
kuɜ	3	詭	
kuɜ	3	鬼	
kuɜ	3	鬼	
kuɜ	5	桂	
kuɜ	5	貴	
kuɜ	5	鱖	
kuɜ	5	桂貴	
kuɜ	6	櫃	
kuɜ	6	櫃	
kuən	3	滾	
kuən	3	滾	
kuən	5	棍	
kuõ	2	狂	
kuõ	2	逛	
ka	7	格	
ka	7	胳	
ka	7	隔	
ka	7	革	
ka	7	格隔	
kɔ	1	家	
kɔ	1	痂	
kɔ	1	夾	
kɔ	5	咖	
kɔ	5	嫁	
kɔ	5	胛	
kɔ	5	駕	
kɔ	5	嫁	
kɔ	7	夾	
kɔ	7	挾	
kɔ	7	甲	
kɔ	7	甲	
kən	1	供	
kən	1	公	
kən	1	功	
kən	1	宮	
kən	1	工	
kən	1	庚	
kən	1	弓	
kən	1	恭	
kən	1	攻	
kən	1	更	
kən	1	根	
kən	1	羹	
kən	1	耕	
kən	1	蚣	
kən	1	跟	
kən	1	躬	
kən	1	根更耕公宮恭	
kən	3	埂	
kən	3	拱	
kən	3	汞	
kən	3	粳	
kən	3	耿	
kən	3	鞏	
kən	3	梗	
kən	5	供	
kən	5	共	
kən	5	更	
kən	5	貢	
kən	5	共	
kən	6	共	
kən	6	共	
kɘ	1	勾	
kɘ	1	溝	
kɘ	1	鉤	
kɘ	1	鉤	
kɘ	3	狗	
kɘ	3	苟	
kɘ	3	狗	
kɘ	5	够	
kɘ	5	彀	
kɘ	5	構	
kɘ	5	購	
kɘ	5	夠	
kʰa	1	揩	
kʰa	1	開	
kʰa	1	開	
kʰa	3	凱	
kʰa	3	楷	
kʰa	5	慨	
kʰa	5	概	
kʰa	5	漑	
kʰan	1	刊	
kʰan	1	勘	
kʰan	1	堪	
kʰan	1	嵌	
kʰan	1	龕	
kʰan	3	坎	
kʰan	3	砍	
kʰan	5	看	
kʰã	5	看	
kʰɒ	1	敲	
kʰɒ	1	敲	
kʰɒ	3	烤	
kʰɒ	3	考	
kʰɒ	5	犒	
kʰɒ	5	靠	
kʰɒ	5	靠	
kʰo	1	科	
kʰo	1	窠	
kʰo	3	可	
kʰo	3	棵	
kʰo	3	顆	
kʰo	3	可	
kʰo	5	課	
kʰo	5	課	
kʰo	7	擴	
kʰo	7	殼	
kʰo	7	渴	
kʰo	7	確	
kʰo	7	磕	
kʰo	7	闊	
kʰo	7	渴闊鶴殼	
kʰõ	1	糠坑	
kʰu	1	枯	
kʰu	3	苦	
kʰu	3	苦	
kʰu	5	庫	
kʰu	5	褲	
kʰu	5	褲	
kʰu	7	哭	
kʰu	7	窟	
kʰu	7	酷	
kʰu	7	哭	
kʰua	3	傀	
kʰua	3	塊	
kʰua	3	蒯	
kʰua	3	塊	
kʰua	5	劊	
kʰua	5	快	
kʰua	5	會	
kʰua	5	檜	
kʰua	5	筷	
kʰua	5	快	
kʰuõ	1	筐	
kʰuɔ	1	誇	
kʰuɔ	5	跨	
kʰuɜ	1	虧	
kʰuɜ	2	奎	
kʰuɜ	3	跪	
kʰuɜ	3	跪	
kʰuɜ	5	愧	
kʰuɜ	5	潰	
