#ɿ
ts			[1]知蜘支枝肢之芝资姿咨兹滋
			[3]旨脂指纸止趾址子仔籽紫
			[5]制至致稚置治志诘痣挚咫字自痔
tsʰ			[1]痴嗤够雌差{(参~)}
			[2]池迟驰持瓷慈磁词祠辞茨匙
			[3]齿耻此
			[5]刺赐次厕疵寺翅侈
s			[1]斯撕施私狮师尸司丝思诗
			[2]时鲥
			[3]死屎史使驶始矢
			[5]世势誓逝是氏四肆示视嗜似祀伺士仕巳柿市事恃试泗驷舐嗣饲

#iᶽ
p			[3]匕彼比毗妣媲
			[5]毙秘泌篦蓖鄙蔽敝弊币闭避
pʰ			[1]披批坯
			[2]琵皮脾啤罴砒
			[3]痹疲胚邳丕
			[5]屁
tɕ			[1]鸡饥矶肌机叽奇{(~数)}基嵇姬
			[3]挤几{(茶~)}己虮纪{(~律)}
			[5]祭际济剂计继系{(~鞋带)}技寄记纪{(年~)}忌既季悸骥妓
tɕʰ			[1]妻栖期凄蹊{(~跷)}
			[2]歧企{(~图)}齐荠{(荸~)}脐奇{(~怪)}骑祁其杞棋旗祈麒琦
			[3]启企起杞岂
			[5]契器弃气汽
ɕ			[1]西犀牺嬉蟢{(~蛛)}熙希稀兮
			[2]奚溪携
			[3]冼徙洗玺喜
			[5]细系戏
∅			[1]医衣依铱矣裔伊
			[2]宜义谊移夷姨胰饴怡眙{(~盱)}颐沂遗迤彝嵇
			[3]椅倚已以矣
			[5]艺义议臀肄意异毅忆易亿呓屺臆诣蚁拟曳

#ɪ
m			[1]眯
			[2]咪谜
			[3]米
t			[1]低
			[3]底抵砥诋邸
			[5]弟第帝地递
tʰ			[1]梯
			[2]堤题提蹄啼
			[3]体
			[5]替剃屉蒂缔
l			[2]尼泥倪霓妮黎离篱琍梨厘
			[3]礼李里理鲤
			[5]腻例厉励丽隶荔利痢吏砺蜊


#u
p			[1]哺
			[3]补捕
			[5]部步布怖簿埠
pʰ			[1]铺谱
			[2]蒲菩葡匍
			[3]脯谱普浦甫圃哺
			[5]铺
f			[1]夫肤麸袂
			[2]俘孵符扶芙巫诬浮孚抚敷
			[3]辅府腑俯斧腐釜
			[5]父付赋傅附妇负阜富副讣赴驸

#əuᵝ
t			[1]都
[3]堵赌肚
[5]杜肚妒度渡镀
tʰ			[2]徒屠途涂图荼
			[3]土吐
			[5]兔菟唾
l			[2]卢炉芦庐
			[3]鲁卤乳
			[5]路赂露鹭璐
ts			[1]租猪诸诛蛛株朱珠硃
			[3]组祖助阻煮拄主
			[5]苎箸助住驻柱注蛀铸伫
tsʰ			[1]粗
			[2]除储锄厨雏滁橱刍贮蜍
			[3]楚础处暑鼠杵
			[5]醋措处
s			[1]苏酥梳疏书舒枢输殊抒蔬
			[3]数
			[5]素诉塑嗦庶数戍树漱墅署竖
ʐ/z			[2]如儒孺茹[3]汝乳
k			[1]姑孤箍辜菇
			[3]古估牯{(~子牛)}股鼓贾蛊
			[5]故固锢雇顾
kʰ			[1]枯骷
			[3]苦
			[5]库裤绔
x			[1]乎呼
			[2]湖胡狐壶葫糊弧和{(~牌)}猢
			[3]虎浒琥屏{(~水)}
			[5]户沪互
∅			[1]乌污坞
			[2]吴蜈梧无吾
			[3]五午武舞鹉戊捂侮
			[5]误悟恶{(可~)}务雾焙

#iᵊuᵝ
l			[2]驴
			[3]女吕旅缕履铝屡
			[5]虑滤
tɕ			[1]居车拘疽苣{(~莴)}
			[3]举
			[5]巨矩拒距据聚俱具句惧炬飓
tɕʰ			[1]蛆区趋驱躯
			[2]渠瞿徐衢
			[3]取娶
			[5]去趣祛{(~寒)}
ɕ			[1]虚墟嘘须需盱
			[3]许栩诩
			[5]序叙绪絮婿
∅			[1]淤瘀屿迂{(~腐)}
			[2]鱼渔于愚虞娱盂榆愈
			[3]语雨禹羽
			[5]御誉预豫遇吁{(呼~)}予{(给~)}

#iɪ
tɕ			[1]遮
			[3]姐
			[5]借
tɕʰ			[3]扯
ɕ			[2]邪
			[3]写泻些且
			[5]射谢麝卸
∅			[2]爷
			[3]野惹
			[5]夜

#a
p			[1]巴芭疤扒{(~东西)}爸
			[3]把{(~守)}靶
			[5]霸坝罢耙{(~田)}
pʰ			[2]爬琶耙{(犁~)}扒{(~手)}
			[5]怕
m			[1]妈
			[2]麻蔴
			[3]马码玛蚂
			[5]骂
t			[3]打
			[5]大
tʰ			[1]他她它
l			[1]拉垃
			[2]拿
			[3]喇哪
			[5]那
ts			[1]楂渣查{(叽~)}
			[5]诈榨炸乍
tsʰ			[1]叉杈差{(~别)}钗
			[2]茶搽茬{(~口)}查
			[5]岔
s			[1]沙纱裟
			[3]洒傻
			[5]夏{(新)}
k			[3]嘎
			[5]尬{(~尴)}
kʰ			[1]卡{(~住脖子)}
			[2]□{(~强)}
			[3]卡{(鱼~子)(~关)}
x			[1]哈{(~腰)}下{(~雨，~小猪)}
			[3]哈
∅			[1]丫{(~头)}桠{(树~头)}□{(~子：一种渔具)}
			[2]伢{(死~子：死矍)}
			[3]尔耳迩饵

#ia
t			[1]爹{(~~：祖父)}
tɕ			[1]家加嘉枷袈{(~裟)}
			[3]假贾
			[5]驾架嫁价=借
tɕʰ			[1]茄瘸斜
ɕ			[1]虾
			[2]霞瑕暇遐
			[5]下=夏厦
∅			[1]鸦丫-桠=邪椰
			[2]牙芽衙蚜
			[3]雅哑
			[5]亚娅讶

#ua
ts			[1]抓
			[3]爪{(~子)}
s			[3]耍
			[5]□{(~净：干净)}
k			[1]瓜呱
			[3]寡
			[5]挂卦褂
kʰ			[1]夸垮
			[2]□{(刮：~东西)}
			[3]袴垮-侉
			[5]跨胯
x			[1]花化{(叫~子)}
			[2]哗华铧划{(~船)}桦
			[5]化{(文~)}话画划{(计~)}
∅			[1]蛙撤{(抓：~破了)}娲
			[2]娃
			[3]瓦𢱑{(舀取：~碗饭)}
			[5]洼

#ʌ
p			[3]摆
			[5]败拜
pʰ			[2]排牌徘
			[3]□{(踩：~住蛇头)}
m			[2]埋
			[3]买
			[5]迈卖
t			[1]呆{(~子)}
			[2]逮歹
			[5]待怠殆戴贷代袋带大
tʰ			[1]胎苔邰
			[2]台抬苔
			[5]态太泰汰
n			[2]乃奶
			[5]奈耐鼐
l			[2]来莱
			[5]赖癞
ts			[1]灾栽斋
			[3]者载宰
			[5]在债寨
tsʰ			[1]差钗-猜
			[2]才材财柴裁豺
			[3]彩踩睬
			[5]菜蔡
s			[1]筛
			[5]赛晒塞
k			[1]该秸街
			[3]改解-
			[5]钙概溉盖丐
kʰ			[1]开揩
			[3]凯慨楷铠
x			[2]孩鞋骸还
			[3]海蟹解
			[5]亥害=骇
∅			[1]哀哎
			[2]呆埃挨皑癌
			[3]也矮
			[5]碍爱蔼{(暮~)}艾隘

#iʌ
tɕ			[1]皆阶
			[3]解=
			[5]丐界芥疥届戒械诫
ɕ			[2]谐偕

#uʌ
tsʰ			[1]揣搋
			[5]摧
s			[1]衰摔
			[3]甩
			[5]帅
k			[1]乖
			[3]拐
			[5]怪
kʰ			[5]块会快筷刽
x			[1]坏
			[2]怀槐淮徊
			[5]坏=
∅			[1]歪
			[2]蛙{～子：青蛙}
			[5]外

#ɔ
p			[1]包胞鲍苞
			[3]褒保堡宝饱褓
			[5]报暴抱豹爆刨曝抱=
pʰ			[1]泡抛
			[2]袍刨咆
			[3]跑
			[5]炮泡疱庖
m			[2]毛茅猫矛髦锚
			[3]卯铆
			[5]冒帽貌
t			[1]刀叨
			[3]祷岛倒捣悼
			[5]到倒道稻盗导
tʰ			[1]掏滔韬
			[2]桃逃淘陶萄涛啕
			[3]讨
			[5]套
l			[1]孬捞
			[2]劳捞牢唠娆
			[3]脑恼垴老姥佬
			[5]闹涝
ts			[1]遭糟朝召昭招沼钊
			[3]早枣蚤澡找沼
			[5]灶策
tsʰ			[1]操抄剿超吵
			[2]曹槽巢朝潮晁嘲嘈
			[3]草吵炒钞
			[5]造钞糙
s			[1]骚臊捎梢烧搔稍
			[2]韶绍
			[3]扫嫂
			[5]少
ʐ/z			[2]绕侥蛲娆
			[5]绕
			[3]扰
k			[1]高膏篙糕皋睾
			[3]稿搅搞
			[5]告膏酵窖觉
kʰ			[1]敲
			[3]考烤拷
			[5]靠犒铐
x			[1]蒿
			[2]豪壕号嚎
			[3]好
			[5]浩好耗号皓昊
∅			[2]熬鳌敖
			[3]袄懊咬
			[5]傲奥坳拗澳

#iʊ
p			[1]膘标彪飙镖
			[3]表裱
			[5]鳔
pʰ			[1]飘漂
			[2]瓢嫖朴剽
			[3]漂
			[5]漂
m			[2]苗描瞄
			[3]渺秒缈藐淼
			[5]庙妙缪
t			[1]刁叼貂雕凋碉鲷
			[3]屌
			[5]钓吊掉调
tʰ			[1]挑佻
			[2]条调迢苕
			[3]挑
			[5]跳眺粜
l			[1]𥱪料
			[2]燎疗辽撩寥了嘹镣僚獠
			[3]鸟燎了袅
			[5]料廖炮撂
tɕ			[1]交郊胶教焦椒骄娇浇茭蛟礁
			[3]绞狡缴侥饺皎
			[5]教较轿胶叫=校
tɕʰ			[1]悄敲=锹燥
			[2]樵瞧乔侨桥荞憔
			[3]巧
			[5]俏窍撬跷翘峭
ɕ			[1]消宵霄硝销鞘枵淆箫潇逍
			[3]小晓筱
			[5]校酵孝笑啸哮効
∅			[1]妖邀腰要夭吆么
			[2]摇谣窑姚尧遥鹞肴
			[3]舀杳
			[5]要耀跃

#ʊ
p			[1]波菠玻
			[3]跛{(~足)}簸颇
			[5]簸{~箕}
pʰ			[1]坡
			[2]婆
			[3]叵
			[5]破剖
m			[2]魔磨{(~刀)}摩馍模摹谋
			[3]某亩母拇
			[5]暮慕墓募茂贸磨{(石~)}牡
f			[3]否
t			[1]多
			[3]朵躲
			[5]舵惰剁
tʰ			[1]拖
			[2]驼驮
			[3]妥椭
l			[1]啰{~嗦}
			[2]罗锣箩骡螺奴
			[3]挪橹
			[5]怒
ts			[3]左
			[5]坐做座
tsʰ			[1]搓
			[5]锉
s			[1]梭唆
			[3]锁琐
k			[1]哥歌过{(超~)}锅戈
			[3]果裹馃
			[5]过{(~去)}个
kʰ			[1]科棵颗
			[3]可
			[5]课
x			[2]河何荷和禾
			[3]火伙
			[5]贺祸货
∅			[1]倭窝蜗屑阿{(~弥陀佛)}
			[2]鹅蛾讹
