音标	调类	调值				
tsɿ	1	22	支之枝芝知资滋孜肢栀咨姿			
tsɿ	3	42	只止趾纸指脂梓址子紫籽			
tsɿ	5	24	志至制制智置做-致			
tsɿ	7	45	只=帜=织=			
zɿ	1	22	嗤蚩痴初-粗-雌			
zɿ	2	21	持迟池驰锄-瓷祠词辞			
zɿ	3	42	耻齿此侈			
zɿ	5	24	次茨刺醋-			
zɿ	6	44	自字治寺			
zɿ	7	45	赤直值殖尺=			
sɿ	1	22	思私斯丝诗师狮厮司尸施			
sɿ	2	21	时匙			
sɿ	3	42	死史矢始使驶屎			
sɿ	5	24	四世式试轼势			
sɿ	6	44	似是逝事示侍士			
i	1	22	衣依医铱			
i	2	21	移遗姨夷贻颐咦怡饴			
i	3	42	以已矣倚椅伊（渠）苡			
i	5	24	亿忆意噫伊			
i	6	44	异易			
i	7	45	抑逸翼益译驿绎溢揖乙一亦液腋疫役			
pi	1	22	悲卑碑婢蓖痹			
pi	3	42	比彼妣匕			
pi	5	24	背辈闭蔽			
pi	7	45	贝必笔毕臂碧壁璧逼			
pʱi	1	22	披批坯			
pʱi	2	21	皮疲赔培陪陂			
pʱi	3	42	丕呸痞鄙			
pʱi	5	24	屁配沛佩匹			
pʱi	6	44	被背备倍避弊			
pʱi	7	45	鼻弼辟辟			
mi	2	21	弥霉霉眉楣煤枚梅媒			
mi	3	42	米每美镁尾-			
mi	5	24	眯-			
mi	6	44	妹魅谜媚			
mi	7	45	泌密秘蜜			
fi	1	22	非飞啡菲灰辉挥晖虚徽			
fi	2	21	肥回谁蛔			
fi	3	42	水许悔毁匪贿（膜老国音也，非阳上也）晦			
fi	5	24	费废诲秽痱肺税			
fi	6	44	吠会汇惠慧睡瑞			
ti	1	22	低堆锥			
ti	3	42	抵底的诋砥			
ti	5	24	缔谛对队蒂兑			
ti	7	45	涕滴嫡的			
tʱi	1	22	推梯锑			
tʱi	2	21	题啼蹄堤提离雷垒黎梨蕾			
tʱi	3	42	腿体旅里理李礼吕侣屡			
tʱi	5	24	屉替退褪剃蜕			
tʱi	6	44	滤虑地第弟利泪隶累丽励			
tʱi	7	45	惕律率敌力立迪粒历笠栗			
tɕi	1	22	机讥飢肌鸡基稽			
tɕi	3	42	几己纪挤咀嘴			
tɕi	5	24	记旣季计继际剂最			
tɕi	6	44	叽			
tɕi	7	45	急即绩激给级吸迹			
ŋi	2	21	泥宜仪疑鱼危愚尼霓渔倪			
ŋi	3	42	女语蚁议拟			
ŋi	6	44	义御遇魏伪内腻寓			
pa	1	22	班斑扳			
pa	3	42	摆跛板版			
pa	5	24	拜扮			
pa	7	45	八不			
pɔ	1	22	褒包胞			
pɔ	3	42	保堡宝饱			
pɔ	5	24	报鲍豹爆			
pin	1	22	彬宾槟冰兵			
pin	3	42	禀丙秉柄饼			
pin	5	24	殡鬓并			
piaŋ	3	42	柄-饼-			
piɛ	1	22	鞭编边（～弦：边）			
piɛ	3	42	贬蝙扁匾			
piɛ	5	24	变			
piɛ	7	45	屄别鳖憋北			
piɑ	7	45	壁-			
piɔ	1	22	臕标彪			
piɔ	3	42	表表			
pu	3	42	补			
pu	5	24	布			
paŋ	1	22	帮邦巴（或为「尾～儿」，mi paŋ）			
paŋ	3	42	榜绑			
paŋ	5	24	谤棒			
pən	1	22	奔锛崩			
pən	3	42	本			
pən	5	24	逩迸			
pɤ	1	22	颁般搬			
pɤ	5	24	半			
pɤ	7	45	鉢拨			
pɑ	1	22	巴（尾～，vi pɑ）芭疤			
pɑ	3	42	把㞎			
pɑ	5	24	霸欛坝垻			
pɑ	7	45	爸百柏伯			
po	1	22	波菠玻			
po	3	42	簸（颠~）跛			
po	5	24	簸			
po	7	45	博剥驳			
pʱa	1	22	扳攀			
pʱa	2	21	排牌簰			
pʱa	5	24	派盼襻			
pʱa	6	44	稗败办绊（~跤）			
pʱa	7	45	拔			
pʱɔ	1	22	泡抛			
pʱɔ	2	21	袍刨狍			
pʱɔ	3	42	跑			
pʱɔ	5	24	炮砲泡			
pʱɔ	6	44	抱暴菢刨			
pʱin	1	22	姘拼			
pʱin	2	21	贫频凭平评萍苹瓶屏			
pʱin	3	42	品			
pʱin	5	24	聘牝			
pʱin	6	44	并			
pʱiaŋ	1	22	拼-			
pʱiaŋ	2	21	平-坪-瓶-屏-萍-			
pʱiaŋ	6	44	病-			
pʱiɛ	1	22	偏翩篇			
pʱiɛ	2	21	便			
pʱiɛ	5	24	骗片遍			
pʱiɛ	6	44	辨辩汴便辫			
pʱiɛ	7	45	别撇			
pʱiɑ	7	45	劈-			
pʱiɔ	1	22	飘漂（～流）			
pʱiɔ	2	21	嫖瓢（～钩：汤匙）剽			
pʱiɔ	3	42	漂（～白）剖			
pʱiɔ	5	24	票漂（～亮）			
pʱu	1	22	铺			
pʱu	2	21	蒲菩荸鬻脯			
pʱu	3	42	谱普浦捕			
pʱu	5	24	铺			
pʱu	6	44	簿步部埠			
pʱu	7	45	朴朴卜扑仆仆曝（存疑，～闪：闪电）瀑			
pʱaŋ	1	22	滂乓烹-			
pʱaŋ	2	21	旁庞肨螃鳑徬膀彭-膨-			
pʱaŋ	5	24	胖			
pʱaŋ	6	44	傍蚌			
pʱən	1	22	喷烹			
pʱən	2	21	盆湓彭澎盆朋棚蓬			
pʱən	3	42	捧			
pʱən	5	24	喷			
pʱən	6	44	笨			
pʱɤ	1	22	潘			
pʱɤ	2	21	盘蟠			
pʱɤ	5	24	判叛畔泮			
pʱɤ	6	44	拌伴绊（羁~）			
pʱɤ	7	45	泼勃𡋯饽			
pʱɑ	2	21	爬扒			
pʱɑ	5	24	怕			
pʱɑ	6	44	罢			
pʱɑ	7	45	拍（飞～吶：蛾子）白（～果：银杏）迫（逼~）			
pʱo	1	22	颇坡			
pʱo	2	21	婆			
pʱo	5	24	破			
pʱo	7	45	薄泊雹			
m̩	3	42	姆（～妈）			
ma	2	21	埋蛮鳗			
ma	3	42	买			
ma	6	44	卖迈慢蔓			
mɔ	2	21	毛茅矛锚			
mɔ	3	42	卯			
mɔ	6	44	冒帽貌冇			
min	2	21	民明名鸣铭			
min	3	42	闽悯敏抿皿			
min	6	44	命			
miaŋ	2	21	明-名-			
miaŋ	6	44	命-（革～）			
miu	6	44	谬			
miɛ	2	21	绵棉眠			
miɛ	3	42	免勉娩缅渑			
miɛ	6	44	面面			
miɛ	7	45	灭篾搣（又读，撕开）墨陌（～生）			
miɔ	1	22	猫			
miɔ	2	21	苗描谋眸			
miɔ	3	42	藐渺秒某亩牡			
miɔ	6	44	庙妙茂贸谬			
maŋ	2	21	忙芒茫芒盲			
mən	2	21	门萌盟蒙			
mən	3	42	猛懵蠓			
mən	6	44	闷孟梦			
mɤ	2	21	瞒			
mɤ	3	42	满			
mɤ	6	44	漫幔			
mɤ	7	45	末沫抹			
mɑ	1	22	妈			
mɑ	2	21	麻痲蟆			
mɑ	3	42	马码			
mɑ	6	44	骂			
mɑ	7	45	麦脉			
mo	1	22	摸馍			
mo	2	21	魔磨摩模模摹膜			
mo	3	42	母拇么（～时际：甚么时候；～地方，甚么地方）			
mo	6	44	磨暮慕墓募			
mo	7	45	莫幕寞摸木目穆牧			
fa	1	22	翻藩翻番藩			
fa	2	21	怀槐淮凡帆环烦矾繁藩			
fa	3	42	反			
fa	5	24	泛贩			
fa	6	44	坏犯饭			
fa	7	45	法乏发发伐筏罚			
fin	1	22	熏勋薰			
fin	5	24	训			
fiaŋ	1	22	兄-			
fiu	2	21	浮			
fiu	3	42	否			
fiɛ	1	22	靴轩			
fiɛ	2	21	玄悬			
fiɛ	7	45	血穴或惑获			
fu	1	22	呼乎夫肤跗敷俘孵麸			
fu	2	21	胡湖蝴狐壶瓠胡符扶芙泭（～水：游泳）□（或为「泭」，～水：游泳）			
fu	3	42	虎浒府腑俯甫脯斧抚釜腐辅			
fu	5	24	付赋傅赴讣附阜富副复戽			
fu	6	44	户沪互护瓠（～子：瓠瓜）父妇负			
fu	7	45	斛福幅蝠复腹覆服伏栿袱复			
faŋ	1	22	荒慌方芳			
faŋ	2	21	黄簧皇蝗肪妨房防横-			
faŋ	3	42	谎晃倣纺仿彷访			
faŋ	5	24	放			
fən	1	22	昏婚分芬纷荤轰揈风枫疯丰封峯蜂锋			
fən	2	21	魂馄浑焚坟弘宏红洪鸿虹（文，彩～）冯逢缝			
fən	3	42	粉烘哄讽			
fən	5	24	忿粪奋俸缝			
fən	6	44	混愤份閧凤奉			
fɤ	1	22	欢			
fɤ	2	21	桓			
fɤ	5	24	唤			
fɤ	6	44	缓焕幻患宦			
fɤ	7	45	佛			
