""	"参考资料"	"《枞阳方言研究》，整理于东乡日常。"
""	"#调值"	" [1]³² [2]⁵⁵ [3]⁵² [5]³¹ [7]入声韵分aʔ oʔ ɪʔ əʔ"
""	""	""
"#ɿ"	""	""
""	"ts"	"[1]资姿咨兹滋辎知支枝肢脂之芝桂（白，桂圆）[3]紫姊子梓纸旨指止趾址[5]自字滞制智致稚至置治痔志痣窒柿"
""	"tsʰ"	"[1]疵侈眙 （看着）[2]雌瓷慈磁辞词祠池驰匙迟持治{~鱼}[3]此齿[5]刺赐次伺翅"
""	"s"	"[1]斯厮撕私师狮司丝思施尸诗[2]时鲥[3]死矢屎始使史驶[5]寺嗣饲四肆似祀巳事士俟侍世誓逝势是氏示视嗜市恃式试"

"#i"	""	""
""	"Ø"	"[1]医衣依揖[2]宜谊仪移夷姨疑怡[3]椅已以[5]义议艺呓诣易懿肄意异毅忆亿邑"
""	"p"	"[1]屄（送气phi入声）[3]彼鄙比[5]蔽（文）币（文）弊毙臂（文）陛闭（文）裨婢秘{秘鲁，国家名}弼庇"
""	"pʰ"	"[1]批披丕劈坯[2]皮疲脾琵匹[3]痞[5]屁霹"
""	"m"	"[1]眯咪[2]迷（文）谜（文）弥靡[3]米（文）"
""	"t"	"[1]低堤（文）堆（白）[3]底抵[5]帝第递弟地对{白}"
""	"tʰ"	"[1]梯推（白）[2]提题蹄啼涕堤（白）[3]体腿{白}[5]替退{白}"
""	"n"	"[1]*{表示钻}[2]泥倪尼呢黎犁离璃梨厘离雷{白}[3]拟礼李里理鲤[5]丽腻例厉励隶荔利痢吏昵匿溺类{白}累{白}"
""	"tɕ"	"[1]鸡稽羁饥肌基姬几{~乎}机讥[3]挤几{~个，茶~}己纪给供给嘴{白}[5]祭济计继系{~扣子}寄技妓冀记忌既季 稷醉{白}罪{白}"
""	"tɕʰ"	"[1]蛆妻凄栖（文）溪（白）欺期{~盼}[2]徐（白）豉齐脐奇骑岐祁耆鳍其期{~期}棋旗祈随{白}[3]祈启企起杞取{白}娶{白}[5]去砌契器弃气汽泣趣{白}"
""	"ɕ"	"[1]西蟋犀奚兮溪（文）髓{白}牺嬉嘻熙希稀虽{白}[3]禧洗喜[5]絮细胥婿系{~系}戏碎{白}遂{白}隧{白}岁{白}"

"#u"	""	""
""	"Ø"	"[1]乌坞巫诬戊[2]吴吾梧无[3]五午舞武侮鹉[5]毋捂误悟恶{深~痛绝}务雾"
""	"p"	"[3]补捕（文)[5]布步怖名部簿埠（文）"
""	"pʰ"	"[1]铺{动词}[2]蒲菩[3]普脯浦谱捕（白）[5]铺{名词}曝埠（白）"
""	"f"	"[1]夫肤敷[2]俘符扶浮[3]甫府腐俯斧抚腑辅否[5]父付傅赋赴附妇负阜富副"
""	"k"	"[1]姑辜孤[3]古估贾股鼓[5]故固顾雇"
""	"kʰ"	"[1]枯箍[3]苦[5]裤库"
""	"x"	"[1]乎呼[2]胡蝴湖狐壶[3]虎浒[5]户戽狐互"

"#y"	""	""
