#ɿ
tθ[1]资姿兹滋子[3]姊梓[5]自字牸
tθʰ[1]雌慈磁词疵辞[3]此[5]刺次赐
θ[1]斯撕私司丝思[3]死[5]四肆伺寺似祀嗣

#ʅ
tʂ[1]知蜘支枝肢栀脂之芝[3]旨指滓止趾址制滞[5]智雉致稚至痔置治志痣质
tʂʰ[1]池驰迟痴持弛[3]纸只耻嗤齿[5]斥[7]吃
ʂ[1]眵师尸诗时[3]侈屎矢使史驶始[5]示视嗜士仕柿事试侍誓逝
ʐ[1]施匙[3]豉[5]舐是氏翅

#i
p[1]皮疲脾鼻[3]彼鄙比秕[5]蔽弊毙敝蓖陛闭箅鐾臂避痹庇璧壁
pʰ[1]批丕琵枇[5]譬屁僻闢[7]劈匹
m[1]迷谜糜弥[3]米靡[5]泌秘
t[1]低堤[3]底抵[5]弟帝第递屉地[7]的{目~}滴嫡笛敌狄籴
tʰ[1]梯题[3]体[5]替涕剃剔[7]踢
ȵ[1]倪泥[3]你拟[5]腻溺
l[1]泥黎犁离篱璃梨狸釐[3]礼李里理[5]例历励丽隶荔利痢吏立笠粒[7]历
tθ[3]挤[5]剂细婿[7]缉集辑积迹脊籍藉绩
tθʰ[1]妻齐脐[5]砌[7]戚
θ[1]西犀[3]洗[5]济[7]习袭惜昔席夕析锡
tɕ[1]鸡稽奇{~数}肌饥基几{茶~}[3]几己[5]祭际计继系{~鞋带儿}髻妓技寄冀纪记忌既[7]急级及击激
tɕʰ[1]溪奇{~怪}骑岐鳍欺其棋期旗[3]启企起杞祈岂[5]契系係器弃气[7]泣吸讫乞
ɕ[1]牺嬉熙希稀[3]喜嬉[5]戏
∅[1]宜仪移伊夷姨疑医饴沂遗[3]倚蚁椅矣[5]艺刈缢瞖义议易肄意异毅益亦译易[7]揖一

#u
p[3]补捕[5]部簿布怖怖步埠[7]不
pʰ[1]铺蒲菩脯[3]谱浦[5]铺曝瀑[7]仆
m[1]模{～子}[3]母牡拇亩[5]幕慕墓募[7]木目穆牧
f[1]夫肤敷俘符扶孵麸浮[3]府腑俯甫脯斧[5]付赋傅赴附父釜腐辅妇负阜富副复缚腹[7]福蝠服伏
t[1]都[3]独读牍读笃[5]杜肚炻度渡镀[7]督毒
tʰ[1]徒屠途图秃[3]土[5]吐兔[7]突
n[1]奴[3]努[5]怒
l[1]庐[3]鲁橹[5]路赂露鹭鹿陆[7]禄
tθ[1]租阻朱殊[3]祖组主拄嘱[5]柱驻注住蛀铸[7]卒族足烛
tθʰ[1]粗雏[5]醋猝触[7]促
θ[1]苏酥枢输殊[3]数{动词}[5]素诉塑嗉数{名词}竖戍树速宿肃粟束[7]俗赎
tʂ[1]猪诸[3]煮[5]著箸助祝[7]竹筑逐叔淑
tʂʰ[1]除储初锄梳楚礎[3]褚处杵[5]处{~所}畜[7]出
ʂ[1]书舒[3]署鼠黍署薯[5]庶恕术
ʐ[1]如儒[3]汝乳
k[1]姑孤箍[3]古估[5]故固锢雇顾[7]骨谷穀
kʰ[1]枯[3]苦[5]库裤酷[7]窟哭
x[1]呼胡湖狐壶忽[3]虎浒[5]户滬互戽斛[7]核
∅[1]吴蜈吾梧乌污无巫诬[3]五伍午武舞侮鹉[5]误悟恶雾务杌物勿[7]屋

#y
ȵ[3]女
l[1]驴[3]旅吕[5]虑滤律率[7]绿
tθ[5]聚
tθʰ[1]趋[3]取娶[5]趣[7]黢
θ[1]须需[5]絮续蓄畜
tɕ[1]车居拘驹菊[3]举距[5]巨拒距钜据俱句具惧[7]橘锔局
tɕʰ[1]渠区驱瞿麴[5]去[7]曲
ɕ[1]虚墟[3]许
∅[1]鱼渔於余馀舁迂于盂榆逾愉[3]语与雨宇禹羽[5]御誉遇寓愈芋域玉狱欲慾浴

#a
p[1]巴芭疤[3]把[5]霸欛壩坝爸
pʰ[1]爬琶杷耙耙[5]怕帕
m[1]麻痳蟆[3]马码[5]骂
f[5]发{头～}[7]发{～财}伐筏罚
v[1]蛙洼挖[3]瓦[7]袜
t[3]打[5]大那[7]达
tʰ[1]他她它[5]踏[7]溻塔塌獭
n[1]拿[5]捺纳
l[1]屙[5]蜡腊[7]辣拉
tθ[1]扎{～辫子[}7]杂
tθʰ[7]擦
θ[7]撒萨
tʂ[1]楂[3]眨[5]乍[7]劄闸札铡
tʂʰ[1]茶搽查叉权差茬炸[5]姹诧岔[7]插察
ʂ[1]沙纱[3]洒傻[5]厦[7]杀
kʰ[3]卡
x[1]哈
∅[1]阿[5]啊

#ia
ʂ[5]厦
tɕ[1]家加痂嘉傢[3]假贾甲胛[5]假架驾嫁稼价[7]夹裌
tɕʰ[7]恰掐
ɕ[1]蝦霞瑕遐虾[5]下夏吓[7]狭峡匣瞎辖
∅[1]牙芽衙伢鸦桠丫涯崖[3]雅哑[5]砑亚[7]鸭押压

#ua
tʂ[1]抓
tʂʰ[1]□{～ku²¹niar⁰（抓石子的游戏）}
ʂ[3]耍[7]刷
ʐ[1]□{～烂（把纸揉烂）}
k[1]瓜剐[3]侉垮[5]挂卦[7]刮
kʰ[1]夸[5]跨挎
x[1]花华铧划[5]化华桦画[7]滑猾
v[1]蛙洼[3]瓦

#ə
t[5]特[7]得{文}德{文}
l[5]乐
tθ[1]责{文[}7]则
tθʰ[7]策{文}册{文}
θ[7]色{文}
tʂ[1]遮{文[}3]者{文[}7]蜇
tʂʰ[1]车{文[}3]扯{文}
ʂ[1]奢{文}赊{白}[5]射{文}社{文}麝舍{文}赦{文[}7]佘{文}
ʐ[7]热{文}
k[1]哥歌圪戈[5]个[7]鸽葛割各阁胳隔革
kʰ[1]棵窠科[3]可[5]课[7]磕渴喝刻克
x[1]何荷合和禾[5]喝鹤贺[7]蛤喝盒
ŋ[1]鹅蛾俄阿{～胶[}5]饿鄂[7]恶轭扼

#ʅɛ
tʂ[1]遮{白}者{白}[3]者[7]蔗辙
tʂʰ[1]车{白}[3]扯{白}舍{白}捨[5]社[7]撤彻
ʂ[1]蛇{白}奢{白}赊{白}佘{白}[5]射{白}舍{白}赦{白}騇设[7]舌折
ʐ[7]热{白}

#uo
p[1]波菠玻[3]跛簸{动词}[5]簸{名词}薄磨[7]钵拨博泊驳
pʰ[1]颇坡婆[7]泼拨
m[1]魔磨摩馍[5]默墨[7]末沫抹莫膜
n[1]挪[5]糯
l[1]罗萝箩摞啰骡螺脶[3]裸瘰[5]摞[7]捋
t[1]多[3]朵躲[5]剁惰垛[7]掇夺
tʰ[1]拖驼[3]妥椭[5]唾络[7]脱话托落{新}骆洛
tθ[3]左佐撮[5]坐座儿柞[7]作昨
tθʰ[1]矬[3]索[5]锉荃错
θ[1]蓑梭唆[3]锁琐[7]缩
tʂ[7]酌桌卓啄琢涿浊捉镯
tʂʰ[5]绰[7]戳
ʂ[1]烧[3]少{多~}[5]朔[7]勺芍
ʐ[3]扰绕{围~[}5]绕{~线}
k[1]锅[3]果裹锞[5]过[7]国
kʰ[5]阔[7]括
x[1]河[3]火夥[5]祸货和或惑[7]豁活获
∅[1]窝蜗[3]我[5]卧握沃

#ɛ
p[3]摆[5]拜败[7]擘
pʰ[1]排牌[5]派
m[1]埋[5]卖迈[7]麦脉
t[1]呆[5]待怠殆戴带贷代袋
tʰ[1]台胎苔[5]态太泰大{~夫}
n[3]乃奶[5]耐奈[7]聂镊蹑
l[1]来[5]赖癞猎
tθ[1]灾栽斋[3]宰载[5]在再债寨
tθʰ[3]猜才财裁豺钗差柴[3]彩采[5]菜载{满~}蔡
θ[1]腮鳃[5]赛
tʂ[1]摘责
tʂʰ[7]拆䜺册策栅
ʂ[1]筛[5]晒
k[1]该[5]丐盖概溉
kʰ[1]开揩[3]凯慨概
x[1]孩[3]海[5]亥害骇
ŋ[1]哀埃挨捱[3]矮[5]爱蔼碍艾

#iɛ
p[7]憋撇
m[5]篾[7]灭
ȵ[7]捏孽
l[5]列烈[7]裂
t[1]爹叠
tʰ[7]贴帖
tθ[3]姐[5]借褯[7]节截
tθʰ[3]且[7]切
θ[1]些邪斜[3]写[5]卸泻谢屑
tɕ[1]阶皆稽谐街杰[3]解[5]介界芥疥戒[7]劫结洁
tɕʰ[1]茄[5]怯
ɕ[1]协[5]械解姓蟹懈泄
∅[1]耶爷[3]也[5]夜业[7]噎腋液叶页

#uɛ
tʂ[5]拽
tʂʰ[1]揣[5]踹
ʂ[1]摔衰[3]甩[5]帅蟀率
∅[1]歪[5]外
k[1]乖[3]蒯拐[5]怪块
kʰ[5]会{~计}快
x[1]怀槐淮[5]坏

#iuɛ
tɕʰ[7]瘸
ɕ[7]靴

#ɔ
p[1]剥褒包胞[3]保堡宝饱[5]抱报暴菢鲍豹爆
pʰ[1]袍泡抛刨[3]跑[5]泡铇
m[1]毛茅猫[3]卯[5]冒帽貌
t[1]叨[3]祷岛倒导[5]道稻到倒盗
tʰ[1]滔掏桃淘陶萄涛[3]讨[5]套
n[1]铙挠[3]脑恼[5]闹
l[1]劳捞牢唠[3]老[5]涝
tθ[1]遭糟[3]早枣蚤澡[5]皂造
tθʰ[1]操曹槽[3]草[5]糙
θ[1]骚臊[3]扫{~地}嫂[5]扫{~帚}灶
tʂ[1]罩朝昭招[3]沼[5]赵兆召
tʂʰ[1]超朝潮
ʂ[5]潲猪食稍潲{～雨}绍少{~年}邵
ʐ[1]饶桡
k[1]高搁膏篙羔糕[3]稿[5]告膏{~油}
kʰ[3]考烤[5]靠犒
ŋ[1]熝[3]袄[5]傲鏊懊奥澳
x[1]蒿薅豪壕毫[3]好[5]浩好{爱~}耗号

#iɔ
p[1]膘标[3]表[5]鳔
pʰ[1]漂[5]票漂
m[1]苗描[3]渺秒藐[5]庙妙
tʰ[1]调[5]跳
l[1]燎疗聊遗寥[3]了
tθʰ[1]缲
