#a
p[1]巴芭疤爸[3]把靶[5]坝霸
pʰ[2]爬琶杷耙[5]怕帕罢
m[1]马码[2]麻[5]骂
f[1]花[2]华桦划{划得来}[5]化画
v[1]娃蛙洼[5]话
t[1]□[2]□[3]打
tʰ[1]他
l[1]拿[2]挪[5]□{缝隙}
ts[1]渣抓遮[3]者[5]诈炸榨蔗
tsʰ[1]叉杈差车赊奢[2]茶搽查[3]扯[5]岔
s[1]沙纱社[2]傻蛇佘[3]耍洒[5]厦赦舍射
k[1]家加嘉痂佳瓜[3]假贾[5]架价嫁驾
kʰ[1]夸垮跨
ŋ[1]□{我的}[2]牙伢[3]瓦[5]□{跨…之上}
h[1]下{下面}[2]虾霞瑕[5]夏厦{厦门}下{下降}
j[1]也野[2]爷耶椰[5]夜

#e
tsʰ[2]齐[5]滞
s[3]洗[5]细事{做事：干活儿}
k[5]计
kʰ[5]契
h[1]□{呼吸不畅的样子}

#ɔ
p[1]波菠玻[5]播
pʰ[1]坡颇[2]婆[5]破
m[1]摸魔[2]摩磨{磨刀}[5]磨{石磨}
f[2]和[3]伙火夥[5]货祸
v[1]窝倭[2]禾[5]□{很松烂}
t[1]多[3]朵躲
tʰ[1]拖[2]驼陀驮[3]妥惰[5]舵
l[2]罗箩萝螺裸[5]糯
ts[3]左佐[5]做
tsʰ[1]初坐[2]锄[3]础楚[5]座锉措错
s[1]蓑梭唆梳疏蔬[2]傻[3]锁琐所
k[1]哥歌锅[3]果裹[5]过个
kʰ[1]科颗戈[3]可[5]课
ŋ[1]我[2]俄鹅讹娥[5]饿卧
h[1]呵[2]何河荷
j[1]哟
∅[1]阿{阿弥陀佛}

#ai
p[3]摆[5]拜
pʰ[2]排牌[5]派稗
m[1]买[2]埋[3]迈[5]卖
f[2]怀淮槐[5]坏
v[1]歪[5]□{撒义}
t[1]低[3]底[5]带戴
tʰ[1]弟娣[2]啼蹄睇[5]太态泰大怠替剃
l[1]拉乃奶荔[2]泥犁黎[5]耐赖癞捺
ts[1]灾栽斋[3]宰[5]再债
tsʰ[1]差钗猜[2]柴裁侪[3]采彩[5]在蔡寨
s[2]豺[3]徙[5]晒
k[1]皆阶街鸡乖楷[3]解[5]介界届戒疥尬芥怪
kʰ[1]溪稽[3]凯慨概溉[5]块快筷刽桧蒯
ŋ[2]捱涯崖
h[2]谐鞋孩[3]蟹[5]骇械懈解{姓}
∅[1]埃挨[2]矮[5]隘

#ɔi
p[5]辈背{背部}
pʰ[1]胚坯[2]赔[5]吠背{背诵}
m[1]霉[2]梅煤媒[5]妹
f[1]灰恢
v[1]煨[5]秽
t[1]堆[5]碓
tʰ[1]梯殆[2]台抬苔[3]代贷待
l[2]来[5]□{削义}
ts[1]□{男子阴}[5]载喙{嘴}
tsʰ[1]在[2]才财材[5]菜脆
s[1]腮鳃衰[5]岁税赛
k[1]该颏[3]改[5]盖丐钙
kʰ[1]开[5]□{累义}
ŋ[2]呆[5]外艾碍
h[1]开[3]海[5]害亥
∅[1]哀[3]蔼霭[5]爱

#au
p[1]包胞鲍褒[3]保堡宝饱[5]报豹
pʰ[1]泡抛[2]刨袍[3]跑抱[5]暴爆泡{泡水}
m[1]卯毛[2]茅矛冇{无义}[5]冒帽貌
t[1]刀叨[3]倒岛祷[5]到
tʰ[1]滔稻涛[2]逃桃淘陶萄[3]讨导[5]套道盗
l[1]捞[2]劳唠涝牢[3]老姥[5]闹
ts[1]糟遭燥招昭朝{今朝}[3]早枣找蚤[5]灶诏照罩
tsʰ[1]操抄钞超[2]曹槽巢吵潮朝[3]草炒[5]造皂糙赵兆召沼澡淆燥{热燥义}
s[1]臊骚梢捎稍筲烧搜[2]韶[3]嫂少[5]扫绍邵少
k[1]高羔糕膏篙交胶郊教{教书}[2]搞稿搅校较绞狡[5]告窖觉{睡觉}教{教育}
kʰ[1]敲蒿[3]考烤拷巧[5]靠犒铐
ŋ[1]咬[2]熬敖淆肴[5]傲
h[1]耗薅浩[2]毫豪壕[3]好{好坏}[5]孝效号好{喜好}
j[1]妖腰邀么吆要{要求}[2]摇谣窑姚[3]舀杳扰[5]耀鹞要{需要}
∅[1]凹[3]袄[5]奥澳懊坳

#eu
pʰ[1]剖
m[1]某亩[2]谋[3]贸[5]茂
f[2]浮[3]否[5]阜
