阴平55 阳平31 上声42 去213
#ɿ
ts[1]资兹姿滋吱淄孜之知只滞支蜘质执侄值直职织枝汁脂植吱掷峙挚肢殖炙栀帜咫蛭雉芝 [3]纸指只止址芷旨祗紫梓籽姊 [5]字自恣志至制至治智致痔稚窒渍翅
tsʰ[1]痴嗤呲齿{牙∽}[2]池侈持驰弛词瓷辞磁慈雌糍茨齿{∽轮} [3]耻此 [5]伺 
s [1] 蚀丝思私斯司撕厮石食施实尸释十师湿适室诗识失拾狮什噬 [2]时 [3]死使史 始屎矢驶齿{待考}[5]豉四似寺嗣饲是式适事市氏示试士世视仕势饰逝誓似侍嗜匙拭柿什{家∽}
z [5]日

#i
p[1]壁笔鼻必逼毕碧臂笔陛不{白，∽要，岂∽，存疑} [3]比匕彼{文}妣 [5]备闭币避弊蔽痹弼婢备被
pʰ[1]辟尻霹僻劈 [2]□{檐∽蜂，指蝙蝠}皮匹脾疲琵枇郫貔 [3]鄙{∽人}□{劈}毗痞媲彼 [5] 屁
m[1]眯密觅咪蜜眯秘幂泌宓谧没 [2]眉迷谜弥醚猕麋 [3]米糜 [5]眯沕{∽头子：即钻到水里}
t [1]爹滴低迪狄敌笛嘀涤荻嫡的 [2]提题蹄啼醍 [3]底抵邸诋  [5]弟递
tʰ [2]提 [5]剃
tɕ [1] 即及渍{白，∽胡豆}吸滴{白，一∽∽，本字待考}机鸡集级急几极基吉击积姬激籍迹饥疾肌辑绩叽奇棘汲稽羁矶寂唧箕缉稷鲫圾楫脊笈脐秸[3]姐{白}挤戟几己麂杞[5]去{白}记既计继冀寄骥暨际技季剂纪济祭忌妓悸嫉
tɕʰ [1]七漆系{待考}吃{白}膝欺砌妻柒戚期嘁凄蹊溪 [2]其齐骑奇琪旗棋琦祺淇麒骐鳍崎岐畦颀砌{存疑} [3]起启岂祁绮祈歧 [5]器系{待考}砌气弃汽契憩企
n [1]的{白}妮立历力粒栗励厉沥笠隶吏砾砺戾莅唳溺昵逆呢匿雳利 [2]梨黎篱离璃喱犁鹂泥倪鲵宜彝疑颐遗厘娌锂俚 [3]你李拟礼狸理鲤泪{白，∽泪子}里 [5]腻例丽俐莉荔俪艺谊翌
ɕ[1]夕锡膝{护∽}些稀西息兮奚熹习希席熙惜曦嘻悉析袭昔汐玺熄晰媳隙羲犀茜晞嬉皙唏栖淅徙 [3]喜禧洗[5]细戏系
kʰ[1]吃{白}
Ø  [1]一衣依乙医伊壹祎漪揖 [2]宜{新}遗咦姨怡移夷贻胰 [3]蚁椅里{白，∽头}矣以已尾倚 [5]玉{白}意异易亿翼毅忆懿轶熠沂羿薏诣翳臆蜴蚁

#uᶹ
p [1]不 [3]补捕 [5]部步布簿怖讣卜
pʰ[1]逋扑瀑赴泼坡 [2]浮{白，∽了，待考}蒲葡菩濮莆 [3]哺普噗谱圃
m [1]木目幕牧墓穆暮{日~}沐睦募苜 [2]模 [3]母姆拇 [5]暮{~~}慕牟
f [1]敷夫孵弗拂符服福复腹馥扶幅肤覆芙氟佛缚辐蝠俘涪忽惚芾袱呼 [2]浮{飘∽}壶喉{白：∽咙杆}胡和{∽了}湖糊狐弧蝴葫瑚斛鹄囫槲猢醐鹘核{~~} [3]否腐府辅抚釜俯腑斧虎唬浒 [5]琥附付副富负父傅妇赋驸户护互沪扈
v[1]屋乌呜巫邬污坞诬侮物钨 [2]吴无吾梧芜蜈 [3]舞五午武伍捂仵忤鹉 [5]悟误务勿戊恶{厌~}毋晤鹜婺寤雾骛
ts [1] 猪竹株朱诸珠烛逐诛褚渚竺洙茱□{意为抈}租足卒侏筑触轴铸[3]祖组阻诅俎主煮嘱帚{白，扫∽} [5]著住注柱助驻贮蛀箸翥做
tsʰ [1]促蹴猝粗簇出初搐矗 [2]除厨锄雏滁躇刍橱 [3]拄础杵楚处{相~} [5]处{~长}醋蹙怵
s [1]续畜苏俗宿{住~}速酥粟肃溯稣夙窣书属疏菽淑梳枢输叔舒姝殊赎墅抒蔬纾塾孰倏熟 [2]熟{又} [3]鼠暑署薯曙黍数{∽数} [5]数{∽学}素诉塑树竖恕漱庶
z [1]乳{白，豆腐∽}肉{吃∽，∽劲} [3]乳 [5]□{意为塞}
