cid	character	initial	final	tone	note
219	死	s	ɿ	53	
220	四	s	ɿ	55	
221	迟	tsh	ɿ	24	白
221	迟	tʂh	ʅ	24	文
222	师	s	ɿ	21	
223	指	ts	ɿ	21	名词
223	指	ts	ɿ	53	动词
224	二	∅	ɐr	55	
225	饥	tɕ	i	21	
226	器	tɕh	i	55	
227	姨	∅	i	24	又
227	姨	∅	i	55	又
228	李	l	i	53	
229	子	ts	ɿ	53	
230	字	ts	ɿ	55	
231	丝	s	ɿ	21	
232	祠	s	ɿ	55	又
232	祠	tsh	ɿ	24	又
233	寺	s	ɿ	55	
234	治	tʂ	ʅ	55	
235	柿	s	ɿ	55	
236	事	s	ɿ	55	
237	使	s	ɿ	53	
238	试	s	ɿ	55	
239	时	s	ɿ	24	
240	市	s	ɿ	24	
241	耳	∅	ɐr	53	
242	记	tɕ	i	55	
243	棋	tɕh	i	24	
244	喜	ɕ	i	53	
245	意	∅	i	55	
246	几	tɕ	i	53	
247	气	tɕh	i	55	
248	希	ɕ	i	21	
249	衣	∅	i	21	
250	嘴	ts	ue	53	
251	随	s	ue	24	
252	吹	tʃh	ʯe	21	
253	垂	tʃh	ʯe	24	
254	规	kh	ue	21	
255	亏	kh	ue	21	
256	跪	kh	ue	55	
257	危	∅	ue	21	
258	类	l	ue	53	
259	醉	ts	ue	55	
260	追	tʃ	ʯe	21	
261	锤	tʃh	ʯe	24	
262	水	ʃ	ʯe	53	
263	龟	k	ue	21	
264	季	tɕ	i	55	
265	柜	k	ue	55	
266	位	∅	ue	55	
267	飞	f	e	21	
268	费	f	e	55	
269	肥	f	e	24	
270	尾	∅	i	53	又
270	尾	ʒ	ʯe	53	又
271	味	v	e	55	
272	鬼	k	ue	53	
273	贵	k	ue	55	
274	围	∅	ue	24	
275	胃	∅	ue	55	
276	宝	p	ɔ	53	
277	抱	p	ɔ	55	
278	毛	m	ɔ	24	
279	帽	m	ɔ	55	
280	刀	t	ɔ	21	
281	讨	th	ɔ	53	
282	桃	th	ɔ	24	
283	道	t	ɔ	55	
284	脑	n	ɔ	53	
285	老	n	ɔ	53	
286	早	ts	ɔ	53	
287	灶	ts	ɔ	55	
288	草	tsh	ɔ	53	
289	糙	tsh	ɔ	55	
290	造	ts	ɔ	55	
291	嫂	s	ɔ	24	又
291	嫂	s	ɔ	53	又
292	高	k	ɔ	21	
293	靠	kh	ɔ	55	
294	熬	ŋ	ɔ	24	
295	好	x	ɔ	53	
296	号	x	ɔ	55	
297	包	p	ɔ	21	
298	饱	p	ɔ	53	
299	炮	ph	ɔ	55	
300	猫	m	ɔ	24	
301	闹	n	ɔ	55	
302	罩	ts	ɔ	55	
303	抓	tʃ	ʯa	21	
304	找	ts	ɔ	53	
305	抄	tsh	ɔ	21	
306	交	tɕ	iɔ	21	
307	敲	tɕh	iɔ	21	
308	孝	ɕ	iɔ	55	
309	校	ɕ	iɔ	55	
310	表	p	iɔ	53	
311	票	ph	iɔ	55	
312	庙	m	iɔ	55	
313	焦	tɕ	iɔ	21	
314	小	ɕ	iɔ	53	
315	笑	ɕ	iɔ	55	
316	朝	tʂh	ɔ	24	
317	照	ʈ	ɔ	55	
318	烧	ʂ	ɔ	21	
319	绕	ʐ	ɔ	53	
320	桥	tɕh	iɔ	24	
321	轿	tɕh	iɔ	55	
322	腰	∅	iɔ	21	
323	要	∅	iɔ	55	
324	摇	∅	iɔ	24	
325	鸟	ȵ	iɔ	53	
