tsɿ[1]雌兹咨姿资孳滋辎
tsɿ[3]籽子姊梓紫滓
tsɿ[5]寺字自牸{兽类的雌性}
tsʰɿ[1]疵
tsʰɿ[2]词祠茨瓷慈辞磁鹚糍
tsʰɿ[3]此
tsʰɿ[5]次刺赐柿伺
sɿ[1]师狮丝司私思斯蛳厮撕
sɿ[3]死
sɿ[5]士仕事视恃巳四似祀饲俟嗣肆
pi[1]蓖
pi[2]逼鼻笔必毕辟{复～}碧壁臂璧
pi[3]匕比彼譬
pi[5]备被鐾币闭庇畀陛毙婢敝滗痹弊箅蔽篦避泌
pʰi[1]批纰披
pʰi[2]弼劈闢{开～}霹皮枇疲琵脾匹僻
pʰi[3]鄙痞
pʰi[5]屁
mi[1]眯
mi[2]眉弥迷糜靡密蜜
mi[3]米
mi[5]谜觅秘
ti[1]低
ti[2]滴狄籴敌涤荻笛嫡的{～确}
ti[3]底抵牴{用角碰触}
ti[5]逮地弟帝递第蒂隶
tʰi[1]梯
tʰi[2]堤剔踢啼提题蹄屉惕
tʰi[3]体
tʰi[5]剃涕替
ni[2]呢尼泥倪霓逆匿溺宜疑{又}
ni[3]你
ni[5]腻
li[1]□{啃}
li[2]厘梨狸离犁璃黎篱力历{～史}立疬栗笠粒歴{日～}
li[3]礼李里{～程}理裏{～外}鲤
li[5]蜊厉吏丽利励例荔痢
tsi[1]之支芝枝知肢栀脂蜘
tsi[2]迹积绩即疾集辑籍脊寂鲫蹟藉蛰汁织隻{量词}执侄直姪值职植殖帜炙质秩
tsi[3]挤止只{～有}旨址纸指趾
tsi[5]际剂济祭荠至志{～向}制治致痔智滞痣稚置雉誌{杂～}
tsʰi[1]痴踟妻凄栖淒眵{眼屎}嗤
tsʰi[2]池驰迟持尺斥赤缉七戚漆齐脐
tsʰi[3]侈齿耻始
tsʰi[5]砌
si[1]尸诗屍施西犀
si[2]匙饬失湿十什石时识实拾蚀食莳鲥饰室适释夕昔析息悉惜锡熄膝蟋习席袭媳恤
si[3]史矢豕使始驶屎洗玺徙
si[5]豉氏世市示式侍势试是逝嗜誓细
ki[1]讥饥机肌鸡屐基稽
ki[2]击激及吉级极急戟吸
ki[3]几己麂纪杞
ki[5]计记妓忌技季既继寄徛冀髻
kʰi[1]欺期{星～}
kʰi[2]吃期{时～}祁岐其奇歧祈骑棋旗鳍麒乞讫泣
kʰi[3]岂启起
kʰi[5]企气汽契器
ŋi[2]疑
ŋi[3]拟义艺议
ŋi[5]义艺
xi[1]兮希奚牺稀溪熙嬉
xi[3]喜
xi[5]繫{缚～}弃戏系{～统}係{维～}
i[1]衣医依
i[2]日一揖仪夷沂姨移遗亦抑译易益逸
i[3]已以矣蚁倚椅
i[5]亿刈忆异易谊意缢肄翼瞖{眼角膜上所生的障蔽视线的白斑}
pu[3]补
pu[5]蔔不布{～匹}佈{宣～}步怖部簿
pʰu[1]铺{～设}潽{水沸溢}
pʰu[2]卜脯{胸～}仆{～倒}扑菩葡蒲僕{～人}朴瀑曝
pʰu[3]捕甫脯{果～}辅圃浦普谱
pʰu[5]舖{店～}
mu[1]模{～子}
mu[2]模{～范}木目牧睦
mu[3]母拇
mu[5]募墓幕慕暮
fu[1]夫敷乎呼
fu[2]佛肤孵伏扶芙服俘栿{房梁}符幅福辐複{～杂}蝠复{重～}復{～原}缚腹覆忽狐胡{～乱}壶湖葫糊蝴鬍{～须}瓠
fu[3]抚府斧俯釜腑腐{～化}虎浒
fu[5]腐{豆～}父讣付妇负附咐驸赴副傅富赋互户护沪戽{～斗}
tu[1]都
tu[2]督毒读牍犊独笃
tu[3]堵赌肚{猪～}
tu[5]妒杜肚{腹部}度渡镀
tʰu[2]秃突图徒涂途屠
tʰu[3]土
tʰu[5]吐兔
nu[2]奴
nu[3]努
nu[5]怒
lu[2]六卢庐芦炉鸬陆录鹿禄绿
lu[3]卤虏鲁橹
lu[5]露赂路鹭
tsu[1]租
tsu[2]触促粥轴竹烛逐祝筑浊镯足族
tsu[3]阻组祖
tsu[5]助
tsʰu[1]初雏粗
tsʰu[2]锄橱猝畜
tsʰu[3]础楚
tsʰu[5]醋
