#阴平[324]、阳平[53]、上声[35]、阴去[44]、阳去[443]、入声[5]
ɿ
ts         [2]执[3]祖阻组紫纸 {2 }姊旨 {2 }指 {2 }子{文读，～孙}梓止 {2 }趾 {2 }址只{～有 }[5]租助做知 {2～识}智 {2～慧}支 {2 一～}枝 {2 一～花}肢资 {2 }咨 {2 }致稚脂{胭～}至兹滋置痔治辎 滓之 {2 }芝 {2 }志痣 {2 }织 {2}
tsʰ        [1]粗初{～一}雌此差{参～}痴耻嗤祠齿{智～ }[3]侈[5]醋刺翅{鸡～}伺次[6]锄疵驰瓷糍自迟{推～}慈磁字辞词持
s         [1]似士{～兵}市{2 }室{2 }柿{2 }[2]巳时{小～}食蚀[3]死矢使史驶始所{厕～ }[5] 梳蔬势逝斯厮撕施是{～非}氏私四肆师狮嗜司丝思祀寺嗣饲仕试恃侍失 识{知～ }[6]事

i
p         [3]彼俾鄙比[5]闭敝弊币陛卑臂婢避悲秘{～鲁}庇痹备逼杯 {2 }背 {2 }辈 {2 }
bʰ         [1]批胚倍披坯 {2 }丕{曹～ }[3]匹劈{～叉 }[5]配譬{～喻}屁[6]沛陪裴{姓氏}佩焙皮疲脾被{～子}琵枇毙
m         [2]迷谜梅枚媒 {2 }煤糜{～烂}弥靡{奢～}眉楣霉[3]米每美尾{白读：～巴 }[5]泌{分～ }[6]媚
f         [2]肥[3]水匪翡[5]废肺灰 {2 掸～}吠{～叫}非飞痱妃费徽{安～ ；～章}
t          [3]抵纸 {1～张}脂 {1～肪 }旨 {1～意}指 {1 手～}里{～面；一～路}止 {1 }嫡[5]低堤底递对知 {1~识}智 {1～慧}支 {1～派；～走}枝 {1 树～}栀资 {1～格}咨 {1～询}之 {1 }芝 {1 }痣 {1 }织 {1 }追锥制 {1 }滴{一~  }
dʰ         [1]梯体弟推腿 {1 }催吹炊[6]替涕剃屉题提蹄啼第池地迟{～到}锤{～子 }
n         [5]你
l         [2]驴犁黎篱离梨厘[3]吕旅缕屡礼履李理鲤[5]虑滤璃利痢狸{狐~ }吏泪[6]例荔[·]哩{牙～ ：牙齿}
tɕ         [3]举挤己几{～个}嘴{～巴}给{供～ }[5]居车{～马炮}据巨拒距拘矩句具惧鸡稽寄妓饥几{茶～}冀基纪记忌几{～乎}机讥既季辑屐积击激{～进}
tɕʰ        [1]蛆趋区驱妻技{～术}欺起岂屈[2]杞{枸～ }[3]取娶启企徛{站立}乞曲  {歌～ ；～折 }[5]趣契器弃泣[6]渠{～道}齐奇骑歧{～视}祁鳍{鱼～}其棋期旗气汽 祈
ȵ         [1]玉{～米；～石 }[2]泥倪仪尼疑[3]女语姨{～娘}拟[5]腻[6]遇议
ɕ         [1]柿 {1 }市 {1 城～ }[2]徙时{～间}随{～便}袭[3]许洗玺使{出～}始{开～}喜[5]序绪 墟虚需吁西栖犀细婿世溪奚兮岁{～数}税匙是{～不～}牺戏示尸视诗嬉熙希 稀虽悉膝息惜昔夕锡析[6]誓食[·]系{联～}豉
Ǿ         [1]玉{～米}矣饴已以益狱[2]姨{阿～ ；大～}余{多～}娱盂宜{～春}移夷{蛮～ }[3]於与虞于雨宇禹{古人名}羽倚椅沂{～河 }[5]淤迂宜{便～}易伊肄{～业}医意异毅衣依 揖翅{～膀 }[6]预艺谊{情～}义誉

u
p         [3]补捕[5]布怖簿埠
bʰ         [1]铺{动词}扑[3]谱{家～}普浦朴{～素 }卜[5]铺{店～}孵{～化 }[6]蒲菩脯{胸～}部 步仆
m         [2]模{～子}摹{～仿 }[3]牡母拇[5]暮慕墓募
f         [1]父妇幅[2]壶符扶芙附浮福蝠服伏[3]府腑俯甫脯{杏～}斧俘{～虏 }抚釜腐辅[5]夫肤付赋傅敷麸赴讣富负阜复[6]副
t          [2]蛛[3]堵赌煮主犊{牛～}笃[5]都{～城}都{～是}妒杜渡镀猪著诸诛株驻 註{～解}柱朱珠注{～意}铸督
dʰ        [3]肚{鱼～ ；猪～}土储拄[5]吐{～痰}吐{呕～}兔肚{腹～}处{～所}突[6]徒屠途涂图度除厨住
l          [2]奴卢炉芦鸬庐[3]努鲁橹{樯～}虏卤如汝儒乳擩{插、塞 }[5]怒赂鹭捋{~衣袖 }[6]路露
ts         [3]逐{～个 }[5]箸蛀
tsʰ        [1]初{当～ ；～一}[3]褚{姓氏}楚处{相～}杵[6]雏
s         [2]速俗赎[3]署暑 {2 }[5]苏酥素诉塑{～像}疏{亲～}疏{注～}数{名词}枢戍输{运～}漱术{算～}术{～语}述秫{～米}叔淑黍殊
k         [3]古鼓[5]姑孤箍{～桶}估股故固锢雇顾 
kʰ         [1]枯苦[5]库裤窟
h         [1]户互[2]胡狐葫{～芦}沪斛{一～}[3]虎浒[5]呼乎护忽
Ǿ         [2]蜈梧湖无[3]吾午武舞鹉勿[5]黑{～色}伍悟乌污坞巫诬侮务戊 胡{～子 }[6]误雾瓠[·]恶{可~}

y
tɕ         [5]驹
tɕʰ        [2]俱[3]瞿{姓氏}
ɕ         [2]徐恤[5]絮叙嘘戌{戊~}
Ǿ         [2]愚榆逾[5]愈喻裕[6]芋

a
p          [3]把{量词 }[5]巴芭疤
bʰ         [1]钯[5]怕[6]爬琶杷耙
m         [2]麻痳[3]马码[5]妈[6]蟆骂 
f         [2]乏
t          [3]者打[5]遮 
dʰ         [1]车{～辆}扯
l          [2]拿[5]拉
ts         [3]爪[5]渣诈榨抓炸{～弹}
tsʰ        [1]查{姓氏}叉杈差{～别}察[5]岔[6]茶搽{涂抹}茬查{调~}
s         [1]社射{～箭 }[2]蛇[3]洒舍{～弃}傻耍洒{～水 }[5]沙纱赊佘杉{～木}撒{～手}[6]厦射{发～}麝{～香}赦
k         [3]假{真～}假{放～ }[5]家加嘉架驾嫁稼价佳
kʰ        [1]揢{捕，捉，拿住}
ŋ         [2]牙{刷～}芽衙涯崖[3]哑瓦{名词 }[5]牙{~ ·哩：～齿}阿 {1 }丫
