	阴平	阳平	上声	去声	入声
	31	13	212	44	5
tsɿ	资咨姿孜滋淄辎孳龇吱（嘎~）		紫姊子仔（~鸡）籽梓（~树）	自字恣渍（污~）	
tsʰɿ	疵（瑕~）跐（滑）□（液体从管道射出）□（~焊：焊接）	瓷词祠（~堂）慈磁糍（~粑）辞□（~鱼）雌	此	刺赐次伺（~候）	
sɿ	斯撕私司丝思蛳厕（茅~：厕所）□（邪~：蛮横无理的人）		死	四泗驷寺侍饲伺（~机）嗣肆似巳□（~没泥：水泥）□（下~：棺材下坑）	
tʂʅ	知蜘支肢枝之芝栀只（量词）汁		纸止址趾祉旨脂指只（~有）	制智滞至致窒稚峙痔治挚置秩质炙炽	
tʂʰʅ	痴跐（脚下滑动）吃（口~）	池驰匙迟持	耻齿侈	翅斥	
ʂʅ	施尸诗师狮湿□（流~：流氓,油滑之徒）	时鲥	史驶使始屎矢	世势誓逝氏是示谥市恃饰式试拭弑士仕视柿事嗜	
ʐʅ		□（生果~：花生米）			
pi	屄		鄙比秕彼	敝蔽毙蓖匕币闭辟（~邪）避臂鐾（刀布）婢毕髀（~骨）箅（竹~子）	
pʰi	批砒纰皮□（讨破~：讨吉利）丕坯	皮疲啤脾琵苤（~蓝：菜名）貔	痞癖匹（~夫）□（孬~：耍赖）	屁僻癖譬（如）庇（包~）	
mi	眯（~眼）渳（小口喝）	迷谜醚靡糜弥猕眯（沙入眼）	米		
ti	低		底抵邸诋砥	帝蒂谛缔弟第递地棣	
tʰi	梯	题提堤啼蹄	体	嚏替屉涕剃倜	
li		尼泥呢（~子）倪黎犁梨狸俚离（~别）璃篱	你拟礼李里理鲤	腻例利痢丽厉励茘离（~开半寸）吏娌□（走开）□（碧~：一种鸟）𭳬（物体表面的水向下滴）匿	
tɕi	鸡稽嵇奇（~数）羁畸基箕饥肌机讥矶济（酸~~）□（用手挤）□（撑）□（~潮：很潮）		己几虮挤	计继寄冀既系（~鞋带）技妓记忌季悸杞（枸~）祭际剂济（经~）荠（~菜）稷	
tɕʰi	期欺妻凄栖	奇骑崎琦其棋旗琪麒齐脐荠（荸~）鳍芪祁	启企起祈岂杞	契器气汽弃泣沏砌去-迄	
ɕi	希稀兮牺嬉熹嘻熙西盱（~眙）奚犀		喜蟢洗玺徙	戏系（联~）细	
i	医衣依伊	仪移夷姨胰彝遗宜谊怡饴眙（盱~）贻颐	蚁椅倚矣已乙以尾（~巴）	艺刈义议诣易（容~）意臆薏癔异翼誉亿忆屹懿疫役抑肄	
pu			补哺捕卜（占~）	布怖部簿步埠	
pʰu	铺（~床）潽扑	蒲匍葡菩仆	普谱甫浦圃捕脯蹼	铺（床~）	
mu			母拇姆亩牡	苜募墓慕暮幕	
fu	夫肤麸脯敷（~衍）孵	孚俘浮符扶芙拂	府腑俯斧釜抚腐辅	富副付附驸赋傅（姓）父负妇讣覆	
tu	都（首~）嘟督		堵赌睹肚（胃）笃	妒度渡镀踱杜肚（腹）	
tʰu		徒屠图途涂	土吐（~痰）	吐（呕~）兔唾	
lu	撸□（油忽~子）	奴卢颅炉芦庐鲈□（苞~：玉米）	努弩鲁橹卤乳-虏掳	怒路露（~水）鹭戮禄麓	
tsu	租猪诸朱诛蛛株珠侏		祖组阻诅沮嘱瞩煮诸主拄□（~睡：帐沿）	著助铸驻柱住蛀疰祝苎贮	
tsʰu	粗初摅（用拳；伸进去）	锄刍雏除滁躇储厨橱殊	楚禇（姓）处（相~）础杵拄署薯暑鼠□（国涝~：辍轳）	醋处（~长）触怵矗簇促	
su	苏酥□（~子：一种鸟食）□（骨~：碜牙）疏蔬书舒枢输梳抒殊淑		数（动词）黍属暑薯曙蜀黍	素嗉愫诉塑数（名词）漱（~口）恕墅竖树述庶束粟夙	
ʐu	输（又读）	如茹儒濡孺蠕	汝乳=辱	褥	
ku	姑牯咕沽辜孤箍	□（摇敲，货郎）□（生闷气）	鼓古估牯股蛊□（癞~子）	故固雇顾	
kʰu	枯		苦	库裤酷绔	
xu	乎呼敷（~药）	胡湖糊（~口）煳葫蝴瑚壶狐弧和（~牌）□（喉咙~）	虎琥浒	户护沪扈互瓠（~瓜）糊（~弄）	
u	乌呜巫诬污屋侮	吴蜈梧无芜毋胡（~蜂）	五伍捂午忤武舞妩	悟晤焐寤恶（厌~）戊误务雾兀骛	
ly		驴闾榈	女缕褛履吕侣铝旅捋绺	虑滤氯	
tɕy	居拘驹痀（~子，前胸突出者）矩车（~马炮）□（~嘴：撅嘴以示意）狙疽雎		举榉咀沮	据锯剧巨拒炬苣句具惧俱聚飓	
tɕʰy	区（城~）躯驱岖蛆趋屈	渠瞿徐	取娶曲龋	去=趣	
ɕy	虚嘘墟蓿（苜~头）胥须需戌盱（~眙）	徐	许浒（~墅关）诩栩	酗絮序叙绪婿畜（~牧业）续旭胥	
y	淤迂（~腐）纡吁	鱼渔娱孟俞榆愉逾迂（~回）禺愚余予（我）于	语雨禹羽与（姓）屿宇予	御豫预遇寓裕喻愈玉芋与（参~）喻郁浴育禹郁浴欲裕狱域驭誉豫毓	
pa	巴芭疤粑琶笆□（~牙）扒（~墙头）吧		把（~尿）㞎（屎，小儿语）靶□（~~，回民语，爷爷）	霸坝爸罢把（~子）	
pʰa	趴葩	爬耙扒（~儿手）筢（竹~）		怕	
ma	妈（~~）蟆	麻	马码玛蚂（~蚁）妈（抬~~：娶新娘）	骂	
fa			法		
ta			打	大	
tʰa	他她它		塔		
