#詞語	音標	解釋
支	tsɿ2	打发,支使:叫乜(别人、人家)去呢,乜还~不动弹。
芝	tsɿ2	
滋	tsɿ2	
肢	tsɿ2	
只	tsɿ2	
资	tsɿ2	
姿	tsɿ2	
辎	tsɿ2	
滓牙	tsɿ2 ia	嘴里咀嚼的食物中含有土、沙或风将土、沙吹进嘴里引起牙齿不舒服的感觉。
只管	tsɿ2 kuæ̃	老是、总是:~这么个怕是不行。②不必担心,放心:东西的质量好着呢,你~用着去。
子母扣	tsɿ2 məŋ kʰəu5	纽扣的一种,用金属或塑料制成,一凸一凹的两个合成一对。
指头	tsɿ2 tʰəu	特指手指。脚趾说成“脚指头”。
指甲	tsɿ2 tɕia	人指尖背面扁平的甲状结构。
指甲花	tsɿ2 tɕia xua	凤仙花的通称。当地人尤其是女性常用它来装饰指甲,将采集的指甲花花瓣加上明矾捣成糊状,涂抹在指甲盖上,再用绿叶包裹起来,过24小时后指甲便染成了红色或橙红色。随着时代发展,这种做法正在消失。
指甲缝	tsɿ2 tɕia fəŋ5	指甲和指头肌肉之间的缝隙。
指头蛋蛋	tsɿ2 tʰəu tæ̃5 tæ̃	也说“指头蛋子、指头肚肚”。手指头上有螺纹的鼓起的部分。
吱哩哇啦	tsɿ2 li va la	形容人叫喊、说话的声音:整天价~地,吵死人咧!
缁泥	tsɿ2 ȵi	黑色的淤泥:一没防住,脚搭~里进咧。
孜然	tsɿ2 ʐæ̃	一种佐料,常加工成粉末状,本地不产。多在做烧烤时用:烤些羊肉串,~不咧放得太多咧。
只但	tsɿ2 tæ̃5	只要:~一回来,你就给我言传。
知了子	tsɿ2 liɔu tsɿ	知了:连个~一样,叫唤着没停。
纸火	tsɿ2 xuɤ3	祭奠死者,为之烧化的纸制祭品的统称:你爷爷的三年纸快到咧,~定下咧没有?
纸火铺子	tsɿ2 xuɤ3 pʰu5 tsɿ	制作纸制祭品如花圈等的店铺。
滋润	tsɿ2 ʐuŋ	舒坦、舒服:人家日子过得~得很!②形容女孩子长得好看,又懂事,且善于操持家务:张家有个女子~得很,给你说个媳妇去。
子	tsɿ	地支的第一位。②儿子(书面语)。
止	tsɿ3	
址	tsɿ3	
梓	tsɿ3	
紫	tsɿ3	
