#詞語	音標	解釋
太阳	tʰai5 Ǿiaŋ2	
太阳地的	tʰai5 Ǿiaŋ2 ti6 ti0	太阳照到的地方
向阳	ɕiaŋ5 Ǿiaŋ2	
太阳光	tʰai5 Ǿiaŋ2 kuaŋ1	
月亮	Ǿʯe7 liaŋ1	
月亮地的	Ǿʯe7 liaŋ1 ti6 ti0	月亮照到的地方
星星	ɕin1 ɕin1	
北斗星	pe7 tou3 ɕin1	
启明星	tɕʰi3 min2 ɕin1	
银河	ȵin1 xo2	
流星	liu2 ɕin1	
彗星	fei5 ɕin1	
背阴崖儿	pi6 Ǿin1 ŋar2	背阴的地方
天狗喫太阳	tʰian1 kou3 tɕʰi7 tʰai5 Ǿiaŋ1	日蚀
天狗喫月亮	tʰian1 kou3 tɕʰi7 Ǿʯe7 liaŋ7	月蚀
风	foŋ1	
大风	tɒ6 foŋ1	
狂风	kʰuaŋ2 foŋ1	
台风	tʰai2 foŋ1	
刮风	kuɒ7 foŋ1	
云	Ǿʯən2	
乌云	Ǿu1 Ǿʯən2	
早霞	tsau3 ɕiɒ2	
晚霞	Ǿuan3 ɕiɒ2	
雷	li2	
打雷	tɒ3 li2	
雨	Ǿʯ3	
大雨	tɒ6 Ǿʯ3	
暴雨	pau5 Ǿʯ3	
连秧雨	lian2 Ǿiaŋ1 Ǿʯ3	连着阴雨的天气
细风	ɕi5 foŋ1	小风
斗倒风	tou5 to0 foŋ1	顶风
顺倒风	ʂʯən6 to0 foŋ1	顺风
掣霍	tʂe7 xo7	闪电
放霞	faŋ5 ɕiɒ2	霞
落雨	lo7 Ǿʯ3	下雨
蒙蒙雨	moŋ1 moŋ1 Ǿʯ3	毛毛雨
阵头雨	tʂən6 tʰou1 Ǿʯ3	阵雨
虹	kaŋ5	
沞雨	tsʰɒ6 Ǿʯ3	淋雨
冰	pin1	
结冰	tɕie7 pin1	
雪	ɕie7	
落雪	lo7 ɕie7	下雪
鹅毛雪	ŋo2 mau2 ɕie7	
雨夹雪	Ǿʯ3 tɕiɒ7 ɕie7	
化雪	fɒ5 ɕie7	
霜	ʂuaŋ1	
雾	Ǿu6	
凌冰结儿	lin6 pin5 tɕiɚ5	冰锥
冷子	nən3 tsɿ0	雹子
雪子	ɕie7 tsɿ3	雪珠子
露水	lou6 fʯ3	露
下露水	ɕiɒ6 lou6 fʯ3	下露
打霜	tɒ3 ʂuaŋ1	下霜
晴天	tɕʰin2 tʰian1	
阴天	Ǿin1 tʰian1	
热	Ǿʯe7	
冷	lən3	
伏天	fu7 tʰian1	
中伏	tʂoŋ1 fu7	
天头	tʰian1 tʰou1	天气
进伏	tɕin5 fu7	入伏
出伏	tɕʰʯ7 fu7	末伏
头伏	tʰou2 fu7	初伏
天干	tʰian1 kan1	天旱
发大水	fɒ7 tɒ6 fʯ3	天涝
平原	pʰin2 Ǿʯan2	
水田	fʯ3 tʰian2	
荒地	faŋ1 ti6	
沙土地	ʂɒ1 tʰou3 ti6	
地	ti6	
干地	kan1 ti6	旱地
