箳	簈
胼	腁
迸	逬
併	倂
瓶	甁
研	硏
訮	詽
豜	豣
妍	姸
軿	輧
駢	騈
餅	餠
屏	屛
帡	帲
值	値
惪	悳
真	眞
慎	愼
填	塡
槙	槇
鷏	鷆
鎮	鎭
顛	顚
巔	巓
鄉	鄕
郎	郞
飲	飮
榆	楡
俞	兪
偷	偸
喻	喩
媮	婾
兑	兌
脱	脫
蜕	蛻
税	稅
涚	涗
捝	挩
悦	悅
敚	敓
棁	梲
鋭	銳
閲	閱
説	說
清	淸
青	靑
删	刪
册	冊
姗	姍
栅	柵
刹	剎
弑	弒
内	內
呐	吶
衮	袞
滚	滾
遥	遙
謡	謠
瑶	瑤
摇	搖
粤	粵
秃	禿
告	吿
尚	尙
俱	倶
查	査
熙	煕
教	敎
緒	緖
嬷	嬤
麽	麼
芈	羋
别	別
没	沒
殁	歿
户	戶
産	產
彦	彥
顔	顏
絶	絕
飠	𩙿
毁	毀
抛	拋
丢	丟
并	幷
邢	郉
榝	樧
頽	頹
囱	囪
礻	⺬
高	髙
峰	峯
厦	廈
