#漢字	音標	解釋
□	uan6	往:~前走
剖	pʰo1	
剛	kaŋ1	
剛	tɕiaŋ1	又音
剜	ua1	
剝	po7	
剩	ʂən6-	
剩	ʂən5=	
剪	tsiē2	
剮	kua1	
割	kz5-	
割	ko7=	
創	tsʰaŋ1	
剿	tsiau2	
劃	fa2	~船
劃	fa5	計~
劄	tsa7	
劇	tɕy5	
劈	pʰi7	
劉	liəu2	
劊	kʰuei5	
劑	tsi5	
力	li7	
功	kpʰ1	
加	tɕia1	
劣	lp7	
助	tsʰəu5	
努	ləu2	
劫	tɕp7	
勁	tɕin5	
勃	pʰu7	
勇	ioŋ2	
勉	tɕʰiaŋ1	
勉	miē2	
勒	lə7	
動	tpʰ6-	
動	tsõ1	
動	tpʰ5=	
勘	kʰan1	
務	u5	
勝	ʂən1	
勝	ʂən5	
勞	lau2	
募	mo5	
勤	tɕin2	
勳	ɕyn1	
勵	li5	
勸	tɕʰyě5	
勺	ʂo7	
勻	yn2	
勾	kəu1	
勿	附戶=滬戽~互護=婦負富副瓠~子u7	
包	pau1	
匆	tsʰpʰ1	
化	fa5	
北	pə7	
匠	tsiaŋ6-	
匠	tsiaŋ5=	
匡	kʰuaŋ1	
匣	ɕȵ7	
匪	fei2	
匯	fei6-	
匯	fei5=	
匹	pʰi7	
匾	pʰiē1	
匿	ȵi7	
區	tɕʰy1	
十	ʂʅ7	
千	tsʰiē1	
升	ʂən1	
午	u2	
半	põ5	
卑	pei1	
卒	tsəu7	
卓	tʂo7	
協	ɕp7	
南	lan2	
博	po7	
占	tʂə̃1	~卜
占	tʂə̃5	~領
卦	kua5	
卯	mau2	~田;地名
印	in5	
危	uei2	
即	tsi7	
卵	lo2	
卷	tɕyě2	
卷	lən2	
卷	tɕyě5	
卸	sp5	
卻	tɕʰio7	
卿	tɕʰin1	
厘	li2	
厚	xəu6-	
厚	xəu5=	
原	yě2	
厥	tɕye7	
厭	iē5	
厲	li5	
去	kʰz5-	
去	tɕʰy5	
參	tsʰan1	
參	sən1	人~
又	iəu6-	
又	san1	
又	fən1	
又	tʂaŋ1	
又	tspʰ1	
又	ȵi2	
又	zaŋ2	
又	iəu5=	
叉	tsʰa1	
及	tɕi7	
友	iəu2	
反	fan2	
叔	ʂəu7	
取	tsʰi1	
受	ʂəu6-	
受	ʂəu5=	
叛	pʰõ5	
叟	sau1	
叢	tspʰ2	
古	ku2	
句	tɕy5	
另	lin6-	
另	lin5=	
叨	tʰau1	
叩	kʰ口əu5	
只	tʂʅ2	~有
叫	tɕiau5	
召	tʂz1	~開
召	tʂz5	號~
可	kʰo1	
可	u5	
史	ʂʅ2	
右	iəu6-	
右	iəu5=	
司	sɿ1	
吃	tɕʰi7	
各	ko7	
吆	iau1	
合	xo7	
合	ko7	十~一升
吉	tɕi7	
吊	tiau6-	
吊	tiau5=	
同	tpʰ2	
名	min2	
吏	li5	
吐	tʰəu1	
向	ɕiaŋ6-	
向	ɕiaŋ5=	
君	tɕyn1	
吝	lin5	
吞	tʰən1	
吠	fei5	
否	xəu2	
含	xan2	
吳	u2	
吵	tsʰau1	
吸	ɕi7	
吹	tɕʰyei1	
吻	uən2	
吼	xəu2	
吾	u2	
呂	lei2	
呆	tai1	
呆	ȵai2	
呈	tʂən2	
告	kz5	
呢	ȵi2	
周	tʂəu1	
味	uei6-	
味	uei5=	
呼	fu2	瓠~盧
命	min6-	
命	min5=	
和	xo2	
咎	tɕiəu5	
咒	tʂəu5	
咨	tsɿ1	
咬	ŋz2-	
咳	kʰz7	
咽	iē1	
