#漢字	音標	解釋
□	uan6	往:~前走
昔	si7	
星	sin1	
映	in5	
春	tɕʰyn1	
春	tʂʰpʰ1	
昧	mei5	
昨	ts左o7	
昭	tʂz1	
是	ʂʅ6-	
是	ʂʅ5=	
時	ʂʅ2	
晃	faŋ2	
晉	tsin5	
晌	ɕiaŋ2	
晏	ŋan5	
晚	uan2	
晚	man2	~伢子
晝	tʂəu5	
晦	fei5	
晨	ʂən2	
普	pʰu1	
景	tɕin2	
晶	tsin1	
智	tʂʅ5	
暇	ɕȵ2	
暈	fən1	
暈	yn1	
暑	ɕȵ2	
暖	lo2	
暗	ŋan5	
暢	tʂʰaŋ5	
暫	tsan6-	
暫	tsan5=	
暮	mo5	
暴	pau6-	
暴	pau5	
曆	li7	
曉	ɕiau2	
曝	pʰu7	
曠	kʰuaŋ5	
曩	zaŋ2	
曬	sai5	
曲	tɕiəu7	
更	kən1	
更	kən5	
書	ɕȵ1	
書	kz5	
曹	tsau2	
曾	tsən1	
曾	tsən2	~經
替	tʰi5	
最	ts嘴ei5	
會	fei6-	
會	fei5=	
會	kʰuei5	~計
月	tʂən1	
月	ye7	
有	iəu2	
朋	poŋ2	
服	附戶=滬戽~互護=婦負富副瓠~子u7	
朔	so7	
朗	laŋ2	
望	uaŋ6-	
望	uaŋ5=	
朝	tʂz2	~代
朝	tʂz1	今~
期	tɕi2	
木	tɕi1	
木	mo7	
未	uei5	
末	mə7	
本	pən2	
朱	tɕy1	
朵	to2	
杆	kan1	
杈	tsʰa1	
杉	sa1	
李	li2	
杏	ɕin5	
材	tsai2	
村	tsʰən1	
杖	tʂaŋ5	
杜	təu5	
杞	tɕʰi1	
束	tʂʰəu7	
杠	kaŋ5	
杭	xaŋ2	
杯	pei1	
東	tpʰ1	
杳	miau2	
杵	tɕʰy1	
杷	pa1	
松	spʰ1	
板	pan1	
板	ȵai2	
枇	pi2	
枉	uaŋ2	
析	si7	
枕	tʂən2	
林	lin2	
枚	mei2	
果	ko1	
枝	tʂʅ1	
枯	kʰu1	
架	ka5	
架	tɕia5=	
柄	pin2	
柏	pə7	
某	məu2	
柑	kan1	
染	yě2	
柔	iəu2	
柚	iəu5	
柞	tsʰo5	
查	tsa2	
柩	tɕiəu5	
柬	tɕiē2	
柱	tɕy6-	
柱	tɕy5=	
柳	liəu2	
柴	tsai2	
柵	san1	
柿	ʂʅ6-	
柿	ʂʅ5=	
栓	san1	
栗	li7	
栗	li5	板~
校	ɕiau5	
校	tɕiau5	又音
株	tɕy1	
核	xz7	
核	fei5	果子~
根	kən1	
格	kz7	
栽	tsai1	
桂	kuei5	
桃	tau2	
桅	uei2	
案	ŋan5	
桌	tʂo7	
桐	tpʰ2	
桑	san1	
桑	saŋ1	
桓	xõ2	
桶	tʰpʰ1	
梁	liaŋ2	
梅	mei2	
梓	tsɿ2	
梔	tʂʅ1	~子花
梗	kən1	
條	tiau2	
梢	tsʰiau1	
梧	u2	
梨	li2	
梭	so1	
梯	tʰi1	
械	kai5	
梳	səu1	
梹	pin1	
棄	tɕʰi5	
棉	miē2	
棋	tɕi2	
棍	k滾uən5	
棒	paŋ5	
棕	tspʰ1	
棗	tsau2	
棚	poŋ2	
棟	tpʰ5	
棠	taŋ2	
棧	tsan6-	
棧	tsan5=	
棲	tsʰi1	
棵	kʰo1	
棺	kõ1	
椅	i2	
植	tʂʅ7	
椏	ŋa1	
椒	tsiau1	
椽	ɕyě2	
椿	tɕʰyn1	
楊	iaŋ2	
楓	xpʰ1	
楚	tsʰəu1	
楝	liē5	
楞	lin2	
楣	mei5	
楦	ɕyě5	
業	ȵp7	
極	tɕi7	
楷	kʰai1	
概	kʰai5	
榆	ȵ̍2	
榛	tsən1	
榜	paŋ2	
榨	tsa5	
榫	sən2	
榮	yn2	
榴	liəu2	
榻	tʰa7	
構	kəu5	
槌	tɕyei2	
槍	tsʰiaŋ1	
槐	ɕtɕʰ2	
槳	tsiaŋ2	
槽	tsau2	
樁	tʂaŋ1	
樁	tɕyaŋ1	
樂	lo7	
樂	io7	音~
樓	ləu2	
標	piau1	
樞	tɕʰy1	
樟	tʂaŋ1	
模	mo2	
樣	iaŋ6-	
樣	iaŋ5=	
樵	tsiau2	
樹	ɕȵ6-	
樹	ɕȵ5=	
樺	fa2	
橄	kan1	
橋	tɕiau2	
橘	tɕy7	
橙	tʂən2	
機	tɕi1	
橡	siaŋ5	
橢	tʰo1	
橫	fən2	
檀	tan2	
檁	lin2	
檜	kʰuei5	
檢	tɕiē2	
櫃	kuei6-	
櫃	kuei5=	
櫓	ləu2	
櫻	in1	
欄	lan2	
權	tɕyě2	
欏	pa5	
欖	lan2	
欠	tɕʰiē5	
次	tsʰɿ5	
欣	ɕin1	
欲	zəu7	
欺	tɕʰi1	
欽	tɕʰin1	
款	kʰõ1	
歇	ɕp7	
歉	tɕʰiē1	
歌	ko1	
歎	tʰan5	
歐	ŋəu1	
歡	xõ1	
止	tʂʅ2	
正	tʂən1	
正	tʂən5	
此	tsʰɿ1	
步	pu5	
步	pu6	
武	u2	
歪	uai1	
歲	sei5	
歸	kuei1	
死	sɿ1	
殃	iaŋ1	
殆	tai5	
殉	sən2	
殊	ɕȵ2	
殖	tʂʅ7	
殘	tsan2	
殮	liē5	
殯	pin5	
殲	tsʰiē1	
段	tõ6-	
段	tõ5=	
殷	in1	
殺	sa7	
殼	kʰo7	
殿	tiē6-	
殿	tiē5=	
毀	fei2	
毅	ȵi5	
毆	ŋəu1	
母	mo2	
每	mei2	
比	pi2	
毛	mau2	
毫	xz2	
毯	tʰan1	
氈	tʂə̃1	
氏	ʂʅ5	
氏	xo5	
民	min2	
氣	tɕʰi5	
水	ɕȵ2	又音
永	yn2	
氽	tsʰõ1	
汀	tin1	
汁	tʂʅ7	
求	iau1	
求	tɕiəu2	
汗	xan6-	
汗	xan5=	
汙	u1	
汝	ȵ̍2	
汞	kpʰ5	
江	tɕiaŋ1	
池	tʂʅ2	
汪	uaŋ1	
汴	piē5	
決	tɕye7	
汽	tɕʰi5	
沂	ȵi2	
沃	ŋ我o7	
沈	ʂən2	
沉	tʂən2	
沌	tən5	
沒	mə7	
沖	tʂʰpʰ1	
沙	sa1	
沛	pei5	
沫	mo7	
河	xo2	
油	iəu2	
治	tʂʅ5	
沼	tʂz1	
沾	tʂə̃1	
沿	yě2	
況	kʰuaŋ5	
泄	sp7	
泅	tsiəu2	
泉	tsiē2	
泊	po7	
泊	pʰə7	梁山~
泌	m米i7	
泔	kan1	
法	fa7	
泛	fan5	
泡	pʰau1	~松
泡	pʰau5	~得水裏
波	po1	
泣	ɕi7	
泥	ȵi2	
注	tɕy5	
泰	tʰai5	
泳	yn5	
洋	iaŋ2	
洗	si2	
洛	lo7	
洞	tpʰ6-	
洞	tpʰ5=	
津	tsin1	
洪	xpʰ2	
洲	tʂəu1	
活	xo7	
洽	tɕʰia7	
派	pʰai5	
流	liəu2	
浙	tʂz7	
浜	paŋ1	
浦	pʰu1	
浩	xz5	
浪	laŋ6-	
浪	laŋ5=	
浮	pau2-	
浮	xəu2	
浴	zəu7	
海	xai2	
浸	tsʰin5	
消	siau1	
涉	ʂz7	
涎	ɕiē2	
涕	tʰi5	
涯	ȵ̍2	
涯	ȵai2	
液	i7	
涼	liaŋ2	
涿	tʂo7	
淆	ɕiau2	
淋	lin2	
淑	ʂəu7	
淒	tsʰi1	
淘	tau2	
淚	lei5	
淚	li5	又音
淡	tan6-	
淡	tan5=	
淤	u1	
淨	tsin6-	
淨	tsin5=	
淩	lin2	
淩	lin6	~冰
淪	lən2	
淫	in2	
淮	fai2	
深	ʂən1	
淵	yě1	
混	fən6-	
混	fən2	
淹	iē1	
淹	ŋan1	
淺	tsʰiē1	
添	tiē1	
減	kan1	
渝	ȵ̍2	
渠	tɕy2	
渡	təu6-	
渡	təu5=	
渣	tsa1	
測	tsʰə7	
港	kaŋ1	
渴	kʰo7	
渺	miau2	
渾	fən1	
渾	fən2	
湊	tsʰəu5	
湖	fu2	
湘	siaŋ1	
湧	ioŋ2	
湯	tʰaŋ1	
溉	kʰai5	
源	yě2	
溜	liəu1	
溝	kəu1	
溪	ɕi1	
溫	uən1	
溺	ȵi7	
滂	paŋ2	
滂	paŋ6	
滅	mp7	
滋	tsɿ1	
滎	yn2	
滑	ua5-	
滑	fa7	
滓	tsɿ2	
滔	tʰau1	
滲	sən5	
滴	tia7-	
滴	ti7	
滸	fu2	
滿	mõ2	
漁	ȵ̍2	
漂	pʰiau1	~泊
漂	pʰiau1	~染
漆	tsʰi7	
漏	ləu6-	
漏	ləu5=	
演	iē2	
漚	ŋəu5	
漢	xan5	
漫	man5	
漲	tʂaŋ2	
漸	tsiē5	
漿	tsiaŋ1	
潑	po7	~辣
潑	pʰo7	~水
潔	tɕp7	
潘	pʰõ1	
潛	tsiē2	
潤	yn5	
潤	yn6	
潭	tan2	
潮	tʂz2	
潰	kʰuei5	
潲	sau5	
澀	sə7	
澄	tʂən6-	
澄	tən1	
澆	tɕiau1	
澗	kan5	
澠	miē2	
澡	tsau2	
澤	tʂʰz7	
激	tɕi7	
濁	fən1	
濁	tʂʰo7	
濃	lpʰ2	
濕	ʂʅ7	
濟	tsi5	
濤	tau2	
濫	lan5	
濬	tsən5	
濺	tsiē5	
濾	lei5	
瀉	sp7	
瀑	pʰu7	
灌	kõ5	
灑	sai1	
灘	tʰan1	
灣	uan1	
火	xo2	
灰	fei1	
竈	tsau5	
灸	tɕiəu5	
災	tsai1	
炊	tɕʰyei1	
炎	iē2	
炒	tsʰau1	
炕	kʰaŋ5	
炭	tʰan5	
炮	pʰau5	
炸	tsa5	
炸	tsa7	油~
爲	uei6-	
爲	uei2	
爲	uei5=	
烈	lp7	
烏	u1	
烘	xpʰ1	
烙	lo5	
烤	kʰz1	
烹	pʰən1	
焉	iē1	
焊	xan6-	
焊	xan5=	
焙	pei6-	
焙	pei5=	
焚	fən2	
無	u2	
焦	tsiau1	
焰	iē5	
然	yě2	
煉	liē6-	
煉	liē5=	
煎	tsiē1	
煙	iē1	
煤	mei2	
煥	xõ5	
照	tʂz5	
煨	uei1	
煩	fan2	
煮	tɕy2	
熄	si7	
熊	ɕioŋ2	
熏	ɕyn1	
熔	ioŋ2	
熙	ɕi1	
熟	ʂəu7	
熨	yn5	
熬	ŋz2	
熱	ye7	
燃	yě2	
燈	tən1	
燎	liau2	
燐	lin2	
燒	ʂz1	
燕	iē1	
燕	iē5	
燙	tʰaŋ5	
營	in2	
燦	tsʰan5	
燭	tʂəu7	
爆	pau5	
爊	ŋz1	~白菜
爐	ləu2	
爛	lan6-	
爛	lan5=	
爪	tsau2	
爬	pa2	
爭	tsən1	
爵	tɕio7	
父	fu5	
爸	pa1	
爹	tp1	父
爹	tia1	祖父
爺	ȵ̍2	父
爺	p2=	祖父
爽	saŋ1	
爾	z2	
爾	n̩1	你，用於“~里”“~郎家”
牆	tsiaŋ2	
片	pʰiē5	
版	pan1	
牌	pai2	
牒	tʰp7	
牘	təu7	
牙	ŋa2-	
牙	ȵ̍2=	
牚	tsʰən5	
牛	ȵiəu2	
牡	məu2	
牢	lau2	
牧	mo7	
牧	ɕ朽iəu7	
物	u7	
牯	ku2	
牲	sən1	
牸	tsɿ6-	
牸	tsɿ5=	牛子
特	tʰə7	
牽	tɕʰiē1	
犀	si1	
犁	li2	
犒	kʰz1	
犢	təu7	
犧	ɕi1	
犬	tɕʰyě1	
犯	fan6-	
犯	fan5=	
狀	tɕyaŋ5	
狂	kuaŋ2	
狄	ti7	
狐	fu2	
狗	kəu1	
狡	tɕiau2	
狹	ɕȵ7	
狼	laŋ2	
猛	mpʰ2	
猜	tsʰai1	
猝	tsʰəu7	
猴	xəu2	
猶	iəu2	
猾	ua5-	
猾	fa7	
獄	zəu7	
獅	sɿ1	
獎	tsiaŋ2	
獎	tsiaŋ5	大~
獨	təu7	
獲	xo7	
獵	lp7	
獸	ʂəu5	
獺	tʰa7	
獻	ɕiē5	
玄	ɕyě2	
率	so7	
率	li7	效~
玉	zəu7-	
玉	ȵ̍5	
王	uaŋ2	
玩	uan2	
玩	碗腕豌õ5	古~，遊山~水
玻	po1	
珊	san1	
珍	tʂən1	
珠	tɕy1	
班	pan1	
現	ɕiē6-	
現	ɕiē5=	
球	tɕiəu2	
理	li2	
琉	liəu2	
琢	tʂo7	
琴	tɕin2	
琵	pi2	
琶	pa1	
瑞	ɕ水yei5	
瑟	sə7	
瑣	so1	
璃	li2	
璧	pi7	
璽	si2	
瓊	tɕyn2	
瓜	kua1	
瓢	piau2	
瓣	pan6-	
瓣	pan5=	
瓤	ioŋ2	(存疑)又音
瓤	iaŋ2	
瓦	ua1	
瓶	pin2	
瓷	tsɿ2	
甌	ŋəu1	
甕	pʰ5	
甘	kan1	
甚	ʂən6-	
甚	ʂən5=	
甜	tiē2	
生	sən1	
生	tʂaŋ2	
產	tsʰan1	
甥	sən1	
用	ioŋ6-	
用	ioŋ5=	
甫	pʰu1	
甬	ioŋ2	
田	tiē2	
由	iəu2	
甲	tɕia7=	
甲	ka7-	指~
申	ʂən1	
男	lan2	
界	kai5	
畏	uei5	
留	liəu2	
畜	tʂʰəu7	
畜	ɕ朽iəu7	
畝	məu2	
畢	pi7	
略	lio7	
番	fan1	
畫	fa6-	
畫	fa5=	
異	i5	
當	taŋ1	
當	taŋ5	~作
疆	tɕʰiaŋ1	
疏	səu1	
疏	səu5	注~
疑	ȵi2	
疔	tin1	
疝	san5	
疤	pa1	
疥	kai5	
疫	ȵ̍7	
疲	pi2	
疵	tsʰɿ1	
疹	tʂən2	
疼	tpʰ2	
疾	tsi7	
疿	fei5	
痂	ka1-	
痂	tɕia1=	
病	pin6-	
病	pin5=	
症	tʂən5	
痔	tʂʅ6-	
痔	tʂʅ5=	
痕	xən2	
痛	tʰpʰ5	
痢	li5	
痢	li6	
痣	tʂʅ5	
痰	tan2	
痹	pi2	
瘊	xəu2	
瘋	xpʰ1	
瘍	iaŋ2	
瘟	uən1	
瘡	tsʰaŋ1	
瘤	ȵio7	
瘦	səu5	
瘧	ȵio7	
瘴	tʂaŋ5	
瘸	tɕya2	
療	liau2	
癡	tʂʰʅ1	
癢	iaŋ2	
癩	lai6-	
癩	lai5=	
癬	siē2	
癰	ioŋ1	
癸	kuei5	
登	tən1	
發	fa7	
白	tɕi1	
白	pə7	
百	pə7	
皂	tsau2	
皂	tsau6	
的	ti7	~確
的	ti2	我~
皆	kai1	
皇	faŋ2	
皖	kʰõ1	
皮	pi2	
皴	tsʰən1	
皿	min2	
盂	ȵ̍2	
盅	tʂpʰ1	
盆	pən2	
盈	in2	
益	i7	
盒	xo7	
盔	kʰuei1	
盛	ʂən2	~飯
盜	tau5	
盞	tsan2	
盟	min2	
盡	tsin6-	
盡	tsin5=	
監	kan5	
盤	põ2	
盧	ləu2	
目	mo7	
盲	maŋ2	
直	tʂʅ7	
相	siaŋ1	
相	tʂʰən5	~趁
相	siaŋ5	~貌
盼	pʰan5	
盾	tən5	
省	sən2	
眉	mei2	
看	kʰan5	
真	tʂən1	
眠	miē2	
眨	tsa7	
眩	ɕyě2	
眶	kʰuaŋ1	
眷	tɕyě5	
眼	ŋan2-	
眼	iē2	
眾	tʂpʰ5	
睛	tsin2	
睛	tsin1	眼~
睜	tsən1	
睡	ɕ水yei5	
睡	ɕȵ5	又音
睬	tsʰai1	
瞎	xa7-	
瞎	ɕȵ7=	
瞞	mõ2	
瞧	tsiau2	
瞪	tən1	
瞪	tən5	
瞳	tpʰ2	
瞻	tʂə̃1	
瞿	tɕy2	
矛	mau2	
矢	ʂʅ2	
矣	i2	
知	tʂʅ1	
知	tɕʰio7	
矩	tɕy2	
短	tõ2	
矮	ȵai2	
矯	tɕiau2	
石	ʂʅ7	
砌	tsʰi5	
砑	ŋa6	
研	ȵiē1	
破	pʰo5	
硃	tɕy1	
硝	siau1	
硫	liəu2	
硬	ŋən6-	
硬	ŋən5=	
硯	ȵiē6-	
硯	ȵiē5=	
碎	sei5	
碑	pei1	
碓	tei5	
碟	tʰp7	
碧	pi7	
碧	pʰi7	又音
確	kʰo7	
碼	ma2	
碾	ȵiē2	
磁	tsɿ2	
磉	saŋ1	
磕	kʰo7	
磚	tɕyě1	
磨	mo6-	
磨	mo2	~刀
磨	mo5=	~子
磬	tɕʰin5	
礎	tsʰəu1	
礙	ȵai6-	
礙	ȵai5=	
礦	kʰuaŋ5	
礬	fan2	明~
示	ʂʅ5	
社	ʂz5	
祁	tɕi2	
祈	tɕi2	
祐	iəu5	
祖	tsəu2	
祝	tʂəu7	
神	ʂən2	
祠	tsɿ2	
祥	tsiaŋ2	
票	pʰiau5	漂~
祭	tsi5	
祿	ləu7	
禁	tɕin1	
禁	tɕin5	~止
禍	xo6	
禍	xo5=	
福	附戶=滬戽~互護=婦負富副瓠~子u7	
禦	ȵ̍5	
禪	ʂə̃2	
禮	li2	
禱	tau2	
禹	ȵ̍2	
禽	tɕin2	
禾	o2	
禿	tʰəu7	
秀	siəu5	
私	sɿ1	
秉	pin2	
秋	tsʰiəu1	
科	kʰo1	
秒	miau2	
秕	pʰi1	~子
秘	pei5-	
秘	m米i7	
租	tsəu1	
秦	tsin2	
秧	iaŋ1	
秩	tʂʰʅ7	
秫	ɕȵ7	
移	i2	
稀	ɕi1	
稅	ɕ水yei5	
稈	kan1	
程	tʂən2	
稍	sau1	
稗	pa6-	
稗	pa5=	
稙	tʂʅ7	早種禾
稚	tʂʰʅ5	
稟	pin2	
稠	tʂəu2	
種	tʂpʰ2	~類
種	tʂpʰ5=	~植
稱	tʂʰən1	
稱	tʂʰən5	
稻	tau5	
稼	tɕia5	
稽	tɕi1	
稿	kz1	
穀	ku7	
穆	mo7	
積	tsi7	
穎	in2	
穢	fei5	
穩	uən2	
穴	ɕp7	
究	tɕiəu5	
空	kʰpʰ1	~虛
空	kʰpʰ5	~缺
穿	tɕʰyě1	
突	tʰəu7	
窄	tsə7	
窖	kz5	
窗	tsʰaŋ1	
窘	tɕyn5	
窟	kʰu7	
窠	kʰo1	
窩	o1	
窪	ua1	
窮	tɕioŋ2	
窯	iau2	
窺	kuei1	
竄	tsʰõ5	
竄	tsʰõ1	又音
竅	tɕʰ巧iau5	
立	li7	
站	tsan6-	
站	tsan5=	
竟	tɕin5	
章	tʂaŋ1	
童	tpʰ2	
端	tõ1	
競	tɕin5	
竹	tʂəu7	
竿	kan1	
笑	siau5	
笙	sən1	
笛	ti7	
笠	li7	
符	fu2	
笨	pən6	
第	ti6-	
第	ti5=	
筆	fan5	
筆	pi7	
等	tən2	
筋	tɕin1	
筍	sən2	
筏	pai2	
筏	fa7	
筐	kʰuaŋ1	
筐	tɕʰiaŋ1	又音
筒	tpʰ2	
答	t打a7	
策	tsʰə7	
筧	tɕiē2	
筵	iē2	
筷	kʰ塊蒯揣又音uai5	
箍	ku1	
箏	tsən1	
算	sõ5	
管	kõ1	
箭	tsiē5	
箱	siaŋ1	
箸	tɕy5	
節	ts姐=p7	
範	fan5	
篆	tɕyě5	
篇	pʰiē1	
築	tʂəu7	
篙	kz1	
篡	tsʰõ5	
篦	pei6-	
篦	pei5=	
篩	sai1	
篷	poŋ2	
篾	mp7	
簍	ləu2	
簟	tiē6-	
簟	tiē5=	
簡	kan1	
簧	faŋ2	
簪	tsan1	
簪	tsan2	又音
簫	siau1	
簷	iē2	
簸	po5	
簽	tsʰiē1	
簾	liē2	
簿	pai2	
簿	pu5	
簿	pu6	
籃	lan2	
籌	tʂəu2	
籍	tsi7	
籠	lpʰ2	
籬	li2	
籮	lo2	
籲	ɕȵ1	
粉	fən2	
粒	li5	
粗	tsʰəu1	
粟	siəu7	
粥	tʂəu7	
粱	liaŋ2	
粳	kən1	
粵	ye7	
粹	tsʰei5	
糉	tspʰ5	
精	tsin1	
糕	kz1	
糖	taŋ2	
糙	tsʰau5	
糜	mei2	
糞	fən5	
糟	tsau1	
糠	kʰaŋ1	
糧	liaŋ2	
糯	lo6-	
糯	lo5=	
糶	tʰiau5	
糶	ti7	
系	ɕi5	
糾	tɕiəu1	
紀	tɕi2	
紂	tʂəu5	
約	io7	
紅	xpʰ2	
紋	lo2	
紋	uən2	
納	la7	
紐	ȵiəu2	
純	ɕyn2	
紗	sa1	
紙	tʂʅ2	
級	tɕi7	
紛	fən1	
素	səu5	
紡	faŋ2	
索	so7	
紫	tsɿ2	
紮	tsa7	
累	lei2	連~
細	si5	
紹	ʂz5	
終	tʂpʰ1	
組	tsəu2	
絆	pan5	
結	tɕp7	
絕	ts姐=p7	
絞	tɕiau2	
絡	lo7	
給	tɕi7	
絨	ȵi2	
絨	ioŋ2	
絮	si5	
統	tʰpʰ1	
絲	sɿ1	
絹	tɕyě5	
綁	paŋ2	
綏	ɕi1	
經	tʂaŋ2	
綜	tspʰ1	
綠	ləu7	
綢	tʂəu2	
維	tsai2	
維	uei2	
綱	kaŋ1	
綴	tɕyei5	
綻	tsan5	
綽	tʂo7	
綿	miē2	
緊	tɕin2	
緖	si5	
緖	ɕȵ5	
線	siē5	
緝	tsi7	
緝	tsʰi7	又音
緞	tõ5	
緣	yě2	
編	piē1	
緩	xõ2	
緬	miē2	
緯	uei2	
練	liē5	
縛	xo5	
縣	ɕiē6-	
縣	ɕiē5=	
縫	xpʰ6-	
縫	xpʰ2	
縫	xpʰ5=	
縮	səu7	
縱	tspʰ5	
縷	lei2	
總	tspʰ2	
績	tsi7	
績	tsʰi7	~線
繁	fan2	
織	tʂʅ7	
繞	iau2-	
繡	siəu5	
繩	ʂən2	
繪	fei6-	
繪	fei5=	
繭	tɕiē2	
繰	tsʰiau1	~邊
繳	tɕiau2	
繼	tɕi5	
纂	tsõ1	
續	səu7	
纏	tʂə̃2	
纓	in1	
纜	lan2	
纜	lan6	又音
紝	zən5	
缸	kaŋ1	
缺	tɕʰye7	
缽	po7	
罐	kõ5	
罕	xan2	
罪	ts嘴ei6-	
罪	ts嘴ei5=	
罰	fa7	
署	ɕȵ5	
罵	ma6-	
罵	ma5=	
罷	pa6-	
罷	pa5=	
羅	lo2	
羊	iaŋ2	
羌	tɕiaŋ1	
美	mei2	
羔	kz1	
羞	siəu1	
羣	tɕyn2	
羨	siē5	
義	ȵi5	
羹	kən1	
羽	ȵ̍2	
翁	pʰ1	
翅	tʂʰʅ5	
翎	lin2	
習	si7	
翠	tsʰei5	
翡	fei2	
翰	xan5	
翻	fan1	
翼	i5	
耀	iau5	
老	lau2	
考	kʰz1	
者	tʂz1	
而	z2	
耍	sa1	
耐	lai6-	
耐	lai5=	
耕	kən1	
耗	xz5	
耙	pa2	
耬	ləu2	
耳	z2	
耶	p1	
耽	tan1	
耿	kən1	
耿	kʰən1	
耿	kan1	又音
聊	liau2	
聘	pʰin5	
聚	tsi6-	
聚	tsi5=	
聞	uən2	
聯	liē2	
聰	tsʰpʰ1	
聲	ʂən1	
聶	ȵp7	
職	tʂʅ7	
聽	tin5	
聾	lpʰ1	
肄	i5	
肅	səu7	
肆	sɿ5	
肉	zəu7	
肋	lə7	
肌	tɕi1	
肘	tʂəu2	
肚	təu2	
肚	təu6	~臍
肝	kan1	
股	ku2	
肢	tʂʅ1	
肥	fei2	
肩	tɕiē1	
肪	faŋ1	
骯	kʰaŋ1	~髒
肯	kʰən1	
育	zəu7	
肴	ɕiau2	
肺	fei5	
胃	uei5	
背	pei6-	
背	pei5=	
胎	tʰai1	
胖	pʰaŋ5	
胚	pei1	
胛	ka7	
胞	pau1	
胡	fu2	
胸	ɕioŋ1	
能	lən2	
脂	tʂʅ2	
脅	ɕp7	
脆	tsʰei5	
脈	mə7	
脊	tsi7	
脫	tʰo7	
脯	pʰu1	杏~
脯	pʰu1	胸~
脹	tʂaŋ5	
脾	pi2	
腆	tiē1	
腋	i7	
腎	ʂən5	
腐	fu2	
腑	fu2	
腔	tɕʰiaŋ1	
腡	lo2	
腥	sin1	
腥	sin5	
腦	lau2	
腫	tʂpʰ2	
腮	sai1	
腰	iau1	
腳	tɕio7	
腵	xa1	~腰
腸	tʂaŋ2	
腹	附戶=滬戽~互護=婦負富副瓠~子u7	
腿	tʰei1	
膏	kz1	
膘	piau1	
膚	fu2	
膜	mo2	
膝	si7	
膠	kz1	
膠	tɕiau1	
膨	pən1	
膩	ȵi6	
膳	ʂə̃5	
膽	tan2	
膿	lpʰ2	
臀	tən2	
臀	i5	
臂	pei5	
臉	liē2	
臊	sau1	
臍	tsi2	~帶
臍	tsi5	肚~
臘	la7	
臣	tʂən2	
臥	o5	
臨	lin2	
自	tsɿ6-	
自	tsɿ5=	
臭	tʂʰəu5	
至	tʂʅ5	
致	tʂʅ5	
臺	tai2	
臻	tsən1	
臼	tɕiəu5	
舀	iau2	
舁	ȵ̍2	
舅	tɕiəu6-	
舅	tɕiəu5=	
與	ȵ̍2	
興	ɕin1	~旺
興	ɕin5	高~
舉	tɕy2	
舊	tɕiəu6-	
舊	tɕiəu5=	
舌	ʂz7	
舍	ʂz5	
舒	ɕȵ1	
舔	tiē1	以舌取物
舜	ɕyn5	
舞	u2	
舟	tʂəu1	
航	xaŋ2	
般	põ2	
舵	to6-	
舵	to5=	
船	tɕyě2	
艇	tin1	
艦	kan5	
良	liaŋ2	
艱	kan1	
色	sə7	
艾	ȵai6-	
艾	ȵai5=	
芋	ȵ̍6-	
芋	ȵ̍5=	
芍	ʂo7	
芒	maŋ2	
芙	fu2	
芝	tʂʅ1	
芥	kai5	
芬	fən1	
芭	pa1	
芮	lei5	
芯	tʰə7	
花	fa1	
花	xo2	
芳	faŋ1	
芹	tɕin2	
芽	ŋa2-	
芽	ȵ̍2=	
苔	tʰai1	
苗	miau2	
苟	kəu1	
若	io7	
苦	kʰu1	
苧	tɕy5	
英	in1	
茂	məu5	
茄	tɕia2-	
茄	tɕp2=	
茅	mau2	
茫	maŋ2	
茬	tsa2	
茲	tsɿ1	
茴	fei2	
茶	tsa2	
荀	sən2	
草	tsʰau1	
荊	tɕin1	
荒	faŋ1	
荔	li5	
荷	xo2	
荷	xo5	
莊	tɕyaŋ1	
莖	tɕin5	
莠	iəu2	
莧	ɕiē5	
莫	mo7	
莽	maŋ2	
菊	tɕy7	
菌	tɕyn6-	
菌	tɕyn5=	
菖	tʂʰaŋ1	~蒲
菜	tsʰai5	
菠	po1	
菩	pu2	
華	fa2	
菱	lin2	
萄	tau2	
萌	min2	
萌	mpʰ2	
萍	pin2	
萎	uei2	
萬	uan6-	
萬	uan5=	
落	lo7	
葉	p7	
著	tɕy5	
著	tʂo7	~衣
著	tʂo7	睡~
葚	ʂən5	
董	tpʰ2	
葦	uei2	
葬	tsaŋ5	
葵	kuei2	
葷	fən1	
蒙	mpʰ2	
蒜	sõ5	
蒲	pu2	
蒸	tʂən1	
蒼	tsʰaŋ1	
蒿	xz1	
蓄	ɕ朽iəu7	儲~
蓉	ioŋ2	
蓋	kai5	
蓑	so1	
蓖	pei1	
蓬	poŋ2	
蓮	liē2	
蓴	ɕyn2	
蔓	man5	
蔔	pʰu7	
蔗	tʂz5	
蔡	tsʰai5	
蔣	tsiaŋ2	
蔥	tsʰpʰ1	
蔬	səu1	
蔭	in1	
蔽	pei5	
蕉	tsiau1	
蕎	tɕiau2	
蕩	tʰaŋ5	
蕭	siau1	
薄	po7	
薄	po6	~荷
薄	pʰo5	又音
薅	xz1	
薑	tɕiaŋ1	
薛	sp7	
薦	tsiē5	
薩	sa7	
薪	sin1	
薯	ɕȵ2	
薰	ɕyn1	
薹	tɕiaŋ1	
薺	tsi5	
藉	ts姐=p5	
藉	tsi7	
藍	lan2	
藏	tsaŋ2	
藏	tsaŋ5	~族
藐	miau2	
藕	ŋəu1	
藝	ȵi6-	
藝	ȵi5=	
藤	tən2	
藥	ȵ̍2	
藥	io7	
藩	fan2	
藹	ȵai2	
藿	xo7	
