#漢字	音標	解釋
#簡稱	/	長樂洋嶼
#全稱	/	長樂洋嶼話
#聲母	/	
#韻母	/	
#聲調	/	21 1 1a 陰平 ꜀,51 2 1b 陽平 ꜁,55 3 2 上 ꜂,,31 5 3 去 ꜄
#版本	/	2022-03-16
#錄入人	/	鶩高赭紗匕
#參考資料	/	《福建洋嶼官話同音字匯》
#說明	/	
□	xu2	荒 ～ 地: 荒地
□	la2	毛～ : 毛虫
□	pie2	～袖子: 挽袖子
□	ie2	吞 咽
□	tuo2	一 ～仔: 一小团
□	mau2	
□	tsau2	
□	vaŋ2	～ pa33: 地方
□	tɕʰieŋ2	
□	veiŋ2	动词，亲
□	xu3	～骨: 尸骨
□	ma3	
□	ve3	动词，舀
□	piau3	“不要”的合音
□	keu3	鼻liŋ ～ 渣: 鼻 垢
□	maŋ3	～ 去: 勉强、迁 就
□	piŋ3	
□	tɕiŋ3	～ ～ 薄: 极薄
□	souŋ3	
□	li5	鸬～ : 鸬鹚
□	li5	鼻～ : 鼻涕
□	tɕʰi5	打喷～ : 打喷嚏
□	pu5	～ 开: 拨开
□	tʰy5	
□	tɕia5	～使命: 非常使劲
□	læε5	恶 ～ : 难看
□	læε5	
□	kæε5	大脑 ～ : 前额生的突出
□	kæε5	形容词，好～ : 极好
□	ɤ5	
□	mau5	烂
□	nau5	“那号”的 合 音，～样: 那样
□	tsau5	胳～窝: 胳肢窝
□	tsau5	“这号”的合音，～样: 这样
□	tieŋ5	～ thy: 啰嗦
□	tyeŋ5	跺
□	liŋ5	鼻～窟窿: 鼻孔
□	touŋ5	～ 不住: 受不了
一	i2	
七	tɕʰi2	
万	vaŋ5	
丈	tsaŋ5	
上	saŋ5	
下	ɕia5	
丐	kæε5	
丑	tsʰeu3	天干
丑	tsʰeu3	～陋
世	sɿ5	
丙	piŋ3	
叢	tsʰouŋ2	
丞	tsʰeiŋ2	
兩	liaŋ3	～ 个; 几 ～
嚴	ieŋ2	
个	kɤ5	
个	kuo5	
中	tsouŋ5	打～
串	tsʰuaŋ5	
臨	liŋ2	
丸	vaŋ2	鱼 ～
爲	ve2	作 ～
爲	ve5	～ 什么
主	tsu3	
丽	li5	
舉	tɕy3	
久	tɕiu3	
義	i5	
乓	pʰouŋ2	
喬	tɕʰiau2	
乘	tsʰeiŋ2	
乙	i2	
九	tɕiu3	
乞	tɕʰi3	
也	ie3	
習	ɕi2	
買	mæε3	
亂	luaŋ5	
乳	zu3	
乾	tɕʰieŋ2	
了	liau3	
事	sɿ5	
二	ɤ5	
雲	yŋ2	
互	xu5	
五	u3	
井	tɕiŋ3	
亞	ia5	
亡	vaŋ2	
亦	i2	
產	tsʰaŋ3	
畝	meu3	
享	ɕiaŋ3	
亭	tʰiŋ2	
亮	liaŋ5	
親	tɕʰiŋ5	～家公
人	zeiŋ2	
億	i2	
仁	zeiŋ2	
僅	tɕiŋ3	
仆	pʰu2	倒
仆	pʰu5	～人
仇	tsʰeu2	
仇	tɕʰiu2	姓
介	kæε5	
从	tsʰouŋ2	
仕	sɿ5	
仗	tsaŋ5	
付	xu5	
代	tæε5	
令	liŋ5	
以	i3	
儀	i2	
仰	iaŋ3	
件	tɕieŋ5	
價	tɕia5	
任	zeiŋ5	
份	feiŋ5	
仿	faŋ3	
企	tɕʰi3	
伍	u3	
伏	xu2	
衆	tsouŋ5	
伙	xuo3	
傘	saŋ3	
偉	ve3	
傳	tsʰuaŋ2	
傳	tsuaŋ5	～记
僞	ve3	
估	ku3	
伴	paŋ5	
伺	tsʰɿ5	
似	sɿ5	
佃	tieŋ5	
但	taŋ5	
位	ve5	
住	tsu5	
佐	tsuo3	
佑	iu5	
體	tʰi3	
何	xuo2	
余	y2	
佛	xuo2	
作	tsuo5	
你	ni3	
佣	iouŋ5	
佩	pʰe5	
使	sɿ3	
侄	tsɿ2	
例	li5	
侍	sɿ5	
供	kouŋ5	上～
側	tsʰɤ2	
僑	tɕʰiau2	
便	pʰieŋ2	～宜
便	pieŋ5	方～
促	tsʰu2	
俄	uo2	
俊	tɕyŋ5	
俏	tɕʰiau5	
