#漢字	音標	解釋
□	tsʰɿ1	擦
一	i2	
丁	tin1	
七	tɕʰi2	
万	uan5	
丈	tʂaŋ5	
三	san1	
上	ʂaŋ323	
不	puə2	
丑	tʂʰəu3	
專	tʂuan1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	niɛ5	
東	toŋ1	
絲	sɿ1	
丢	tiəu1	
兩	liaŋ42	
嚴	in2	
喪	saŋ1	
喪	saŋ5	~失
中	tʂoŋ1	
中	tʂoŋ5	打~
丰	foŋ1	
串	tʂʰuan5	
臨	lin2	
丹	tan1	
爲	uei5	
主	tʂuə3	
舉	tɕi3	
乃	nai3	
久	tɕiəu3	
義	i5	
之	tʂʅ1	
烏	uə1	
乍	tʂa5	
樂	io2	
樂	lo2	欢乐
乖	kuai1	
乘	tʂʰən2	
九	tɕiəu3	
也	iɛ3	
習	ɕi2	
鄉	ɕiaŋ1	
書	ʂuə1	
買	mai3	
亂	lan5	
乳	ʐuə3	
了	liao3	
爭	tsən1	
事	sɿ5	
二	æ5	
于	i2	
虧	kʰuei1	
云	in2	
互	xuə5	
五	uə3	
井	tɕin42	
亞	ia5	
些	ɕiɛ1	
亡	uaŋ2	
亢	kʰaŋ5	
交	tɕiao1	
產	tʂʰan3	
畝	muə3	
京	tɕin1	
亮	liaŋ5	
親	tɕʰin1	
親	tɕʰin5	~家
人	ʐən2	
億	i5	
仁	ʐən2	
僅	tɕin42	
仆	pʰuə2	
仇	tʂʰəu2	
今	tɕin1	
介	kai5	
从	tsʰoŋ2	
仑	lən2	
倉	tsʰaŋ1	
仔	tsɿ3	
他	tʰa1	
付	fuə5	
仙	ɕin1	
代	tai5	
令	lin5	
以	i3	
仰	iaŋ3	
件	tɕin5	
價	tɕia5	
任	ʐən5	
份	fən5	
伐	fa2	
休	ɕiəu1	
衆	tʂoŋ5	
優	iəu1	
伙	xo3	
會	xuei5	
傘	san3	
偉	uei3	
傳	tʂʰuan2	
傷	ʂaŋ1	
伯	pɛ2	
伴	pan5	
位	uei5	
低	ti1	
住	tʂuə5	
佐	tso3	
體	tʰi3	
佛	fo2	
作	tso5	
你	ni42	
佩	pʰei5	
佰	pɛ2	
使	ʂʅ3	
侄	tʂʅ2	
例	li5	
供	koŋ1	
俠	ɕia2	
侵	tɕʰin1	
便	pin5	
俏	tɕʰiao5	
保	pao3	
信	ɕin5	
修	ɕiəu1	
俸	foŋ5	
俺	an3	
倍	pei5	
倒	tao5	
倒	tao3	~塌
倔	tɕiɛ5	
候	xəu5	
借	tɕiɛ5	
債	tʂai5	
假	tɕia3	
偏	pʰin1	
做	tso5	
停	tʰin2	
偶	əu3	
偷	tʰəu1	
傍	paŋ5	
傣	tai3	
傲	ao5	
傻	ʂa3	
僧	sən1	
兒	æ2	
元	in2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
先	ɕin1	
光	kuaŋ1	
克	kʰɛ5	
免	min3	
兑	tei5	
兔	tʰuə5	
黨	taŋ3	
兜	təu1	
入	ʐuə2	
全	tɕʰin2	
八	pa2	
公	koŋ1	
六	luə2	
蘭	lan2	
共	koŋ5	
關	kuan1	
興	ɕin1	
興	ɕin5	高~
兵	pin1	
其	tɕʰi2	
具	tɕi5	
典	tin3	
兹	tsɿ1	
養	iaŋ3	
獸	ʂəu5	
内	nei5	
岡	kaŋ1	
册	tsʰɛ2	
再	tsai5	
冒	mao5	
冗	ʐoŋ2	
寫	ɕiɛ3	
軍	tɕin1	
農	noŋ2	
冠	kuan5	
冤	in1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tʂʰoŋ1	
決	tɕiɛ2	
况	kʰuaŋ5	
冶	iɛ3	
冷	lən3	
凍	toŋ5	
淨	tɕin5	
準	tʂuən42	
涼	liaŋ1	
減	tɕin42	
湊	təu5	~钱
湊	tsʰəu5	~合
凝	nin2	
凡	fan2	
鳳	foŋ5	
凭	pʰin2	
凱	kʰai3	
凳	tən213	
凶	ɕioŋ1	~恶
凸	tʰuə1	
擊	tɕi2	
函	xan2	
鑿	tso2	
刀	tao1	
刁	tiao1	
分	fən1	
分	fən5	本~
切	tɕʰiɛ2	
刊	kʰan1	
划	xua2	划船
划	xua5	计划
列	liɛ2	
劉	liəu2	
剛	kaŋ1	
創	tʂʰuaŋ5	
初	tsʰuə1	
删	ʂan1	
判	pʰan5	
刨	pʰao2	
利	li5	
别	piɛ2	
刮	kua2	
到	tao5	
制	tʂʅ5	
刷	ʂua2	
刹	sa5	
刺	tsʰɿ5	
刴	to213	
剃	tʰi5	
削	ɕio2	
前	tɕʰin2	
剮	kua3	
劍	tɕin5	
剔	tʰi1	
剝	po2	
剩	ʂən5	
剪	tɕin42	
割	ko2	
劈	pʰi1	
勸	tɕʰin5	
辦	pan5	
加	tɕia1	
務	uə5	
劣	liɛ2	
動	toŋ5	
助	tsuə5	
努	nuə3	
勵	li2	
勁	tɕin5	
勞	lao2	
勢	ʂʅ5	
勇	ioŋ3	
勒	lɛ5	
勤	tɕʰin2	
勺	ʂo2	
勾	kəu1	
匀	in2	
包	pao1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
北	pɛ2	
匙	tʂʰʅ3	
匠	tɕiaŋ5	
匣	ɕia2	
匪	fei3	
匹	pʰi1	
區	tɕʰi1	
醫	i1	
十	ʂʅ2	
千	tɕʰin1	
升	ʂən1	
午	uə3	
半	pan5	
華	xua2	
協	ɕiɛ2	
卒	tsuə2	
卓	tʂo2	
單	tan1	
賣	mai5	
南	nan2	
卡	kʰa3	
卦	kua5	
臥	o213	
衛	uei5	
卯	mao3	
印	in5	
危	uei2	
卵	lan3	
廠	tʂʰaŋ3	
厄	æ2	
廳	tʰin1	
历	li2	
厲	li5	
壓	ia2	
廁	tsʰɛ2	
厚	xəu5	
原	in2	
廚	tʂʰuə2	
縣	ɕin5	
参	tsʰan1	
参	sən1	人~
又	iəu5	
叉	tʂʰa1	
及	tɕi2	
友	iəu3	
雙	ʂuaŋ1	
反	fan3	
发	fa2	~现
发	fa1	头~
叔	ʂuə2	
取	tɕʰi3	
受	ʂəu5	
變	pin5	
叛	pʰan5	
叟	səu3	
疊	tiɛ2	
口	kʰəu3	
古	kuə3	
句	tɕi5	
另	lin5	
只	tʂʅ3	数词
只	tʂʅ1	量词
叫	tɕiao5	
召	tʂao1	
可	kʰo3	
台	tʰai2	
右	iəu5	
葉	iɛ2	
號	xao5	
司	sɿ1	
嘆	tʰan5	
吃	tʂʰʅ2	
合	xo2	
