#漢字	音標	解釋
㮇	pʰe6	~笔
㿭	tɕʰe7	
䉲	mi8	竹篾
一	iɛ7	
丁	tɐn1	
七	tsʰɛ8	
万	vã6	
丈	tʰɛ̃3	
三	sã1	
上	ɕɐŋ3	~山
上	ɕɐŋ3	~面
下	hɔ3	~降
下	hɔ6	底~
不	pu6	官话借词
丑	tɕʰau5	
專	tɕũ1	
丕	pʰe5	
世	ɕɛ3	
丘	kʰiɐu3	
丙	pɐn3	
業	niɛ6	官话借词
叢	tsõ2	
東	tõ1	
絲	sɛ1	
丞	tɕʰɐn6	官话借词
丟	pʰi7	
兩	nɛ̃3	~个
兩	lɛ̃3	几~
嚴	iɛ̃6	官话借词
並	pin9	
喪	saŋ9	
个	kəu5	
丫	uɔ6	~头
中	tɕõ5	射~
中	tɕõ6	当~
丰	fõ1	
串	tɕʰõ5	
臨	liã2	
丸	vã2	肉~
丹	tã1	
爲	vɛ6	~什么
爲	ve6	官话借词，作~
主	tɕu3	
舉	ki3	
久	kiau3	
義	i9	
乏	fa6	官话借词
樂	ləu8	
乖	kua1	
乘	tɕɐn2	
乙	i6	官话借词
九	kiau3	
也	æ3	
也	iɛ5	官话借词
習	se7	
鄕	hɛ̃1	
書	ɕəu1	
買	mã3	
亂	lũ6	
乾	kɔ̃1	~湿
乾	kʰiɛ̃6	~坤
了	li3	~结
爭	tɕɐn3	官话借词
事	sɛ6	
二	ȵi6	
于	i2	
虧	kʰuɛ1	
雲	iɐŋ2	
互	vu9	
五	ŋ̍3	
井	tsɐn3	
亡	vaŋ6	官话借词
交	ka1	~公粮
交	kau1	~钱
交	kiau3	官话借词
亦	i6	官话借词
產	tɕʰã5	
亨	hɐŋ1	
畝	mau3	
京	kɐn1	
亭	tɐn2	
亮	liɐŋ9	
親	tsʰɐŋ1	
人	ȵɐŋ2	
億	i9	
什	ɕi6	官话借词，~物
仁	ȵɐŋ2	
僅	kĩ5	官话借词
仆	pʰu6	官话借词
仇	tɕau2	
今	ke6	
介	ka5	
仍	ĩ6	
从	tsʰõ6	~容
从	tsõ2	跟~
仑	lɐn6	官话借词
倉	tsʰɔ̃1	
仕	sɛ6	
他	tʰɔ1	
仗	tɕʰɐŋ6	
仙	sĩ1	
代	tæ5	
令	lɐn6	
以	ʔi3	
儀	i6	官话借词
仰	ȵɛ̃3	
仲	tɕõ5	
件	kʰĩ3	
價	kɔ5	
任	ĩ9	姓
任	ȵɐŋ6	责~
份	fɐŋ6	
仿	fɔ̃3	~效
仿	fɔ̃3	~佛
仿	fɔ̃3	相似
企	kʰi9	
伍	ŋ̍3	
伏	fu6	官话借词
伐	fa6	官话借词
衆	tɕõ9	
優	iɐu3	
伙	fə3	
會	kʰuai9	~计
傘	sã5	
傳	tɕʰũ6	~达
伢	ȵa6	
傷	ɕɛ̃1	
倫	lɐn6	官话借词
伯	pɔ5	
估	ku3	
伴	pã9	
伶	lɐn6	
伸	ɕɐn3	官话借词
佃	tĩ5	
但	tã9	
佈	pu9	
位	vɛ6	
低	te1	
住	tʰi6	
佐	tsiɐu3	
體	tʰe3	
佔	tɕin5	
佘	ɕɛ1	
佛	fɛ8	
佛	fu6	官话借词，仿~
作	tsəu7	
你	næ3	
倂	pin9	合~
使	ɕæ3	
侄	tɕʰɛ8	
例	li9	
侍	sɿ9	
供	kiõ1	~养
供	kõ3	~给
依	i1	
偵	tɕɐn1	
側	tɕɔ7	
侮	vu3	
侯	hau6	
侵	tsʰĩ9	
便	pʰĩ6	~宜
便	pʰĩ6	方~
促	tsu6	
俄	ŋuɔ2	
俊	tsɐn9	
保	pəu3	
信	sɐŋ5	
儉	kɛ̃5	
修	siɐu1	
俯	fu5	
倶	ki9	
俸	fõ6	
倍	pu5	
倒	tʰəu3	~水
倒	pʰu6	官话借词
倒	ləu7	打~
倔	kɛ6	官话借词，~强
候	hau6	
倚	i3	
借	tsɛ5	
倡	tɕʰɐŋ3	官话借词
倦	næ5	
倦	kɛ̃5	
債	tɕa5	
値	tiɔ8	
傾	kʰin5	
假	kɔ5	放~
假	kɔ3	真~
偏	pʰĩ1	
做	tsəu7	
停	tɐn2	
健	kɛ̃9	
偸	tʰau1	
償	ɕɛ̃2	
傀	kʰuei1	~儡
傅	fu9	
傑	kiɛ6	
傢	kɔ1	
催	tsʰu1	
傻	mau5	
像	sɛ̃5	
像	siɐŋ9	
像	tsʰɛ̃6	好~
僕	pʰu6	
僧	sɐŋ1	
僵	kʰiɐŋ3	
僻	pi5	官话借词
儘	tsĩ9	~前
儡	le5	傀~
允	ĩ5	官话借词
元	iɛ̃6	官话借词
兄	fɐn1	
充	tɕʰõ6	
兆	tsau3	
先	sĩ1	
光	kɔ̃1	
克	kʰɔ7	
克	kʰə6	官话借词
免	mĩ3	
兌	te9	
