#漢字	音標	解釋#('cmn_jh_hc_fdgc', '肥東古城話', '肥東古城', '#800080', None, None, '更新：2021-11-15<br>來源：osfans整理自栗華益、鄒冠麗《安徽肥東古城方言同音字彙》', '31 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,213 3 2 上 ꜂,,53 5 3 去 ꜄,,44 7 4 入 ꜆')
扣	kʰɵ5	
扭	tʂɵ3	擰；不順:這件事很～手
扭	ȵȡiɵ3	
扭	tʂən3	擰
扮	pã5	
扳	pã1	
扶	fʉ2	
批	pʰɿ1	
扼	ŋɐ7	
找	tʂɔ3	
承	tʂʰən2	
技	tsɿ5	
抄	tʂʰɔ1	
把	pᴀ3	～握，～守，一～
把	pᴀ5	柄
抐	ʐuɛ5	沒有牙齒的人喫東西的方式
抓	tʂʰuᴀ1	用手～牌
投	tʰɵ2	
抖	tɵ3	
抗	kʰɑ̃5	
折	tʂɐ7	
折	ʂɐ7	弄～了
披	pʰɿ1	
抬	tʰɛ2	
抰	iɑ̃1	利用人情關係強迫他人做某事
抱	pɔ5	
抵	tsɿ3	
抹	mɐ7	
押	iɐ7	
抽	tʂʰɵ1	
抿	miɪn3	
拃	tʂᴀ3	
拄	tʂʰʉ3	
拆	tʂʰɐ7	
拇	mo3	
拈	ȵȡiɪ̃1	撿
拉	lᴀ1	
拋	pʰɔ1	
拌	pã3	扔
拌	poŋ5	
拍	pʰɐ7	
拎	ȵȡiɪn1	
拐	kuɛ3	
拒	tʃy5	
拔	pɐ7	
拖	tʰo1	
拘	tʃy1	
招	tʂɔ1	
拜	pɛ5	
括	kʰuɐ7	
拯	tʂən3	
拱	kʌŋ3	
拳	tɕʰyɪ̃2	
拼	pʰiɪn1	
拽	tʂuɛ1	手凍～了
拽	tʂuɛ5	
拾	ʂɘ7	
拿	lᴀ2	
持	tʂʰʅ2	
挆	to5	放置
指	tʂʅ3	
按	ŋã5	
挑	tʰiɔ1	
挑	tʰiɔ3	～明
挓	tʂᴀ1	
挖	uɐ7	
挖	uᴀ1	
挨	ŋɛ1	
振	tʂən5	
挺	tʰiɪn3	
挽	uã3	
挾	tɕiɐ7	
捅	tʰʌŋ3	
捅	tʰʌŋ3	挪
捆	kʰun3	
捉	tʂuɐ7	
捋	lo3	用手把散開的物體聚集到一起
捎	ʂɔ1	
捏	ȵȡiɐ7	
捐	tɕyɪ̃1	
捕	pʉ3	
捧	pʰoŋ3	
捨	ʂi3	
捨	ʂɵ3	
捱	ŋɛ2	
捷	tɕiɐ7	
捺	lɐ7	
捻	ȵȡiɪ̃3	
捽	tsuɘ7	賄賂
捽	tsʰuɘ7	擠壓
掀	ɕiɪ̃1	
掂	tiɪ̃1	
掃	sɔ3	
掇	tɐ7	
授	ʂɵ5	
掌	tʂɑ̃3	
掏	tʰɔ1	
排	pʰɛ2	
掘	tɕʰyɘ7	
掘	tɕyɐ7	
掛	kuᴀ5	
掟	tiɪn5	打
掠	ȵȡiɐ7	
採	tsʰɛ3	
探	tʰã5	
接	tɕiɐ7	
控	kʰʌŋ5	
推	tʰei1	
掩	iɪ̃3	
措	tsʰo5	
掫	tsʰɵ1	
掭	tʰiɪ̃5	
揀	tɕiɪ̃3	
揈	xʌŋ1	
揉	ʐɵ2	
揎	ɕyɪ̃1	摘下植物的葉子
描	miɔ2	
提	tsʰɿ2	
插	tʂʰɐ7	
揖	iɘ7	
揚	iɑ̃2	
換	xõ5	
握	uɘ7	
握	uɐ7	
揢	tɕʰiᴀ5	
揣	tʂʰuɛ1	
揩	kʰɛ1	
揪	tɕiɵ1	
揭	tɕiɐ7	
揮	xuei1	
援	yɪ̃2	
損	sən3	
搓	tsʰo1	
搖	iɔ2	
搜	sɵ1	
搞	kɔ3	
搠	ʂuɐ7	打人
搡	sɑ̃3	
搨	tʰɐ7	
搪	tʰɑ̃2	
搬	poŋ1	
搭	tɐ7	
搲	uᴀ3	
搶	tɕʰiɑ̃3	
搽	tʂʰᴀ2	
摏	tʂʰʌŋ1	打人；用力釘進去
摘	tsɐ7	
摜	kuã5	
摟	lɵ3	
摩	mo2	
摳	kʰɵ1	
摴	tsʰo1	～開:分開
摸	mo1	做事慢慢吞吞
摹	mo2	
摽	piɔ5	暗地裏察看:我一直在裏面～着他
撂	ȵȡiɔ5	
撇	pʰiɐ7	舀出最上層液體
撈	lɔ1	
撐	tsʰən1	
撒	sɐ7	～手
撒	sᴀ3	～種子
撓	lɔ2	
撕	sɿ1	
撞	tʂuɑ̃5	
撣	tã3	
撤	tʂʰɐ7	
撥	pɐ7	
撧	tʃʰy3	～斷
撩	ȵȡiɔ2	
撫	fʉ3	
撮	tsʰɐ7	
撲	pʰuɘ7	
撼	xã5	
擀	kã3	
擁	iʌŋ3	
擇	tsɐ7	
擊	tɕiɘ7	
擋	tɑ̃3	
操	tsʰɔ1	
擒	tɕʰiɪn2	
擓	kʰuã5	用胳膊挎着:～個籃子去買菜
擔	tã1	～任
擔	tã5	挑～
擗	pʰɿ3	
擗	pʰiɘ7	打人
據	tʃy1	
擠	tsɿ3	
擦	tsʰɐ7	
擩	ʐʉ3	
擬	zɿ3	
擱	kɐ7	
擲	tʂɘ7	
擴	kʰuɐ7	
擺	pɛ3	
擾	ʐɔ3	
攀	pʰã1	
攆	ȵȡiɪ̃3	
攉	xo3	倒掉
攋	lɛ3	拔
攏	lʌŋ3	
攔	lã2	
攙	tʂʰã1	
攜	ɕi2	
攝	ʂɐ7	
攢	tsã3	
攤	tʰã1	
攪	tɕiɔ3	
攬	lã3	
攮	lɑ̃3	
支	tʂʅ1	
收	ʂɵ1	
改	kɛ3	
放	fɑ̃5	
政	tʂən5	
故	kʉ5	
效	ɕiɔ5	
敏	miɪn3	
救	tɕiɵ5	
敗	pɛ5	
敘	ʃy5	
教	tɕiɔ1	
教	tɕiɔ5	
敢	kã3	
散	sã3	鞋帶～了
散	sã5	分～
敦	tən1	
敨	tʰɵ3	
敬	tɕiɪn5	
敲	kʰɔ1	
敲	tɕʰiɔ1	
整	tʂən3	
敵	tiɘ7	
敷	fʉ1	
數	so3	
數	sʉ5	
斃	pɿ5	
文	un2	
斑	pã1	
斗	tɵ3	
料	ȵȡiɔ5	
斛	xuɘ7	
斜	ɕi2	
斜	ɕiᴀ2	
斟	tʂən1	
斤	tɕiɪn1	
斥	tʂʰɘ7	
斧	fʉ3	
斬	tʂã3	
斯	sɿ1	
新	ɕiɪn1	
斷	tõ5	
方	fɑ̃1	
於	jʮ1	
於	jʮ2	
施	ʂʅ1	
旁	pʰɑ̃2	
旅	nzʮ3	
旋	ɕyɪ̃2	
族	tsʰɘ7	
既	tsɿ5	
日	ʐɘ7	
旦	tã5	
旨	tʂʅ3	
早	tsɔ3	
旬	ɕyɪn2	
旱	xã5	
旺	uɑ̃5	
昂	ŋɑ̃2	
昆	kʰun1	
昌	tʂʰɑ̃1	
明	miɪn2	
昏	xun1	
易	zɿ5	
易	zɿ5	交～
昔	ɕiɘ7	
星	ɕiɪn1	
映	iɪn5	
春	tʂʰun1	
昧	mei5	
昨	tsʰo2	
昨	tsʰᴀ2	
昭	tʂɔ1	
是	ʂʅ5	
時	ʂʅ2	
晃	xuɑ̃5	
晉	tɕiɪn5	
晌	ʂɑ̃3	
晚	uã3	
晝	tʂɵ5	
晦	xuei5	
晨	tʂʰən2	
普	pʰʉ3	
景	tɕiɪn3	
晴	tɕʰiɪn2	
晶	tɕiɪn1	
智	tʂʅ5	
暈	iɪn5	
暈	yɪn1	
暑	tʂʰʉ3	
暖	lõ3	
暗	ŋã5	
暢	tʂʰɑ̃5	
暫	tsã5	
暮	mo5	
暴	pɔ5	
曆	ȵȡiɘ7	日～
曉	ɕiɔ3	
曝	pɔ5	
曠	kʰuɑ̃5	
曬	ʂɛ5	
曰	yɐ7	
曲	tɕʰyɘ7	
更	kən1	
更	kən5	
書	ʂʉ1	
曹	tsʰɔ2	
曾	tsən1	
曾	tsʰən2	
替	tsʰɿ5	
最	tsei5	
會	kʰuɛ5	
會	xuei5	
月	yɐ7	
有	iɵ3	
朋	pʰoŋ2	
服	fuɘ7	
朔	sʉ5	
朗	lɑ̃3	
望	uɑ̃5	
朝	tʂɔ1	
朝	tʂʰɔ2	
期	tsʰɿ1	
木	mɘ7	
木	muɘ7	
未	uei5	
末	mɐ7	
本	pən3	
朱	tʂʉ1	
朵	to3	
朽	ɕiɵ3	
杆	kã3	
杈	tʂʰᴀ1	
杉	ʂã1	
杏	ɕiɪn5	
材	tsʰɛ2	
村	tsʰən1	
杖	tʂɑ̃5	
杜	tʉ5	
杞	tsʰɿ3	
束	ʂuɘ7	
杭	xɑ̃2	
杯	pei1	
東	tʌŋ1	
杴	ɕiɪ̃1	
杷	pᴀ1	
松	sʌŋ1	
板	pã3	
枇	pʰɿ2	
枉	uɑ̃3	
析	ɕiɘ7	
枕	tʂən3	
林	ȵȡiɪn2	
枚	mei2	
果	ko3	
枝	tʂʅ1	
枯	kʰʉ1	
枵	ɕiɔ1	
架	tɕiᴀ5	
柄	piɪn3	
柏	pʰɐ7	
某	mo3	
柑	kã1	
染	ʐiɪ̃3	
柔	ʐɵ2	
查	tʂᴀ1	
查	tʂʰᴀ2	
柬	tɕiɪ̃3	
柱	tʂʉ5	
柳	ȵȡiɵ3	
柴	tʂʰɛ2	
柿	sɿ5	
栓	ʂuã1	
栗	ȵȡiɘ7	
校	tɕiɔ5	
校	ɕiɔ5	
株	tʂʉ1	
核	xɛ2	
核	xuɘ7	
根	kən1	
格	kɐ7	
栽	tsɛ1	
桂	kuei5	
桃	tʰɔ2	
桄	kʰuɑ̃1	
桅	uei3	
案	ŋã5	
桌	tʂuɐ7	
桐	tʰʌŋ2	
桑	sɑ̃1	
桶	tʰʌŋ3	
梁	ȵȡiɑ̃2	
梅	mei2	
梔	tʂʅ1	
梗	kən3	
條	tʰiɔ2	
梢	ʂɔ1	
梨	nzɿ2	
梭	so1	
梯	tsʰɿ1	
械	tɕiɛ5	
梳	so1	
棄	tsʰɿ5	
棉	miɪ̃2	
棋	tsʰɿ2	
棍	kun5	
棒	pɑ̃5	
棕	tsʌŋ1	
棗	tsɔ3	
棚	pʰoŋ2	
棟	tʌŋ5	
棠	tʰɑ̃2	
棧	tʂã5	
森	sən1	
棵	kʰo1	
棺	kõ1	
椅	zɿ3	
植	tʂɘ7	
椏	iᴀ1	
椒	tɕiɔ1	
椴	tõ5	
椽	tʂʰõ2	
椿	tʂʰun1	
楊	iɑ̃2	
楓	fʌŋ1	
楔	ɕyɐ7	
楚	tsʰʉ3	
楝	ȵȡiɪ̃5	
楞	lən5	
楣	mei2	
楦	ɕyɪ̃5	
業	iɐ7	
極	tɕiɘ7	
楷	kʰɛ3	
概	kʰɛ5	
榆	jʮ2	
榜	pɑ̃3	
榨	tʂᴀ5	
榫	tsʰən5	
榮	iʌŋ2	
榴	ȵȡiɵ2	
榻	tʰɐ7	
構	kɵ5	
槌	tʂʰuei2	
槍	tɕʰiɑ̃1	
槐	xuɛ2	
槓	kɑ̃5	
槯	tsʰei1	水～:水壺
槳	tɕiɑ̃3	
槽	tsʰɔ2	
樁	tʂuɑ̃1	
樂	lɐ7	
樓	lɵ2	
標	piɔ1	
樞	ʂʉ1	
樟	tʂɑ̃1	
模	mo2	
樣	iɑ̃5	
樵	tɕʰiɔ2	
樸	pʰuɘ7	
樹	ʂʉ5	
橘	tɕyɘ7	
機	tsɿ1	
橡	ɕiɑ̃5	
橢	tʰo3	
橫	xõ2	
檀	tʰã2	
檐	iɪ̃2	
檜	xuei5	
檢	tɕiɪ̃3	
櫃	kʰuei5	
櫓	lʉ3	
櫻	iɪn1	
欄	lã2	
權	tɕʰyɪ̃2	
欠	tɕʰiɪ̃5	
次	tsʰɿ5	
欣	ɕiɪn1	
欲	yɘ7	
欺	tsʰɿ1	
欽	tɕʰiɪn1	
款	kʰõ3	
歇	ɕiɐ7	
歌	ko1	
歐	ŋɵ1	
歡	xõ1	
止	tʂʅ3	
正	tʂən1	
正	tʂən5	
此	tsʰɿ3	
步	pʉ5	
武	ʉ3	
歪	uɛ1	
歲	sei5	
歷	ȵȡiɘ7	經～
歸	kuei1	
死	sɿ3	
殃	iɑ̃1	
殆	tɛ5	
殉	ɕyɪn5	
殊	ʂʉ1	
殖	tʂɘ7	
殘	tsʰã2	
殯	piɪn1	
殲	tɕiɪ̃1	
段	tõ5	
殷	iɪn1	
殺	ʂɐ7	
殼	kʰɐ7	
殿	tiɪ̃5	
毀	xuei3	
毅	zɿ2	
毆	ŋɵ1	
母	mo3	
母	pã1	
每	mei3	
比	pɿ3	
毛	mɔ2	
毫	xɔ2	
毯	tʰã3	
氈	tʂã1	
氏	ʂʅ5	
民	miɪn2	
氣	tsʰɿ5	
水	ʂuei3	
永	yɪn3	
汁	tʂɘ7	
求	tɕʰiɵ2	
汆	tsʰõ1	
汗	xã5	
汝	ᴀ3	
江	tɕiɑ̃1	
池	tʂʰʅ2	
污	ʉ1	
汪	uɑ̃1	
汴	piɪ̃5	
決	tɕyɐ7	
汽	tsʰɿ5	
沂	iɘ7	
沃	uɘ7	
沈	ʂən3	
沉	tʂʰən2	
沌	tən5	
沒	mɘ7	
沓	tʰɐ7	
沙	ʂᴀ1	
沛	pʰei5	
沫	mɐ7	
河	xo2	
油	iɵ2	
治	tʂʅ5	
沼	tʂɔ1	
沾	tʂiɪ̃1	
沿	iɪ̃2	
況	kʰuɑ̃5	
泄	ɕyɐ7	
泅	tɕʰiɵ2	
泉	tɕʰyɪ̃2	
泊	pɐ7	
泌	pɿ5	
泔	kã1	
法	fɐ7	
泛	fã5	
泡	pʰɔ1	
泡	pʰɔ5	
波	po1	
泣	tsʰɿ5	
泥	mzɿ2	
注	tʂʉ5	
泰	tʰɛ5	
泳	yɪn3	
洇	iɪn1	
洋	iɑ̃2	
洗	sɿ3	
洛	lɐ7	
洞	tʌŋ5	
津	tɕiɪn1	
洪	xʌŋ2	
洲	tʂɵ1	
活	xuɐ7	
洽	tɕʰiɐ7	
派	pʰɛ5	
流	ȵȡiɵ2	
浙	tʂɐ7	
浜	pɑ̃1	
浦	pʰʉ3	
浩	xɔ5	
浪	lɑ̃5	
浮	fʉ2	
浴	yɘ7	
海	xɛ3	
浸	tɕʰiɪn1	
涕	tsʰɿ5	
涮	ʂuã5	
涯	iᴀ1	
液	zɿ5	
涼	ȵȡiɑ̃2	
淆	ɕiɔ1	
淋	ȵȡiɪn2	
淑	ʂuɘ7	
淘	tʰɔ2	
淚	lei5	
淡	tã5	
淤	jʮ1	
淨	tɕiɪn5	
淪	lən2	
淫	iɪn2	
淮	xuɛ2	
深	ʂən1	
淵	yɪ̃1	
混	xun5	
淹	iɪ̃1	
淺	tɕʰiɪ̃3	
添	tʰiɪ̃1	
清	tɕʰiɪn1	
減	tɕiɪ̃3	
渠	tʃʰy2	
渡	tʉ5	
渣	tʂᴀ1	
測	tsʰɐ7	
港	kɑ̃3	
渴	kʰɐ7	
渺	miɔ3	
渾	xun2	
湁	tʂʰɘ7	潮溼使人難受:衣裳溼了～人
湊	tsʰɵ5	
湊	tɕʰiɵ5	因爲某種原因而賴在一個人身邊不走
湖	xʉ2	
湘	ɕiɑ̃1	
湧	iʌŋ3	
湯	tʰɑ̃1	
溉	kʰɛ5	
源	yɪ̃2	
準	tʂun3	
溜	ȵȡiɵ1	
溝	kɵ1	
溪	sɿ1	
溫	un1	
溼	ʂɘ7	
滅	miɐ7	
滋	tsɿ1	
滑	xuɐ7	
滔	tʰɔ1	
滬	xʉ5	
滯	tʂʰʅ5	
滲	sən5	
滴	tiɘ7	
滷	lʉ3	
滸	xʉ3	
滾	kun3	
滿	moŋ1	
滿	moŋ3	
漁	jʮ2	
漂	pʰiɔ3	
漂	pʰiɔ5	
漆	tɕʰiɘ7	
漏	lɵ5	
演	iɪ̃3	
漚	ŋɵ1	
漢	xã5	
漫	mã5	
漱	sʉ5	
漲	tʂɑ̃3	
漸	tɕiɪ̃5	
漿	tɕiɑ̃1	
潑	pʰɐ7	
潔	tɕiɐ7	
潘	pʰoŋ1	
潛	tɕʰiɪ̃3	
潤	ʐən5	
潭	tʰã2	
潰	kʰuei5	
潲	sɔ5	
潷	piɘ7	
潽	pʰɿ1	溢出
潽	pʰʉ1	
澀	sɐ7	
澄	tən1	
澄	tən5	
澄	tʂʰən2	
澆	tɕiɔ1	
澇	lɔ2	
澗	tɕiɪ̃1	
澡	tsɔ3	
澤	tsɐ7	
激	tɕiɘ7	
濁	tʂuɐ7	
濃	lʌŋ2	
濟	tsɿ5	
濤	tʰɔ1	
濫	lã5	
濺	tɕiɪ̃5	
濾	nzʮ5	
瀉	ɕi5	
瀦	tsʉ1	堵在一個地方
灌	kõ5	
灑	sᴀ3	
灒	tsã5	濺
灘	tʰã1	
灣	uã1	
火	xo3	
灰	xuei1	
灸	tɕiɵ3	
災	tsɛ1	
炊	tʂʰuei1	
炎	iɪ̃2	
炒	tʂʰɔ3	
炕	kʰɑ̃5	
炙	tʂɘ7	
炫	ɕyɪ̃5	
炭	tʰã5	
炮	pʰɔ5	
炴	ŋɑ̃3	慢慢地燃燒
炸	tʂᴀ5	
烀	xʉ1	
烈	ȵȡiɐ7	
烏	ʉ1	
烘	xʌŋ1	
烙	lɐ7	
烤	kʰɔ3	
烹	pʰən1	
焉	iɪ̃1	
焊	xã5	
焙	pei5	
焚	fən3	
無	ʉ2	
然	ʐã3	
煉	ȵȡiɪ̃5	
煎	tɕiɪ̃1	
煙	iɪ̃1	
煠	tʂɐ7	
煤	mei2	
煥	xõ5	
照	tʂɔ5	好
煨	uei1	
煩	fã2	
煪	tɕʰiɵ1	～眼:燻眼睛
煮	tʂʉ3	
熄	ɕiɘ7	
熊	ɕiʌŋ2	
熙	sɿ1	
熟	ʂuɘ7	
熨	yɪn5	
熬	ʐɔ2	
熬	ŋɔ2	
熱	ʐɐ7	
燃	ʐã3	
燈	tən1	
燎	ȵȡiɔ2	
燎	ȵȡiɔ3	
燒	ʂɔ1	
燕	iɪ̃1	
燕	iɪ̃5	
營	iɪn2	
燦	tsʰã5	
燭	tʂuɘ7	
燻	ɕyɪn1	
爆	pɔ5	
爐	lʉ2	
爪	tʂɔ3	
爬	pʰᴀ2	
爭	tsən1	
爲	uei2	
爵	tɕyɐ7	
父	fʉ5	
爹	ti1	
爺	i2	
爽	ʂuɑ̃3	
爾	ᴀ3	
爿	pʰã5	
牀	tʂʰuɑ̃2	
牆	tɕʰiɑ̃2	
片	pʰiɪ̃5	
版	pã3	
牉	pʰã5	一～子:一段時間
牌	pʰɛ2	
牒	tiɐ7	
牙	iᴀ2	
牚	tsʰən5	
牛	ȵȡiɵ2	
牡	mo3	
牢	lɔ2	
牧	muɘ7	
物	uɘ7	
牯	kʉ3	
牲	sən1	
特	tʰɐ7	
牽	tɕʰiɪ̃1	
犁	nzɿ2	
犒	kʰɔ5	
犢	tɘ7	
犧	sɿ1	
犬	tɕʰyɪ̃3	
犯	fã5	
狀	tʂuɑ̃5	
狂	kʰuɑ̃2	
狄	tiɘ7	
狐	xʉ2	
狗	kɵ3	
狠	xən3	
狡	tɕiɔ3	
狸	nzɿ2	
狹	ɕiɐ7	
狼	lɑ̃2	
猛	moŋ3	
猜	tsʰɛ1	
猝	tsʰɘ7	
猴	xɵ2	
猶	iɵ2	
猾	xuɐ7	
獄	yɘ7	
獅	sɿ1	
獎	tɕiɑ̃3	
獨	tɘ7	
獲	xuɐ7	
獵	ȵȡiɐ7	
獸	ʂɵ5	
獻	ɕiɪ̃5	
玄	ɕyɪ̃2	
率	ʂuɛ5	
率	ȵȡiɘ7	
玉	jʮ5	
王	uɑ̃2	
玩	uã2	
玻	po1	
珊	ʂã1	
珍	tʂən1	
珠	tʂʉ1	
班	pã1	
現	ɕyɪ̃5	
球	tɕʰiɵ2	
理	nzɿ3	
琉	ȵȡiɵ2	
琢	tʂuɐ7	
琴	tɕʰiɪn2	
琵	pʰɿ2	
琶	pᴀ1	
瑞	ʂuei5	
瑞	ʐuei5	
瑣	so3	
璃	nzɿ2	
璧	piɘ7	
環	xuã2	
璽	sɿ3	
瓊	tɕʰiʌŋ2	
瓜	kuᴀ1	
瓠	xʉ5	
瓢	pʰiɔ2	
瓣	pã5	
瓤	ʐɑ̃2	不結實
瓦	uᴀ3	
瓦	uᴀ5	動詞
瓶	pʰiɪn2	
瓷	tsʰɿ2	
甕	ŋʌŋ1	
甘	kã1	
甚	ʂən5	
甜	tʰiɪ̃2	
生	sən1	
產	tʂʰã3	～婦
甥	sən1	
用	iʌŋ5	
甩	ʂuɛ3	
甫	fʉ3	
甬	iʌŋ3	
田	tʰiɪ̃2	
由	iɵ2	
甲	tɕiɐ7	
申	ʂən1	
男	lã2	
界	tɕiɛ5	
畏	uei5	
留	ȵȡiɵ2	
畜	tʂʰuɘ7	
畜	ɕyɘ7	
畝	mo3	
畢	piɘ7	
略	ȵȡiɐ7	
番	fã1	
畫	xuᴀ5	
異	zɿ5	
當	tɑ̃1	
當	tɑ̃5	
疃	tʰʌŋ2	
疆	tɕiɑ̃1	
疊	tiɐ7	
疏	sʉ1	
疑	zɿ2	
疔	tiɪn1	
疝	ʂuã5	
疤	pᴀ1	
疥	tɕiɛ5	
疫	yɘ7	
疲	pʰɿ2	
疹	tʂən3	
疼	tʰən2	
疾	tɕiɘ7	
痂	tɕiᴀ1	
病	piɪn5	
症	tʂən5	
痔	tʂʅ5	
痕	xən2	
痛	tʰʌŋ5	
痞	pʰɿ3	頑劣
痢	nzɿ5	
痰	tʰã2	
痱	fei5	
痳	mᴀ2	
痹	pʰɿ5	
瘊	xɵ2	
瘋	fʌŋ1	
瘍	iɑ̃2	
瘟	un1	
瘡	tʂʰuɑ̃1	
瘦	sɵ5	
瘧	ȵȡiɐ7	
瘴	tʂɑ̃5	
瘸	tsʰʮ2	
癡	tʂʰʅ1	
癢	iɑ̃3	
癩	lɛ5	
癬	ɕyɪ̃3	
癸	kʰuei2	
登	tən1	
發	fɐ7	～財
白	pɐ7	
百	pɐ7	
皁	tsɔ5	
皂	tsɔ5	
的	tiɘ7	
皆	tɕiɛ1	
皇	xuɑ̃2	
皖	uã3	
皮	pʰɿ2	
皴	tsʰən1	
皺	tsɵ5	
盂	jʮ2	
盅	tʂʌŋ1	
盆	pʰən2	
盈	iɪn2	
益	iɘ7	
盒	xɐ7	
盔	kʰuei1	
盛	tʂʰən2	
盛	ʂən5	
盜	tɔ5	
盞	tʂã3	
盟	moŋ2	
盡	tɕiɪn5	
監	tɕiɪ̃1	
盤	pʰoŋ2	
盧	lʉ2	
目	muɘ7	
直	tʂɘ7	
相	ɕiɑ̃1	
相	ɕiɑ̃5	
相	tʂʰən5	
盼	pʰã5	
盾	tən5	
省	sən3	
眉	mei2	
看	kʰã1	～守
看	kʰã5	
真	tʂən1	
眠	miɪ̃2	
眨	tʂɐ7	
眯	mzɿ1	
眶	kʰuɑ̃1	
眷	tɕyɪ̃5	
眼	iɪ̃3	
着	tʂuɐ7	
睇	tsʰɿ1	用餘光看
睏	kʰun5	犯～
睛	tɕiɪn1	
睜	tsən1	
睡	ʂuei5	
督	tɘ7	
睬	tsʰɛ3	
瞅	tsʰɵ3	
瞎	ɕiɐ7	
瞑	miɪn2	
瞖	zɿ5	
瞘	kʰɵ1	
瞞	moŋ2	
瞧	tɕʰiɔ2	
瞪	tən5	
瞭	ȵȡiɔ2	
瞳	tʰʌŋ2	
瞻	tʂã1	
瞿	tʃʰy2	
矕	mã1	瞪眼
矛	mɔ2	
矢	tʂʰʅ3	
知	tʂʅ1	
矩	tʃy1	
短	tõ3	
矮	ŋɛ3	
矯	tɕiɔ3	
石	ʂɘ7	
砌	tsʰɿ5	
砍	kʰã3	
砑	iᴀ5	
研	iɪ̃2	
破	pʰo5	
硝	ɕiɔ1	
硫	ȵȡiɵ2	
硬	ŋən5	
硯	iɪ̃5	
碎	sei5	
碑	pei1	
碓	tei5	
碗	õ3	
碟	tiɐ7	
碧	piɘ7	
確	tɕʰyɐ7	
碼	mᴀ3	
碾	ȵȡiɪ̃3	
磁	tsʰɿ2	
磑	ŋɛ2	
磕	kʰɐ7	
磚	tʂõ1	
磢	tsʰɑ̃5	～癢
磣	tsʰən3	
磨	mo2	
磬	tɕʰiɪn5	
磷	ȵȡiɪn2	
礎	tsʰʉ3	
礙	ŋɛ5	
礦	kʰuɑ̃5	
礬	fã2	
示	ʂʅ5	
社	ʂi5	
祁	tsʰɿ2	
祖	tsʉ3	
祝	tʂuɘ7	
神	ʂən2	
祠	tsʰɿ2	
祥	tɕʰiɑ̃2	
票	pʰiɔ5	
祭	tsɿ5	
祿	lɘ7	
禁	tɕiɪn5	
禍	xo5	
福	fuɘ7	
禪	tʂʰã2	～宗
禮	nzɿ3	
禱	tɔ3	
禹	jʮ2	
禽	tɕʰiɪn2	
禾	xo5	
禿	tʰɘ7	
秀	ɕiɵ5	
私	sɿ1	
秉	piɪn3	
秋	tɕʰiɵ1	
科	kʰo1	
秒	miɔ3	
租	tsʉ1	
秦	tɕʰiɪn2	
秧	iɑ̃1	
秩	tʂʰɘ7	
秸	tɕiɛ1	
移	zɿ2	
稀	sɿ1	
稅	ʂuei5	
稈	kã3	
程	tʂʰən2	
稗	pɛ5	
稚	tʂʅ5	
稟	piɪn3	
稠	tʂʰɵ2	
種	tʂʌŋ3	～類
種	tʂʌŋ5	～樹
稱	tʂʰən1	
稱	tʂʰən5	
稻	tɔ5	
稼	tɕiᴀ5	
稽	tsɿ5	
稿	kɔ3	
穆	muɘ7	
積	tɕiɘ7	
穎	iɪn3	
穗	sei5	
穢	xuei5	
穩	un3	
穩	un3	～子:由各種細小的草木和灰塵組成
穭	nzʮ3	
穰	ʐɑ̃2	
穴	ɕyɐ7	
究	tɕiɵ5	
空	kʰʌŋ1	～虛
空	kʰʌŋ5	～缺
穿	tʂʰõ1	
突	tʰɘ7	
窄	tsɐ7	
窒	tsuɘ7	塞
窖	tɕiɔ5	
窗	tʂʰuɑ̃1	
窟	kʰuɘ7	
窠	kʰo1	
窩	o1	
窪	uᴀ5	
窮	tɕʰiʌŋ2	
竄	tsʰõ5	
竅	tɕʰiɔ5	
竈	tsɔ5	
立	ȵȡiɘ7	
站	tʂã5	立
站	tʂã5	車～
竟	tɕiɪn5	
章	tʂɑ̃1	
童	tʰʌŋ2	
端	tõ1	
競	tɕiɪn5	
竹	tʂuɘ7	
笊	tʂɔ5	
笑	ɕiɔ5	
笙	sən1	
笛	tiɘ7	
笠	ȵȡiɘ7	
符	fʉ5	
笨	pən5	
第	tsɿ5	
第	tiɘ7	
筆	piɘ7	
等	tən3	
筋	tɕiɪn1	
筍	sən3	
筐	kʰuɑ̃1	
筒	tʰʌŋ3	
答	tɐ7	
策	tsʰɐ7	
筷	kʰuɛ5	
箅	pɿ5	
箋	tɕʰiɪ̃1	
箍	kʉ1	看～:劉海
箏	tsən1	
箕	tsɿ1	
算	sõ5	
管	kõ3	
箭	tɕiɪ̃5	
箱	ɕiɑ̃1	
箾	suɐ7	用條狀物抽打
節	tɕiɐ7	
範	fã5	
篆	tʂõ5	
篇	pʰiɪ̃1	
築	tʂuɘ7	
篡	tsʰõ5	
篩	ʂɛ1	
篷	pʰoŋ2	
篾	miɐ7	
簍	lɵ3	
簡	tɕiɪ̃3	
簧	xuɑ̃2	
簪	tsã1	
簫	ɕiɔ1	
簸	po3	
簾	ȵȡiɪ̃2	
簿	pʉ5	
籃	lã2	
籌	tʂʰɵ2	
籠	lʌŋ2	
籤	tɕʰiɪ̃1	
籫	tsõ3	花生～子:花生殼上的尾巴
籬	nzɿ2	
籮	lo2	
米	mzɿ3	
粉	fən3	
粒	ȵȡiɘ7	
粗	tsʰʉ1	
粘	tʂiɪ̃1	
粟	suɘ7	
粥	tʂuɘ7	
