#漢字	音標	解釋
#簡稱	/	宜昌
#全稱	/	宜昌話
#聲母	/	
#韻母	/	
#聲調	/	35 1 1a 陰平 ꜀,212 2 1b 陽平 ꜁,32 3 2 上 ꜂,24 5 3 去 ꜄
#版本	/	2022-03-10
#錄入人	/	峽江流月
#參考資料	/	《宜昌方言研究》
#說明	/	
伐	fa2	
休	ɕiəu1	
衆	tsoŋ4	
伙	xuo3	
會	kʰuai4	～计
會	xuei4	开～
傳	tsʰuan2	～达
傳	tsuan4	～记
傷	saŋ1	
倫	nən2	
傖	tsʰaŋ1	
伯	pɤ2	
估	ku3	～计
伴	pan4	
伶	nin2	
伸	sən1	
伺	sɿ4	
似	sɿ4	
佃	tiɛn4	
但	tan4	
佈	pu4	
低	ti1	
住	tsu4	
佐	tsuo3	
體	tʰi3	
佔	tsan4	
何	xuo2	
佛	fu2	
作	tsuo2	
佞	nin4	
你	ni3	
僉	tɕʰiɛn1	
佩	pʰei4	
佳	tɕia1	
併	pin4	
使	sɿ3	
侃	kʰan3	
侈	tsʰɿ3	奢～
例	ni4	
侍	sɿ4	
供	koŋ1	
供	koŋ4	～养
俠	ɕia2	
儘	tɕin4	
侯	xəu2	
侵	tɕin1	
侷	tɕy2	
便	pʰiɛn2	～宜
便	piɛn4	方～
係	ɕi4	
俊	tɕyn4	
俘	fu1	～虏
保	pau3	
俟	sɿ4	
信	ɕin4	
修	ɕiəu1	
俯	fu3	
俱	tɕy4	
俸	foŋ4	
俾	pei1	
倍	pei4	
倒	tau3	打～
倒	tau4	～水
倔	tɕye2	
倔	tɕye4	～强
倘	tʰaŋ3	
候	xəu4	
借	tɕie4	
倡	tsʰaŋ1	～优
倡	tsʰaŋ4	
倦	tɕyɛn4	
倪	ni2	
債	tsai4	
值	tsɿ2	
傾	tɕʰin1	
假	tɕia3	
偏	pʰiɛn1	
偕	kai1	
偕	xai2	
做	tsəu4	
停	tʰin2	
偷	tʰəu1	
償	saŋ3	
傀	kʰuai3	～儡
傅	fu4	
傍	pʰaŋ2	
傢	tɕia1	
儐	pin1	
儲	tsʰu2	
催	tsʰuei1	
傻	sa3	文
傻	sua3	文
像	tɕʰiaŋ4	白
像	ɕiaŋ4	文
僧	tsən1	
僭	tsan1	
僵	tɕiaŋ1	
僻	pʰi2	
儒	ʐu2	
儡	nei3	
兄	ɕyŋ1	
充	tsʰoŋ1	
先	ɕiɛn1	
光	kuaŋ1	
克	kʰɤ2	
免	miɛn3	
兌	tuei4	
兔	tʰu4	
黨	taŋ3	
兜	təu1	
兢	tɕin4	
入	ʐu2	
全	tɕʰyɛn2	
八	pa2	
公	koŋ1	
兮	ɕi1	
蘭	nan2	
共	koŋ4	
關	kuan1	
興	ɕin1	～旺
興	ɕin4	高～
兵	pin1	
其	tɕʰi2	
具	tɕy4	
典	tiɛn3	
兹	tsɿ1	
兼	tɕiɛn1	
獸	səu4	
冀	tɕi4	
內	nei4	
岡	kaŋ1	
冉	ʐuan3	
冊	tsʰɤ2	
再	tsai4	
冒	mau4	
冗	ʐoŋ3	
寫	ɕie3	
軍	tɕyn1	
農	noŋ2	
冠	kuan1	衣～
冠	kuan4	～军
冢	tsoŋ3	
冥	min2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
决	tɕye2	
况	kʰuaŋ4	
冷	nən3	
凍	toŋ4	
淨	tɕin4	
凄	tɕʰi1	
準	tsuən3	
凉	niaŋ2	
