#漢字	音標	解釋
□	tɕiou5	食物不新鲜
一	i3	
丁	tiŋ3	
七	tɕʰi2	
万	uan5	
丈	tʂɑŋ5	
三	san2	
上	ʂɑŋ5	~山,~面
下	ɕia5	底~
不	pu3	
与	y2	
丐	kɛ5	
丑	tʂʰou3	
專	tʂuan5	
且	tɕʰiɛ5	
丕	pʰei5	
世	ʂʅ5	
丘	tɕʰiou2	
丙	piŋ3	
業	ŋiɛ5	
叢	tsʰuŋ3	
東	tuŋ2	
絲	sɿ2	
丞	tʂʰəŋ3	
兩	liɑŋ2	~个,几~
兩	liɑŋ3	~个,几~
嚴	ian2	
喪	sɑŋ2	
喪	ʂɑŋ2	~事
个	kɤ5	~人.一~
丫	ia1	
中	tʂuŋ2	当~.射~
丰	fəŋ2	
串	tsʰuan5	
臨	lin2	
丸	uan3	
爲	uei5	~什么
爲	uei2	作~
麗	li5	
舉	tɕy3	
乃	nɛ2	
久	tɕiou3	
義	i5	
烏	u2	
乍	tʂa5	
乏	fa3	
樂	luo5	快~
樂	yə5	音~
喬	tɕʰiɑo3	
乖	kuɛ3	
乘	tʂʰəŋ3	
乙	i3	
九	tɕiou3	
乞	tɕʰi1	
也	iɛ5	
習	ɕi3	
鄉	ɕiɑŋ2	
書	ʂu2	
買	mɛ3	
亂	luan5	
乳	ʐu5	
乾	tɕʰian1	
了	liɑo3	~结
爭	tsəŋ2	
事	ʂʅ5	
二	lɤ1	
二	ɚ5	
于	y2	
于	y3	
虧	kʰuei2	
云	yn2	子曰
五	u3	
井	tɕiŋ1	
亞	ia1	
些	ɕiɛ5	
亡	uɑŋ3	
交	tɕiɑo2	
亥	xɛ3	
亦	i5	
產	tʂʰan3	
亨	xəŋ2	
畝	mu2	
享	ɕiɑŋ3	
京	tɕiŋ2	
亭	tʰiŋ3	
親	tɕʰin2	
親	tɕʰin5	~家
人	ʐen2	
億	i5	
什	ʂen5	~物
仁	ʐen2	
僅	tɕin5	
仆	pʰu1	~人
仆	pʰu3	~倒
仇	tɕʰiou2	
仇	tʂʰou5	
今	tɕin1	
介	tɕiɛ5	
仍	ʐəŋ2	
从	tsʰuŋ3	~容,跟~
仑	luen2	
倉	tsʰɑŋ1	
仕	ʂʅ5	
他	tʰa3	
仗	tʂɑŋ5	
付	fu5	
仙	ɕian2	
代	tɛ5	
令	liŋ5	
以	i5	
儀	i5	
仰	iɑŋ5	
仲	tʂuŋ2	
件	tɕian5	
任	ʐen2	~姓
任	ʐen5	责~
份	fen5	一~
仿	fɑŋ1	~佛
仿	fɑŋ3	~效,相似
企	tɕʰi5	
伊	i5	
伍	u3	
伏	fu3	
伐	fa2	
休	ɕiou2	
衆	tʂuŋ2	
優	iou5	
伙	xuo5	
會	kʰuɛ5	~计
會	xuei5	开~、~不~
傘	san3	
偉	uei5	
傳	tʂuan2	~记
傳	tʂʰuan3	~达
伢	ia2	
傷	tʂʰʅ3	
傷	ʂɑŋ5	
倫	luen2	
僞	uei2	
伯	pɛ5	
估	ku3	
伴	pan5	
伶	liŋ1	
伸	ʂen2	
伺	sɿ1	
似	sɿ5	
佃	tian5	
但	tan1	
佈	pu5	
位	tsuo5	
位	uei5	
低	ti2	
佐	tsuo5	
佑	iou5	
體	tʰi3	
何	xɤ2	
佘	ʂɤ3	姓氏
余	y2	
佛	fu2	仿~
佛	fo2	神~
作	tsuo2	
佞	niŋ5	
你	ni3	
佩	pʰei5	
佳	tɕia2	
使	ʂʅ5	
侄	tʂʅ2	
侈	tʂʰʅ1	
例	li5	
侍	sɿ5	
供	kuŋ3	~给
依	i5	
侶	ly3	
僥	tɕiɑo3	
偵	tʂen1	
側	tsʰɤ5	
僑	tɕʰiɑo3	
儂	nəŋ5	
侮	u2	
侯	xou2	
侵	tɕʰin5	
便	pʰian2	~宜
便	pian5	方~
促	tsʰu5	
俄	ŋɤ5	
俊	tɕyn5	
俏	tɕʰiɑo2	
俗	su3	
俘	fu2	
保	pɑo3	
俞	y5	
俟	sɿ5	
信	ɕin5	
儼	ian3	
儉	tɕian3	
修	ɕiou2	
俯	fu5	
俱	tɕy1	
俸	fəŋ5	
倍	pei5	
倒	tɑo5	
倔	tɕyə3	
倔	tɕyə2	~强
倘	tʰɑŋ3	
候	xou5	
倚	i2	
借	tɕiɛ5	
倡	tʂʰɑŋ3	
倦	tɕyan5	
倪	ni3	
債	tsɛ5	
傾	tɕʰiŋ5	
偏	pʰian2	
做	tsuo2	
停	tʰiŋ3	
健	tɕian5	
偶	ŋou2	~然
偶	ŋou3	配~
偷	tʰou2	
償	tʂʰɑŋ2	
傀	kʰuei3	
傅	fu5	
傍	pɑŋ5	
傢	tɕia2	
儲	tʂʰu3	
催	tsʰuei2	
傲	ŋɑo5	
傻	ʂa2	
像	ɕiɑŋ5	
僧	səŋ2	
僵	tɕiɑŋ2	
僻	pʰi3	
儒	ʐu2	
儡	luei3	
兒	ɚ2	
允	yn3	
兄	ɕyŋ2	
充	tʂʰuŋ3	
兆	tʂɑo5	
先	ɕian2	
光	kuɑŋ2	
克	kʰɤ3	
免	mian3	
兑	tuei5	
兗	yan2	
黨	tɑŋ2	
兜	tou2	
全	tɕʰyan3	
八	pa2	
公	kuŋ5	
六	liou5	
蘭	lan2	
共	kuŋ3	
關	kuan2	
興	ɕiŋ5	~旺、高~
兵	piŋ2	
其	tɕʰi3	
典	tian5	
兹	tsɿ3	
養	iɑŋ2	
兼	tɕian3	
獸	ʂou5	
内	nuei5	
岡	kɑŋ2	
冉	ʐan3	
册	tsʰɤ2	
再	tsɛ2	
冒	mɑo5	
冗	ʐuŋ3	
寫	ɕiɛ5	
軍	tɕyn5	
農	nəŋ2	
冠	kuan2	~军
冠	kuan5	衣~
冢	tʂuŋ1	
冬	tuŋ2	
馮	fəŋ3	
冰	piŋ2	
冲	tʂʰuŋ3	
決	tɕyə2	
決	li5	
况	kʰuɑŋ3	
冷	ləŋ3	
凍	tuŋ5	
淨	tɕiŋ5	
準	tʂuen3	
涼	liɑŋ3	
凌	liŋ1	
減	tɕian3	
湊	tsʰou5	
凜	lin2	
凝	niŋ3	
几	tɕi2	~乎
几	tɕi3	~个
凡	fan1	
鳳	fəŋ1	
凭	pʰiŋ3	
凱	kʰɛ2	
凳	təŋ5	
凶	ɕyŋ2	
出	tʂʰu2	
擊	tɕi2	
函	xan5	
鑿	tsuo3	
刀	tɑo2	
刁	tiɑo5	
刃	ʐen5	
分	fen2	~开
切	tɕʰiɛ1	~开
刊	kʰan1	
刎	uen5	
刑	ɕiŋ3	
划	xua3	
划	xua5	
列	liɛ5	
劉	liou1	
則	tsɤ3	
剛	kɑŋ3	
創	tʂʰuɑŋ5	
初	tsʰou3	
删	ʂan5	
判	pʰan5	
刨	pʰɑo3	
利	li5	
别	piɛ3	~离
别	piɛ2	区~
刮	kua2	
到	tɑo5	
制	tʂʅ5	
刷	ʂua2	
券	tɕʰyan5	
刺	tsʰɿ5	
刻	kʰɤ3	刀~
刻	kʰɤ2	时~
劊	kʰuɛ5	
刴	tuo5	
劑	tɕi5	
剃	tʰi5	
削	ɕiɑo2	
前	tɕʰian3	
剮	kua1	
劍	tɕian3	
剖	pʰo5	
剜	uan5	
剝	po2	
劇	tɕy2	
剩	ʂəŋ5	
剪	tɕian2	
副	fu5	
割	kɤ2	
剿	tɕiɑo3	
劈	pʰi2	
劐	xuo5	
力	li5	
勸	tɕʰyan3	
辦	pan5	
功	kuŋ3	
加	tɕia2	
務	u5	
劣	liɛ5	
動	tuŋ5	
努	nou3	
劫	tɕiɛ3	
勵	li1	
勁	tɕin5	
勞	lɑo2	
勢	ʂʅ5	
勃	po2	
勇	yŋ5	
勉	mian5	
勳	ɕyn1	
勒	lei5	
勘	kʰan5	
募	mu5	
勤	tɕʰin2	
勺	ʂuo2	
勾	kou2	
勾	kou5	~当
勿	u5	
勿	uen5	
匀	tɕyn5	
包	pɑo2	
匆	tsʰuŋ5	
化	xua5	
北	pei2	
匙	sɿ1	
匠	tɕiɑŋ5	
匡	kʰuɑŋ3	
匣	ɕia2	
匪	fei3	
匹	pʰi3	
區	tɕʰy2	
醫	i5	
匾	pian3	
十	ʂʅ3	
千	tɕʰian2	
升	ʂəŋ2	
半	pan5	
華	xua5	
協	ɕiɛ5	
卑	pei5	
卓	tʂuo1	
單	ʂan5	姓氏
賣	mɛ5	
南	nan3	
博	po2	
卜	po3	
占	tʂan5	~卜.~领
盧	lu3	
卤	lu3	
臥	uo5	
衛	uei5	
卯	mɑo3	
印	in5	
危	uei2	
即	tɕi3	
卻	tɕʰyə5	
卵	lan3	
卷	tɕyan5	
卸	ɕiɛ5	
卿	tɕi3	
卿	tɕʰiŋ5	
廠	tʂʰɑŋ3	
廳	tʰiŋ2	
历	li5	
厲	li5	
厭	ian5	
廁	tsʰɤ3	
厘	li2	
厚	xou5	
廂	ɕiɑŋ2	
厥	tɕyə3	
厦	ɕia5	偏~
廚	tʂʰu3	
厮	sɿ1	
去	tɕʰy5	
縣	ɕian5	
参	tsʰan2	
参	ʂen2	人~
又	iou5	
叉	tʂʰa1	
及	tɕi1	
友	iou3	
雙	ʂuɑŋ2	
反	fan3	
发	fa5	~生
发	fa2	头~
叔	ʂu2	
取	tɕʰy5	
受	ʂou5	
變	pian5	
敍	ɕy5	
叛	pʰan5	
疊	tiɛ3	
口	kʰou3	
古	ku3	
另	liŋ5	
叨	tɑo2	
叩	kʰou5	~头
只	tʂʅ3	
只	tʂʅ2	~有
叫	tɕiɑo2	
召	tʂɑo2	
可	kʰɤ3	
台	tʰɛ3	
史	ʂʅ3	
右	iou5	
葉	iɛ5	
號	xɑo5	~数
號	xɑo2	呼~
司	sɿ2	
嘆	tʰan5	
吁	y5	长~短叹
吃	tʂʰʅ5	
各	kɤ2	
吆	iɑo5	
合	xɤ5	
合	xɤ5	十~一升
吉	tɕi3	
吊	tiɑo5	
同	tʰuŋ2	
名	miŋ3	
后	xou5	~来,皇~
吏	li5	
吐	tʰu3	呕~
向	ɕiɑŋ3	
嚇	ɕia5	
嚇	xɤ5	
呂	ly3	
君	tɕyn2	
吞	tʰəŋ2	
吟	in2	
吠	fei5	
否	fu5	
含	xan2	
