#漢字	音標	解釋
㵺	pʰai2	竹排
一	jɐt8a	数字
丁	tɐn1a	天干;姓
七	tsʰɐt8a	数字
丈	tʰɔŋ3	三丈
丈	tsʰɔŋ3	姑~
三	ɬam1a	~国
上	sɔŋ1a	~山[动]
上	sɔŋ1a	安上，~灯，~灯泡
上	sɔŋ1a	~背[方位];~海(地名)
上	sɔŋ3	桌~，床~
下	ha3	~背，底~
下	ha1a	取下，~下来
下	ha3	~降，~流
不	pɐt8a	~过
丐	kɔi5	~帮
丑	tsʰiu3	地支，子丑寅卯
且	tsʰia3	而~，况~
丕	pʰi1a	人名用字，曹~
世	sɛ5	~界
世	sɛ5	出~
丘	hɐi1a	一~田
丘	hɐi1a	姓
丙	pian3	天干，甲乙丙丁
丞	sɐn2	~相
丟	tiu1a	扔弃
丟	tiu1a	~失
丟	tiu1a	丢，扔
並	pʰɐn5	~且，~排
丫	ʔa1b	~鬟，~头
中	tsoŋ1a	~间，~秋[文]
中	tsoŋ1a	~央;头顶物，~头帕[白]
中	tsoŋ5	射~，~状元
串	tsʰɔn5	一~，~通
丸	jan2	肉~，药~
丹	tan1a	牡~，仙~
主	tsy3	~人，地~
乃	nai1a	安~近;人名用字
久	kiu1a	长~
麼	jɐt7	~二三
之	tsia1a	~前
乎	fu2	在~
乏	fan3	缺~
乖	kai1a	小孩听话
乘	sɐn2	~机，~车
乘	sɐn2	加减乘除
乙	jɐt8a	天干，甲乙丙丁
九	kiu1a	数字，~龙
乞	hɐt8a	~食，~求
也	ja5	~知
乳	ȵui3	哺~，母~[文]
乳	ȵɐp7	食~(吃奶)，麦~精[训]
乸	ma2	雌性
乾	kʰian2	~坤，~隆
亁	kɔn1a	烘~，饼~
亂	luɔn3	混~
了	liau3	~结;明~，~解
予	jy3	给~
事	tsia3	~实，~情[文]
事	sia3	做~[白]
二	ȵi5	数字
于	jy1a	姓;等~
雲	vɐn2	古人~
互	fu5	~相
五	ʔŋ̍3	数字
井	tsian3	~水，~~有条
些	tiɐt7	一~
亞	ʔa1a	~洲，~军
亡	mɔn2	死~
交	kau1a	~通，~钱[文]
交	kau1b	交叉，~脚(翘二郎腿)[白]
亥	hɔi3	辛~革命
亦	jiɐt8a	~可以
亨	hɐn1a	~通;~特(人名)
享	sɔŋ3	~受，分~
京	kiɐn1a	北~，~剧
亭	tʰɐn2	凉~
亮	liœŋ5	明~
人	ȵɐn2	老~，~民
仁	ȵɐn2	~义
仆	pʰɔk8a	倒下
仇	siu2	~人，报~
仇	siu2	姓
今	kɐm1a	~日，~年，现~[文]
今	kɐm1a	~日，~年[白]
介	kai5	~绍，中~
仍	ȵɐn2	~然
仕	sia3	~途
他	tʰa1a	其~
仗	tsɔŋ5	打~;炮~(鞭炮)
付	fu5	应~
仙	ɬian1a	神~
代	tʰɔi3	~替，~表
令	liɐn1a	命~，口~
以	jy5	可~，~为
仰	ŋɔn1a	~视
仲	tsʰoŋ3	伯~叔;杜~(中药)
件	kʰian3	事~
任	ȵɐm3	姓;责~，~何
份	fɐn3	~量
仿	fɔn3	~照，相~
企	kʰi1a	~业，~鹅
伊	ji1a	~犁;姓
伍	ʔŋ̍3	姓;队~
伏	fok8a	三~，起~[文]
伏	pʰok7	趴，在桌子上趴着睡[白]
伐	fæk8a	讨~，~木工人
休	hɐi1a	~息，退~
伯	pæk8a	大~
估	kʰu1a	~计
伴	pan5	~随，伙~[文]
伴	pan5	做~，冇~[白]
伶	liɐn2	聪明~俐[文]
伶	liɐn2	~俐(干净)[白]
伸	sɐn1a	~展，延~[文]
伸	tsɐn1a	~手[白]
伺	ɬia3	~候，~机而动
似	tsʰi5	相~，~乎[文]
似	tsʰi5	好~(好像)[白]
但	tan5	~係(但是)，不~
佈	pu5	公~，~置
位	vɐi3	座~，~置
低	tʰɛ1a	高~
住	tsʰy3	~宿
佐	tsɔ3	辅~
佔	tsam5	~领，~地方
何	hɔ2	姓;如~
余	jy2	姓
佛	fɐt8a	拜~
作	tsɔk8a	工~，种~
你	ȵi2	~们，第二人称[文]
你	ȵi2	第二人称[白]
佢	kʰy3	他，第三人称
佩	pʰei5	~服
佳	kai1a	~人，~节
倂	pʰɐn5	合~
使	sia5	~用，假~，大~馆
來	lɔi2	过~，~去
侈	kʰi1a	奢~
例	lɛ1a	举~，~外
侍	sia3	服~，~卫
供	koŋ1a	提~，~应
供	koŋ1a	~细人(生小孩)
依	ji1a	~靠
俠	hiɛp8a	武~
侮	mu3	~辱
侯	hɐi2	姓;诸侯
侵	tsʰɐm1a	~略
便	pʰian2	~宜
便	pʰian3	方~
係	hɐi5	关~[文]
係	hɐi5	是[白]
促	tsok8a	督~，~进
俄	ŋɔ2	~罗斯
俊	tsun5	英~
俏	tsʰiau5	俊~
俗	tsʰok8a	风~
俘	fu1a	~虏
保	pɔ1a	~护
信	ɬɐn5	相~
修	ɬiu1a	装~，~正
俯	fu3	~卧撑，~视
倶	kʰy3	~备，~乐部
俸	foŋ3	~禄，薪~
倉	tsʰɔn1a	~库
個	kɔ5	两~，~别
個	kai5	我~(我的)
倍	pʰɔi3	~数
倒	tɔ3	颠~
倒	tɔ3	~水，~退
倔	kʰɐt8a	~强
倘	tʰɔn3	~使
候	hɐi3	~车室，等~
倚	ji3	~靠，~老卖老
借	tsia5	~钱
倡	tsʰɔŋ1a	提~
倣	fɔn3	~效
倦	kuan3	疲~
倪	ȵi2	姓，~萍
倫	lun2	~理，天~之乐
倭	vɔ1a	~寇
値	tsʰɐt8a	价~，~日
假	ka3	真~，~设
假	ka3	放~，~期
偉	vɐi3	~大
偏	pian1a	~~，~僻
做	tsɔ5	~好事
停	tʰɐn2	~止
健	kian5	~康
側	tsɐt8a	~面
偵	tsɐn1a	~察，刑~
偶	ŋɐi3	配~，~然
偸	tʰɐi1a	小~
傅	fu3	师~[文]
傅	fu5	姓[白]
傍	pʰɔn2	~晚
傑	kʰiɛt8a	~出
備	pʰi3	准~，~用
催	tsʰui1a	~促，~眠
傲	ŋɔ3	骄~
傳	tsʰɔn2	~达，流~
傳	tsʰɔn2	~记，自~
債	tsai5	欠~
傷	sɔŋ1a	受~
傻	sɔ2	~瓜，~子
傾	kʰiɐn1a	~向，左~
僅	kɐn3	~~，不~
像	tsʰian5	好~，相~
像	tsʰian3	头~，~章
僑	kʰiau2	华~
僕	pok7	奴~，~人
僞	ŋɛ3	虚~
僥	hiau1a	~幸
僧	tsɐn1a	唐~，沙~
僧	tsɐn1a	~人
僵	kiœŋ1a	冻~，~硬
僻	pʰɐt8a	偏~，~静
儀	ȵi2	礼~，~式
億	jɐt7	十~
儉	kiam3	勤~
儒	jy2	~家思想
儘	tsʰɐn3	~管，~早
償	sɔŋ2	赔~
優	jiu1a	~秀
儲	tsʰy3	~蓄
允	jun3	~许
元	ȵan2	~旦[文]
元	jan2	一~钱[白]
兄	hiɐn1a	~弟
充	tsʰoŋ1a	~分，冒~
兆	tsʰau3	预~;人名用字
兇	hoŋ1a	~恶
先	ɬian1a	祖~，~进，~生
光	kɔŋ1a	阳~，~明
克	hɐt8a	~服，攻~
免	mian1a	难~，~除
兌	tʰui5	~水，~换
兒	ȵi2	~童
兔	tʰu5	野~
兜	tɐi1a	~风
入	ȵɐp8a	~门，进~
內	nɔi3	~行，~外
全	tsʰuɔn2	~部，安~
兩	liœŋ3	~个
兩	liœŋ1a	半斤八~
八	pæk8a	数字
公	koŋ1a	~安，办~
六	lok8a	数字
兮	kʰɔi1a	神经~~
共	kʰoŋ3	一~，~同
兵	pɐn1a	当~
其	kʰi2	~他，~实
具	kʰy3	~体
典	tian3	~型，词~
兼	kiam1a	~职
冀	kʰɛ5	河北简称，晋察~
冊	tsʰɐt8a	两~，~封
再	tsɔi5	~来
冒	mu5	~充，感~
冚	kʰɐp7	盖住
冠	kɔn5	衣~，鸡~花
冠	kɔn5	~军
冤	jan1a	~枉
冬	toŋ1a	过~，~节(冬至)
冰	pɐn1a	结~，~箱
冷	lɐŋ1a	~热，~清
準	tsun3	批~，~确
涼	liœŋ2	天~
凍	toŋ5	冰~，~伤
凜	lɐm2	威风~~
