#漢字	音標	解釋#('cmn_xn_xs_jg_rxxy', '榮縣旭陽話', '榮縣旭陽', '#C600FF', None, None, '版本：2022-01-07<br>來源：<u>Ascendanter</u>整理自《四川方言調查報告》《四川榮縣方言音系及其內部差異研究》', '45 1 1a 陰平 ꜀,21 2 1b 陽平 ꜁,42 3 2 上 ꜂,,214 5 3 去 ꜄')
㑙	tie5	
㑵	tɕi5	
㒊	se5	
㒌	tɕʰyn2	
㒓	tʰa5	
㒝	mie5	
㒝	ua5	
㒴	ku5	
㓖	pi5	
㓢	nɔ5	
㓣	tɕʰia5	
㓤	tɕʰia5	
㔍	tsʰe5	
㔍	tsua5	
㔎	li5	
㔏	li5	
㔠	ɕia5	
㔢	tɕye5	
㔴	i5	
㕡	xɔ5	
㕯	zɔ5	
㖅	ɕy5	
㖏	lie5	
㖪	xɔ5	
㗁	ŋɔ5	
㗚	li5	
㗧	tsɿ5	
㗩	ɕi5	
㗫	tɕʰie5	
㗱	tɕi5	
㗼	ȵie5	
㘀	tsɔ5	
㘁	i5	
㘍	tɕi5	
㙁	mu5	
㙏	fu5	
㚒	sɿ5	
㚖	tsʰɿ5	
㚜	xɔ5	
㚜	y5	
㚤	i5	
㛍	tɕʰie5	
㛹	pʰin2	
㛼	tsʰa5	
㜰	sɔ5	
㜰	yo5	
㜸	lie5	
㝣	ie5	
㝪	tie5	
㞕	ɕie5	
㞚	tsa5	
㞞	soŋ2	
㞽	ɕye5	
㟐	mã5	
㟳	li5	
㠋	ŋɔ5	
㠍	tɕi5	
㠛	y5	
㠴	zɿ5	
㡊	tɕʰia5	
㡋	ie5	
㡔	mu5	
㡜	ɕye5	
㡯	tsʰe5	
㡿	tsʰɿ5	
㢵	ɕie5	
㢸	pi5	
㣂	ŋe5	
㣎	mu5	
㣙	ti5	
㣟	ɕi5	
㣱	tse5	
㣿	tsɔ5	
㤄	pɔ5	
㤞	tɔ5	
㤲	tɕʰie5	
㥁	te5	
㥂	tʰe5	
㥈	tie5	
㥛	tɕi5	
㥦	tɕʰie5	
㥽	tsʰe5	
㥾	li5	
㦅	tie5	
㦎	xɔ5	
㦜	xɔ5	
㦝	mɔ5	
㦴	ke5	
㦼	suã5	
㧀	tɕi5	
㧊	pʰɔ5	
㧖	ŋe5	
㧚	ua3	動詞，表示舀
㧹	tʰe5	
㧺	tʰa5	
㧾	kʰu5	
㨁	tsɿ5	
㨎	zɔ5	
㨝	ɕie5	
㨹	ɕye5	
㩢	mie5	
㩧	pɔ5	
㩧	pʰɔ5	
㩩	tɕʰyn3	
㩱	tɕyo5	
㩵	tsa5	
㩹	tie5	
㩿	kʰu5	
㪍	pu5	
㪑	ie5	
㪤	pi5	
㪬	tsʰɔ5	
㫛	kʰuã5	
㬽	ŋɔ5	
㭈	tɕye5	
㭘	xɔ5	
㭩	lie5	
㭼	tʰa5	
㮇	tʰin5	
㮖	tɕia5	
㮙	ŋɔ5	
㮚	li5	
㮝	xe5	
㮦	sɔ5	
㮨	tɕi5	
㮶	sɔ5	
㮿	pi5	
㯃	tɕʰi5	
㯓	tʰa5	
㯙	tse5	
㰰	ɕia5	
㰲	ɕy5	
㱄	xe5	
㱚	ua5	
㱜	tsa5	
㱞	li5	
㱤	ɕi5	
㱳	me5	
㱸	pi5	
㱿	kʰɔ5	腦殼
㲉	tɕʰyo5	
㲕	lie5	
㲲	tie5	
㲳	tsɿ5	
㲺	tɕi5	
㳁	tse5	
㳐	tsa5	
㳨	tsa5	
㳻	se5	
㳻	tse5	
㴒	i5	
㴽	ɕie5	
㵋	mi5	
㵐	tɕʰye5	
㶁	kɔ5	
㶿	pu5	
㷅	tsʰa5	
㸅	tɕie5	
㸣	ȵie5	
㸲	tsɔ5	
㸹	lie5	
㹂	ɕie5	
㹄	tɕi5	
㹍	ti5	
㹒	pʰɔ5	
㹘	zu5	
㹮	me5	
㹱	tɕʰyo5	
㺟	tsɔ5	
㺪	pʰɔ5	
㻫	pi5	
㻶	pi5	
㻷	tɕi5	
㼪	tɕia5	
㽁	li5	
㽚	tsʰɿ5	
㽺	xa5	
㽺	xɔ5	
㽺	tɕi5	
㽾	ʋ̩5	
㾀	tɕʰie5	
㾄	tu5	
㾇	mu5	
㾊	se5	
㾑	xɔ5	
㾜	tɕʰie5	
㾶	ku5	
㾹	tsʰɐɪ2	瘦，少肉，皮包骨
㿑	yo5	
㿣	xɔ5	
㿭	tsʰe5	
㿱	ɕye5	
䀗	tɕye5	
䀨	xua5	
䀩	nɔ5	
䀴	ia5	
䀷	tɕie5	
䀹	tɕie5	
䀿	tse5	
䁆	ie5	
䁋	tie5	
䁌	ye5	
䁍	tɕʰia5	
䁒	tɕi5	
䁝	yn2	
䁷	tɕyo5	
䁺	sɿ5	
䁻	sɔ5	
䂄	ɕyo5	
䂐	tsɔ5	
䂒	tɕʰia5	
䂿	tʰa5	
䃒	xe5	
䃕	lɔ5	
䃗	tsʰɔ5	
䃚	tsʰu5	
䄆	xɔ5	
䄩	i5	
䄶	pu5	
䄷	sɿ5	
䅀	lie5	
䅂	xɔ5	
䅥	tɕie5	
䆘	ia5	
䆝	ɕye5	
䆷	ɕye5	
䇎	tɕʰyo5	
䇷	pie5	
䈉	tɕie5	
䈎	ie5	
䈏	pɔ5	
䈳	tʰa5	
䈿	mi5	
䉢	se5	
䊝	ɕi5	
䊞	tse5	
䊦	ie5	
䊮	ti5	
䋉	ɕye5	
䋏	tsɔ5	
䋐	ye5	
䋖	ye5	
䋢	pʰie5	
䋤	yo5	
䋾	tsa3	
䌌	tɕʰie5	
䌐	mi5	
䌖	tɕi5	
䌦	ti5	
䌨	tsʰa5	
䍇	tʰa5	
䍊	tɕʰi5	
䍥	li5	
䍨	pʰɔ5	
䍼	tsa5	
䍽	li5	
䎀	ɕye5	
䎨	ie5	
䎰	tsɔ5	
䎳	ua5	
䏉	sɿ5	
䏐	tɕye5	
䏘	pʰi5	
䏧	la5	
䏳	tse5	
䐁	tsɔ5	
䐈	tsɿ5	
䐚	tɕi5	
䐸	xɔ5	
䐼	ɕie5	
䐾	tɔ5	
䑇	tsɿ5	
䑈	pɔ5	
䑋	ȵiã5	
䑋	ȵiã1	
䑢	ʋ̩5	
䒁	ɕi5	
䒆	tsʰe5	
䒗	tɕʰi5	
䒸	ɕye5	
䓃	i5	
䓈	y5	
䓛	ku5	
䓠	ta5	
䓭	tsʰa5	
䓲	ye5	
䔁	li5	
䔛	tɕʰyn3	
䔰	fu5	
䔾	mɔ5	
䕈	ɕie5	
䕓	tsʰa5	
䕙	tɕie5	
䕪	tsʰe5	
䕸	ɕia5	
䕹	tsa5	
䕹	tɕie5	
䖃	yo5	
䖑	mi5	
䖦	tsɔ5	
䖩	pi5	
䗷	i5	
䘌	li5	
䘏	ɕy5	
䘝	i5	
䘸	i5	
䘿	tɕye5	
䙄	tsa5	
䙐	kʰe5	
䙷	te5	
䙽	ɕie5	
䚐	tʰi5	
䚝	tsu5	
䚢	tsʰe5	
䚥	lɔ5	
䚫	ɕi5	
䚫	tɕyo5	
䚴	ua5	
䛅	ɕia5	
䛎	ɕye5	
䛢	tʰu5	
䛥	ɕi5	
䛽	tsa5	
䜚	tʰa5	
䝟	ia5	
䞙	tsa5	
䞞	fʋ̩5	
䞠	tsɿ5	
䞦	xe5	
䞩	ɕia5	
䞰	tsɔ5	
䞵	tɕye5	
䞷	tɕye5	
䟃	tsʰa5	
䟄	tɕʰi5	
䟆	pi5	
䟏	sɔ5	
䟏	li5	
䟐	li5	
䟑	yo5	
䟙	tɕʰie5	
䟠	ɕye5	
䟹	lie5	
䟾	tsɔ5	
䠇	tɕye5	
䠍	ɕia2	
䠚	ua5	
䠟	tie5	
䠯	yo5	
䡈	tɕyo5	
䡜	lu5	
䡾	lie5	
䢌	pɔ5	
䢔	xɔ5	
䢖	ye5	
䢡	ɕie5	
䢮	ti5	
䢰	tʰi5	
䢱	tu5	
䣛	tɕʰi5	
䣟	tsa5	
䣢	tɕi5	
䣧	i5	
䣪	pʰɔ5	
䤉	mi5	
䤙	li5	
䤨	pʰe5	
䤨	pʰi5	
䤶	ie5	
䥛	tɕie5	
䥡	tie5	
䥬	pɔ5	
䥶	li5	
䦑	ɕye5	
䦖	ɕie5	
䦗	ɕy5	
䦝	xɔ5	
䦧	ɕi5	
䦪	ia5	
䧨	ȵie5	
䨐	tɕʰia5	
䨛	se5	
䨣	ke5	
䨥	xɔ5	
䨮	ɕye5	
䩏	mie5	
䩛	pi5	
䩞	tie5	
䩢	tse5	
䩤	ɕie5	
䩯	tɕʰi5	
䩹	ŋe5	
䪂	ke5	
䪙	pʰɔ5	
䪚	ta5	
䪝	y5	
䪞	tsa5	
䪯	yn2	
䪼	tsɔ5	
䫄	tsua5	
䫘	xɔ5	
䫳	tu5	
䬂	ɕye5	
䬆	li5	
䬉	xɔ5	
䬊	tsa5	
䬑	ye5	
䭂	i5	
䭆	le5	
䭦	pɔ5	
䭮	fʋ̩5	
䭱	pʰie5	
䭿	i5	
䮀	pɔ5	
䮙	y5	
䮢	tsa5	
䮤	xɔ5	
䮤	tɕyo5	
䮥	li5	
䮩	ku5	
䮭	mi5	
䮱	tsu5	
䮷	tu5	
䮸	ɔ5	
䮸	tɕyo5	
䯇	kʰua5	
䯉	ua5	
䯜	tʰi5	
䰖	tsa5	
䰥	xue5	
䰲	ia5	
䰴	tɕi5	
䱒	ie5	
䱜	tsʰɔ5	
䱜	tɕʰyo5	
䱣	tɕy5	
䱮	ŋe5	
䱻	xua5	
䲙	tɕie5	
䲚	tʰa5	
䲜	ȵie5	
䲯	tɕi5	
䲽	sɿ5	
䳀	i5	
䳤	pie5	
䳳	ɕy5	
䳴	tʰa5	
䴑	tie5	
䴰	i5	
䴳	xua5	
䵂	ti5	
䵑	li5	
䵒	li5	
䵵	tsɔ5	
䵵	tsua5	
䵽	tsʰa5	
䶅	nɔ5	
䶅	xɔ5	
䶎	ɕia5	
䶢	tɕʰia5	
䶦	tsʰe5	
䶬	lie5	
丁	tin1	
丈	tsã5	
丈	tsã1	
三	sã1	
