#漢字	音標	解釋
□	ɡia1	播撒
㪗	tʰau3	
䀁	hui2	陶瓷
䋎	tʰĩ5	縫
䨀	tia4	
䭕	tsiã3	
一	ət7	
七	tsʰiet7	
丈	tiõ4	
三	sã1	
上	tsioŋ4	
下	e4	
世	si5	
中	tioŋ1	
主	tsu3	做主,主席
久	ku3	
乖	kuai1	
乘	sin2	
九	kau3	
乞	kʰət7	
亂	luan4	
事	su4	
二	li1	
互	hɔ4	
五	ɡɔ4	
井	tsẽ3	
交	kiau1	
京	kiã1	
人	ɡin2	
仁	ɡin2	
仇	tsʰiu2	
今	kã1	
介	kai5	
仙	sən1	
代	tai4	
件	kiã4	
任	ɡim4	
份	hun4	
伯	pa5	
伴	pʰuã4	
伸	tsʰun1	
位	ɡui1	
佔	tsiam5	
佛	hut8	
作	tsok7	
你	li3	
來	lai2	
侵	tsʰim1	
便	pan2	便宜
便	pən4	方便
保	puo3	
信	sin5	
修	siu1	
倉	tsʰŋ̍1	
個	kai5	
倍	pue4	
倒	tuo5	
倚	ua3	閩南西片少用「倚」字,一般常用的是「靠」
借	tsio5	
假	ke3	
偉	ɡui3	
偏	pʰən1	
做	tsuo5	
停	tʰin2	
健	kən4	
偷	tʰau1	
傅	hu4	
傑	kət8	
傘	suã5	
備	pi4	
傲	ŋaũ5	
傳	tsʰuan2	
債	tse5	
傷	siaŋ1	
像	tsʰiõ4	
價	ke5	
儂	laŋ2	
億	it7	
儉	kʰiam4	
優	ɡiu1	
兄	hiã1	
充	tsʰioŋ1	
先	sən1	
光	kuĩ1	
兔	tʰɔ5	
入	lip8	
入	lit8	
内	lai4	
内	naĩ4	
全	tsʰuan2	
兩	nõ4	兩個
兩	niõ3	幾兩
八	pie5	
公	kaŋ1	
六	lak8	
共	koŋ4	
兵	pin1	
典	tən3	
册	tsʰe5	
冠	kuan5	
冤	ɡuan1	
冬	taŋ1	
冰	pin1	
冷	lin3	
凡	huan2	
凶	hioŋ1	
出	tsʰut7	
刀	tuo1	
分	pun1	動詞
分	hun1	分數
切	tsʰie5	
切	tsʰət7	
初	tsʰie1	初一
初	tsʰu1	初中
判	pʰuã5	
别	pət8	
利	lai1	刀利
利	li4	利益
刺	tsʰi5	
削	sia5	
前	tsan2	
剪	tsən3	
副	hu5	
割	kua5	
劉	lau2	
劍	kiam5	
力	lat8	出力
力	lit8	力量
功	koŋ1	
加	ke1	
助	tsɔ4	
努	nɔ̃3	
勇	ɡioŋ3	
勉	bən3	
動	taŋ4	動詞
動	toŋ4	運動
勞	lau2	
勤	kʰin2	
勵	lie4	
勸	kʰuĩ5	
勾	kau1	
包	pau1	
北	pak7	
匠	tsʰiõ5	
匪	hui3	
匯	hue4	
區	kʰi1	
十	tsap8	
千	tsʰan1	
升	sin1	
午	ŋɔ̃3	
半	puã5	
卒	tsut7	
南	lam2	
博	pʰok7	
印	in5	
危	ɡui2	
卵	nuĩ4	
卷	kuĩ5	
厚	kau4	
厝	tsʰu5	
原	ɡuan2	
厭	ɡiam5	
厲	li4	
去	kʰi5	
參	tsʰam1	
友	ɡiu3	
反	huan3	
叔	tsiok7	
受	siu4	
口	kʰau3	
古	kɔ3	
句	ku5	
可	kʰuo3	
史	su3	
右	ɡiu4	
司	si1	
合	hap8	
吉	kit7	
名	miã2	
吐	tʰɔ5	
向	hiaŋ5	
君	kun1	
吞	tʰun1	
吠	pui1	
吵	tsʰa3	
吹	tsʰue1	
告	kuo5	
周	tsiu1	
味	bi1	
命	miã1	生命
命	bin4	革命
和	hue2	
品	pʰin3	
員	ɡuan2	
哲	tət7	
唱	tsʰiaŋ5	
問	muĩ5	
啞	e3	
善	sən4	
喉	au2	
喘	tsʰuan3	
喜	hi3	
單	tuã1	被單
單	tan1	單獨
嗽	sau5	
噴	pʰun5	
嚇	he5	
嚴	ɡiam2	
四	si5	
囝	kiã3	
因	in1	
囥	kʰŋ̍5	
國	kok7	
園	ɡui2	
園	huĩ2	菜園
園	ɡən2	西園鎮,公園
圓	ĩ2	
圖	tɔ2	
團	tʰuan2	
土	tʰɔ3	
地	tie4	
均	kin1	
坐	tsie4	
坑	kʰẽ1	
坪	pʰin2	
城	siã2	
基	ki1	
堂	tŋ̍2	
堂	tʰaŋ2	食堂
報	puo5	
場	tiõ2	
塍	tsʰan2	田
塔	tʰa5	
墓	boŋ5	
增	tsin1	
墟	hi1	
墨	bak8	
壁	pia5	
壓	at7	
壩	pa5	
壺	hɔ2	
壽	siu4	
外	ɡua1	
多	tuo1	
够	kau5	
夢	baŋ5	
大	tua1	
天	tʰĩ1	
太	tʰai5	
央	ɡiaŋ1	
失	sit7	
奇	ki2	
奉	hoŋ4	
套	tʰuo5	
女	nĩ3	婦女
奸	kan1	
好	huo3	
妹	muẽ5	
姆	m̩3	嬸嬸
姑	kɔ1	
姓	sẽ5	
委	ɡui3	
姨	i2	
威	ɡui1	
娘	liaŋ2	
娶	tsʰua5	
婆	puo2	
婚	hun1	
婦	pu4	媳婦
婦	hu4	婦女
婿	sai5	女婿
嫁	ke5	
嫂	suo3	
嫌	hiam2	
嬰	ŋiã1	
嬴	ŋiã2	
子	tsi3	種子
子	tsu3	君子
字	li1	
孝	hiau5	
季	kie5	
孫	sun1	
學	uo4	動詞
學	hiak8	學習
守	siu3	
安	an1	
宗	tsoŋ1	
官	kuã1	
定	tin4	
客	kʰe5	
室	sit7	
宮	kioŋ2	
害	hai1	
家	ke1	
容	ɡioŋ2	
寄	kia5	
密	bat8	
富	hu5	
寒	kuã2	
察	tsʰat7	
實	sit8	
寫	sia3	
寶	puo3	
寸	tsʰun5	
封	hoŋ1	
射	sia1	
將	tsiaŋ1	
專	tsuan1	
尊	tsun1	
小	sio3	
少	tsio3	
尖	tsiam1	
尚	siõ1	
尺	tsʰio5	
尾	bue3	
尿	lio1	
局	kiok8	
屁	pʰui5	
屈	kʰut7	
屋	ok7	
屎	sai3	
屐	kʰia4	
展	tən3	
層	tsan5	
山	suã1	
島	tau3	
崎	kia4	
巖	nã2	
州	tsiu1	
工	koŋ1	
巧	kʰiau3	
差	tsʰa1	
差	tsʰai1	出差
己	ki3	
巷	haŋ5	
巾	kin1	
市	tsʰi4	
布	pɔ5	
希	hi1	
帖	tʰiap7	
帚	tsʰiu3	
帝	tie5	
師	sai1	師傅
師	su1	老師
席	sit8	
席	tsʰio4	草席
帳	tsaŋ5	
帶	tua5	
帽	buo1	
幣	pi4	
幫	paŋ1	
平	pẽ2	很平
平	pʰin2	平安
年	nĩ2	
幸	hin4	
幼	ɡiu5	
幾	kui3	
底	tie3	
店	tiam5	
府	hu3	
