#漢字	音標	解釋
喎	vo3	～人：叫人
㞎	pa2	屙～：很差勁
㩳	suŋ3	雙手推動
㰴	tʰeu3	～氣：喘氣
㺀	fut7	
䁋	sap7	～目：閉目
䇏	toi3	整個
一	it7	
丁	ten1	
七	tsʰit7	
丈	tsʰoŋ1	丈人
丈	tsʰoŋ5	
三	sam1	
上	soŋ1	
上	soŋ3	
上	soŋ5	
下	ha1	～山
下	ha5	量詞
不	put7	
丐	koi5	
且	tsʰia3	
丕	pʰi3	
世	sɿ5	
丙	piaŋ3	
丞	sən2	
丟	tiu1	
並	pin5	
丫	a1	
中	tuŋ5-	
中	tsuŋ1	～間
中	tsuŋ5	～意
串	tsʰon5	
丹	tan1	
主	tsu3	
乃	nai1	
久	kiu3	
么	iau1	
之	tsɿ1	
乍	tsa5	
乏	fat8	
乓	poŋ1	
乖	kuai1	
乘	sən1	～法
乘	sən5	～機
乙	iat7	
九	kiu3	
也	ia1	
乳	nen5	
乾	kon1	
乾	kʰian2	
亂	lon5	
了	liau3	
予	i1	
事	sɿ5	
二	ŋi5	
亍	tsʰok7	
互	fu1	
五	n3	
井	tsiaŋ3	
些	sia1	
亞	a1	
亟	kʰit7	
亡	moŋ2	
亢	kʰoŋ5	
交	kau1	
亥	hoi5	
亦	it8	
亨	kʰen1	
享	hioŋ3	
京	kin1	
亭	tʰin2	
亮	lioŋ5	
人	ŋin2	
什	səp8	
仁	in2	
仇	su2	
今	kim1	
介	kiai5	
仍	in2	
仔	tsai3	
仕	sɿ5	
他	tʰa1	
仗	tsoŋ5	
付	fu5	
仙	sien1	
仞	ŋiun3	
代	tʰoi5	
令	lin5	
以	i1	
仰	ŋioŋ3	
仲	tsʰuŋ5	
件	kʰian5	
任	ŋim5	
任	im5	
份	fun5	
仿	foŋ3	
企	kʰi1	
伊	i1	
伍	n3	
伏	pʰuk8-	
伏	fuk8	埋～
伐	fat8	
休	hiu1	
伕	fu1	
伢	ŋa2	
伯	pak7	
估	kʰu1	
伴	pʰan5	
伶	lin2	
伸	sən1	
伸	tsʰun1	～腰
似	sɿ5	
伽	ka1	
佃	tʰien5	
但	tan5	
佈	pu5	
位	vi5	
低	tai1	
住	tsʰu5	
佐	tso3	
佑	iu5	
何	ho2	
佘	sa2	
佘	tsʰia2	
佛	fut8	
作	tsok7	
你	n2-	
你	ŋi2	
佢	ki2	
佩	pʰi5	
佯	ioŋ3	
佰	pak7	
佳	ka1	
併	pin5	
佻	tʰiau5	
使	sɿ3	
侃	kʰon3	
來	loi2	
侈	tsʰɿ1	
侍	sɿ5	
侖	lun2	
供	kiuŋ1	
供	kiuŋ5	
依	i1	
侮	vu1	
侯	heu2	
侵	tsʰim1	
侶	li3	
便	pʰien2	
便	pʰien5	
係	he5	是
促	tsʰuk7	
俄	ŋo2	
俅	kʰiu2	
俊	tsun5	
俏	tsʰiau5	
俗	siuk8	
俘	fu1	
保	pau3	
俞	i5	
俟	sɿ5	
俠	hiap8	
信	sin5	
修	siu1	
俯	fu3	
俱	kʰi5	
俺	iam1	
俾	pi1	
倆	lioŋ3	
倉	tsʰoŋ1	
倌	kuon1	
倍	pʰi5	
倒	tau3	
倔	kʰiut7	
倘	tʰoŋ3	
候	heu5	
倚	i3	
倡	tsʰoŋ1	
倦	kian3	
倦	kʰian3	
倫	lun2	
倭	vo1	
值	tsʰət8	
假	ka3	
偉	vi3	
偎	voi1	
偏	pʰien1	
做	tso5	
停	tʰin2	
側	tset7	
偵	tsən1	
偶	ŋeu1	
偷	tʰeu1	
僞	ŋui3	
傍	pʰoŋ5	
傑	kʰiat8	
備	pʰi5	
傢	ka1	
催	tsʰui1	
傭	iuŋ2	
傲	ŋau5	
傳	tsʰon2	
傳	tsʰon5	
債	tsai5	
傻	so2	
僅	kiun3	
僉	liam5	
像	tsʰioŋ5-	
像	sioŋ5	
僑	kʰiau2	
僕	pʰuk7-	
僕	pʰuk8	
僧	sen1	
僮	tʰuŋ2	
僵	kioŋ1	
僸	ŋam3	～頭：點頭
價	ka5	
僻	pʰit7	
儀	ŋi2	
儆	kʰiaŋ5	
儉	kʰiam5	
儒	i2	
儡	lui3	
優	iu2	
儲	su2	
儼	ŋiam3	
兀	ŋut7	
允	iun1	
元	ŋian2	～旦
元	ian2	銀～
兄	hiuŋ1	
充	tsʰuŋ1	
兆	sau5	
先	sien1	
光	kuoŋ1	
克	kʰet7	
兌	tui5	
免	men1	
兒	i2	
兔	tʰu5	
兜	teu1	
兢	kin5	
入	ŋip8	
內	nui5	
全	tsʰien2	
兩	lioŋ1	斤～
兩	lioŋ3	
八	pat7	
公	kuŋ1	
六	liuk7	
兮	hi1	
共	kʰiuŋ5	
兵	pin1	
其	kʰi2	
具	kʰi5	
典	tien3	
兼	kiam1	
冀	ki3	
冇	pʰaŋ5	
再	tsai5	
冒	mau5	
冕	men3	
冗	iuŋ1	
冠	kuon1	
冠	kuon5	
冤	ian1	
冬	tuŋ1	
冰	pen1	
冶	ia3	
冷	laŋ1	
准	tsun3	
凍	tuŋ5	
凜	lim3	
凝	ŋen2	
凡	fam2	
凱	kʰoi3	
凳	ten5	
凶	hiuŋ1	
凸	tʰut7	
凹	au1	
凹	iap7	
函	ham1	
刀	tau1	
刁	tiau1	
刃	ŋiun3	
分	pun1-	給
分	fun1	
切	tsʰiet7	
刈	i5	
刊	kʰan1	
刎	vut7	
刑	hin2	
划	fa2	～算
列	liet8	
初	tsʰɿ1	
判	pʰan5	
別	pʰet8	
別	pʰiet8	
刨	pʰau2	
利	li5	
刪	san1	
刮	kuat7	
到	tau5	
制	tsɿ5	
刷	sot7	
券	kʰian5	
刺	tsʰɿ3	
刻	kʰet7	
剁	to3	
剃	tʰi5	
則	tset7	
削	siok7	
前	tsʰien2	
剔	tʰit7	
剖	pʰiau3	
剛	koŋ1	
剝	pok7	
剩	sən5	
剪	tsien3	
副	fu5	
割	kot7	
創	tsʰoŋ3	
剿	tsiau3	
劃	vak8	
劄	tsap7	
劇	kʰiak7	
劈	pʰiak7	
劉	liu2	
劍	kiam5	
力	lit8	
功	kuŋ1	
加	ka1	
劣	lot7	
助	tsʰɿ5	
努	nu3	
劫	kiap7	
勁	kin5	
勃	pʰut8	
勇	iuŋ3	
勉	men1	～強
勉	men3	～勵
勒	lit8	
動	tʰuŋ1-	
動	tʰuŋ5	
勘	kʰam1	
勘	kʰam5	～探
務	vu5	
勝	sən5	
勞	lau2	
募	mok7	
勢	sɿ5	
勤	kʰiun2	
勵	li5	
勸	kʰian5	
勺	sok8	
勻	iun2	
勾	keu1	
勿	vut8	
包	pau1	
匆	tsʰuŋ1	
匈	hiuŋ1	
化	fa5	
北	pet7	
匙	tsʰɿ2	
匡	kʰioŋ1	
匪	fi1	
匯	fi5	
匹	pʰit7	
匾	pien3	
匿	nit8	
區	kʰi1	
區	eu1	姓
十	səp8	
千	tsʰien1	
升	sən1	
半	pan5	
卑	pi1	
卒	tsut7	
卓	tsok7	
協	hiap8	
南	nam2	
博	pok7	
占	tsam5	
卡	kʰa2	
卦	kua5	
卯	mau1	
印	in5	
危	ŋui2	
即	tsit7	
卵	lon3	
卷	kian3	
卸	sia5	
卻	kʰiok7	
卿	kʰin1	
厄	ak7	
厘	li2	
厚	heu5	
原	ŋian2	
厭	iam5	
厲	li5	
去	kʰi5	
去	hi5	
參	tsʰam1	～加
參	sem1	人～
又	iu5	
叉	tsʰa1	
及	kʰip8	
友	iu1	
反	fan3	
叔	suk7	
取	tsʰi3	
受	su5	
叛	pan3	
叢	tsʰuŋ2	
口	heu3-	
口	kʰeu3	
古	ku3	
句	ki5	
另	laŋ5	
叨	tʰau1	
叨	tiau1	
只	tsət7	
叫	kiau5	
召	sau5	
可	kʰo3	
史	sɿ3	
右	iu5	
司	sɿ1	
叻	liak8	很能幹，本領高
各	kok7	
吆	iau1	
合	kap7-	～本：合資。～子：小盒子
合	hap8	
吉	kit7	
吊	tiau5	
同	tʰuŋ2	
名	miaŋ2	
后	heu5	
吏	li5	
吐	tʰu5	
向	hioŋ5	
君	kiun1	
吝	nin5	
吞	tʰun1	
吠	pʰoi5	
否	feu3	
吧	pa1	
含	ham1	
含	hem2	
吳	n2	
吵	tsʰau2	
吸	kʰip7	
吹	tsʰoi1	
吻	vut7	口～
吻	vut8	
吾	m2	
呃	ak7	
呆	ŋoi2	
呈	tsʰən2	
告	kau5	
呣	me1	像牛羊的叫聲
周	tsu1	
呱	kua1	
味	mi5	
呵	kʰo1	
命	miaŋ5	
命	min5	
和	fo2	
咎	kiu5	
咒	tsu5	
咕	ku2	
咚	tuŋ1	
咠	iuŋ2	
咧	liet8	
咨	tsɿ1	
咪	mi3	
咬	ŋau1	
咯	kok8	
咳	kʰet7	
咽	ian5	
哀	oi1	
品	pʰin3	
哄	fuŋ3	
哆	to1	
哇	va1	
哇	va2	～～滾：吱吱哇哇亂叫喚
