#漢字	音標	解釋
來	lai2	
侈	tɕʰi3	奢侈
例	lɐi6	
侍	ɕi6	
侖	lʊn2	
供	koŋ1	供給，供不起
供	koŋ5	供養，上供
依	ʔei1	
侵	tsʰəm5	
便	pin6	方便
促	tsʰok7a	
俄	ŋʏ2	
俊	tsən5	
俏	tɕʰiou5	
俗	ʃok8	
保	pøu3	
信	ɬən5	
修	ɬou1	
俯	fou3	
俸	foŋ6	
俾	pei4	
倉	tsʰœŋ1	
個	kʏ5	個人，一個
倍	pʊi4	
倒	tøu3	打倒，顚倒
倒	tøu5	倒水
倘	tʰœŋ3	倘使
候	xɐu6	
借	tɕi5	
倡	tɕʰiɛŋ5	提倡
倫	lən2	
值	tsək8	
假	tsa3	真假
假	tsa3	放假
偉	wei3	
偉	wei5	
偏	pʰin1	
做	tsou5	
停	təŋ2	
健	kin6	
側	tsʰɐk7a	
偶	ŋɐu4	配偶
偷	tʰɐu1	
傅	fou4	
傍	pɐŋ6	
傑	kit8	
傘	ɬan5	
備	pei6	
傢	tsa1	傢具
傲	ŋøu6	
傳	tsʊn2	傳達
傳	tsʊn6	傳記
傷	ɕiɛŋ1	
像	tɕiɛŋ4	
僑	kiou2	
僧	lɐŋ1	
僱	kou5	
僵	kʰiɛŋ1	
價	tsa5	
儀	ȵi2	
億	ʔək7a	
儘	tsən4	
償	ɕiɛŋ2	
優	jou1	
儲	tʃʊi4	儲蓄
允	jən4	
元	jʊn2	
兄	wəŋ1	
充	tsʰoŋ1	
兆	tɕiou4	
兇	joŋ1	兇惡
先	ɬin1	
光	kuŋ1	
克	xɐk7a	
兑	tʊi6	
免	min4	
兒	ȵi2	
兔	tʰou5	
兜	tɐu1	
入	ȵəp8	
内	nʊi6	
全	tsʊn2	
兩	liɛŋ3	幾兩幾錢
兩	liɛŋ4	兩個
八	pat7b	
公	koŋ1	
六	lok8	
共	koŋ6	
兵	pəŋ1	
其	kei2	
具	kʊi6	
典	tim3	
冀	kei5	
册	tsʰak7b	
冒	møu6	
冠	kʊn1	衣冠
冠	kʊn5	冠軍
冤	jʊn1	
冬	toŋ1	
冰	pəŋ1	
冷	laŋ4	
准	tsən3	
凍	toŋ5	
几	kei3	茶几
凡	fan2	
凱	kʰʏ5	
凳	tɐŋ5	
凶	joŋ1	吉凶
出	tsʰət7a	
函	xøn2	
刀	tøu1	
刁	tiou1	
分	fɐn1	分開
切	tɕʰit7b	切開
刑	xəŋ2	
列	lit8	
初	tʃʰou1	
判	pʰʊn5	
别	pit8	區別
别	pit8	離別
刨	pøu2	刨地
利	lei6	
删	san5	
刮	kat7b	
到	tøu5	
制	tɕi5	
刷	ɬat7b	
刺	tsʰət7a	
刺	tsʰək7a	
刻	kʰɐk7a	用刀刻
刻	xɐk7a	時刻
刻	kʰak7b	用刀刻
刴	tou5	
剃	tʰɐi5	
則	tsɐk7a	
前	tɕin2	
剔	tʰək7a	
剖	pʰou5	
剛	kœŋ1	
剝	pak7b	
剩	səŋ6	
剪	tɕin3	
副	fou5	
割	køt7b	
創	tʃʰuŋ5	
劃	wa2	劃船
劃	wak8	
劇	kʰək7a	戲劇
劈	pʰək7a	
劉	lou2	
劍	kin5	
劑	tsɐi5	一劑藥，麵劑子
力	lək8	
功	koŋ1	
加	tsa1	
劣	lit8	
助	tʃou6	
努	nou4	
劫	kʰip7b	
勁	kəŋ5	勁敵
勇	joŋ4	
勉	min4	
勒	lɐk8	
動	toŋ4	
務	mou6	
勝	səŋ1	勝任
勝	səŋ5	勝敗
勞	løu2	
募	mou6	
勢	ɕi5	
勤	kən2	
勵	lei6	
勸	jʊn5	
匀	jən2	
勾	kɐu1	
包	pøu1	
匆	tsʰoŋ1	
化	wa5	
北	pɐk7a	
匙	ɕi2	湯匙，鑰匙
匠	tɕiɛŋ6	
匪	fei3	
匯	wei6	
匹	pʰət7a	一匹布，一匹馬
匾	piɛn3	
匿	nək8	
區	kʰʊi1	區域
十	səp8	
千	tɕʰin1	
升	səŋ1	
午	ŋou4	
半	pʊn5	
卑	pei1	
南	nam2	
博	puk7b	
占	tɕim5	
卦	ka5	
印	jən5	
危	ŋei2	
即	tsək7a	
卵	lʊn4	
卷	kʊn3	捲起
卸	ɬi5	
厘	lei2	
厚	xɐu4	
原	ȵʊn2	
原	jʊn2	
厦	ja6	厦門
厭	jim5	
厲	lei6	
去	xʊi5	來去，去皮
參	tsʰɐm1	
參	sɐm1	人參
又	jou6	
叉	tsʰa1	
及	tsəp8	
友	jou4	
反	fan3	
叔	ʃok7a	
取	tsʰou3	
受	ʃou4	
叛	pʊn4	
叢	tsoŋ2	
口	xɐu3	
古	kou3	
句	kʊi5	
另	ləŋ6	
叨	tøu1	嘮叨
叩	kʰɐu5	叩頭
只	tsək7a	只有
可	xʏ3	
台	tai2	天台，台州
台	tai2	
史	sɐi5	
右	jou6	
司	ɬei1	
各	kœk7b	
合	xøp8	
吉	kət7a	
吊	tiou5	
