#漢字	音標	解釋
欖	lam4	橄欖
欠	jim5	
次	tsʰei5	
欣	jən1	
欲	ȵok8	
欺	xei1	
款	xʊn3	
歌	kʏ1	
歐	ʔɐu1	
歡	xʊn1	
止	tɕi3	
正	tsəŋ1	正月
正	tsəŋ5	
步	pou6	
武	fou4	
歲	ɬʊi5	
歷	lək8	經歷
歸	kei1	
死	ɬei3	
殃	jiɛŋ1	
殆	tai6	
殊	tʃʊi2	
殖	tsək8	
殘	tsan2	
段	tʊn6	
殺	sat7b	
殼	xak7b	
毅	ȵi6	
毆	ʔɐu3	
母	mou4	
每	mʊi4	
毒	tok8	
比	pei3	比較
毛	møu2	
毫	xøu2	
毯	tʰam3	
氏	ɕi4	
民	mən2	
氣	xei5	
水	ʃʏ3	
永	wəŋ4	
汀	tʰəŋ1	
汁	tsəp7a	
求	tsou2	
汗	xøn6	
汝	ʃʊi4	
江	tsaŋ1	
池	tɕi2	
污	ʔou1	
汴	pin6	
決	kʰʊt7b	
汽	xei5	
沉	tsəm2	
没	mʊt8	沉沒，沒有
沓	tap8	一沓紙
沖	tsʰoŋ1	
沙	sa1	
沫	mʊt8	
河	xʏ2	
油	jou2	
治	tɕi6	
沼	tɕiou1	池沼，沼氣
沿	jin2	
况	kʰuŋ5	
泅	tsou2	遊水
泉	tsʊn2	
泊	pʰak7b	梁山泊
泌	mət8	
泔	køm1	泔水
法	fap7b	方法，法子
泡	pʰøu5	
泡	pʰøu5	泡在水裏
波	pʏ1	
泥	nɐi2	
注	tʃʊi5	注入
注	tʃʊi5	注意
泰	tʰai5	
泳	wəŋ4	
泳	joŋ4	
洋	jiɛŋ2	
洗	ɬɐi3	
洛	lœk8	
洞	toŋ6	
津	tsən1	
洪	xoŋ2	
洲	tʃou1	
活	xʊt8	
派	pʰai3	
流	lou2	
浙	tɕit7b	
浜	paŋ1	一條浜
浦	pʰou3	
浩	xøu4	
浪	lœŋ6	
浮	pou2	
海	xʏ3	
浸	tsəm5	
涂	tou2	
消	ɬiou1	
涉	ɕip7b	
涌	joŋ4	
涎	ɕan2	
涕	tʰɐi5	鼻涕
液	xək8	
涼	liɛŋ2	
淋	ləm2	淋漓，淋濕
淘	tøu2	淘米
淚	lʊi6	
淚	lei6	
淡	tam4	
淨	tsəŋ6	
淪	lən2	
淫	jɐm2	
淮	wai2	
深	səm1	
淵	jʊn1	
混	ŋən3	相混，混沌
淺	tɕʰin3	
添	tʰim1	
清	tsʰəŋ1	
減	tsam3	
渡	tou6	
渣	tsa1	
測	tsʰɐk7a	
港	kaŋ3	港口
渴	xøt7b	
渺	miou4	
渾	wɐn2	渾濁
湊	tsʰɐu5	
湖	xou2	
湘	ɬiɛŋ1	
湯	tʰœŋ1	
溉	kʏ5	
源	ȵʊn2	
源	jʊn2	
準	tsən3	
溝	kɐu1	
溫	wən1	
溺	nək8	溺死
滅	mit8	
滑	wat8	
滔	tʰøu1	
滬	xou4	
滯	tɕi6	停滯，積滯
滴	tək7a	
滸	xou3	水滸
滚	kən3	
滿	mʊn4	
漁	ȵʊi2	
漂	pʰiou5	
漆	tsʰət7a	
漏	lɐu6	
演	jin4	
漚	ʔɐu5	久浸水中
漢	xøn5	
漱	sa5	漱口
漲	tɕiɛŋ3	
漿	tɕiɛŋ1	
潑	pʰʊt7b	
潔	kit7b	
潘	pʰʊn1	
潤	ȵən6	
潭	tam2	
潲	sɐu5	豬食
澀	sɐp7a	
澄	tsaŋ2	
澗	tsan5	
澡	tsøu3	
澤	tsak8	
激	kək7a	
濁	tʃuk8	
濃	noŋ2	
濕	səp7a	
濟	tsɐi5	
濤	tʰøu1	
濫	lam6	
濾	lok8	
瀉	ɬi5	
灌	kʊn5	
灑	sa5	
灘	tʰan1	
灣	ŋan1	
火	xou3	
灰	xʊi1	
灶	tsøu5	
災	tsai1	
炎	jim2	
炒	tsʰau3	
炙	tsək7a	
炭	tʰan5	
炮	pʰøu5	槍炮
炸	tsa5	炸彈
爲	wei2	作為
爲	wei6	為什麼
烈	lit8	
烊	jiɛŋ2	融化
烏	ʔou1	
烘	xoŋ1	烘乾
烤	xau5	
烹	pʰɐŋ1	
焊	xøn6	銲鐵壺
焙	pʊi6	焙乾
焚	fɐn2	
無	fou2	
焦	tɕiou1	
焰	jim6	
然	xan2	
然	ɕin2	
煉	lin6	
煎	tɕin1	
煙	jin1	
煤	mʊi2	
煥	xʊn5	
照	tɕiou5	
煩	fan2	
煮	tʃʊi3	
熄	ɬək7a	
熊	joŋ2	
熔	joŋ2	
熟	ʃok8	煮熟，熟悉
熱	ȵit8	
燃	ɕin2	
燈	tɐŋ1	
燒	ɕiou1	
燕	jin1	燕京，姓
燕	jin5	燕子
燙	tʰœŋ5	
營	wəŋ2	
燦	tsʰan3	
爆	pøu5	
爐	lou2	
爛	lan6	
爪	ȵau3	爪牙，爪子
爬	pa2	
爭	tsaŋ1	
父	fou4	
爸	pa1	
爸	pa5	
爹	ti1	
爺	ji1	
爽	ʃuŋ3	
爾	ȵi4	
牆	tɕiɛŋ2	
片	pʰin5	
版	pan3	
牌	pai2	
牒	tip8	
牘	tok8	
牙	ȵa2	
牛	ȵou2	
牡	mou4	
牢	løu2	
牧	mok8	
物	fɐt8	
牲	saŋ1	
特	tɐk8	
牽	jin1	
犁	lɐi2	
犒	kʰøu5	
犢	tok8	牛犢子
犧	xei1	
犬	jʊn3	
犯	fam4	
狀	ʃœŋ6	
狂	kuŋ2	
狄	tək8	
狐	xou2	
狗	kɐu3	
狡	tsau3	
狸	lei2	狸貓
狼	lœŋ2	
猛	maŋ4	
猜	tsʰai1	
猝	tsʰok7a	倉猝
猴	xɐu2	
猶	jou2	
猾	wat8	狡猾
獄	ȵok8	
獅	ɕɐi1	
獎	tɕiɛŋ3	
獨	tok8	
獲	wak8	
獵	lit8	
獸	ʃou5	
率	lət8	速率
玉	ȵok8	
王	xuŋ2	
玩	xʊn4	古玩，遊玩
玻	pʏ1	玻璃
珊	san1	
珍	tsən1	
珠	tʃʊi1	
班	pan1	
現	jin6	
球	tsou2	
理	lei4	
琉	lou2	琉璃
琴	tsəm2	
琵	pa2	琵琶
琵	pi2	琵琶
琶	pa2	琵琶
瑞	ʃʊi4	
璃	lei2	玻璃
環	wan2	
瓊	kəŋ2	
瓜	ka1	
瓠	kou6	瓠子，瓠瓜
瓠	xou2	盧本地讀“葫蘆瓠xou31lou13kou11”。
瓢	piou2	
瓣	pan6	
瓦	ŋa4	
瓮	ʔoŋ5	
瓶	pəŋ2	
瓷	tsei2	瓷器
甘	køm1	
甜	tim2	
生	saŋ1	
産	tsʰan3	
甥	saŋ1	
用	joŋ6	
甫	fou3	
甬	joŋ4	甬道
田	tin2	
由	jou2	
甲	tsap7b	
申	sən1	
男	nam2	
界	tsai5	
畏	wei5	
留	lou2	
畜	tsʰok7a	畜牲
畝	mou4	
畢	pət7a	
略	liɛk8	
畦	xei2	菜畦
番	fan1	幾番
畫	wa6	
當	tœŋ1	當時，應當
當	tœŋ5	當作，典當
疆	kʰiɛŋ1	
疊	tip8	
疏	ʃou1	疏遠
疑	ȵi2	
疔	təŋ1	
疝	san5	疝氣
疤	pa1	
疥	tsai5	
疲	pei2	
疹	tsən3	
疼	tɐŋ2	
病	pəŋ6	
症	tsəŋ5	
痕	xɐn2	
痛	tʰoŋ5	
痢	lei6	
痣	tɕi5	
痰	tam2	
痹	pei5	麻痹
瘋	foŋ1	
瘍	jiɛŋ2	潰瘍
瘟	wən1	
瘡	tʃʰœŋ1	
瘦	sɐu5	
瘴	tɕiɛŋ5	瘴氣
療	liou2	
癢	jiɛŋ4	
癩	lat7b	
登	tɐŋ1	
發	fat7b	發明
白	pak8	
百	pak7b	
的	tək7a	目的
皇	xuŋ2	
皇	xoŋ4	
皮	pei2	
皺	ȵɐu5	
皿	mən4	
盅	tsoŋ1	
盈	jəŋ2	
益	ʔək7a	
盒	xøp7b	煙盒
盔	kʰei1	
盛	səŋ2	盛滿了
盛	səŋ6	興盛
盜	tøu6	
盞	tsan3	
盟	məŋ2	
盡	tsən4	
監	tsam1	監察，監視，監牢
盤	pʊn2	
盧	lou2	
目	mok8	
盲	maŋ2	
直	tsək8	
相	ɬiɛŋ5	互相
相	ɬiɛŋ5	相貌
盾	tɐn4	矛盾，趙盾
省	saŋ3	省長
省	saŋ3	節省
省	ɬəŋ3	反省
眉	mʊi2	
眉	mei2	
看	xøn5	看見
真	tsən1	
眠	min2	
眵	tɕʰi1	眼眵
眶	kʰaŋ1	眼眶
眼	ȵan4	
眾	tsoŋ5	
睛	tsəŋ1	眼睛
睜	tsaŋ1	
睡	ʃʏ6	
督	tok7a	
瞎	ȵat7b	
瞭	liɛu2	
瞳	toŋ2	
矛	møu2	
知	tɕi1	
矩	kʊi4	規矩
短	tʊn3	
矮	ʔai3	
石	sək8	
砌	tsʰɐi5	
研	niɛn1	
破	pʰou5	
硝	ɬiou1	
硫	lou2	硫黃
硬	ŋaŋ6	
碎	ɬʊi5	
碑	pei1	
碗	ʔʊn3	
碟	tip8	
碧	pək7a	
碳	tʰan5	
確	kʰœk7b	
碼	ma4	碼子
碾	ŋiɛn4	
磁	tsei2	磁石
磚	tsʊn1	
磨	mou2	磨刀
磨	mou6	磨麵，石磨
磷	lən2	
礎	tʃʰou3	柱下石
礦	kʰuŋ5	
礬	fan2	
示	ɕi4	
社	ɕi4	
祈	kei2	
祖	tsou3	
祝	tʃok7a	
神	sən2	
祠	tsei2	
祥	tɕiɛŋ2	
票	pʰiou5	車票
祭	kei5	
祿	lok8	
禁	tsəm1	禁不住
禁	tsəm5	禁止
禍	xou4	
福	fok7a	
禪	ɕin2	禪宗
禪	ɕin6	禪讓
禮	lɐi4	
禱	tøu3	
禹	xʊi4	
禽	tsəm2	
禾	xou2	
秀	ɬou5	
私	ɬei1	
秉	pəŋ3	
秋	tʃʰou1	秋天
科	xou1	
秒	miou4	
秘	mət8	或為誤讀
租	tsou1	
秤	tsʰəŋ5	一桿秤
秦	tsəm2	
秧	jiɛŋ1	
移	xei2	
稀	xei1	
税	ʃʊi5	
稈	køn3	稻稈
程	səŋ2	
稍	ɬiou1	
稗	pai6	
稙	tsək8	早種禾
稚	tɕi6	幼稚
種	tsoŋ3	種類
種	tsoŋ5	種樹
稱	tsʰəŋ1	稱呼，稱重量
稱	tsʰəŋ5	相稱
稻	tøu6	
稼	tsa1	
稽	kɐi1	
稿	køu3	
穀	kok7a	稻穀
穆	mok8	
積	tsək7a	
穎	jəŋ3	
穗	ɬʊi5	
穩	wɐn3	
穴	jʊt8	
究	tsou5	
空	xoŋ1	空虛
空	xoŋ5	空缺
穿	tʃʰʊn1	
突	tɐt8	
窄	tsak7b	
窗	tʃʰuŋ1	
窠	xou1	
窩	ʔou1	
窮	koŋ2	
窯	jiou2	
窺	kʰei1	
竄	tʃʰʊn5	
竅	kʰiou5	
立	ləp8	
站	tsam6	車站
竟	kəŋ5	
章	tɕiɛŋ1	
童	toŋ2	
端	tʊn1	
競	kəŋ5	
竹	tsok7a	
竿	køn3	竹竿
笑	ɬiou5	
笙	saŋ1	
笛	tək8	
笠	ləp8	
笡	tɕʰi5	斜
符	fou2	
笨	pən6	
第	tɐi4	
第	tɐi6	
筆	pət7a	
等	tɐŋ3	
筋	kən1	
筍	ɬən3	
筏	fat8	
筐	kʰaŋ1	
筒	toŋ2	
答	tap7b	
策	tsʰak7b	
筷	kʰɐi3	
箍	kʰou1	
箏	tsaŋ1	
算	ɬʊn5	
管	kʊn3	
箭	tɕin5	
箱	ɬiɛŋ1	
箸	tʃʊi6	筷子
節	tɕit7b	
範	fam5	
篇	pʰin1	
築	tsʰok7a	
篩	sai1	篩子
篩	ɕai1	篩子
篷	poŋ2	
篾	mit8	竹篾
簍	lɐu3	
簡	tsan3	
簧	xuŋ2	鎖簧
簽	tɕʰim1	簽名
簾	lin2	
簿	pou6	
籃	lam2	
籍	tsək8	
籠	loŋ2	
籤	tɕʰim1	牙籤
籬	lei2	
籮	lʏ2	
米	mɐi4	
粉	fɐn3	
粗	tsʰou1	
粟	ɬok7a	
粥	tʃok7a	
粱	liɛŋ2	
粤	jʊt8	
粹	tsʰʊi5	純粹
糉	tsoŋ5	
精	tsəŋ1	
糍	tsei2	餈巴
糕	køu1	
糖	tœŋ2	
糗	tsʰou3	麵煮糗了
糜	mei2	粥
糞	fɐn5	
糟	tsøu1	
糠	xœŋ1	
糧	liɛŋ2	
糯	nou6	糯米
系	xɐi6	連繫
紀	kei3	紀律，世紀，年紀
約	jiɛk7b	
紅	xoŋ2	
紋	mɐn2	
純	sən2	
紗	sa1	
紙	tɕi3	
級	tsʰəp7a	
紛	fɐn1	
素	ɬou5	
紡	fuŋ3	
索	ɬœk7b	繩索
紫	tsei3	
累	lʊi4	累積
累	lʊi6	連累
細	ɬɐi5	
紹	ɕiou4	
終	tsoŋ1	
組	tsou3	
結	kit7b	
絶	tɕit8	
絞	tsau3	
絡	lœk8	
絨	joŋ2	
統	tʰoŋ3	
絲	ɬei1	
綁	paŋ3	
經	kəŋ1	
經	kəŋ1	經緯，經線
綜	tsoŋ1	織布機上的綜
綠	lok8	
維	wei2	
綱	kœŋ1	
網	muŋ4	
綻	tsam6	破綻
綿	min2	
緊	kən3	
線	ɬin5	
緞	tʊn6	
緣	jʊn2	
編	pin1	
緬	min4	
練	lin6	
縣	jʊn6	
縫	foŋ2	縫衣服
縫	foŋ6	一條縫
縮	ɬok7a	
縱	tsoŋ5	放縱
縷	lʊi4	絲縷
總	tsoŋ3	
績	tsək7a	
繁	fan2	
織	tsək7a	
繞	ŋiɛu3	圍繞
繞	ŋiɛu3	繞綫
繡	ɬou5	
繩	sən2	
繪	wei6	
繼	kei5	
續	tok8	繼續
缸	kœŋ1	
缺	kʰʊt7b	
缽	pʊt7b	
罐	kʊn5	
罕	xøn3	
罩	tsau5	
罪	tsʊi4	
置	tɕi5	
罰	fat8	
署	ʃʊi6	專署
罵	ma6	
羅	lʏ2	
羊	jiɛŋ2	
美	mei4	
群	kən2	
義	ȵi6	
羹	kaŋ1	
羽	xʊi4	
翁	ʔoŋ1	
翅	tɕi5	
翎	ləŋ2	
習	tsəp8	
翠	tsʰʊi5	
翻	fan1	
翼	ʔək7a	
老	løu4	
考	xau3	
者	tɕɛ3	
耐	nai6	
耕	kaŋ1	
耗	xøu5	
耙	pa2	犁耙，耙地
耬	lɐu2	播種用的農具
耳	ȵi4	
耽	tam1	
耿	kaŋ3	
聊	liou2	
聖	səŋ5	
聘	pʰəŋ5	
聚	tʃʊi4	
聞	mɐn2	
聯	lin2	
聰	tsʰoŋ1	
聲	səŋ1	
職	tsək7a	
聽	tʰəŋ5	聽見，聽話
聽	tʰəŋ5	聽其自然，聽任
聾	loŋ2	
肅	ɬok7a	
肉	ȵok8	
肋	lək8	
肌	kei1	
肚	tou4	魚肚，豬肚
肚	tou4	腹肚
肝	køn1	
股	kou3	
肢	tɕi1	
肥	fei2	
肪	fuŋ1	脂肪
肯	xɐŋ3	
育	jok7a	
肺	fei5	
肺	fat7b	豬肺
胃	wei6	
背	pʊi5	“背脊”的“背”變讀作“puk11”，在“背頭”中讀作“pu33k”或“pak33”。
背	pʊi6	背誦
胎	tʰai1	
胚	pʰei1	胚胎
胞	pøu1	
胡	xou2	
胳	kœk7b	胳臂
胸	joŋ1	
能	nɐŋ2	
脂	tɕi1	
脆	tʃʰʊi5	
脉	mɐk8	
脊	tsək7a	
脱	tʰʊt7b	
脯	pou2	胸脯
脯	pou2	杏脯
腡	lou2	手指文
脹	tɕiɛŋ5	
脾	pei2	
腌	jip7b	
腎	sən4	
腐	fou6	
腑	fou3	
腔	tɕʰiɛŋ1	
腥	ɬəŋ1	
腦	nøu4	
腫	tsoŋ3	
腮	ɬai1	
腰	jiou1	
脚	kiɛk7b	
腸	tɕiɛŋ2	
腹	fok7a	
腿	tʰʊi3	
膏	køu1	
膏	køu1	膏車，膏油
膚	fou1	
膝	ɬək7a	
膠	tsau1	
膨	pɐŋ2	膨脹
膳	ɕin6	
膽	tam3	
膿	noŋ2	
臀	tɐn2	
臂	pei5	
臊	ɬøu1	臊氣
臍	tsɐi2	
臘	lap8	
臟	tsœŋ6	
臣	sən2	
臥	ŋʏ6	
臥	ŋou6	
臨	ləm2	
自	tsei6	
臭	tʃʰou5	香臭
至	tɕi5	
致	tɕi5	
臻	tsən1	
舀	jiou4	舀水
舂	tsʰoŋ1	舂米
舅	tsou4	
興	xəŋ1	興旺
興	xəŋ5	高興
舉	kʊi3	
舊	tsou6	
舌	ɕit8	
舍	ɕi3	
舍	ɕi5	
舐	ɕi4	以舌取物
舒	ʃʊi1	
舞	fou4	
舟	tʃou1	
航	xaŋ2	
航	xœŋ2	
般	pʊn1	
船	ʃʊn2	
艇	tʰəŋ3	
良	liɛŋ2	
艱	tsan1	
色	sɐk7a	
艷	jim6	
艾	ŋʏ6	
芋	xʊi6	
芒	muŋ2	麥芒兒
芝	tɕi1	
芬	fɐn1	
芭	pa1	“芭蕉”中的“芭”變讀為pa33
花	wa1	
芳	fuŋ1	
芹	kən2	
芽	ȵa2	
苔	tai2	舌苔，青苔
苗	miou2	
苟	kɐu3	
若	ɕiɛk8	
苦	xou3	
苧	tʃʊi4	苧麻
英	ʔəŋ1	
茂	møu6	
范	fam5	
茅	møu2	
茬	tsa2	
茴	xʊi2	茴香
茶	tsa2	
茸	joŋ2	參茸
草	tsʰøu3	花草
荒	xuŋ1	
荔	lei6	荔支
荷	xʏ2	薄荷
荷	xʏ2	荷花
莊	tʃœŋ1	
莎	sa1	莎草
莠	jou4	
莧	xøn4	莧菜
莫	mok8	
莽	maŋ4	
菊	kok7a	
菌	kən4	
菌	kʰən3	
菖	tɕʰiɛŋ1	菖蒲
菜	tsʰai5	
菠	pʏ1	菠菜
菢	pøu6	菢小雞
菩	pou2	菩薩
華	wa2	中華
菱	ləŋ2	
萄	tøu2	
萍	pəŋ2	
萬	man6	
落	lœk8	
葉	jip8	
著	tʃʊi5	顯著
著	tɕiɛk7b	著衫
著	tɕiɛk8	睡著，附著
董	toŋ3	
葦	wei2	蘆葦
葫	xou2	
葬	tsœŋ5	
葬	tsœŋ6	
葵	kei2	
葷	wɐn1	
蒙	moŋ2	
蒜	ɬʊn5	
蒲	pou2	
蒸	tsəŋ1	
蒼	tsʰœŋ1	
蒿	ʔøu1	蓬蒿
蓉	joŋ2	芙蓉
蓋	kʏ5	
蓬	poŋ2	
蓮	lin2	
蔓	man6	瓜蔓子
蔗	tɕi5	
蔡	tsʰai5	
蔣	tɕiɛŋ3	
葱	tsʰoŋ1	
蔬	ʃou1	
蔽	pɐi4	
蕉	tɕiou1	芭蕉，香蕉
蕎	kiou2	
蕩	tœŋ4	放蕩
薄	puk8	
薑	kiɛŋ1	生薑
薦	tɕin5	
薩	ɬat7b	
薪	ɬən1	
薯	ʃʊi2	白薯
薺	tsɐi2	
藉	tsək8	狼藉
藍	lam2	
藏	tsœŋ2	隱藏
藏	tsœŋ6	西藏
藐	miou4	
藕	ŋɐu4	
藝	ȵi6	
藤	tɐŋ2	
藥	jiɛk8	
藿	kʰœk7b	藿香
蘆	lou2	蘆葦
蘇	ɬou1	
蘭	lan2	
蘸	tɕiɛm5	蘸醬油
虎	xou3	
虔	tɕin2	
處	tʃʰʊi3	相處
處	tʃʰʊi5	處所
虚	xʊi1	
虜	lou4	
號	xøu6	號數
虧	kʰei1	
虱	sɐt7a	
虹	xoŋ2	天上的虹
虹	xoŋ2	
蚊	mɐn2	
蚌	pœŋ6	
蚣	koŋ1	蜈蚣
蚤	tsøu3	
蛀	tʃʊi5	
蛆	tʃʰʊi1	生蛆
蛇	ɕi2	
蛋	tan6	
蛙	ŋa1	
蛛	tʃʊi1	
蜕	tʰʊi5	蛇蛻皮，蟬蛻
蛾	ŋʏ2	
蜂	foŋ1	
蜓	təŋ2	蜻蜓
蜘	tɕi1	蜘蛛
蜜	mət8	
蜻	tsʰəŋ1	蜻蜓
蝕	sək8	
蝗	xuŋ2	
蝙	pin1	
蝟	wei6	
蝠	fok7a	蝙蝠
蝦	xa1	魚蝦，“蝦子”的“蝦”變讀為xa33
蝶	tip8	
蝸	kou1	
蝸	ʔou1	
螂	lœŋ2	
螃	pɐŋ2	螃蟹
融	joŋ2	
螳	tœŋ2	螳螂
螺	lou2	
螺	lou2	螺螄“螺螄”中的“螺”變讀為 lou31
蟒	maŋ4	
蟲	tsoŋ2	
蟻	ȵi4	
蟾	ɕɐm2	蟾酥
蠅	ʔəŋ1	
蠟	lap8	
蠶	tsɐn2	
蠻	mɐn2	
血	jʊt7b	
行	xaŋ2	行爲
行	xaŋ2	品行
行	xœŋ2	行列，銀行
術	sət8	
街	tsai1	
衙	ȵa2	
衛	wei6	
衡	xaŋ2	
衣	ʔei1	
表	piou3	表格
表	piou3	表演
衫	sam1	
衰	ʃʏ1	
袁	jʊn2	
袋	tai6	
袍	pøu2	
袖	tsou6	
被	pei4	被臥，被子
被	pei6	被打，被迫
裁	tsai2	
裂	lit8	
裙	kən2	
補	pou3	
裝	tʃœŋ1	
裡	lei4	里外
裴	pʊi2	
裸	lʏ4	裸體
複	fok7a	
複	fok7a	重複
褒	pøu1	褒獎
褪	tʰʊi5	
褲	xou5	
褶	tɕip7b	褶子，皺紋
襄	ɬiɛŋ1	
襖	ʔøu3	
襪	mat8	
襯	tsʰən5	
襲	tsəp8	
西	ɬɐi1	
要	jiou1	要求
要	jiou5	想要，重要
覆	fok7a	反覆
見	kin5	
規	kʰei1	
覓	mət8	
視	ɕi4	
親	tsʰən1	
覺	tsau5	睡覺
覽	lam4	
觀	kʊn1	參觀
觀	kʊn5	寺觀
角	tsak7b	
解	tsai3	講解，解開
觸	tʃʰok7a	
言	ȵin2	
訂	təŋ5	訂約
訃	pou5	
計	kɐi5	
訊	ɬən5	
討	tʰøu3	
訓	wən5	
記	kei5	
訛	ŋʏ2	
訣	kʰʊt7b	
訪	fuŋ5	
設	ɕip7b	
許	xʊi3	
訴	ɬok7a	
診	tsən3	
詐	tsa5	
評	pəŋ2	
詞	tsei2	
試	ɕi5	
詩	ɕi1	
詭	kei3	
話	wa6	
該	kʏ1	
詳	tɕiɛŋ2	
誅	tʃʊi1	
認	ȵən6	
誓	ɕi6	
誕	tan4	
語	ȵʊi4	
誠	səŋ2	
誣	ʔou1	
誤	ŋou6	
誦	ɬoŋ5	
説	ʃʊt7b	説話
誰	ʃʊi2	
課	xou5	
誼	ȵi6	
調	tiou2	調和
調	tiou6	音調
調	tiou6	調動
談	tam2	
請	tsʰəŋ3	
諒	liɛŋ6	
論	lʊn6	論語
論	lʊn6	議論
諜	tip8	
諸	tʃʊi1	
諺	jin6	
諾	nœk8	
謀	mɐu2	
謂	wei6	
謎	mei2	
謙	kʰim1	
講	tsaŋ3	
謝	tɕi6	
謡	jiou2	
謹	kən3	
證	tsəŋ5	
譏	kei1	
識	sək7a	
譚	tam2	
譜	pʰou3	
警	kəŋ3	
譯	xək8	
議	ȵi6	
護	xou6	
譽	ȵʊi6	榮譽
讀	tok8	
變	pin5	
讓	ŋiɛŋ6	
谷	kok7a	山谷
豆	tɐu6	
豈	xei3	
豉	ɕi6	豆豉
豌	ŋɐn1	豌豆
豎	ʃʊi4	
豐	foŋ1	
豕	ɕi3	
豚	tɐn2	
象	tɕiɛŋ4	
豪	xøu2	
豬	tʃʊi1	
豹	pøu5	
豺	tsai2	
貂	tiou1	
貌	møu6	
猫	miɛu2	
猫	miɛu5	
貝	pʊi5	
貞	tsən1	
負	fou6	
財	tsai2	
貢	koŋ5	
貧	pən2	
貨	xou5	
販	fam5	
貪	tʰam1	
貫	kʊn5	
責	tsak7b	
貳	ȵi6	貳心
貴	kei5	
買	mai4	
貸	tai4	
費	fei5	費用
貼	tʰip7b	
貿	møu6	
賀	xœk8	
賂	lou6	
資	tsei1	
賈	tsa3	賈姓
賊	tsɐk8	
賒	ɕi1	
賓	pən1	
賞	ɕiɛŋ3	
賠	pʊi2	
賢	jin2	
賣	mai6	
賤	tɕin6	
賦	fou5	
質	tsət7a	
賬	tɕiɛŋ5	
賭	tou3	
賴	lai6	
購	kɐu5	
賽	sai5	
贈	tsɐŋ6	
贏	xəŋ2	
贓	tsœŋ1	
贖	ʃok8	
赤	tsʰək7a	
赫	xak7b	
走	tsɐu3	
起	xei3	
趁	tsʰən5	
超	tɕʰiou1	
越	jʊt8	
趕	køn3	
趟	tʰœŋ5	一趟
趣	tʃʰʊi5	
足	tsok7a	
趾	tɕi3	
跌	tit7b	
跑	pʰøu1	
距	kʊi6	
跟	kɐn1	
跡	tsək7a	
跨	kʰa5	
跪	kei6	
路	lou6	
跳	tiou2	
跳	tʰiou5	
踐	tɕin4	
踢	tʰək7a	
踱	tœk8	
蹄	tɐi2	
蹤	tsoŋ1	
躍	jiɛk8	
身	sən1	
躬	koŋ1	
躺	tʰœŋ3	
車	tɕʰi1	馬車
軌	kei3	
軍	kən1	
軟	ȵʊn4	
軸	tsok8	
較	tsau3	比較
較	tsau4	
載	tsai3	年載
載	tsai5	載重
載	tsai6	滿載
輔	fou4	
輕	xəŋ1	輕重，年輕
輛	liɛŋ6	
輝	kʰei1	
輩	pʊi4	
輪	lən2	
輯	tsəp8	編輯
輸	ʃʊi1	運輸
轅	jʊn2	
轉	tsʊn3	轉眼，轉送
轉	tsʊn5	轉螺絲，轉圓圈
轎	kiou6	
轟	xoŋ1	
辛	ɬən1	
辣	lat8	
辦	pan6	
辨	pin4	
辭	tsei2	
辮	pin4	
辯	pin4	
辰	sən2	
農	noŋ2	
迅	ɬən5	
迎	ŋəŋ2	
近	kən4	
迫	pʰak7b	
迷	mei2	
迸	pəŋ5	迸裂
追	tʃʊi1	
退	tʰʊi5	
送	ɬoŋ5	
逃	tiɛu2	
逆	nək8	順逆，逆風
透	tʰɐu5	
逐	tsok8	
途	tou2	
逗	tɐu5	
通	tʰoŋ1	
逛	kuŋ6	
逝	ɕi6	
速	ɬok7a	
造	tsøu4	建造
逢	foŋ2	
連	lin2	
進	tsən5	
逼	pək7a	
遁	tɐn6	
遇	ȵʊi6	
遊	jou2	
運	wən6	
遍	pin5	一遍
遍	pin5	遍地
過	kou5	
道	tøu6	
達	tap8	
違	wei2	
遞	tɐi6	
遠	jʊn4	
遣	tɕʰin3	
適	sək7a	
遲	tɕi2	
遵	tsʊn1	
遷	tɕʰin1	
選	ɬʊn3	
遺	xei2	
遼	liou2	
避	pei6	
邀	jiou1	
還	wan2	還原
還	wan2	還有
邊	pin1	
那	na6	
邦	paŋ1	
郊	tsau1	
郎	lœŋ2	
部	pou6	
郭	kuk7b	
郵	jou2	
都	tou1	都城
都	tou1	都是“都是”變讀為“toŋ33 是”。
鄉	jiɛŋ1	
鄒	tsɐu3	
鄧	tɐŋ6	
鄭	tsəŋ6	
鄰	lən2	
酉	jou4	
配	pʰʊi5	
酒	tsou3	
酵	xau5	
酷	xok7a	
酸	ɬʊn1	
醇	sən2	酒味醇
醉	tsʊi5	
醋	tsʰou5	
醒	ɬəŋ3	
醫	ʔei1	
醬	tɕiɛŋ5	
釀	niɛŋ6	
釁	ɬən5	挑釁
采	tsʰai3	
釋	sək7a	
里	lei4	公里
重	tsoŋ2	重復
重	tsoŋ4	輕重
野	ji4	
量	liɛŋ2	量長短
量	liɛŋ6	數量
金	tsəm1	
釘	təŋ1	鐵釘
釘	təŋ1	釘住
針	tsəm1	
釣	tiou5	
鈍	tɐn6	
鈞	kən1	
鈴	ləŋ2	
鉗	kiɛm2	
鉤	kɐu1	
鉸	tsau3	
銀	ȵɐn2	
銃	tsʰoŋ5	放銃
銅	toŋ2	
銘	məŋ2	
鋭	ʃʊi4	
銷	ɬiou1	
銼	tsʰʏ5	
鋒	foŋ1	
鋤	tʃʊi2	
