#漢字	音標	解釋
□	tsʰɔ1	□起棍子
縣	ɕiæ̃5	
参	tsʰæ̃1	
参	sə̃1	人参
参	tsʰə̃1	参差
又	iou5	
叉	tsʰa5	
及	tɕi2	
友	iou3	
雙	suɑŋ1	
反	fæ̃2	
发	fa1	
叔	su3	
取	tɕʰy2	
受	ʂou5	
變	piæ̃5	
敍	ɕy5	
叛	pʰæ̃5	
叟	sou3	
疊	tiə2	
口	kʰou3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tɔ1	唠叨
叩	kʰou5	叩头
只	tʂʅ1	
只	tʂʅ1	只有
叫	tɕiɔ5	
召	tʂɔ1	
可	kʰə3	
台	tʰɛ2	
史	sɿ3	
右	iou5	
葉	iə1	
號	xɔ5	号数
號	xɔ2	呼号
司	sɿ1	
嘆	tʰæ̃5	
吁	y1	
吃	tʂʰʅ1	
各	kə1	
吆	iɔ1	~喝
合	xə2	
合	xə2	十合一升
吉	tɕi1	
吊	tiɔ5	
同	tʰuŋ2	
名	miŋ2	
后	xou5	
吏	li5	
吐	tʰu3	吐痰
吐	tʰu3	呕吐
向	ɕiɑŋ5	
嚇	ɕia5	吓一跳
嚇	xə5	恐吓
呂	ly3	
君	tɕyə̃1	
吝	liə̃5	吝啬
吞	tʰuə̃1	
吟	iə̃2	
吠	fe5	
吣	tɕʰiə̃5	猫~
否	fou3	
含	xæ̃2	
聽	tʰiŋ1	听见
聽	tʰiŋ1	听其自然
啓	tɕʰi3	
吳	u2	
吵	tsʰɔ3	
吸	ɕi1	
吹	tsʰue1	
吻	uə̃3	
吼	xou3	
呆	tɛ1	
呈	tʂʰəŋ2	
告	kɔ5	
嘔	ou3	呕吐
員	yæ̃3	
周	tʂou1	
味	ue5	
呼	xu1	
命	miŋ5	
和	xə2	和气
和	xuə2	和面
咎	tɕiou1	
詠	yŋ3	
咒	tʂou5	
咨	tsɿ1	
咬	iɔ3	
咳	kʰə1	咳嗽
咸	ɕiæ̃2	
咸	ɕiæ̃2	全都
咽	iæ̃5	
哀	ɛ1	
品	pʰiə̃3	
哄	xuŋ3	哄骗
哄	xuŋ5	起哄
響	ɕiɑŋ3	
啞	ia3	
噦	yə3	干哕
哥	kə3	
哪	na3	哪个
哭	kʰu1	
哲	tʂə1	
哽	kəŋ3	骨哽在喉
唆	suə1	啰唆
脣	tʂʰuə̃2	
唐	tʰɑŋ2	
嘮	lɔ1	唠叨
喚	xuæ̃5	
售	ʂou5	
唯	ue2	
唱	tʂʰɑŋ5	
唾	tʰu5	唾液
啄	tsuə1	
商	ʂɑŋ1	
嗇	sə5	吝啬
囉	luə1	啰嗦
啼	tʰi2	
喂	ue5	
善	ʂæ̃5	
喉	xou3	
喊	xæ̃3	
喘	tʂʰuæ̃3	
喜	ɕi3	
喝	xə1	喝酒
喝	xə5	喝彩
喧	ɕyæ̃1	
噴	pʰə̃1	喷水
噴	pʰə̃5	喷香
喻	y5	
嗅	ɕiou5	用鼻子闻
嗉	su5	鸟嗉子
嗓	sɑŋ3	
嗜	sɿ5	
嗡	uŋ1	
嗣	sɿ5	
嗽	sɔ5	咳嗽
嘉	tɕia1	
嘘	ɕy1	吹嘘
囑	tʂu3	
嘴	tsue3	
噎	iə1	噎住了
器	tɕʰi5	
囂	ɕiɔ1	
嚷	ʐɑŋ3	
嚼	tɕyə2	
囊	nɑŋ2	
囚	tɕʰiou2	
四	sɿ5	
回	xue2	
因	iə̃1	
团	tʰuæ̃2	
囤	tuə̃5	
園	yæ̃2	
困	kʰuə̃5	
囱	tsʰuŋ1	烟囱
圍	ue2	
固	ku5	
國	kuə1	
圖	tʰu2	
圓	yæ̃3	
圈	tɕʰyæ̃1	圆圈
圈	tɕyæ̃5	猪圈
土	tʰu3	
聖	ʂəŋ5	
在	tsɛ5	
圭	kue1	
地	ti5	
場	tʂʰɑŋ3	
址	tsɿ3	
均	tɕyə̃1	
坍	tʰæ̃1	坍下来
坎	kʰæ̃3	
壞	xuɛ5	
坐	tsuə5	
坑	kʰəŋ1	
塊	kʰuɛ5	
堅	tɕiæ̃1	
坛	tʰæ̃2	
壩	pa5	堤
壩	pa5	平川
塢	u1	
墳	fə̃2	
墜	tsue5	
坡	pʰə1	
坤	kʰuə̃1	
坦	tʰæ̃3	
坪	pʰiŋ2	
坯	pʰi1	
坳	ɔ5	山坳
垂	tsʰue2	
壟	luŋ3	
型	ɕiŋ2	
垒	le3	
垜	tuə5	柴垛
墾	kʰə̃3	
墊	tiæ̃5	垫钱
垮	kʰua3	
埂	kəŋ3	田埂
埃	ɛ1	尘埃
埋	mɛ2	
城	tʂʰəŋ2	
域	y1	
培	pʰe2	
基	tɕi1	
堂	tʰɑŋ2	
堆	tue1	
堡	pɔ3	
堤	ti1	
堪	kʰæ̃1	
堰	iæ̃5	
堵	tu3	
塌	tʰa1	
塍	tʂʰəŋ2	田塍
塑	su5	塑像
塔	tʰa1	
塘	tʰɑŋ2	
塞	se1	阻塞
填	tʰiæ̃2	
境	tɕiŋ5	
墓	mu5	
牆	tɕʰiɑŋ2	
增	tsəŋ1	
墟	tɕy1	墟市
墨	me1	
墩	tuə̃1	
壁	pi5	
壕	xɔ2	
壤	ʐɑŋ3	土壤
士	sɿ5	
壬	ʐə̃5	
壯	tsuɑŋ5	
聲	ʂəŋ1	
殼	kʰə1	壳子
壺	xu2	
處	tʂʰu5	处所
處	tʂʰu3	相处
備	pe2	
備	pe5	
复	fu1	
夏	ɕia5	姓
夏	ɕia5	春夏
夕	ɕi1	
外	uɛ5	
多	tuə1	
夜	iə5	
够	kou5	
够	tsʰɿ1	眼够
夥	xuə3	
大	ta5	
大	tɛ5	大夫、大黄
天	tʰiæ̃2	
太	tʰɛ5	
夫	fu1	
央	iɑŋ1	
夯	xɑŋ1	打夯
失	ʂʅ1	
頭	tʰou2	
夷	i2	
夸	kʰua1	
夾	tɕia1	
夾	tɕia1	夹衣
奪	tuə2	
奇	tɕʰi2	
奈	nɛ5	
奉	fəŋ5	
奮	fə̃5	
奎	kʰue2	
奏	tsou5	
契	tɕʰiə5	契约
奔	pə̃1	
獎	tɕiɑŋ3	
套	tʰɔ5	
奚	ɕi1	
奠	tiæ̃5	
奢	ʂə1	
奧	ɔ5	
女	ȵy3	
奴	nu2	
奶	næ̃3	
奸	tɕiæ̃1	
好	xɔ5	喜好
好	xɔ3	好坏
如	ʐu2	
妃	fi1	
妄	uɑŋ5	
婦	fu1	
媽	ma1	
妖	iɔ1	
妗	tɕiə̃5	舅母
妙	miɔ5	
妥	tʰuə3	
妨	fɑŋ2	妨害
妬	tu5	
妹	me5	
妻	tɕʰi1	
妾	tɕʰiə5	
姊	tsɿ3	
始	sɿ3	
姐	tɕiə3	
姑	ku1	
姓	ɕiŋ5	
委	ue3	
姘	pʰiə̃1	姘头
姚	iɔ2	
姜	tɕiɑŋ1	
姨	i2	
姻	iə̃1	
姿	tsɿ1	
威	ue1	
嬌	tɕiɔ1	
娘	ȵiɑŋ2	
娠	tʂʰə̃2	
娩	miæ̃3	分娩
娛	y2	
娶	tɕʰy2	
婆	pʰə2	
婚	xuə̃1	
婢	pi5	
婧	tɕʰiŋ2	赌受
嬰	iŋ1	
嬸	ʂə̃3	
婿	ɕy5	女婿
媒	me2	
媚	me5	
媳	ɕi1	
嫁	tɕia5	
嫂	sɔ3	
嫌	ɕiæ̃2	
嫖	pʰiɔ2	
嫡	ti2	
嫩	luə̃5	
嬉	ɕi1	
嬎	fæ̃5	鸟下蛋
孀	suɑŋ1	
子	tsɿ3	
孔	kʰuŋ3	
孕	yə̃5	
字	tsɿ5	
存	tsʰuə̃2	
孫	suə̃1	
孝	ɕiɔ5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
學	ɕyə2	
孩	xɛ2	
孵	fu2	孵小鸡
孺	ʐu3	孺进去
寧	ȵiŋ5	宁可
寧	ȵiŋ2	安宁
宅	tse2	
宇	y3	
守	ʂou3	
安	æ̃1	
宋	suŋ5	
完	uæ̃2	
宏	xuŋ2	
宕	tɑŋ5	延宕
宗	tsuŋ1	
官	kuæ̃1	
宙	tʂou5	
定	tiŋ5	
宜	i2	
寶	pɔ3	
實	ʂʅ2	
寵	tsʰuŋ3	
審	ʂə̃3	
客	kʰe1	
宣	ɕyæ̃1	
室	ʂʅ1	
宦	xuæ̃5	
宪	ɕiæ̃5	
宮	kuŋ1	
宰	tsɛ3	
害	xɛ5	
宴	iæ̃5	
宵	ɕiɔ1	
家	tɕia1	
家	tɕia1	家具
容	ʐuŋ2	
寬	kʰuæ̃1	
賓	piə̃1	
宿	ɕy1	
宿	ɕiou5	
寂	tɕi5	
密	mi1	
寇	kʰou5	
富	fu5	
寐	me5	
寒	xæ̃2	
寓	y5	
寢	tɕʰiə̃3	
寞	mə5	
察	tsʰa1	
寡	kua3	
寨	tsɛ5	
寸	tsʰuə̃5	
對	tue5	
寺	sɿ5	
尋	ɕyə̃2	
導	tɔ3	
壽	ʂou5	
封	fəŋ1	
射	ʂə5	
將	tɕiɑŋ5	大将
將	tɕiɑŋ1	将来
尊	tsuə̃1	
小	ɕiɔ3	
少	ʂɔ3	多少
少	ʂɔ5	少年
尔	ɭɯ3	
尖	tɕiæ̃1	
塵	tʂʰə̃2	
尚	ʂɑŋ5	
嘗	tʂʰɑŋ2	
尤	iou2	
尥	liɔ5	马~厥子
堯	iɔ2	
尬	ka5	尴尬
就	tɕiou5	
尷	kæ̃1	尴尬
屍	sɿ1	
尹	iə̃3	
尺	tʂʰʅ1	
尼	ȵi2	
尽	tɕiə̃5	
尽	tɕiə̃5	尽前
尾	ue3	
尿	ȵiɔ5	
局	tɕy2	
屁	pʰi5	
層	tsʰəŋ2	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	
屆	tɕiə5	
屋	u1	
屎	sɿ3	
屏	pʰiŋ2	围屏
屐	tɕi1	木屐
屑	ɕiə3	不屑
屑	ɕiə3	木屑
展	tʂæ̃3	
屠	tʰu2	
屢	ly3	
履	ly3	
屯	tʰuə̃2	
山	sæ̃1	
歲	sue5	
豈	tɕʰi3	
岐	tɕʰi2	
岑	tsʰə̃2	
岔	tsʰa5	
崗	kɑŋ3	
島	tɔ3	
巖	iæ̃2	
嶺	liŋ3	
岳	yə1	
岸	æ̃5	
峽	ɕia2	
峰	fəŋ1	
崇	tsʰuŋ2	
崔	tsʰue1	
崖	ia2	山崖
崩	pəŋ5	
嵌	tɕʰiæ̃5	
嵩	suŋ1	
川	tʂʰuæ̃1	
州	tʂou1	
巡	ɕyə̃2	
巢	tsʰɔ2	
工	kuŋ1	
左	tsuə3	
巧	tɕʰiɔ3	
巨	tɕy5	
鞏	kuŋ3	巩固
巫	u1	
差	tsʰɛ1	出差
差	tsʰɿ1	参差
差	tsʰa1	差别
已	i3	
巳	sɿ5	
巴	pa1	
巷	ɕiɑŋ5	
巾	tɕiə̃1	
幣	pi5	
市	sɿ5	
布	pu5	
帥	suɛ5	
帆	fæ̃1	
師	sɿ1	
希	ɕi1	
帳	tʂɑŋ5	
帕	pʰa1	
帖	tʰiə1	1碑帖;2请帖
帘	liæ̃2	
帚	tʂou3	
帛	pə2	
帝	ti5	
帶	tɛ5	
席	ɕi2	
幫	pɑŋ1	
常	tʂʰɑŋ2	
帽	mɔ5	
幅	fu1	
幔	mæ̃5	
幕	mu5	
干	kæ̃1	
干	kæ̃1	干湿
平	pʰiŋ2	
年	ȵiæ̃2	
并	piŋ5	合并
幸	ɕiŋ5	
幺	iɔ1	幺二三
幻	xuæ̃5	
幼	iou5	
幽	iou1	
廣	kuɑŋ3	
莊	tʂuɑŋ1	
慶	tɕʰiŋ5	
庇	pi5	
牀	tsʰuɑŋ2	
序	ɕy5	
廬	lu2	
廬	lu2	茅禄
庫	kʰu5	
應	iŋ5	1应当;2应用
應	iŋ5	应付
底	ti3	
店	tiæ̃5	
廟	miɔ5	
庚	kəŋ1	
府	fu3	
龐	pʰɑŋ2	
廢	fe5	
度	tu5	
座	tsuə5	
庭	tʰiŋ2	
庵	æ̃1	
康	kʰɑŋ1	
庸	yŋ1	
廉	liæ̃2	
廊	lɑŋ2	
廓	kʰuə1	
廖	liɔ2	
延	iæ̃2	
廷	tʰiŋ2	
建	tɕiæ̃5	
開	kʰɛ1	
异	i5	
弃	tɕʰi5	
弄	nuŋ5	
弊	pi5	
式	ʂʅ1	
弓	kuŋ1	
引	iə̃3	
弘	xuŋ2	
弟	ti5	
張	tʂɑŋ1	
弥	mi2	
弦	ɕiæ̃2	
彎	uæ̃1	
弱	ʐuə1	
彈	tæ̃5	子弹
彈	tʰæ̃2	弹琴
强	tɕʰiɑŋ2	
弼	pi5	
彀	kou5	往上彀
歸	kue1	
當	tɑŋ1	当时
當	tɑŋ1	当作
录	lu1	
彙	xue5	词~
形	ɕiŋ2	
彩	tsʰɛ3	
彪	piɔ1	
彬	piə̃1	
彭	pʰəŋ2	
影	iŋ3	
彷	fɑŋ3	仿佛
役	i5	
徹	tʂʰə1	
彼	pi3	
往	uɑŋ3	
征	tʂəŋ1	
征	tʂəŋ1	征求
徑	tɕiŋ5	
待	tɛ5	
很	xə̃3	
律	ly1	
徐	ɕy2	
徒	tʰu2	
得	te1	
徙	ɕi3	
御	y5	
循	ɕyə̃2	
微	ue1	
德	te1	
心	ɕiə̃1	
必	pi3	
憶	i5	
忌	tɕi5	
忍	ʐə̃3	
忒	tʰue1	忒好
忖	tsʰuə̃3	
志	tsɿ5	
忘	uɑŋ5	
忙	mɑŋ2	
忠	tsuŋ1	
憂	iou1	
快	kʰuɛ5	
念	ȵiæ̃5	
忽	xu1	
忽	tsʰuŋ1	
忿	fə̃5	
懷	xuɛ2	
態	tʰɛ5	
慫	suŋ3	怂恿
慪	ou5	气
怒	nu5	
怕	pʰa5	
怖	pu5	
憐	liæ̃2	
思	sɿ1	
怠	tɛ5	
急	tɕi2	
性	ɕiŋ5	
怨	yæ̃5	
怪	kuɛ5	
怯	tɕʰiə5	畏怯
總	tsuŋ3	
恃	sɿ5	
戀	liæ̃5	
恍	kuɑŋ5	一恍线
恐	kʰuŋ3	
恆	xəŋ2	
恢	xue1	
恤	ɕy1	
恨	xə̃5	
恩	ə̃1	
恭	kuŋ1	
息	ɕi1	
恰	tɕʰia5	
懇	kʰə̃3	
恶	u5	可恶
恶	ə1	善恶
惱	nɔ3	
悄	tɕʰiɔ1	静悄悄
悉	ɕi1	
悔	xue3	
悟	u5	
悠	iou1	悠悠
患	xuæ̃5	
悦	yə1	
懸	ɕyæ̃2	
憫	miə̃3	
悲	pe1	
情	tɕʰiŋ2	
驚	tɕiŋ1	
惑	xuə5	
惜	ɕi1	
惟	ue2	
惠	xue5	
懼	tɕy5	
慘	tsʰæ̃3	
懲	tʂʰəŋ2	
慚	tsʰæ̃2	
慣	kuæ̃5	
惰	tuə5	
想	ɕiɑŋ3	
惹	ʐə3	
愁	tʂʰou2	
愈	y5	病愈
愉	y2	
意	i5	
愚	y2	
感	kæ̃3	
憤	fə̃5	
愧	kʰue5	
願	yæ̃5	
慈	tsʰɿ2	
慌	xuɑŋ1	
慎	ʂə̃5	
慕	mu5	
慢	mæ̃5	
慧	xue5	
慨	kʰɛ3	慷慨
慰	ue5	
慷	kʰɑŋ1	慷慨
憋	piə1	
憎	tsəŋ5	
憠	tɕyə5	脾气愍
憨	xæ̃1	
憾	xæ̃5	
懂	tuŋ3	
懈	ɕiə5	
懊	ɔ5	懊恼
懊	ɔ5	懊悔
懶	læ̃3	
懵	məŋ3	懵懂
戈	kə1	
戊	u5	
戍	ly5	
戎	ʐuŋ2	
戲	ɕi5	
成	tʂʰəŋ2	
我	uə3	
戒	tɕiə5	
或	xuə5	
戰	tsæ̃5	
戚	tɕʰi2	
戟	tɕi1	
戳	tsuə1	
戴	tɛ5	
戶	xu5	
房	fɑŋ2	
所	suə3	
扁	piæ̃3	
扇	ʂæ̃5	
手	ʂou3	
才	tsʰɛ2	
扎	tsa1	
扑	pʰu1	
打	ta3	
扔	ʐəŋ1	
托	tʰuə1	
托	tʰuə1	手承物
扛	kʰɑŋ2	
扣	kʰou5	扣住
執	tʂʅ1	
擴	kʰuə1	扩充
掃	sɔ3	
掃	sɔ3	扫地
揚	iɑŋ2	
扭	ȵiou3	
扮	pæ̃5	
扯	tʂʰə3	
擾	ʐɔ3	
扳	pæ̃1	
扶	fu2	
批	pʰi1	
扼	e3	
找	tsɔ3	
承	tʂʰəŋ2	
抄	tsʰɔ1	抄写
把	lɛ3	
把	pa3	把守
抑	i5	
抓	tsua1	
投	tʰou2	
抖	tou3	
抗	kʰɑŋ5	
折	tʂə2	弄折了
折	tʂə1	折叠
折	tʂə1	折断
撫	fu3	
抛	pʰɔ1	
摳	kʰou1	
搶	tɕʰiɑŋ3	
護	xu5	
報	pɔ5	
披	pʰi1	
抬	tʰɛ2	
抱	pɔ5	
抵	ti3	
抹	mə3	
抹	ma1	抹布
押	ia1	
抽	tʂʰou1	
抿	miə̃3	
拄	tʂu3	
擔	tæ̃1	担任
擔	tæ̃5	挑担
拆	tsʰe1	开
拇	mu3	
拈	ȵiæ̃1	拈起来
拉	la1	
拌	pæ̃5	
拍	pʰe1	
拎	liŋ1	
拐	kuɛ3	
拒	tɕy5	
拔	pa2	
拖	tʰuə1	
拘	tɕy1	
拙	tʂuə2	
招	tʂɔ1	
拜	pɛ5	
擬	ȵi3	
攏	luŋ3	
揀	tɕiæ̃3	
擁	yŋ1	
攔	læ̃2	
撥	pə1	
擇	tse2	择菜
括	kʰuə1	包括
拯	tʂəŋ3	拯救
拱	kuŋ3	拱手
拳	tɕʰyæ̃2	
拴	suæ̃1	
拼	pʰiə̃1	拼命
拽	tsuɛ5	拉
拾	ʂʅ2	拾起来
拿	na2	
持	tʂʰʅ2	
挂	kua5	
指	tsɿ3	
按	æ̃5	
挑	tʰiɔ1	
