#漢字	音標	解釋
□	tsʰɔ1	□起棍子
挖	ua1	
挾	ɕiə2	
撓	nɔ2	
擋	tɑŋ3	
擠	tɕi3	
揮	xue2	
挨	iɛ2	挨住
挪	nuə2	
振	tʂə̃5	
挺	tʰiŋ3	
挽	uæ̃5	
捅	tʰuŋ3	捅破了
捆	kʰuə̃3	
捉	tsuə1	
捋	lu1	捋袖
捎	sɔ1	捎带
捏	ȵiə1	
捐	tɕyæ̃1	
捕	pu1	
撈	lɔ1	1捞钱;2打捞
損	suə̃3	
換	xuæ̃5	
捧	pʰəŋ3	
据	tɕy5	
捱	iɛ2	捱打
捷	tɕiə2	
捺	na1	撇捺
捻	ȵiæ̃3	以指捻碎
掀	ɕiæ̃1	
掂	tiæ̃1	掂掇
掇	tɔ1	拾掇
授	ʂou5	
掉	tiɔ5	
掌	tʂɑŋ3	
掏	tʰɔ1	掏出来
掐	tɕʰia1	
排	pʰɛ2	
掘	tɕyə2	
掠	lyə3	
探	tʰæ̃5	试探
接	tɕiə1	
控	kʰuŋ5	
推	tʰue1	
掩	iæ̃3	
掩	æ̃3	坑
措	tsʰuə1	措置
掬	tɕy1	一捧
掮	tɕʰiæ̃2	
擲	tʂʅ5	
撣	tæ̃3	鸡毛掸子
揈	xuŋ1	~出去
揉	ʐou2	
描	miɔ2	
提	tʰi2	
插	tsʰa1	
揞	æ̃5	音住
握	uə1	
揣	tsʰuɛ3	揣度
揩	kʰɛ1	
揫	tɕiou1	一把住
揭	tɕiə1	
援	yæ̃2	援救
攬	læ̃3	
撳	tɕʰiə̃5	按
攙	tsʰæ̃1	
擱	kə1	
摟	lou1	搂取
摟	lou3	搂抱
攪	tɕiɔ3	
搉	tɕʰyə1	~蒜
搓	tsʰuə1	
搜	sou1	
搜	sou1	搜集
搞	kɔ3	
搡	sɑŋ3	
搧	ʂæ̃1	
搬	pæ̃1	
搭	ta1	
攜	ɕiə2	
搽	tsʰa3	
攝	ʂə5	
摆	pɛ3	
摇	iɔ2	
攤	tʰæ̃1	
摔	suɛ1	
摘	tse1	
摞	luə5	摞起来
摩	mə2	
摸	mə1	
摹	mə2	摹仿
撇	pʰiə1	1撇捺;2撇开
撑	tsʰəŋ1	
撒	sa1	撒手
撕	sɿ1	
撞	tsuɑŋ5	
撤	tʂʰə1	
撩	liɔ2	
撮	tsʰuə1	
撰	tsuæ̃3	
攆	ȵiæ̃3	
撼	xæ̃5	
擀	kæ̃3	擀面
操	tsʰɔ1	操作
擎	tɕʰiŋ2	
擒	tɕʰiə̃2	
擘	pe1	
擦	tsʰa1	
攀	pʰæ̃1	
攘	ʐɑŋ3	
攮	nɑŋ3	用刀子~
支	tsɿ1	
收	ʂou1	
改	kɛ3	
攻	kuŋ1	攻击
放	fɑŋ5	
政	tʂəŋ5	
故	ku5	
效	ɕiɔ5	
敵	ti2	
敏	miə̃3	
救	tɕiou5	
教	tɕiɔ1	教书
教	tɕiɔ5	教育
斂	liæ̃3	
敝	pi5	
敢	kæ̃3	
散	sæ̃5	分散
散	sæ̃3	鞋带散了
敦	tuə̃1	敦厚
敬	tɕiŋ5	
數	suə3	动词
數	suə5	名词
敲	tɕʰiɔ1	
整	tʂəŋ3	
敷	fu1	
文	uə̃2	
齋	tsɛ1	
斑	pæ̃1	
斗	tou3	
斗	tou5	
料	liɔ5	
斜	ɕiə2	
斟	tʂə̃1	
斤	tɕiə̃1	
斥	tʂʰʅ5	
斧	fu3	
斬	tʂæ̃3	
斷	tuæ̃5	决断
斷	tuæ̃5	断绝
斯	sɿ1	
新	ɕiə̃1	
方	fɑŋ1	
施	ʂʅ1	
旁	pɑŋ5	
旅	ly3	
旋	ɕyæ̃2	
旋	ɕyæ̃5	旋床
族	tsu2	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	ʐʅ1	
旦	tæ̃5	
舊	tɕiou5	
旨	tsɿ3	
早	tsɔ3	
旬	ɕyə̃2	
旱	xæ̃5	
時	sɿ2	
曠	kʰuɑŋ5	
旺	uɑŋ5	
昂	ɑŋ2	
昆	kʰuə̃1	
昌	tʂʰɑŋ1	
明	miŋ2	
昏	xuə̃1	
易	i5	
昔	ɕi1	
星	ɕiŋ1	
映	iŋ5	
春	tʂʰuə̃1	
昧	me5	
昨	tsuə2	
昭	tʂɔ1	
是	sɿ5	
晝	tʂou5	
顯	ɕiæ̃3	
晃	xuɑŋ3	晃眼
晉	tɕiə̃5	
晌	ʂɑŋ3	晌午
晏	æ̃3	晚
晏	iæ̃5	晚也
曬	sɛ5	
曉	ɕiɔ3	
暈	yə̃1	
晦	xue5	
晨	tʂʰə̃2	
普	pʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ2	
晶	tɕiŋ1	
智	tʂʅ5	
暫	tsæ̃5	
暇	ɕia2	
暖	nuæ̃3	
暗	æ̃5	
暮	mu5	
暴	pɔ5	
曝	pʰu5	
曰	yə1	
曲	tɕʰy1	1曲折;2歌曲
更	kəŋ1	1更换;2五更
更	kəŋ5	更加
曹	tsʰɔ2	
曾	tsəŋ1	姓
曾	tsʰəŋ2	曾经
替	tʰi5	
最	tsue5	
月	yə1	
有	iou3	
朋	pʰəŋ2	
服	fu2	
朔	suə5	
朗	lɑŋ3	
望	uɑŋ5	
朝	tʂɔ1	今朝
朝	tʂʰɔ2	朝代
期	tɕʰi2	时期
木	mu1	
未	ue5	
末	mə1	
本	pə̃3	
札	tsa1	
术	ʂu2	
术	tʂu2	白术
朱	tʂu1	
朴	pʰu3	
朶	tuə3	
機	tɕi1	
朽	ɕiou3	
殺	sa1	
雜	tsa2	
權	tɕʰyæ̃2	
杆	kæ̃3	
杈	tsʰa5	
杉	sæ̃1	
李	li3	
杏	ɕiŋ5	
材	tsʰɛ2	
村	tsʰuə̃1	
杖	tʂɑŋ5	
杜	tu5	
杞	tɕʰi3	
束	su1	
杠	kɑŋ5	
條	tʰiɔ2	
來	lɛ2	
楊	iɑŋ2	
杭	xɑŋ2	
杯	pe1	
杰	tɕiə2	
杳	iɔ3	杳无音信
松	suŋ1	
板	pæ̃3	
極	tɕi2	
構	kou5	
枇	pʰi2	
枉	uɑŋ2	
析	ɕi1	
枕	tʂə̃3	
枕	tʂə̃5	动词
林	lə̃2	
枚	me2	
果	kuə3	
枝	tsɿ1	
樞	ʂu1	
棗	tsɔ3	
槍	tɕʰiɑŋ1	
楓	fəŋ1	
枯	kʰu1	
架	tɕia5	
柄	piŋ3	
柏	pe1	
某	mou3	
柑	kæ̃1	
染	ʐæ̃3	
柔	ʐou2	
柚	iou5	
櫃	kue5	
查	tsa1	山查
柩	tɕiou5	
柬	tɕiæ̃3	
柱	tʂu5	
柳	liou3	
柴	tsʰɛ2	
柿	sɿ5	
梔	tsɿ1	栀子花
栅	tsa5	
標	piɔ1	
棧	tsæ̃5	
棟	tuŋ5	
欄	læ̃2	
栖	ɕi1	
栗	li1	
校	ʐɔ5	上校
校	ɕiɔ5	学校
校	tɕiɔ5	校对
株	tʂu1	
樣	iɑŋ5	
核	xɛ2	审核
核	xu2	果子核
根	kə̃1	
格	ke1	
栽	tsɛ1	
桂	kue5	
桃	tʰɔ2	
桅	ue2	船桅杆
案	æ̃5	
桌	tsuə1	
桐	tʰuŋ2	
桑	sɑŋ1	
桓	xuæ̃2	
椏	ia5	桠权
橋	tɕʰiɔ2	
樺	xua2	桦树
檜	xue5	乔木名;秦桧
槳	tɕiɑŋ1	
樁	tsuɑŋ1	
桶	tʰuŋ3	
梁	liɑŋ2	
梅	me2	
梓	tsɿ3	
梗	kəŋ3	
梢	sɔ1	树梢
夢	məŋ5	
梧	u2	梧桐
梨	li2	
梭	suə1	织布梭
梯	tʰi1	
械	ɕiə5	
梳	su1	梳头
檢	tɕiæ̃3	
棉	miæ̃2	
棋	tɕʰi2	
棍	kuə̃5	
棒	pɑŋ5	
棚	pʰəŋ2	
棠	tʰɑŋ2	
森	sə̃1	
棵	kʰə1	
棺	kuæ̃1	
椅	i3	
植	tʂʅ2	
椒	tɕiɔ1	
橢	tʰuə3	椭圆
椴	tuæ̃5	
椽	tʂʰuæ̃2	
椿	tʂʰuə̃1	椿树
楚	tʂʰu3	
楝	liæ̃5	楝树
楞	ləŋ5	
楣	me2	
楷	kʰɛ3	
樓	lou2	
概	kɛ5	
欖	læ̃3	橄榄
榆	y2	
榛	tʂʰə̃1	
榜	pɑŋ3	
榨	tsa5	榨油
榴	liou2	石榴
榻	ta1	
槌	tsʰue2	
槐	xuɛ2	
檳	piə̃1	槟棚
槽	tsʰɔ2	
樟	tʂɑŋ1	
模	mə2	模范
橫	xəŋ2	横直
橫	xəŋ5	蛮横
櫻	iŋ1	樱桃
樵	tɕʰiɔ2	
橄	kæ̃3	橄榄
橘	tɕy1	
橙	tʂʰəŋ2	
橙	tʂʰəŋ2	橙子
橛	tɕyə2	橛子
橡	ɕiɑŋ5	橡树
櫓	lu3	
檀	tʰæ̃2	
檐	iæ̃2	
欠	tɕʰiæ̃5	
次	tsʰɿ5	
歡	xuæ̃1	
欣	ɕiə̃1	
歐	ou1	
欲	y1	
欺	tɕʰi2	
款	kʰuæ̃3	
歇	ɕiə1	
歉	tɕʰiæ̃5	
歌	kə1	
止	tsɿ3	
正	tʂəŋ5	
正	tʂəŋ1	正月
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uɛ1	
死	sɿ3	
殲	tɕiæ̃1	歼灭
殃	iɑŋ1	
殆	tɛ5	
殉	ɕyə̃5	
殊	ʂu2	
殘	tsʰæ̃2	
殮	liæ̃5	
殖	tʂʅ2	
殯	piə̃5	
毆	ou1	
段	tuæ̃5	
殷	iə̃1	
殿	tiæ̃5	
毁	xue3	
毅	i5	
母	mu3	
每	me3	
毒	tu2	
比	pi3	
畢	pi1	
斃	pi5	
毛	mɔ2	
毡	tsæ̃1	
毫	xɔ2	
毯	tʰæ̃3	
氏	sɿ5	
民	miə̃2	
气	tɕʰi5	
水	sue3	
永	yŋ3	
汀	tʰiŋ1	
汁	tʂʅ1	
求	tɕʰiou2	
汇	xue5	
漢	xæ̃5	
汗	xæ̃5	
汝	ʐu3	
汞	kuŋ3	
江	tɕiɑŋ1	
池	tʂʰʅ2	
污	u1	
湯	tʰɑŋ1	
汪	uɑŋ1	一汪水
汴	piæ̃5	
汽	tɕʰi5	
沂	tɕʰi2	沂河
沃	uə5	
沉	tʂʰə̃2	
沌	tuə̃5	
沓	ta2	一沓纸
沙	sa1	
沛	pʰe5	
溝	kou1	
漚	ou1	久浸水中
淪	luə̃2	
滬	xu5	
沫	mə1	
河	xə2	
油	iou2	
治	tʂʅ5	
沼	tʂɔ1	沼气
沾	tsæ̃1	
沿	iæ̃2	
泄	ɕiə3	泄漏
泅	tɕʰiou2	游水
泉	tɕʰyæ̃2	
泊	pə2	
泊	pʰə1	梁山泊
泌	mi5	
法	fa1	法子
泛	fæ̃5	
泡	pʰɔ1	
泡	pʰɔ5	泡在水里
波	pə1	
泣	tɕʰi5	
泥	ȵi2	
注	tʂu5	
淚	le5	
泰	tʰɛ5	
泳	yŋ3	
瀉	ɕiə5	
潑	pʰə1	
澤	tse2	
潔	tɕiə1	
洇	iə̃1	
洋	iɑŋ2	
洒	sa3	
洗	ɕi3	
洛	luə1	
洞	tuŋ5	
津	tɕiə̃1	
洪	xuŋ2	
洲	tʂou1	
活	xuə2	
洼	ua5	
洽	tɕʰia5	
派	pʰɛ5	
流	liou2	
淺	tɕʰiæ̃3	
漿	tɕiɑŋ1	
澆	tɕiɔ1	
濁	tsuə2	
測	tsʰe1	
濟	tɕi5	
渾	xuə̃2	浑浊
滸	xu3	
濃	nuŋ2	
浙	tʂə1	
浚	tɕyə̃5	浚河
浞	tsuə2	
浩	xɔ5	
浪	lɑŋ5	
浮	fu2	
浴	y1	
海	xɛ3	
浸	tɕiə̃1	
涂	tʰu2	
消	ɕiɔ1	
涉	ʂə1	
涌	yŋ3	
涎	ɕiæ̃2	
涕	tʰi5	鼻涕
濤	tʰɔ1	
澇	lɔ5	旱涝
潤	ʐuə̃5	
澗	tɕiæ̃5	
漲	tʂɑŋ5	
澀	se1	
涮	sua1	涮洗
涯	ia2	天涯
液	iə5	
淆	ɕiɔ2	
淋	lə̃2	淋湿
淑	su1	
淘	tʰɔ2	淘汰
淡	tæ̃5	
淤	y1	
淫	iə̃2	
淮	xuɛ2	
深	ʂə̃1	
混	xuə̃5	相混
淹	iæ̃1	
添	tʰiæ̃1	
清	tɕʰiŋ1	
淵	yæ̃1	
漸	tɕiæ̃5	
澠	miæ̃3	渑池子
漁	y2	
滲	sə̃5	水渗透
渠	tɕʰy2	
渡	tu5	
渣	tsa1	
溫	uə̃1	
港	kɑŋ3	港口
渴	kʰə1	
游	iou2	
渺	miɔ3	
湖	xu2	
湘	ɕiɑŋ1	
灣	uæ̃1	
溼	ʂʅ1	
潰	xue5	溃脓
濺	tɕiæ̃5	溅一身水
溉	kɛ5	
源	yæ̃2	
溜	liou5	
溪	ɕi1	
溺	ȵi5	
溻	tʰa1	汗漏湿了
滂	pʰɑŋ2	滂沱
滋	tsɿ1	
滑	xua2	
滓	tsɿ3	
滔	tʰɔ1	
滚	kuə̃3	
滯	tʂʅ5	停滞
滿	mæ̃3	
濾	ly5	
濫	læ̃5	
灘	tʰæ̃1	
滴	ti1	
漂	pʰiɔ5	
漆	tɕʰi2	
漏	lou5	
演	iæ̃3	
漫	mæ̃5	
漱	su5	漱口
潘	pʰæ̃1	
潛	tɕʰiæ̃3	
潭	tʰæ̃2	
潮	tʂʰɔ2	
潲	sɔ5	~雨
澄	tʂʰəŋ2	
澄	təŋ5	
澡	tsɔ3	
激	tɕi1	
瀑	pʰu5	瀑布
灌	kuæ̃5	
灞	pa5	柄
火	xuə3	
滅	miə1	
燈	təŋ1	
灰	xue1	
靈	liŋ2	
竈	tsɔ5	
灸	tɕiou1	针灸
災	tsɛ1	
燦	tsʰæ̃5	
爐	lu2	
炊	tsʰue1	
炊	ɕiæ̃1	锹属
炎	iæ̃2	
炒	tsʰɔ3	
炕	kʰɑŋ5	
炙	tʂʅ5	
炭	tʰæ̃5	
炮	pʰɔ5	枪炮
炸	tsa5	炸弹
炸	tsa2	用油炸
點	tiæ̃3	
煉	liæ̃5	
爛	læ̃5	
烈	liə1	
烘	xuŋ1	烘干
烙	luə1	
燭	tʂu1	
烟	iæ̃1	
烤	kʰɔ3	
煩	fæ̃2	
燒	ʂɔ1	
燙	tʰɑŋ5	
熱	ʐə1	
烹	pʰəŋ1	
焉	iæ̃1	心不在焉
焊	xæ̃5	焊铁壶
煥	xuæ̃5	
焙	pe5	~干
焙	pe2	焙干
焚	fə̃2	
焦	tɕiɔ1	
焯	tsʰɔ1	把菜放在开水里焯焯
焰	iæ̃5	
然	ʐæ̃2	
煎	tɕiæ̃1	
煤	me2	
照	tʂɔ5	
煨	ue1	
煮	tʂu3	
熄	ɕi1	
熊	ɕyŋ2	
熏	ɕyə̃1	
熙	ɕi1	
熟	ʂu2	煮熟
熨	yə̃5	
熬	ɔ2	
燃	ʐæ̃2	
燎	liɔ2	
燎	liɔ3	火燎眉毛
燕	iæ̃5	燕子
爆	pɔ5	
爊	ɔ1	熾白菜
爪	tsua3	爪子
爬	pʰa2	
愛	ɛ5	
爵	tɕyə2	
父	fu5	
爺	iə2	
爹	tiə1	
爽	suɑŋ3	
片	pʰiæ̃5	
版	pæ̃3	
牌	pʰɛ2	
牘	tu2	
牒	tiə2	
牙	ia2	
牚	tsʰəŋ1	椅子牚儿
牛	ȵiou2	
牡	mu3	
牢	lɔ2	
牧	mu5	
物	u1	
牲	səŋ1	
牽	tɕʰiæ̃1	
特	tʰe2	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	tu2	牛犊子
犍	tɕiæ̃5	犍子
犒	kʰɔ5	
犬	fe5	
犯	fæ̃5	
狀	tsuɑŋ5	
猶	iou2	
狂	kʰuɑŋ2	
狄	ti2	
狍	pʰɔ2	
狐	xu2	
狗	kou3	
狡	tɕiɔ3	
獨	tu2	
狹	ɕia2	
獅	sɿ1	
獄	y1	
狸	li2	
狼	lɑŋ2	
獵	liə1	
猛	məŋ3	
猜	tsʰɛ1	
猝	tsʰu1	仓猝
豬	tʂu1	
猫	mɔ2	
蝟	ue5	
獻	ɕiæ̃5	
猴	xou2	
猾	xua2	狡猾
玄	ɕyæ̃2	
率	suɛ5	率领
率	ly1	速率
玉	y5	
王	uɑŋ2	
玩	uæ̃2	
環	xuæ̃2	
現	ɕiæ̃5	
璽	ɕi3	
玻	pə1	玻璃
珊	sæ̃1	
珍	tʂə̃3	
珠	tʂu1	
班	pæ̃1	
球	tɕʰiou2	
理	li3	
琉	liou2	琉璃
瑣	suə3	琐碎
琢	tsuə2	
琴	tɕʰiə̃2	
琵	pʰi2	琵琶
瓊	tɕʰyŋ2	
瑕	ɕia2	
瑞	ʐue5	
瑟	sə5	
璃	li2	
璧	pi5	
璺	uə̃5	裂璧
瓜	kua1	
瓠	xu2	瓠卢
瓢	pʰiɔ2	
瓣	pæ̃5	
瓤	ʐɑŋ2	瓜瓤
瓦	ua3	
瓦	ua5	动词
瓮	uŋ5	
甌	ou1	
甌	ou1	盅
瓶	pʰiŋ2	
瓷	tsʰɿ2	瓷器
甘	kæ̃1	
甚	ʂə̃5	
甜	tʰiæ̃2	
生	səŋ1	
甥	səŋ1	
用	yŋ5	
甫	fu3	
田	tʰiæ̃2	
由	iou2	
甲	tɕia1	
申	ʂə̃1	
電	tiæ̃5	
男	næ̃2	
畫	xua5	
暢	tʂʰɑŋ5	
界	tɕiə5	
畏	ue5	
留	liou2	
畜	tʂʰu5	畜牲
略	lyə1	
畦	tɕʰi2	
番	fæ̃1	几番
疆	tɕiɑŋ1	
疏	ʂu1	注疏
疏	su1	疏远
疑	i2	
療	liɔ2	
疝	ʂæ̃5	疝气
瘧	ȵyə5	疟疾
瘍	iɑŋ2	溃疡
疤	pa1	
疥	tɕiə5	
疫	i5	
瘡	tsʰuɑŋ1	
瘋	fəŋ1	
疲	pʰi2	
疵	tsʰɿ1	吹毛求疵
疹	tʂə̃3	
疼	tʰəŋ2	
疾	tɕi2	
痂	tɕia1	
病	piŋ5	
症	tʂəŋ5	
癰	yŋ1	
痒	iɑŋ3	
痔	tsɿ5	
痕	xə̃2	
痛	tʰuŋ5	
痢	li5	
痣	tsɿ5	
痰	tʰæ̃2	
痱	fi5	
癡	tʂʰʅ1	
痹	pi5	
瘊	xou2	猴子
瘟	uə̃1	
瘦	sou5	
瘴	tʂɑŋ5	
瘸	tɕʰyə2	瘸腿
癩	lɛ5	
癬	ɕiæ̃3	
癸	kʰue2	
登	təŋ1	
白	pe2	
百	pe1	
皂	tsɔ5	
的	ti1	目的
皆	tɕiə1	
皇	xuɑŋ2	
皖	uæ̃3	安徽
皮	pʰi2	
皺	tʂou5	
皴	tʂʰuə̃1	脸皴
皿	miə̃3	
盂	y2	
盆	pʰə̃2	
盈	iŋ2	
益	i1	
盞	tsæ̃3	
鹽	iæ̃1	
鹽	iæ̃2	
監	tɕiæ̃5	国子监
監	tɕiæ̃1	监察
盒	xə2	
盔	kʰue1	
盖	kɛ5	
盜	tɔ5	
盤	pʰæ̃2	
盛	ʂəŋ5	兴盛
盛	tʂʰəŋ2	盛满了
盟	məŋ2	
目	mu1	
盲	mɑŋ2	
直	tʂʅ2	
相	ɕiɑŋ1	互相
相	ɕiɑŋ5	相貌
盼	pʰæ̃5	
盾	tuə̃5	矛盾
省	ɕiŋ3	反省
省	səŋ3	省长
省	səŋ3	节省
眉	me2	
看	kʰæ̃1	看守
看	kʰæ̃5	看见
瞘	kʰou5	眼~
真	tʂə̃1	
眠	miæ̃2	
眨	tsa3	眨眼
眩	ɕyæ̃5	
眶	kʰuɑŋ1	眼眶
眷	tɕyæ̃5	
眼	iæ̃3	
着	tʂuə2	睡着
睜	tsəŋ1	
睛	tɕiŋ1	眼睛
睡	sue5	
督	tu1	
睬	tsʰɛ3	
瞅	tʂʰou3	
瞎	ɕia1	
瞞	mæ̃2	
瞧	tɕʰiɔ2	
瞪	təŋ5	瞪眼
瞭	liɔ5	
瞳	tʰuŋ2	
瞻	tsæ̃1	
瞿	tɕʰy2	
矛	mɔ2	
矢	sɿ3	
知	tʂʅ1	
矩	tɕy3	规矩
矯	tɕiɔ3	矫诈
短	tuæ̃3	
矮	iɛ3	
石	ʂʅ2	
礬	fæ̃2	
礦	kʰuɑŋ5	
碼	ma3	码子
砌	tɕʰi5	
砍	kʰæ̃3	
砑	ia5	砾平
研	iæ̃3	
磚	tʂuæ̃1	
硯	iæ̃5	
破	pʰə5	
礎	tʂʰu3	柱下石
硝	ɕiɔ1	
硫	liou2	硫磺
硬	iŋ5	
確	tɕʰyə1	
礆	tɕiæ̃3	同碱
礙	ɛ5	
碎	sue5	
碑	pe1	
碓	tue5	
碗	uæ̃3	
碟	tiə2	
碧	pi5	
碾	ȵiæ̃3	
磁	tsʰɿ2	磁石
磕	kʰə1	
磨	mə5	石磨
磨	mə2	磨刀
磬	tɕʰiŋ5	钟磬
磷	liə̃2	
礓	tɕiɑŋ1	磕石
示	sɿ5	
禮	li3	
社	ʂə5	
祀	sɿ5	
祁	tɕʰi2	
祈	tɕʰi3	
祖	tsu3	
祝	tsu1	
神	ʂə̃2	
祠	tsʰɿ2	
祥	ɕiɑŋ2	
票	pʰiɔ5	车票
祭	tɕi5	
禱	tɔ3	
禍	xuə5	
禁	tɕiə̃1	禁不住
禁	tɕiə̃5	禁止
祿	lu1	
禪	tʂʰæ̃2	禅宗
禪	ʂæ̃5	禅让
福	fu1	
禹	y3	
离	li2	离别
禽	tɕʰiə̃2	
禾	xə2	
秀	ɕiou5	
私	sɿ1	
秃	tʰu1	
稈	kæ̃3	稻杆
秉	piŋ3	
秋	tɕʰiou1	牛秋
秋	tɕʰiou1	秋天
秋	tɕʰiou1	秋千
種	tsuŋ3	种类
種	tsuŋ5	种树
科	kʰə1	
秒	miɔ3	
秕	pi3	
秘	mi5	
租	tsu1	
秤	tʂʰəŋ5	一杆秤
秦	tɕʰiə̃2	
秧	iɑŋ1	
秩	tʂʰʅ5	
秫	ʂu2	
積	tɕi1	
稱	tsʰə̃5	相称
稱	tʂʰəŋ1	称呼
秸	tɕiɛ1	麦秸
移	i2	
穢	xue5	
稀	ɕi1	
程	tʂʰəŋ2	
稍	sɔ1	
税	sue5	
稗	pɛ5	
稚	tʂʰʅ5	幼稚
稠	tʂʰou2	
穩	uə̃3	
稻	tɔ5	
稼	tɕia5	
稽	tɕi1	
稿	kɔ3	
穆	mu1	
穗	sue5	
穰	ʐɑŋ2	禾茎
穴	ɕyə2	
究	tɕiou1	
窮	tɕʰyŋ2	
空	kʰuŋ1	空虚
空	kʰuŋ5	空缺
穿	tʂʰuæ̃1	
突	tʰu1	
窄	tse1	
竅	tɕʰiɔ5	
窯	iɔ2	
窖	tɕiɔ5	
窗	tsʰuɑŋ1	
窘	tɕyŋ3	
竄	tʂʰuæ̃5	
窩	uə1	
窟	kʰu1	窟窿
窠	kʰə1	
窺	kʰue1	
立	li1	
站	tsæ̃5	立
站	tsæ̃5	车站
競	tɕiŋ5	
竟	tɕiŋ5	
章	tʂɑŋ1	
童	tʰuŋ2	
端	tuæ̃1	
竹	tʂu1	
竿	kæ̃1	竹竿
篤	tu1	
笋	syə̃3	
笑	ɕiɔ5	
筆	pe1	
笙	səŋ1	
笛	ti2	
笠	li1	
符	fu2	
笨	pə̃5	
第	ti5	
箋	tɕiæ̃1	
籠	luŋ2	
等	təŋ3	
筋	tɕiə̃1	
筏	fa2	
筐	kʰuɑŋ1	
筑	tʂu1	
筒	tʰuŋ3	
答	ta1	
策	tsʰe1	
篩	sɛ1	筛子
箏	tsəŋ1	
筵	iæ̃5	
筷	kʰuɛ5	
籌	tʂʰou2	
签	tɕʰiæ̃1	
簡	tɕiæ̃3	
箅	pi5	箅子
箍	ku1	
算	suæ̃5	
管	kuæ̃3	
籮	luə2	
簫	ɕiɔ1	
箭	tɕiæ̃5	
箱	ɕiɑŋ1	
箸	tʂu5	筷子
篆	tʂuæ̃5	
篇	pʰiæ̃1	
簍	lou3	
篡	tʂʰuæ̃5	
籃	læ̃2	
籬	li2	
篷	pʰəŋ2	
篾	miə1	竹篾
簧	xuɑŋ2	锁簧
簰	pʰɛ2	筏
簸	pə3	簸一簸
簸	pə5	簸箕
簿	pu5	
籍	tɕi2	
米	mi3	
類	le5	
粉	fə̃3	
粒	li1	
粗	tsʰu1	
粘	tsæ̃1	粘贴
粟	su5	
粤	yə1	
粥	tʂou1	
糞	fə̃5	
糧	liɑŋ2	
粳	tɕiŋ1	粳米
粹	tsʰue5	纯粹
糉	tsuŋ5	
精	tɕiŋ1	
糕	kɔ1	
糖	tʰɑŋ2	
糙	tsʰɔ1	粗糙
糟	tsɔ1	
糠	kʰɑŋ1	
糯	nuə5	糯米
系	tɕi5	
系	ɕi5	联系
素	su5	
索	suə3	绳索
緊	tɕiə̃3	
紫	tsɿ3	
累	le5	极困
累	le3	累赘
累	le5	连累
絮	ɕy5	
繁	fæ̃2	
繰	tɕʰiɔ1	繰边
纂	tsuæ̃3	编纂
纔	tsʰɛ2	
糾	tɕiou1	
糾	tɕiou1	纠缠
紅	xuŋ2	
紂	tʂou5	桀纣
纤	ʐə̃5	缝纤
約	yə1	
級	tɕi1	
紀	tɕi5	
緯	ue3	
純	tsʰuə̃2	
紗	sa1	
綱	kɑŋ1	
納	na1	
縱	tsuŋ5	放纵
縱	tsuŋ5	纵横
縱	tsuŋ5	纵容
紛	fə̃1	
紙	tsɿ3	
紋	uə̃2	
紡	fɑŋ3	
紐	ȵiou3	
線	ɕiæ̃5	
練	liæ̃5	
組	tsu1	
細	ɕi5	
織	tʂʅ1	
終	tsuŋ1	
縐	tʂou5	
絆	pæ̃5	
紹	ʂɔ5	
經	tɕiŋ1	经纬
綁	pɑŋ3	
絨	ʐuŋ2	
結	tɕiə1	
絝	kʰua3	
繞	ʐɔ3	围绕
繞	ʐɔ5	绕线
繪	xue5	
絡	luə1	
絶	tɕyə2	
絞	tɕiɔ3	
統	tʰuŋ3	
絹	tɕyæ̃5	
繡	ɕiou5	
綏	sue2	
繼	tɕi5	
績	tɕi1	
緒	ɕy5	
續	ɕy5	
繩	ʂəŋ2	
維	ue2	
綿	miæ̃2	
綢	tʂʰou2	
綜	tsuŋ1	织布机上的综
綻	tsæ̃5	
綠	ly1	
綴	tsue5	点缀
緬	miæ̃3	
纜	læ̃3	
緝	tɕʰi2	缉鞋口
緞	tuæ̃5	
緩	xuæ̃3	
縷	ly3	丝缕
編	piæ̃1	
緣	yæ̃2	
縛	fu5	
縫	fəŋ2	
纏	tʂʰæ̃2	
縊	i5	
纓	iŋ1	
縮	su1	
繮	tɕiɑŋ1	缰绳
繳	tɕiɔ1	上缴
缸	kɑŋ1	
缺	tɕʰyə1	
网	uɑŋ3	
罕	xæ̃3	
羅	luə2	
罰	fa2	
罷	pa5	
罩	tʂɔ5	
罪	tsue5	
置	tʂʅ5	
羊	iɑŋ2	
羌	tɕʰiɑŋ1	
美	me3	
羔	kɔ1	
羞	ɕiou1	
羡	ɕiæ̃5	
群	tɕʰyə̃2	
羹	kəŋ1	
羽	y3	
翁	uŋ1	
翅	tsʰɿ5	
翎	liŋ2	
翠	tsʰue5	
翡	fe3	翡翠
翰	xæ̃5	
翻	fæ̃1	
翼	i5	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tʂə3	
而	ɭɯ2	
耍	sua3	
耐	nɛ5	
耕	kəŋ1	
耗	xɔ5	
耙	pʰa2	犁耙
耬	lou2	农具
耩	tɕiɑŋ3	~地
耳	ɭɯ3	
耶	iə1	
耻	tʂʰʅ3	
耽	tæ̃1	
耿	kəŋ3	
聶	ȵiə1	姓
