#漢字	音標	解釋#('wuu_th_shj_shcs', '上海川沙話', '上海川沙', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,213 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
㑚	nɑ6	第二人称复数
㓟	pʰi1	
㛫	dã6	
㞘	ɗok7	女阴
㡧	tsəŋ5	
㨃	ɗe3	
㽹	ɸɛ5	恶心呕吐
㿭	tsʰɑk7	
㿳	tsʰɿ1	
䃙	lok8	～砖（砖）
䐇	miŋ4	
䗌	sin1	
䬻	zi6	
一	iɪʔ7	
丁	ɗin1	
七	tsʰiɪʔ7	
丈	zã4	
三	sɛ1	
上	zɒ̃4	动词：～山
上	zɒ̃6	名词：～面；皇～
上	lɒ̃6	语流中的常用读音。俗作“浪”
下	ɦɔ4	【白读】
下	ɦiɑ4	【文读】陛～
不	ɓəʔ7	
丑	tsʰɤ3	
且	tsʰiɑ3	【白读】
且	tsʰi3	【文读】而～
丕	pʰe1	
世	sɿ5	
丘	tɕʰiɤ1	
丙	ɓin3	
丞	zəŋ2	
丟	ɗiɤ1	
並	bin4	～且；～列；～排
丨	kuəŋ3	
丫	ɔ1	
中	tsoŋ1	
中	tsoŋ5	射～
串	tsʰe5	
丸	βe2	
丹	ɗɛ1	
主	tsy3	
乃	ne1	【文读】～是
乃	ne4	【白读】杨～武
久	tɕiɤ3	
么	iɔ1	“幺”俗字
之	tsɿ1	
乍	ziɔ6	
乏	βæʔ8	
乖	kuɑ1	
乘	zəŋ2	
乙	iɪʔ7	
九	tɕiɤ3	
乞	tɕʰiɪʔ7	
也	ɦɑ4	【白读】
也	ɦiɛ4	【文读】
乳	zy4	
乾	kø1	～燥；～旱；～净；豆腐～
乾	dʑi2	～坤；～隆（清朝年号）；～元山（浙江德清地名）
亂	lø6	
了	liɔ4	
予	ɦy2	古文中的第一人称
予	ɦy4	赋～；给～
事	zɿ6	
二	ȵi6	【白读】
二	əl6	【文读】
云	ɦyn2	人～亦～
互	ŋu6	
五	ŋ̍4	【白读】数字
五	βu1	【文读】～里桥（上海黄浦地名）；节日、纪念日及相关地名：～一；～四；～卅
井	tsin3	
亞	ɔ1	【白读】～细～；东～饭店
亞	iɑ1	【文读】～洲
亡	mɒ̃2	【白读】～人；关～
亡	βɒ̃2	【文读】死～
亢	kʰɒ̃5	
交	kɔ1	【白读】
交	tɕiɔ1	【文读】～通
享	ɕiã3	
京	tɕiʌŋ1	
亭	din2	
亮	liã6	
人	ȵin2	【白读】一个～；～家；坏～
人	zəŋ2	【文读】～民；～类
什	zəʔ8	
仁	ȵin2	【白读】杏～；桃～；虾～
仁	zəŋ2	【文读】～义
仇	zɤ2	
仇	dʑiɤ2	姓
今	tɕin1	
介	tɕiɑ5	【文读】～绍
介	kɑ5	【白读】
仍	ȵiʌŋ2	【白读】
仍	zəŋ2	【文读】
仔	tsɿ3	
他	tʰɑ1	
仗	tsã5	打～
付	ɸu5	
仙	si1	
代	de6	
令	lin6	
以	i3	
仰	ȵiã3	【文读】
仰	ȵiã4	【白读】
仲	zoŋ6	
件	dʑi4	
任	ȵin2	【白读】姓。～阳（江苏常熟地名）
任	zəŋ2	【文读】～务
份	βəŋ6	
仿	ɸɒ̃3	
企	tɕʰi3	
伍	βu4	【文读】队～
伍	βu1	【文读】～子胥；～胥庙（江苏太仓地名）
伍	ŋ̍4	【白读】“五”的大写
伎	dʑi4	
伏	ɦok8	
伏	bu6	蹲：～在地上。孵：～小鸡
伐	βæʔ8	
休	ɕiɤ1	
伢	ŋɑ2	
伯	ɓɑk7	
估	ku3	
伲	ȵi2	第一人称复数
伴	be6	
伶	lin2	
伸	səŋ1	
伹	tsʰy1	
伺	zɿ6	
似	zɿ4	
佃	di2	～作
佃	di6	～户；～农
但	dɛ6	
佇	zy4	
位	βe6	
低	ɗi1	
住	zy6	
佑	iɤ5	
何	βu2	姓
何	ɦɑ2	疑问词
佘	ziɔ2	
余	ɦy2	姓
佚	ɦiɪʔ8	
佛	βəʔ8	
作	tsɒk7	
佞	ȵin6	
你	ni1	
佢	ɦi2	同“渠”
佢	ɡəʔ8	同“渠”
佩	be6	
佬	lɔ4	
佮	kəʔ7	
佯	ɦiã2	
佳	tɕiɑ1	
併	ɓin5	合～；～铁
使	sɿ3	
使	sɿ5	出～；～者
侃	kʰø3	
侄	zəʔ8	
來	le2	
侉	kʰuɑ3	
例	li6	
侑	ɦiɤ6	
侖	ləŋ2	
侗	doŋ4	
供	koŋ1	【文读】～给
供	koŋ5	【文读】～佛；上～
供	tɕioŋ5	【白读】坐，坐如被供奉状，赖着不走。带贬义，作詈语用
依	i1	
侮	βu4	
侯	ɦɤ2	
侵	tsʰin1	
便	bi2	～宜
便	bi6	方～
促	tsʰok7	
俄	ŋu2	
俅	dʑiɤ2	
俊	tsin5	
俏	tsʰiɔ5	
俐	li6	
俗	zok8	
俘	ɸu1	
保	ɓɔ3	
俞	ɦy2	
俠	ɦiæʔ8	
信	sin5	
修	siɤ1	
俯	ɸu3	
俱	tɕy1	
俶	tsʰok7	
俸	hoŋ5	
俸	ɦoŋ6	
俺	e3	北方俗字
俺	ɛ1	～这里（趣语，带自大意味）
俾	ɓe3	
倆	liã4	
倉	tsʰɒ̃1	
個	ku5	～人
個	kɤ5	～人
個	ɡəʔ8	助词，相当于普通话的“的”
