#漢字	音標	解釋#('wuu_th_shj_sz_ltc', '淸末蘇州話', '淸末蘇州', '#0000FF,#4D4D4D', None, None, '版本：2.0(2022-01-03)<br>來源：樛木整理自《一百年前的蘇州話》、《蘇州同音字彙1892》、《鄉音字類》<br>說明：加*的漢字表示[ʐ][dʐ]歸屬、陽上陽去歸屬缺乏直接資料，以區分這兩者的蘇州行政區劃內的方吳語爲基準。', '44 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,51 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,523 5 3a 陰去 ꜄,312 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇')
□	uəʔ7	～塞。據資料，應寫作“殟塞”
□	uɑʔ7	
□	uã	～綳布
□	paʔ7	狀聲
□	pʰaʔ7	狀聲
□	pʰoŋ	～上去
□	tɑʔ7	低低～～
□	to	～化
□	tiã	敲小鑼的聲音
□	tʰɑʔ7	我～倷一道去
□	tʰo1	“偷”本音是[tʰøʏ44]，用了拆字加音法後就成委婉說法，即[tʰo løʏ]
□	tʰã	敲～鑼
□	dã	敲鐘的聲音
□	lɑʔ	
□	kuɑʔ7	狀聲
□	ko1	雞～～
□	kuã1	～火
□	kʰo	～住[ɦuoʔ]嚨
□	kʰuɑʔ7	狀聲
□	kʰuaʔ7	狀聲
□	kʰuã	狀聲
□	ɡɛ	老～个哉
□	ɡo	～得[laʔ]
□	ɡoʔ8	吃～頭
□	ɡø	～～緊
□	ɡæ	～一句
□	ɡ𐞢ʏ	～～緊
□	ɡən	～得要命
□	ɡã	覅～我[ȵiã]
□	ɡᵊu	～弗完
□	ɡuɑʔ8	狀聲
□	ɡuaʔ8	狀聲
□	ɡuəʔ8	
□	ɡuən	～緊仔个烟
□	ɡuã	狀鑼聲
□	huã	状聲
□	hɑ̃	～勢俚
□	tɕʰiɑ	状聲
□	dʑio	～脱俚
□	ȵiɑ̃	～來～去
□	ɕiɑ	嘸不～，即無錢
□	ɕio	～脱俚
㑆	huɑ̃3	
㑚	nɑ2	
㓔	ziɑ6	花～脱哉
㓤	tɕiəʔ7	
㕙	tsiɪn1	
㕭	iæ1	
㕶	ŋ̍4	～篤，亦可寫作“唔篤”
㕺	ŋoʔ8	
㕽	i3	
㗋	ɦ𐞢ʏ2	
㘣	ɦiø2	
㘭	æ1	同“坳”。
㚟	tʂʰɑʔ7	
㛙	ɦiɪn4	可能是“婞”的誤寫。《集韻》：斯人切，音辛。
㝅	n𐞢ʏ2	
㝱	moŋ6	
㡗	di2	
㡡	dʐʯ2	
㡧	tʂən5	
㢙	dʑiɪn6	
㣼	ȵiən4	
㥌	tɕioʔ7	
㥶	səʔ7	
㦸	tɕiəʔ7	同“戟”
㧖	ŋəʔ8	
㧤	tʂʰoŋ5	
㧾	huaʔ7	
㨎	ʐø2	
㨖	tʂʯ5	
㨵	tsiɛ3	
㩁	tɕʰioʔ7	商～
㩝	ɦæ2	比較數目或容量多少：～定吃一碗飯
㪺	tɕy1	
㫚	huəʔ7	
㫤	tʂʰã5	
㫮	tsɿ5	
㭍	tsʰiəʔ7	“七”的大寫
㭨	iɑ1	
㰍	loŋ2	
㲋	tʂʰɑʔ7	
㳿	ɦi6	
㵸	ɦiɑʔ8	
㶚	po5	
㷌	kuᴇ1	
㸐	ʐø2	
㽱	tɕiæ3	
㽲	tɕiæ3	
㾃	dᵊu2	
㾐	li6	
㾞	ɦiʏ2	
㿗	dᴇ2	
䀮	huɑ̃1	
䃰	tsʰɑʔ7	
䄰	iɑ1	
䊧	pʰi5	放～
䊶	ɦi2	
䍖	fv̩1	
䍦	li2	
䐇	miɪn3	～緊仔嘴。
䑳	lən2	
䔕	bu2	胸～頭。聲調據《集韻》：蓬逋切，音蒲
䕭	ziɛ2	
䕸	tɕiəʔ7	
䘏	siəʔ7	撫～
䘖	ɦy6	
䙚	iæ5	
䚗	tɕiɑ̃1	
䝔	huø1	狗～
䞟	pəʔ7	
䟹	tsʰiã5	疑爲“蹡”
䠙	pʰɑ̃1	
䢰	tʰiəʔ7	
䣊	tɑ̃3	
䦧	ɕiəʔ7	
䪗	io1	
䭝	kuᴇ5	
䭾	dᵊu2	
䰄	sᴇ1	
䰇	dʑi2	
䱗	tsʰø1	～鰷魚
一	iəʔ7	
丁	tiɪn1	
七	tsʰiəʔ7	
丈	dʐã4	
三	sɛ1	
三	sᴇ1	
上	ʐã6	
上	lɑ̃6	白讀：檯～
上	zɑ̃4	～當
下	ɦio4=	(書)
下	ɦo4	白讀：樓底～
下	ɦo6	又音
下	ɦio4	
不	pəʔ7	
丐	kɑʔ7	
丐	kᴇ5	乞～
丑	tʂʰ𐞢ʏ3	
且	tsʰi3	文讀：而～
且	tsʰiɑ3	白讀：～得先做仔再説。～得，暫且
丕	pʰᴇ1	
世	ʂʯ5	
丘	tɕʰiʏ1	
丙	piɪn3	
丞	dʐən2	
丟	t𐞢ʏ1	～脫哉
兩	liã4	
並	biɪn6	
並	biɪn4	
个	kəʔ7	
丫	o1	白讀：～頭
中	tʂoŋ1	～央
中	tʂoŋ5	～獎
丰	foŋ1	
串	kuɛ5	
串	tʂʰø5	～通
丸	ɦuø2	文讀：～藥
丹	tɛ1	臥龍～
爲	iɑ1	
主	tʂʯ3	
乂	ȵi6	
乃	nᴇ4	
乃	nᴇ2	
久	tɕiʏ3	
么	iæ1	
義	tsʰo1	應爲“叉”
之	tʂʯ1	
之	tsɿ1	
乍	zo6	～冷～熱
乎	ɦᵊu2	不在～
乏	vɑʔ8	
乏	vaʔ8	
乖	kuɑ1	白讀
乖	kuᴇ1	
乘	dʐən2	
乙	iəʔ7	
乜	mi6	
九	tɕiʏ3	
乞	tɕʰiəʔ7	
也	iɑ3	
也	iᴇ3	
乳	ʐʯ4	
乳	dʐʯ4	
乾	dʑiɛ2	
乾	kø1	～菜
乿	dʐʯ6	
亂	lø6	
了	liæ4	
予	ɦy2	
爭	tsã1	白讀：～天奪地
爭	tsən1	
事	zɿ6	
二	ȵi6	白讀
二	əl6	
于	y1	姓
云	ɦyən2	
互	ŋᵊu6	交～
五	ᵊu3	
五	ŋ̍4	
井	tsiɪn3	公～
亘	siɛ1	
亘	ɦuø2	
亙	kən5	
些	si1	稍～好一點
亞	o5	白讀
亞	io3	～州
亟	dʑiəʔ8	
亟	tɕiəʔ7	
亡	vɑ̃2	
亢	kʰɑ̃5	
交	kæ1	白讀
交	tɕiæ1	文讀：结～朋友
亥	ɦᴇ4	
亥	ɦᴇ6	
亦	ɦiəʔ8	
亦	ɦaʔ8	白讀
亦	ɦiaʔ8	白讀：～實梗
亨	hã1	白讀
亨	hən1	～通
享	ɕiã3	～福
京	tɕiɪn1	
亭	diɪn2	～子
亮	liã6	
亳	boʔ8	
亶	tɛ3	
亹	vi4	
人	ȵiən2	白讀
人	ʐən2	文讀
什	ʐəʔ8	～貨
仁	ʐən2	文讀
仁	ȵiən2	白讀：杏～
仂	ləʔ8	
仃	tiɪn1	孤苦伶～
仃	tiɪn1	
仄	tsɑʔ7	
仄	tsəʔ7	
仆	fv̩5	
仇	dʐ𐞢ʏ2	
仇	dʑiʏ2	～人
仉	tʂã3	
今	tɕiən1	
介	tɕiɑ5	文讀：～紹
仍	dʐən2	
仔	tsɿ3	～細
仔	tsɿ1	
仕	zɿ6	
仕	zɿ4	
他	tʰᵊu1	
他	tʰɑ1	
仗	tʂã5	
仗	dʐã4	仰～大力
仗	dʐã6	又音
付	fv̩5	
仙	siɛ1	
仝	doŋ2	
仞	ʐən6	
仡	ŋəʔ8	
仢	boʔ8	
代	dᴇ6	
代	dᴇ4	本音陽去
令	liɪn6	號～
以	i3	
仰	ȵiã6	又音
仰	ȵiã4	～面求人
仲	dʐoŋ6	
仳	pʰi3	
仵	ᵊu3	
件	dʑiɛ4	
件	dʑiɛ6	
价	tɕiɑ5	
任	ȵiɪn6	
任	ʐən2	
任	ʐən6	
份	vən6	公～
份	piɪn1	
仿	fɑ̃3	～造
企	dʑi6	
企	tɕʰi3	
伃	ʂʯ3	
伈	siɪn3	
伉	kʰɑ̃5	
伊	i1	姓
伋	tɕiəʔ7	
伍	ᵊu3	
伏	voʔ8	
伐	vɑʔ8	
伐	vaʔ8	
休	ɕiʏ1	～息
伙	hᵊu3	傢～
俔	ɕiɛ5	
俔	ɦiɛ4	
俔	ɦiɛ6	
伯	pɑʔ7	老～～
伯	pəʔ7	
估	kᵊu3	～～價鈿
伲	ȵi2	
伴	bø6	陪～
伶	liɪn2	
伸	ʂən1	～冤
伺	zɿ6	～候
伻	biɪn2	
伻	pʰən1	
似	zɿ6	～乎
伽	tɕiɑ1	
伽	dʑiɑ2	
伾	pʰᴇ1	
佃	diɛ2	
佃	diɛ6	～戶
但	dɛ6	
佇	dʐʯ4	
佈	pu5	～告
佌	tsʰɿ3	
位	ɦuᴇ6	
低	ti1	
住	dʐʯ6	
佐	tsᵊu5	
佑	ɦiʏ6	
佔	tʂø1	～據
佔	tʂø5	
何	ɦᵊu2	姓
何	ɦᵊu2	
佗	dᵊu2	
佘	zo2	姓
余	ɦy2	姓
佚	ɦiəʔ8	
佛	vəʔ8	唸～
作	tsoʔ7	～場
佞	ȵiɪn6	
佟	toŋ1	
佣	ɦioŋ2	～鈿
佩	bᴇ6	～服之至
佬	læ2	
佯	ɦiã2	
佳	tɕiɑ1	
佴	əl6	
併	piɪn5	
併	piɪn3	
佶	tɕiəʔ7	
佸	kuɑʔ7	
佹	kuᴇ3	
佺	tsʰiɛ1	
佻	tʰiæ1	
佽	tsʰɿ5	
佾	ɦiəʔ8	
使	sɿ3	差～
侁	siɪn1	
侂	tʰoʔ7	
侃	kʰø3	
來	lᴇ2	
侇	ɦi2	
侈	tʂʰʯ3	奢～
例	li6	
侍	ʐʯ6	
侐	ɕyəʔ7	
侑	iʏ5	
侔	m𐞢ʏ2	
侗	tʰoŋ1	
侚	siɪn5	
供	koŋ1	～給
侜	tʂ𐞢ʏ1	
依	i1	
侣	li4	
侮	vv̩4	欺～
侯	ɦ𐞢ʏ2	姓
侵	tsʰiɪn1	～掠
侷	dʑioʔ8	～促
便	biɛ6	
俁	ȵy4	
係	i5	關～。聲調類推自《廣韻》
係	ɦi2	
促	tsʰoʔ7	侷～
俄	ŋᵊu2	～國
俅	dʑiʏ2	
俊	tsiɪn5	
俎	tsᵊu3	
俏	tsʰiæ5	
俐	li6	伶～
俑	ioŋ3	
俗	dzoʔ8	
俗	zoʔ8	
俘	fv̩1	
俚	li4	
俛	fv̩3	
俜	pʰiɪn1	
保	pæ3	
俞	ɦy2	姓
俟	zɿ4	
俠	ɦiaʔ8	七～五義
信	siən5	
倆	liã4	
修	s𐞢ʏ1	
俯	fv̩3	
俱	dʑy2	
俱	tɕy1	
俳	bᴇ2	
俴	ziɛ6	
俶	ʂoʔ7	
俸	foŋ5	
俾	bi2	
俾	pᴇ3	
倀	tʂʰã1	
倀	tʂã1	
倅	zᴇ6	
倉	tsʰɑ̃1	開～
個	kᵊu5	
個	kəʔ7	一～
倌	kuø1	堂～
倍	bᴇ6	
倏	ɕyəʔ7	～忽之間
倐	ɕyəʔ7	
們	mən2	
倒	tæ3	七顛八～
倒	tæ5	
倔	tɕyəʔ7	
倔	tɕʰyəʔ7	
倔	dʑyəʔ8	～強
倕	zᴇ2	
倖	ɦiən4	僥～
倘	tʰɑ̃3	
候	ɦ𐞢ʏ6	時～
倚	i3	～靠
倜	tʰiəʔ7	
借	tsiɑ5	
倡	tʂʰã5	提～
倢	ziəʔ8	
倣	fɑ̃3	同“仿”
倣	fɑ̃3	
倦	dʑiø6	疲～
