#漢字	音標	解釋
#簡稱	/	杭州
#全稱	/	杭州話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,53 3 2 上 ꜂,,445 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇
#版本	/	2021-11-12
#錄入人	/	
#參考資料	/	#漢語多功能字庫#
#說明	/	來源：http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=M
估	ku3	
伴	buõ6	
伶	lin2	
伸	sen1	
似	zɿ6	
佃	diᴇ̃6	
但	dᴇ̃6	
佈	pu5	
位	ɦui6	
低	ti1	
住	dzʮ6	
佐	tso3	
佔	tsʮõ5	
何	ɦo2	
佘	dzʮei2	
余	ɦʮ2	
佛	vəʔ8	
作	tsoʔ7	
你	ni3	
佩	bei6	
佳	tɕiɑ1	
併	pin3	
使	sɿ3	
來	lᴇ2	
侈	tsʰɿ3	
例	li6	
侍	zɿ6	
依	ʔi1	
侮	ʔu3	
侯	ɦei2	
便	biᴇ̃2	
便	biᴇ̃6	
係	ɕi5	
促	tsʰoʔ7	
俄	ŋo2	
俏	tɕʰiɔ1	
俗	dzoʔ8	
俘	fu1	
保	pɔ3	
俟	zɿ6	
信	ɕin5	
修	ɕiø1	
俸	voŋ6	
倉	tsʰɑŋ1	
個	ko5	
個	koʔ7	
倍	bei6	
倒	tɔ3	
倒	tɔ5	
倔	dzʮəʔ8	
倘	tʰɑŋ3	
候	hei5	
候	ɦei6	
倚	ʔi1	
借	tɕi5	
倡	tsʰɑŋ5	
倣	fɑŋ3	
倦	dzʮõ6	
倪	ȵi2	
倫	len2	
倭	ʔo1	
值	dzəʔ8	
假	tɕiɑ3	
假	tɕiɑ5	
偉	ʔui3	
偎	ʔui1	
偏	pʰiᴇ̃1	
做	tso5	
健	dʑiᴇ̃6	
側	tsəʔ7	
偶	ŋei3	
偷	tʰei1	
傀	kʰui1	
傅	fu5	
傑	dʑiəʔ8	
傘	sᴇ̃3	
備	bei6	
傢	tɕiɑ1	
催	tsʰʮei1	
傭	ɦioŋ6	
傲	ŋɔ6	
傳	dzʮõ2	
傳	dzʮõ6	
債	tsᴇ5	
傷	sɑŋ1	
傻	sɑ3	
僅	dʑin6	
像	dʑiɑŋ6	
僑	dʑiɔ2	
僕	boʔ8	
僚	liɔ2	
僞	ɦui6	
僥	ʔiɔ1	
僧	sen1	
僵	tɕiɑŋ1	
價	tɕiɑ5	
價	kɑ5	
僻	pʰiəʔ7	
儂	noŋ2	
億	ʔi5	
儉	dʑiᴇ̃6	
儒	zʮ2	
優	ʔiø1	
儲	dzʮ6	
元	ɦyõ2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	dzɔ6	
兇	ɕioŋ1	
先	ɕiᴇ̃1	
光	kuɑŋ1	
克	kʰɑʔ7	
兌	dui6	
免	miᴇ̃3	
兒	əl2	
兔	tʰu5	
兜	tei1	
入	zəʔ8	
內	nei6	
全	dʑiᴇ̃2	
兩	liɑŋ3	
八	pɑʔ7	
公	koŋ1	
六	loʔ8	
兮	ɦi2	
共	ɡoŋ6	
兵	pin1	
其	dʑi2	
具	dzʮ6	
典	tiᴇ̃3	
兼	tɕiᴇ̃1	
冀	tɕi5	
冉	zʮõ6	
冊	tsʰɑʔ7	
再	tsᴇ5	
冒	mɔ6	
冠	kuõ1	
冠	kuõ5	
冢	tsoŋ3	
冤	ʔyõ1	
冬	toŋ1	
冰	pin1	
况	kʰuɑŋ3	
况	huɑŋ5	
冷	len3	
准	tsʮen3	
凌	lin2	
凍	toŋ5	
凝	ȵin2	
几	tɕi1	
凡	vᴇ̃2	
凱	kʰᴇ3	
凳	ten5	
凶	ɕioŋ1	
出	tsʰəʔ7	
出	tsʰʮəʔ7	
函	ɦᴇ̃2	
刀	tɔ1	
刁	tiɔ1	
分	fen1	
切	tɕʰiəʔ7	
刈	ȵi6	
刊	kʰᴇ̃3	
刎	ven6	
刑	ɦin2	
划	ɦuɑ2	
列	liəʔ8	
初	tsʰu1	
刪	sᴇ̃1	
判	pʰuõ5	
別	biəʔ8	
刨	bɔ6	
利	li6	
刮	kuɑʔ7	
到	tɔ5	
制	tsɿ5	
刷	sʮɑʔ7	
券	tsʰʮõ5	
刺	tsʰɿ5	
刻	kʰɑʔ7	
剃	tʰi5	
則	tsəʔ7	
削	ɕiɑʔ7	
前	dʑiᴇ̃2	
剔	tʰiəʔ7	
剖	pʰei5	
剛	kɑŋ1	
剜	ʔuõ1	
剝	poʔ7	
剩	dzen6	
剪	tɕiᴇ̃3	
剮	kuɑ3	
副	fu5	
割	kɑʔ7	
創	tsʰʮɑŋ5	
剿	dʑiɔ2	
劃	ɦuɑ2	
劄	tsɑʔ7	
劇	dʑiəʔ8	
劈	pʰiəʔ7	
劉	liø2	
劊	kʰui5	
劍	tɕiᴇ̃5	
劑	tɕi5	
力	liəʔ8	
功	koŋ1	
加	tɕiɑ1	
劣	lɑʔ8	
助	dzu6	
努	no3	
劫	tɕiəʔ7	
勁	dʑin6	
勃	bəʔ8	
勇	ʔioŋ3	
勉	miᴇ̃3	
勒	ləʔ8	
動	doŋ6	
勘	kʰᴇ̃5	
務	ɦu6	
勝	sen5	
勞	lɔ2	
募	mo6	
勢	sɿ5	
勤	dʑin2	
勳	sʮen1	
勵	li6	
勸	tsʰʮõ5	
勺	zoʔ8	
勻	ɦyn2	
勾	kø1	
勿	vəʔ8	
包	pɔ1	
化	huɑ5	
北	poʔ7	
匙	zɿ2	
匠	dʑiɑŋ6	
匡	kʰuɑŋ1	
匪	fi3	
匯	ɦui6	
匹	pʰiəʔ7	
匾	piᴇ̃3	
匿	ȵiəʔ8	
區	tsʰʮ1	
十	zəʔ8	
千	tɕʰiᴇ̃1	
升	sen1	
午	ʔu3	
半	puõ5	
卑	pei1	
卒	tsʮəʔ7	
卓	tsoʔ7	
協	ɦiɑʔ8	
南	nᴇ̃2	
博	poʔ7	
卜	pʰoʔ7	
卦	kuɑ5	
卯	mɔ3	
印	ʔin3	
印	ʔin5	
危	ɦui2	
即	tɕiəʔ7	
卵	luõ3	
卸	ɕiɑ5	
卻	tɕʰiɑʔ7	
原	ɦyõ2	
厥	tsʮəʔ7	
厭	ʔiᴇ̃5	
厲	li6	
厲	ȵi6	
厴	ʔiᴇ̃3	
去	tsʰʮ5	
去	tɕʰi5	
參	tsʰᴇ̃1	
參	sen1	
又	ʔiø3	
叉	tsʰɑ1	
叉	tsʰɑ5	
及	dʑiəʔ8	
友	ʔiø3	
反	fᴇ̃3	
叔	soʔ7	
取	tsʰʮ3	
受	zei6	
叛	buõ6	
叟	sei3	
叢	dzoŋ2	
口	kʰø3	
古	ku3	
句	tsʮ5	
另	lin6	
叨	tɔ1	
叫	tɕiɔ5	
召	dzɔ6	
叮	tin1	
可	kʰo3	
台	tʰᴇ1	
史	sɿ3	
右	ɦiø6	
司	sɿ1	
各	koʔ7	
合	kɑʔ7	
合	ɦɑʔ8	
吉	tɕiəʔ7	
同	doŋ2	
名	min2	
后	ɦei6	
吏	li6	
吐	tʰu3	
吐	tʰu5	
向	ɕiɑŋ5	
君	tsʮen1	
吝	lin6	
吞	tʰen1	
吟	ȵin2	
吠	fi5	
否	fei3	
含	ɦᴇ̃2	
吳	ɦu2	
吵	tsʰɔ3	
吸	ɕiəʔ7	
吹	tsʰʮei1	
吻	ven6	
吼	hei3	
吾	ɦu2	
呂	lʮ3	
呃	ʔəʔ7	
呆	ŋᴇ2	
呈	dzen2	
告	kɔ5	
周	tsei1	
味	vi6	
呼	hu1	
命	min6	
和	ɦo2	
咎	dʑiø6	
咒	tsei5	
咨	tsɿ1	
咬	ʔiɔ3	
咸	ɦiᴇ̃2	
咽	ʔiᴇ̃1	
哀	ʔᴇ1	
品	pʰin3	
哄	hoŋ3	
員	ɦyõ2	
哥	ko1	
哪	nɑ3	
哭	kʰoʔ7	
哲	tsəʔ7	
哽	kɑŋ3	
唆	so1	
唇	dzʮen2	
唇	zen2	
唐	dɑŋ2	
售	zei6	
唯	vi2	
唯	ɦui2	
唱	tsʰɑŋ5	
唾	tʰo3	
啄	toʔ7	
啄	tsoʔ7	
商	sɑŋ1	
問	ven6	
啓	tɕʰi3	
啞	ʔiɑ3	
啼	di2	
善	zʮõ6	
喉	ɦei2	
喊	hᴇ̃3	
喘	tsʰʮõ3	
喜	ɕi3	
喝	hɑʔ7	
喧	sʮõ1	
喪	sɑŋ1	
喪	sɑŋ5	
喬	dʑiɔ2	
單	tᴇ̃1	
單	zʮõ6	
喻	ɦʮ6	
嗅	ɕiø5	
嗆	tɕʰiɑŋ5	
嗇	səʔ7	
嗉	su5	
嗓	sɑŋ3	
嗜	zɿ6	
嗡	ʔoŋ1	
嗣	zɿ6	
嗤	tsʰɿ1	
嗽	sei5	
嘆	tʰᴇ̃5	
嘉	tɕiɑ1	
嘔	ʔei3	
嘗	dzɑŋ2	
噓	sʮ1	
嘮	lɔ2	
嘴	tsʮei3	
嘻	ɕi1	
噎	ʔiəʔ7	
器	tɕʰi5	
噴	pʰen1	
噴	pʰen5	
嚇	hɑʔ7	
嚥	ʔiᴇ̃5	
嚴	ȵiᴇ̃2	
嚷	zɑŋ6	
嚼	dʑiɑʔ8	
囂	ɕiɔ1	
囉	lo1	
囊	nɑŋ2	
囑	tsoʔ7	
囚	dʑiø2	
四	sɿ5	
回	ɦui2	
因	ʔin1	
囤	den6	
囥	ɡɑŋ2	
囪	tsʰoŋ1	
困	kʰun5	
固	ku5	
圈	tsʰʮõ1	
圈	dzʮõ6	
國	koʔ7	
圍	ɦui2	
園	ɦyõ2	
圓	ɦyõ2	
圖	du2	
團	duõ2	
土	tʰu3	
在	dzᴇ6	
圭	kui1	
地	di6	
圳	tsen5	
址	tsɿ3	
均	tsʮen1	
坍	tʰᴇ̃1	
坎	kʰᴇ̃3	
坐	dzo6	
坑	kʰen1	
坑	kʰɑŋ1	
坡	pʰo1	
坤	kʰun1	
坦	tʰᴇ̃3	
坪	bin2	
坯	pʰei1	
坳	ʔɔ1	
垂	dzʮei2	
型	ɦin2	
垓	kᴇ1	
垮	kʰuɑ3	
垻	pɑ5	
埂	kɑŋ3	
埃	ʔᴇ1	
埋	mᴇ2	
城	dzen2	
埠	bu6	
埲	boŋ6	
執	tsəʔ7	
培	bei2	
基	tɕi1	
堂	dɑŋ2	
堅	tɕiᴇ̃1	
堆	tui1	
堡	pɔ3	
堤	di2	
堪	kʰᴇ̃3	
堰	ʔiᴇ̃5	
報	pɔ5	
場	dzɑŋ2	
堵	tu3	
塊	kʰuᴇ5	
塊	kʰui5	
塌	tʰɑʔ7	
塍	zen2	
塑	su5	
塔	tʰɑʔ7	
塗	du2	
塘	dɑŋ2	
塞	sɑʔ7	
塡	diᴇ̃2	
塢	ʔu1	
塵	dzen2	
境	tɕin5	
墊	diᴇ̃6	
墓	mo6	
增	tsen1	
墨	moʔ8	
墩	ten1	
墳	ven2	
墾	kʰen3	
壁	piəʔ7	
壇	dᴇ̃2	
壓	ʔiɑʔ7	
壕	ɦɔ2	
壞	ɦuᴇ6	
壠	loŋ3	
壤	zɑŋ6	
壩	pɑ5	
士	zɿ6	
壬	zen2	
壯	tsʮɑŋ5	
壯	dzʮɑŋ6	
壺	ɦu2	
壻	ɕi5	
壽	zei6	
夏	ɦiɑ6	
夕	dʑiəʔ8	
外	ɦuᴇ6	
多	to1	
夜	ɦi6	
夜	ɦiɑ6	
够	kø5	
夢	moŋ6	
夥	ho3	
大	dɑ6	
大	do6	
天	tʰiᴇ̃1	
太	tʰᴇ5	
夫	fu1	
夭	ʔiɔ1	
央	ʔiɑŋ1	
夯	hɑŋ1	
失	səʔ7	
夷	ɦi2	
夾	tɕiɑʔ7	
奇	dʑi2	
奈	nᴇ6	
奉	voŋ6	
奎	kʰui1	
奏	tsei5	
契	tɕʰi5	
奔	pen1	
套	tʰɔ5	
奚	ɦi2	
奠	diᴇ̃6	
奢	sʮei1	
奧	ʔɔ5	
奪	doʔ8	
奮	fen5	
女	nʮ3	
奴	no2	
奶	nᴇ1	
奶	nᴇ3	
奸	tɕiᴇ̃1	
好	hɔ3	
好	hɔ5	
如	zʮ2	
妃	fi1	
妄	vɑŋ6	
妓	dʑi6	
妖	ʔiɔ1	
妙	miɔ3	
妥	tʰo3	
妨	fɑŋ3	
妬	tu3	
妹	mei6	
妻	tɕʰi1	
妾	tɕʰiəʔ7	
姆	m̍1	
姊	tɕi3	
始	sɿ3	
姐	tɕi3	
姑	ku1	
姓	ɕin5	
委	ʔui3	
姘	pʰin1	
姚	ɦiɔ2	
姜	tɕiɑŋ1	
姨	ɦi2	
姪	dzəʔ8	
姻	ʔin1	
姿	tsɿ1	
威	ʔui1	
娘	ȵiɑŋ1	
娘	ȵiɑŋ2	
娛	ɦʮ2	
娠	zen2	
娩	miᴇ̃3	
娶	tsʰʮ3	
婆	bo2	
婚	hun1	
婢	bi6	
婦	vu6	
媒	mei2	
媚	mei6	
媳	ɕiəʔ7	
媽	mɑ1	
嫁	tɕiɑ5	
嫂	sɔ3	
嫖	biɔ2	
嫡	tiəʔ7	
嫦	dzɑŋ2	
嫩	nen6	
嬉	ɕi1	
嬌	tɕiɔ1	
嬰	ʔin1	
嬸	sen3	
孀	sʮɑŋ1	
子	tsɿ3	
孔	kʰoŋ3	
字	zɿ6	
存	dzen2	
孝	ɕiɔ5	
孟	moŋ6	
季	tɕi5	
孤	ku1	
孩	ɦᴇ2	
孫	sʮen1	
孵	bu6	
學	ɦiɑʔ8	
孽	ȵiəʔ8	
宅	zɑʔ8	
宇	ʔʮ3	
守	sei3	
安	ʔᴇ̃1	
宋	soŋ5	
宏	ɦoŋ2	
宕	dɑŋ6	
宗	tsoŋ1	
官	kuõ1	
宙	dzei6	
宛	ʔyõ3	
宜	ȵi6	
客	kʰɑʔ7	
宣	ɕiᴇ̃1	
室	səʔ7	
宦	ɦuõ6	
宮	koŋ1	
宰	tsᴇ3	
害	ɦᴇ6	
宴	ʔiᴇ̃5	
宵	ɕiɔ1	
家	tɕiɑ1	
容	ɦioŋ2	
宿	soʔ7	
宿	ɕiø5	
寂	dʑiəʔ8	
寄	tɕi5	
寅	ɦin2	
密	miəʔ8	
寇	kʰø5	
富	fu5	
寐	mei6	
寒	ɦᴇ̃2	
寓	ɦʮ6	
寞	moʔ8	
察	tsʰɑʔ7	
寡	kuɑ3	
寥	liɔ2	
實	zəʔ8	
寧	ȵin2	
寧	ȵin6	
寨	dzᴇ6	
審	sen3	
寫	ɕi3	
寬	kʰuõ1	
寵	tsʰoŋ3	
寶	pɔ3	
寸	tsʰʮen5	
寺	zɿ6	
封	foŋ1	
射	zʮei6	
將	tɕiɑŋ1	
將	tɕiɑŋ5	
專	tsʮõ1	
尊	tsʮen1	
尋	dʑin2	
對	tui5	
導	dɔ6	
小	ɕiɔ3	
少	sɔ3	
少	sɔ5	
尖	tɕiᴇ̃1	
尚	zɑŋ6	
尤	ɦiø2	
尥	liɔ6	
尬	kɑ1	
就	dʑiø6	
尷	kᴇ̃1	
尸	sɿ1	
尺	tsʰəʔ7	
尼	ȵi2	
尾	mi3	
尿	sʮei1	
局	dzʮəʔ8	
屁	pʰi5	
屄	pi1	
居	tsʮ1	
屆	tɕiᴇ5	
屉	tʰi5	
屋	ʔoʔ7	
屌	tiɔ3	
屍	sɿ1	
屏	bin2	
屐	dʑiəʔ8	
屑	ɕiəʔ7	
展	tsʮõ3	
屠	du6	
屢	lei3	
層	dzen2	
屬	zoʔ8	
屯	den2	
山	sᴇ̃1	
岐	dʑi2	
岔	tsʰɑ5	
岡	kɑŋ1	
岳	ɦiɑʔ8	
岸	ŋᴇ̃6	
岸	ɦᴇ̃6	
峯	foŋ1	
島	tɔ3	
峽	ɦiɑʔ8	
崇	dzoŋ2	
崑	kʰun1	
崔	tsʰʮei1	
崖	ɦiᴇ2	
崗	kɑŋ1	
崙	len2	
崩	poŋ1	
嵌	kʰᴇ̃5	
嵩	soŋ1	
嶺	lin3	
嶽	ɦiɑʔ8	
川	tsʰʮõ1	
州	tsei1	
巡	dʑin2	
巢	dʑiɔ2	
工	koŋ1	
左	tso3	
巧	tɕʰiɔ3	
巨	dzʮ6	
巫	ɦu6	
差	tsʰɿ1	
差	tsʰɑ1	
差	tsʰᴇ1	
己	tɕi3	
已	ʔi3	
巳	zɿ6	
巴	pɑ1	
巷	ɦiɑŋ6	
巾	tɕin1	
市	zɿ6	
布	pu5	
帆	vᴇ̃2	
希	ɕi1	
帕	pʰɑ5	
帖	tʰiəʔ7	
帚	tsei3	
帛	bɑʔ8	
帝	ti5	
帥	sʮᴇ5	
師	sɿ1	
席	dʑiəʔ8	
帳	tsɑŋ5	
帶	tᴇ5	
常	dzɑŋ2	
帽	mɔ6	
幅	foʔ7	
幔	mᴇ̃6	
幔	muõ6	
幕	mo6	
幣	bi6	
幫	pɑŋ1	
干	kᴇ̃1	
平	bin2	
年	ȵiᴇ̃2	
