#漢字	音標	解釋
#簡稱	/	杭州
#全稱	/	杭州話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,53 3 2 上 ꜂,,445 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇
#版本	/	2021-11-12
#錄入人	/	
#參考資料	/	#漢語多功能字庫#
#說明	/	來源：http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=M
掏	tʰɔ1	
掏	dɔ2	
掐	tɕʰiɑʔ7	
排	bᴇ2	
掘	dzʮəʔ8	
掛	kuɑ5	
掠	liɑʔ8	
採	tsʰᴇ3	
探	tʰᴇ̃5	
接	tɕiəʔ7	
控	kʰoŋ3	
推	tʰui1	
措	tsʰu5	
掭	tʰiᴇ̃3	
掮	dʑiᴇ̃2	
揀	tɕiᴇ̃3	
揈	hoŋ1	
揉	zei2	
描	miɔ2	
提	di2	
插	tsʰɑʔ7	
揖	ʔiəʔ7	
揚	ɦiɑŋ2	
換	ɦuõ6	
揞	ʔᴇ̃3	
握	ʔoʔ7	
揣	tsʰʮᴇ3	
揩	tɕʰiᴇ1	
揫	tɕiø1	
揭	tɕiəʔ7	
揮	hui1	
援	ɦyõ2	
損	sʮen3	
搓	tsʰo1	
搖	ɦiɔ2	
搛	tɕiᴇ̃1	
搜	sei1	
搞	kɔ3	
搡	sɑŋ3	
搧	sʮõ1	
搬	puõ1	
搬	pen1	
搭	tɑʔ7	
搳	huɑʔ7	
搶	tɕʰiɑŋ3	
搽	dzɑ2	
摔	sʮᴇ1	
摘	tsəʔ7	
摜	ɡuõ6	
摟	lei3	
摩	mo2	
摳	kʰø1	
摸	moʔ8	
摹	mo2	
摺	tsəʔ7	
撇	pʰiəʔ7	
撈	lɔ1	
撐	tsʰɑŋ1	
撓	nɔ1	
撕	sɿ1	
撞	dzʮɑŋ6	
撣	tᴇ̃3	
撤	tsʰəʔ7	
撥	pɑʔ7	
撥	poʔ7	
撩	liɔ2	
撮	tsʰoʔ7	
撰	dzʮõ6	
撲	pʰoʔ7	
撼	ɦᴇ̃6	
擀	kᴇ̃3	
擁	ʔioŋ3	
擇	dzəʔ8	
擊	tɕiəʔ7	
擋	tɑŋ3	
操	tsʰɔ1	
擎	dʑin2	
擒	dʑin2	
擔	tᴇ̃1	
擔	tᴇ̃5	
擘	pʰɑʔ7	
據	tsʮ5	
擠	tɕi3	
擦	tsʰɑʔ7	
擬	ȵi6	
擱	koʔ7	
擱	ɡoʔ8	
擲	dzəʔ8	
擴	kʰoʔ7	
擺	pᴇ3	
攀	pʰᴇ̃1	
攏	loŋ3	
攔	lᴇ̃2	
攘	zɑŋ6	
攙	tsʰᴇ̃1	
攜	ɦi2	
攝	səʔ7	
攢	tsᴇ̃3	
攢	tsʮõ3	
攤	tʰᴇ̃1	
攪	ɡɔ6	
攬	lᴇ̃6	
支	tsɿ1	
收	sei1	
改	kᴇ3	
攻	koŋ1	
攻	koŋ5	
放	fɑŋ5	
政	tsen5	
效	ɦiɔ6	
敍	dzʮ6	
敏	min3	
救	tɕiø5	
敗	bᴇ6	
教	tɕiɔ1	
教	tɕiɔ5	
敝	bi6	
敢	kᴇ̃3	
散	sᴇ̃3	
散	sᴇ̃5	
敦	ten1	
敬	tɕin5	
敲	tɕʰiɔ1	
敲	kʰɔ1	
整	tsen3	
敵	diəʔ8	
敷	fu1	
數	su3	
數	su5	
斂	liᴇ̃6	
斃	bi6	
文	ven2	
斑	pᴇ̃1	
斗	tei3	
料	liɔ6	
斜	dʑiɑ2	
斟	tsen1	
斤	tɕin1	
斥	tsʰəʔ7	
斧	fu3	
斬	tsᴇ̃3	
斯	sɿ1	
新	ɕin1	
斷	tuõ5	
斷	duõ6	
方	fɑŋ1	
於	ɦʮ2	
施	sɿ1	
旁	bɑŋ2	
旅	lʮ3	
旋	dʑiᴇ̃6	
族	zoʔ8	
旗	dʑi2	
旣	tɕi5	
日	zəʔ8	
旦	tᴇ̃1	
旨	tsɿ3	
早	tsɔ3	
旬	dʑin2	
旱	ɦᴇ̃6	
旺	ɦuɑŋ6	
昂	ŋɑŋ2	
昆	kʰun1	
昌	tsʰɑŋ1	
明	men2	
明	min2	
昏	hun1	
易	ʔi5	
易	ɦiəʔ8	
昔	ɕiəʔ7	
星	ɕin1	
映	ʔin5	
映	ʔiɑŋ3	
春	tsʰʮen1	
昧	mei6	
昨	dzoʔ8	
昭	tsɔ1	
是	zɿ6	
時	zɿ2	
晃	huɑŋ5	
晉	tɕin5	
晌	ɕiɑŋ3	
晏	ʔᴇ̃5	
晚	fᴇ̃3	
晝	tsei5	
晦	hui5	
晨	zen2	
普	pʰu3	
景	tɕin3	
晴	dʑin2	
晶	tɕin1	
智	tsɿ5	
暇	ɦiɑ6	
暈	ɦyn2	
暑	tsʰʮ3	
暖	nuõ3	
暗	ʔᴇ̃5	
暢	tsʰɑŋ5	
暫	dzᴇ̃6	
暮	mo6	
暴	bɔ6	
曆	liəʔ8	
曉	ɕiɔ3	
曝	boʔ8	
曠	kʰuɑŋ5	
曬	sᴇ5	
曰	ɦyəʔ8	
更	ken1	
更	ken5	
書	sʮ1	
曹	dzɔ2	
曾	tsen1	
曾	dzen2	
替	tʰi5	
最	tsʮei5	
會	kui5	
會	kʰui5	
會	ɦui6	
月	ɦyəʔ8	
有	ʔiø3	
朋	boŋ2	
服	voʔ8	
朔	soʔ7	
朕	dzen6	
朗	lɑŋ6	
望	vɑŋ6	
朝	tsɔ1	
朝	dzɔ2	
期	dʑi2	
木	moʔ8	
未	vi6	
末	moʔ8	
本	pen3	
札	tsɑʔ7	
朱	tsʮ1	
朴	pʰoʔ7	
朶	to3	
朽	ɕiø3	
杈	tsʰɑ1	
杉	sᴇ̃1	
李	li3	
杏	ɦin6	
材	dzᴇ2	
村	tsʰʮen1	
杖	dzɑŋ6	
杜	du6	
杞	tɕʰi3	
束	soʔ7	
杠	kɑŋ5	
杭	ɦɑŋ2	
杯	pei1	
東	toŋ1	
杳	ʔiɔ1	
杷	bɑ2	
板	pᴇ̃3	
枉	ʔuɑŋ3	
析	ɕiəʔ7	
枕	tsen3	
林	lin2	
枚	mei2	
果	ku3	
枝	tsɿ1	
枯	kʰu1	
枵	ɕiɔ1	
架	tɕiɑ5	
柄	pin5	
柏	pɑʔ7	
柑	kᴇ̃1	
染	zʮõ6	
柔	zei2	
柚	ɦiø6	
查	tsɑ1	
查	dzɑ2	
柩	dʑiø6	
柬	tɕiᴇ̃3	
柱	dzʮ6	
柳	liø3	
柴	dzᴇ2	
柿	zɿ6	
柵	sɑʔ7	
栗	liəʔ8	
校	tɕiɔ3	
校	ɦiɔ6	
株	tsʮ1	
根	ken1	
格	kɑʔ7	
栽	tsᴇ1	
桂	kui5	
桃	dɔ2	
桄	kuɑŋ1	
桅	ɦui2	
案	ʔᴇ̃5	
桌	tsoʔ7	
桐	doŋ2	
桑	sɑŋ1	
桓	ɦuõ2	
桔	tsʮəʔ7	
桶	tʰoŋ3	
桿	kᴇ̃3	
梁	liɑŋ2	
梅	mei2	
梓	tsɿ3	
梔	tsɿ1	
梗	kɑŋ3	
梗	kuɑŋ3	
條	diɔ2	
梢	sɔ1	
梧	ɦu2	
梨	li2	
梭	so1	
梯	tʰi1	
械	ʔiᴇ1	
梳	sʮ1	
棄	tɕʰi5	
棉	miᴇ̃2	
棋	dʑi2	
棍	kun5	
棗	tsɔ3	
棚	boŋ2	
棟	toŋ5	
棠	dɑŋ2	
棧	dzᴇ̃6	
森	sen1	
棲	tɕʰi1	
棵	kʰo1	
棺	kuõ1	
椅	ʔi3	
植	dzəʔ8	
椏	ʔiɑ1	
椒	tɕiɔ1	
椶	tsoŋ1	
椿	tsʰʮen1	
楊	ɦiɑŋ2	
楓	foŋ1	
楚	tsʰu3	
楝	liᴇ̃6	
楞	len2	
楣	mei2	
楦	sʮõ5	
業	ȵiəʔ8	
極	dʑiəʔ8	
楷	tɕʰiᴇ3	
楷	kʰᴇ3	
楸	voʔ8	
概	kᴇ5	
榜	pɑŋ3	
榧	fi1	
榨	tsɑ5	
榫	sʮen3	
榮	ɦioŋ2	
榴	liø2	
榻	tʰɑʔ7	
構	kø5	
槌	dzʮei2	
槍	tɕʰiɑŋ1	
槐	ɦuᴇ2	
槳	tɕiɑŋ1	
槽	dzɔ2	
樁	tsʮɑŋ1	
樂	loʔ8	
樂	ɦiɑʔ8	
樓	lei2	
標	piɔ1	
樞	tsʰʮ1	
樟	tsɑŋ1	
模	mo2	
樣	ɦiɑŋ6	
樵	dʑiɔ2	
樸	pʰoʔ7	
樹	zʮ6	
樺	ɦuɑ2	
橄	kᴇ̃3	
橋	dʑiɔ2	
橙	dzen2	
機	tɕi1	
橡	dʑiɑŋ6	
橢	tʰo3	
橫	ʔuɑŋ1	
橫	ɦuɑŋ2	
檀	dᴇ̃2	
檁	lin3	
檜	kui5	
檢	tɕiᴇ̃3	
檳	pin1	
檻	kʰᴇ̃3	
櫃	ɡui6	
櫓	lu3	
櫻	ʔen1	
櫻	ʔin1	
櫻	ʔɑŋ1	
欄	lᴇ̃2	
權	dzʮõ2	
欖	lᴇ̃6	
欠	tɕʰiᴇ̃5	
次	tsʰɿ5	
欣	ɕin1	
欲	ɦyəʔ8	
欺	tɕʰi1	
款	kʰuõ3	
歇	ɕiəʔ7	
歉	tɕʰiᴇ̃3	
歉	tɕʰiᴇ̃5	
歌	ko1	
歐	ʔei1	
止	tsɿ3	
正	tsen1	
正	tsen5	
此	tsʰɿ3	
步	bu6	
武	ʔu3	
歪	ʔuᴇ1	
歲	sʮei5	
歷	liəʔ8	
歸	kui1	
死	sɿ3	
殃	ʔiɑŋ1	
殆	dᴇ6	
殉	sʮen5	
殊	zʮ6	
殘	dzᴇ̃2	
殮	liᴇ̃6	
殯	pin1	
殲	tɕʰiᴇ̃1	
段	duõ6	
殷	ʔin1	
殺	sɑʔ7	
殼	kʰoʔ7	
殿	diᴇ̃6	
毀	hui3	
毅	ȵi6	
毆	ʔei3	
每	mei3	
毒	doʔ8	
比	pi3	
毛	mɔ2	
毫	ɦɔ2	
毯	tʰᴇ̃3	
氈	tsʮõ1	
氏	zɿ6	
民	min2	
氣	tɕʰi5	
水	sʮei3	
永	ʔioŋ3	
氽	tsʰʮõ1	
汀	tʰin1	
汁	tsəʔ7	
求	dʑiø2	
汗	ɦᴇ̃6	
污	ʔu1	
汝	zʮ3	
汞	koŋ5	
江	tɕiɑŋ1	
池	dzɿ2	
汪	ʔuɑŋ1	
汴	biᴇ̃6	
決	tsʮəʔ7	
汽	tɕʰi5	
沃	ʔɔ1	
沃	ʔoʔ7	
沈	sen3	
沉	dzen2	
沌	den6	
沒	məʔ8	
沓	dɑʔ8	
沙	sɑ1	
沛	pʰei5	
沫	moʔ8	
河	ɦo2	
油	ɦiø2	
治	dzɿ6	
沼	tsɔ1	
沾	tsʮõ1	
沿	ɦyõ2	
泄	ɕiəʔ7	
泅	dʑiø2	
泉	dʑiᴇ̃2	
泊	pʰɑʔ7	
泌	pi5	
泔	kᴇ̃1	
法	fɑʔ7	
泛	fᴇ̃5	
泡	pʰɔ5	
波	po1	
泣	tɕʰiəʔ7	
泥	ȵi2	
注	tsʮ3	
泰	tʰᴇ5	
泳	ʔioŋ3	
泵	pɑŋ5	
洋	ɦiɑŋ2	
洗	ɕi3	
洛	loʔ8	
洞	doŋ6	
洪	ɦoŋ2	
洮	dɔ2	
洲	tsei1	
洽	ɦiɑʔ8	
派	pʰᴇ5	
流	liø2	
浙	tsəʔ7	
浜	pin1	
浜	pɑŋ1	
浞	dzoʔ8	
浦	pʰu3	
浩	ɦɔ6	
浪	lɑŋ6	
浮	vei2	
浴	ɦyəʔ8	
海	hᴇ3	
消	ɕiɔ1	
涉	zəʔ8	
涎	ɦiᴇ̃2	
涕	tʰi5	
涮	sʮõ5	
涯	ɦiᴇ2	
液	ɦiəʔ8	
涼	liɑŋ2	
涿	tsoʔ7	
淆	ɦiɔ6	
淋	lin2	
淑	zoʔ8	
淘	dɔ2	
淚	lei3	
淡	dᴇ̃6	
淤	ʔʮ1	
淨	dʑin6	
淪	len2	
淫	ɦin2	
淮	ɦuᴇ2	
深	sen1	
淵	ʔyõ1	
混	ɦun6	
淹	ʔiᴇ̃1	
淺	tɕʰiᴇ̃3	
添	tʰiᴇ̃1	
減	tɕiᴇ̃3	
渠	dzʮ2	
渡	du6	
渣	tsɑ1	
測	tsʰəʔ7	
港	kɑŋ3	
渴	kʰɑʔ7	
游	ɦiø2	
渺	miɔ3	
渾	ɦun2	
湊	tsʰei5	
湖	ɦu2	
湘	ɕiɑŋ1	
湧	ʔioŋ3	
湯	tʰɑŋ1	
源	ɦyõ2	
準	tsʮen3	
溜	liø6	
溝	kø1	
溪	tɕʰi1	
溫	ʔun1	
溲	sei1	
溺	ȵiəʔ8	
溻	tɑʔ7	
滅	miəʔ8	
滋	tsɿ1	
滎	ɦin2	
滑	ɦuɑʔ8	
滔	tʰɔ1	
滬	ɦu6	
滯	dzɿ6	
滴	tiəʔ7	
滷	lu3	
滸	hu3	
滾	kun3	
滿	muõ3	
漁	ɦʮ2	
漂	pʰiɔ3	
漆	tɕʰiəʔ7	
漏	lei6	
漑	kᴇ5	
演	ʔiᴇ̃3	
漚	ʔei5	
漢	hᴇ̃5	
漫	mᴇ̃6	
漫	muõ6	
漱	su5	
漲	tsɑŋ3	
漸	dʑiᴇ̃6	
漾	ʔiɑŋ5	
漿	tɕiɑŋ1	
潑	pʰɑʔ7	
潑	pʰoʔ7	
潔	tɕiəʔ7	
潘	pʰuõ1	
潛	dʑiᴇ̃2	
潤	zʮen6	
潦	liɔ2	
潭	dᴇ̃2	
潮	dzɔ2	
潰	ɡui6	
澀	səʔ7	
澄	tin5	
澄	dzen2	
澆	tɕiɔ1	
澇	lɔ2	
澗	tɕiᴇ̃1	
澠	miᴇ̃3	
澡	tsɔ3	
澤	dzəʔ8	
激	tɕiəʔ7	
濁	dzoʔ8	
濃	noŋ2	
濃	ȵioŋ2	
濟	tɕi5	
濤	tʰɔ1	
濫	lᴇ̃6	
濾	lʮ6	
瀉	ɕiɑ5	
瀑	boʔ8	
灌	kuõ5	
灑	sɑ3	
灒	tsᴇ̃5	
灘	tʰᴇ̃1	
灣	ʔuõ1	
火	ho3	
灰	hui1	
灸	tɕiø3	
災	tsᴇ1	
炊	tsʰʮei1	
炎	ɦiᴇ̃2	
炒	tsʰɔ3	
炕	kʰɑŋ5	
炭	tʰᴇ̃5	
炮	pʰɔ5	
炷	tsʮ5	
炸	tsɑ5	
爲	ɦui6	
烈	liəʔ8	
烏	ʔu1	
烘	hoŋ1	
烙	loʔ8	
烤	kʰɔ3	
烹	pʰen1	
焉	ɦiᴇ̃2	
焙	bei6	
焚	ven2	
無	ɦu2	
焦	tɕiɔ1	
焰	ʔiᴇ̃1	
然	zʮõ2	
煎	tɕiᴇ̃1	
煑	tsʮ3	
煙	ʔiᴇ̃1	
煠	zɑʔ8	
照	tsɔ5	
煨	ʔui1	
煩	vᴇ̃2	
熄	ɕiəʔ7	
熊	ɦioŋ2	
熏	sʮen1	
熙	ɕi1	
熟	zoʔ8	
熨	ʔin5	
熬	ɦɔ2	
熱	zʮəʔ8	
燃	zʮõ2	
燈	ten1	
燎	liɔ2	
燐	lin2	
燒	sɔ1	
燕	ʔiᴇ̃5	
燙	tʰɑŋ5	
營	ɦin2	
燦	tsʰᴇ̃3	
燭	tsoʔ7	
燾	dɔ2	
爆	pɔ5	
爐	lu2	
爛	lᴇ̃6	
爪	tsɔ3	
爬	bɑ2	
爭	tsen1	
爵	dʑiɑʔ8	
父	vu6	
爸	pɑ1	
爹	tiɑ1	
爺	ɦi2	
爺	ɦiɑ2	
爽	sʮɑŋ3	
爾	əl3	
爿	bᴇ̃2	
牀	dzʮɑŋ2	
牆	dʑiɑŋ2	
片	pʰiᴇ̃5	
版	pᴇ̃3	
牌	bᴇ2	
牒	diəʔ8	
牘	doʔ8	
牙	ɦiɑ2	
牛	niø2	
牡	mei3	
牢	lɔ2	
牧	moʔ8	
物	vəʔ8	
牯	ku3	
牲	sen1	
特	dəʔ8	
牽	tɕʰiᴇ̃1	
犀	ɕi1	
犁	li2	
犒	kʰɔ5	
犢	doʔ8	
犧	ɕi1	
犬	tsʰʮõ3	
犯	vᴇ̃6	
狂	ɡuɑŋ2	
狄	diəʔ8	
狐	ɦu2	
狗	kø3	
狡	tɕiɔ1	
狸	li2	
狹	ɦiɑʔ8	
狼	lɑŋ2	
猛	moŋ3	
猜	tsʰᴇ1	
猝	tsʰʮəʔ7	
猴	ɦei2	
猶	ɦiø2	
猻	sʮen1	
猾	ɦuɑʔ8	
獃	tᴇ1	
獅	sɿ1	
獎	tɕiɑŋ3	
獨	doʔ8	
獸	sei5	
獺	tʰɑʔ7	
獻	ɕiᴇ̃5	
玄	ɦyõ2	
率	liəʔ8	
率	sʮᴇ5	
率	soʔ7	
王	ɦuɑŋ2	
玩	ɦuõ2	
玻	pu1	
珊	sᴇ̃1	
珍	tsen1	
珠	tsʮ1	
班	pᴇ̃1	
現	ɦiᴇ̃6	
球	dʑiø2	
理	li3	
琉	liø2	
琢	tsoʔ7	
琳	lin2	
琴	dʑin2	
琵	bi2	
琶	bɑ2	
瑕	ɦiɑ2	
瑟	səʔ7	
瑣	so3	
瑩	ɦin2	
璃	li2	
璧	piəʔ7	
環	ɡuõ2	
璽	ɕi3	
瓊	dʑioŋ2	
瓜	kuɑ1	
瓠	ɦu6	
瓢	biɔ2	
瓣	pʰᴇ̃5	
瓦	ʔuɑ3	
瓶	bin2	
瓷	dzɿ2	
甌	ʔei1	
甘	kᴇ̃1	
甚	zen6	
甜	diᴇ̃2	
生	sen1	
產	tsʰᴇ̃3	
甥	sen1	
用	ɦioŋ6	
甫	fu3	
甬	ʔioŋ3	
田	diᴇ̃2	
由	ɦiø2	
甲	tɕiɑʔ7	
申	sen1	
男	nᴇ̃2	
界	tɕiᴇ5	
畏	ʔui5	
留	liø2	
畜	tsʰoʔ7	
畢	piəʔ7	
略	liɑʔ8	
番	fᴇ̃1	
畫	ɦuɑ6	
異	ɦi6	
當	tɑŋ1	
當	tɑŋ5	
疆	tɕiɑŋ1	
疏	su1	
疑	ȵi2	
疔	tin1	
疝	sᴇ̃5	
疤	pɑ1	
疥	tɕiᴇ5	
疲	bi2	
疵	tsʰɿ1	
疹	tsen1	
疼	den2	
疾	dʑiəʔ8	
疿	fi5	
病	bin6	
症	tsen5	
痔	dzɿ6	
痕	ʔun1	
痕	ɦen2	
痛	tʰoŋ5	
痢	li6	
痣	tsɿ5	
痰	dᴇ̃2	
痳	mɑ2	
痹	bi6	
瘊	ɦei2	
瘋	foŋ1	
瘍	ɦiɑŋ2	
瘡	tsʰʮɑŋ1	
瘦	sei5	
瘧	niɑʔ8	
療	liɔ2	
癖	pʰiəʔ7	
癡	tsʰɿ1	
癢	ʔiɑŋ3	
癩	lᴇ6	
癩	lɑʔ8	
癬	ɕiᴇ̃3	
癰	ʔioŋ1	
癸	kui3	
登	ten1	
發	fɑʔ7	
白	bɑʔ8	
百	pɑʔ7	
皂	dzɔ6	
的	tiəʔ7	
皆	tɕiᴇ1	
皇	ɦuɑŋ2	
皖	ʔuõ3	
皮	bi2	
皴	tsʰʮen1	
皺	tsei5	
皿	min3	
盂	ɦʮ2	
盅	tsoŋ1	
盆	ben2	
盈	ɦin2	
益	ʔiəʔ7	
盒	ɦɑʔ8	
盔	kʰui1	
盛	dzen2	
盛	zen6	
盜	dɔ6	
盞	tsᴇ̃3	
盟	men2	
盟	min2	
盡	dʑin6	
監	tɕiᴇ̃1	
盤	buõ2	
盧	lu2	
目	moʔ8	
盯	tin1	
盲	mɑŋ2	
直	dzəʔ8	
相	ɕiɑŋ1	
相	ɕiɑŋ5	
盼	pʰᴇ̃5	
盾	den6	
省	sen3	
省	ɕin3	
眉	mei2	
看	kʰᴇ̃1	
看	kʰᴇ̃5	
眞	tsen1	
眠	miᴇ̃2	
眨	tsɑʔ7	
眵	tsɿ1	
眶	kʰuɑŋ1	
眷	tsʮõ5	
眺	tʰiɔ5	
眼	ʔiᴇ̃3	
眾	tsoŋ5	
着	tsɑʔ7	
着	dzɑʔ8	
睛	tɕin1	
睜	tsen1	
督	toʔ7	
睬	tsʰᴇ3	
瞄	miɔ2	
瞇	mi1	
瞎	ɕiɑʔ7	
瞘	kʰø1	
瞞	muõ2	
瞧	dʑiɔ2	
瞳	doŋ2	
瞻	tsʮõ1	
瞿	dzʮ2	
矛	mɔ2	
矢	sɿ5	
矣	ɦi6	
知	tsɿ1	
矩	tsʮ3	
短	tuõ3	
矮	ʔiᴇ3	
矯	tɕiɔ1	
石	zɑʔ8	
砌	tɕʰi5	
砍	kʰᴇ̃3	
研	ȵiᴇ̃1	
破	pʰo5	
硃	tsʮ1	
硝	ɕiɔ1	
硫	liø2	
硬	ŋen6	
硬	ŋɑŋ6	
硯	ʔiᴇ̃5	
碎	sʮei5	
碑	pei1	
碓	tui5	
碗	ʔuõ3	
碘	tiᴇ̃3	
碟	diəʔ8	
碰	pʰoŋ5	
碰	bɑŋ6	
碳	tʰᴇ̃5	
確	kʰoʔ7	
碼	mɑ3	
碾	ȵiᴇ̃3	
磁	dzɿ2	
磉	sɑŋ3	
磕	kʰɑʔ7	
磚	tsʮõ1	
磨	mo2	
磨	mo6	
礎	tsʰu3	
礙	ŋᴇ6	
礦	kʰuɑŋ5	
礬	vᴇ̃2	
示	zɿ6	
社	zʮei6	
祀	zɿ6	
祁	dʑi2	
祈	dʑi2	
祐	ɦiø6	
祕	pi5	
祖	tsu3	
祝	tsoʔ7	
神	zen2	
祠	dzɿ2	
祥	dʑiɑŋ2	
票	pʰiɔ5	
祭	tɕi5	
祿	loʔ8	
禁	tɕin1	
禁	tɕin5	
禍	ɦo6	
福	foʔ7	
禦	ɦʮ6	
禪	zʮõ2	
禮	li3	
禱	tɔ3	
禹	ʔʮ3	
禽	dʑin2	
禾	ɦo2	
禿	tʰoʔ7	
秀	ɕiø5	
私	sɿ1	
秉	pin3	
秋	tɕʰiø1	
科	kʰo1	
秒	miɔ3	
租	tsu1	
秤	tsʰen5	
秦	dʑin2	
秧	ʔiɑŋ1	
秩	dzəʔ8	
移	ɦi2	
稀	ɕi1	
稅	sʮei5	
稆	lʮ3	
稈	kᴇ̃3	
程	dzen2	
稍	sɔ1	
稗	bᴇ6	
稚	dzɿ6	
稟	pin3	
稠	dzei2	
種	tsoŋ3	
種	tsoŋ5	
稱	tsʰen1	
稱	tsʰen5	
稻	dɔ6	
稼	tɕiɑ5	
稽	tɕi1	
稿	kɔ3	
穀	koʔ7	
穆	moʔ8	
積	tɕiəʔ7	
穎	ʔin1	
穗	zʮei6	
穢	ʔui5	
穩	ʔun3	
穴	ɦyəʔ8	
究	tɕiø5	
空	kʰoŋ1	
空	kʰoŋ5	
穿	tsʰʮõ1	
突	dəʔ8	
窄	tsɑʔ7	
窖	tɕiɔ5	
窗	tsʰʮɑŋ1	
窘	tsʮen3	
窟	kʰoʔ7	
窠	kʰo1	
窨	ʔin5	
窪	ʔuɑ1	
窮	dʑioŋ2	
窰	ɦiɔ2	
窺	kʰui1	
竈	tsɔ5	
竄	tsʰʮõ5	
竅	tɕʰiɔ5	
立	liəʔ8	
站	dzᴇ̃6	
竟	tɕin5	
章	tsɑŋ1	
童	doŋ2	
端	tuõ1	
競	dʑin6	
竹	tsoʔ7	
竿	kᴇ̃1	
笑	ɕiɔ5	
笛	diəʔ8	
笠	liəʔ8	
笡	tɕʰiɑ3	
符	ɦu2	
笨	ben6	
第	di6	
筆	piəʔ7	
等	ten3	
筋	tɕin1	
筍	sʮen3	
筏	vɑʔ8	
筐	kʰuɑŋ1	
筒	doŋ2	
答	tɑʔ7	
策	tsʰɑʔ7	
筧	tɕiᴇ̃3	
筷	kʰuᴇ5	
箋	tɕʰiᴇ̃1	
箍	kʰu1	
箏	tsen1	
算	sʮõ5	
管	kuõ3	
箭	tɕiᴇ̃5	
箱	ɕiɑŋ1	
箸	dzʮ6	
節	tɕiəʔ7	
篁	ɦuɑŋ2	
範	vᴇ̃6	
篆	dzʮõ6	
篇	pʰiᴇ̃1	
築	tsoʔ7	
篙	kɔ1	
篡	tsʰʮõ5	
篤	toʔ7	
篦	pi5	
篦	bi6	
篩	sᴇ1	
篷	boŋ2	
篾	miəʔ8	
簍	lei3	
簟	diᴇ̃6	
簡	tɕiᴇ̃3	
簧	ɦuɑŋ2	
簪	tsᴇ̃1	
簫	ɕiɔ1	
簰	bᴇ2	
簷	ɦiᴇ̃2	
簸	po3	
簸	po5	
簽	tɕʰiᴇ̃1	
簾	liᴇ̃2	
簿	bu6	
籌	dzei2	
籍	dʑiəʔ8	
籠	loŋ2	
籤	tɕʰiᴇ̃1	
籬	li2	
籮	lo2	
米	mi3	
粉	fen3	
粒	liəʔ8	
粗	tsʰu1	
粘	ȵiᴇ̃1	
粟	soʔ7	
粤	ɦyəʔ8	
粥	tsoʔ7	
粱	liɑŋ2	
粳	kɑŋ1	
粹	zʮei6	
精	tɕin1	
糉	tsoŋ5	
糕	kɔ1	
糖	dɑŋ2	
糙	tsʰɔ5	
糜	mi2	
糞	fen5	
糠	kʰɑŋ1	
糧	liɑŋ2	
糯	no6	
糰	duõ2	
糴	diəʔ8	
系	ɕi5	
糾	tɕiø1	
紀	tɕi5	
紂	zei6	
約	ʔiɑʔ7	
紅	ɦoŋ2	
紋	ven2	
納	nɑʔ8	
紐	niø3	
純	dzen2	
紗	sɑ1	
紙	tsɿ3	
級	tɕiəʔ7	
紛	fen1	
紝	zen6	
素	su5	
紡	fɑŋ3	
索	soʔ7	
紫	tsɿ3	
累	lei6	
細	ɕi5	
紹	dzɔ6	
紹	zɔ6	
終	tsoŋ1	
組	tsu3	
絆	buõ6	
結	tɕiəʔ7	
絕	dʑiəʔ8	
絞	tɕiɔ3	
絡	loʔ8	
給	tɕiəʔ7	
絨	ȵioŋ2	
絮	sʮ5	
統	tʰoŋ3	
絲	sɿ1	
絹	tsʮõ5	
綁	pɑŋ3	
綏	sʮei1	
綑	kʰun3	
經	tɕin1	
綜	tsoŋ1	
綠	loʔ8	
綢	dzei2	
維	vi2	
維	ɦui2	
綱	kɑŋ1	
網	mɑŋ3	
綴	tsʮei5	
綻	dzᴇ̃6	
綽	tsʰoʔ7	
綿	miᴇ̃2	
緊	tɕin3	
緖	dzʮ6	
線	ɕiᴇ̃5	
緝	tɕʰiəʔ7	
緞	duõ6	
緣	ɦyõ2	
編	piᴇ̃1	
緩	ʔuõ3	
緬	miᴇ̃3	
緯	ɦui6	
練	liᴇ̃6	
縐	tsei5	
縛	boʔ8	
縛	voʔ8	
縣	ɦiᴇ̃6	
縫	voŋ2	
縫	voŋ6	
縮	soʔ7	
縱	tsoŋ1	
縱	tsoŋ5	
縷	lei3	
總	tsoŋ3	
績	tɕiəʔ7	
繁	vᴇ̃2	
織	tsəʔ7	
繞	zɔ6	
繞	ȵiɔ6	
繡	ɕiø5	
繩	zen2	
繪	ɦui6	
繫	tɕi5	
繫	ɕi5	
繭	tɕiᴇ̃3	
繮	tɕiɑŋ1	
繳	tɕiɔ3	
繼	tɕi5	
續	dzoʔ8	
纏	dzʮõ2	
纓	ʔin1	
纔	dzᴇ2	
纜	lᴇ̃6	
缸	kɑŋ1	
罈	dᴇ̃2	
罐	kuõ5	
罕	hᴇ̃5	
罩	tsɔ5	
罪	dzʮei6	
置	tsɿ5	
罰	vɑʔ8	
署	dzʮ6	
罵	mɑ6	
罷	bɑ6	
羅	lo2	
羊	ɦiɑŋ2	
羌	tɕʰiɑŋ1	
美	mei3	
羔	kɔ1	
