#漢字	音標	解釋
□	tsei1	吃东西
㙲	ioŋ1	~肥、~土
㪗	tʰəu1	展开
㾭	tɕʰiəu5	天一冷,人就~成一团
一	i1	
丁	tin1	
七	tɕʰi1	
万	uan5	
三	san1	
上	ʂaŋ5	~山
上	ʂaŋ5	~面
下	xa5-	底~
下	ɕia5=	底~
不	pu1	
与	y3	
丐	kai5	乞~
丑	tʂʰəu3	
專	tsuan1	
且	tɕʰiɛ3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	niɛ1	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰən2	
丢	tiəu1	
兩	liaŋ3	~个
嚴	nian2-	~实
嚴	ian2=	~格
喪	saŋ5	~失
喪	saŋ1	婚~
个	kɤ5	~人,一~
中	tsuŋ5	又,射~
中	tsuŋ1	当~
丰	fəŋ1	
串	tsʰuan5	
臨	lin2	
丸	uan2	肉~,弹~
爲	uei5	
爲	uei2	作~
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
麽	iau1	~二三
義	i5	
之	tsɿ1	
乎	xu1	
乏	fa2	
樂	luo1-	又,快~
樂	lɤ1=	又,快~
樂	yɛ1	音~
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰən2	
乙	i3	
九	tɕiəu3	
也	iɛ3	~是
習	ɕi2	
鄉	ɕiaŋ1	
書	su1	
買	mai3	
亂	luan5	
乳	ʐu3	
乾	tɕʰian2	乾坤
了	liau3	~结
爭	tsən1	
事	sɿ5	
二	ɚ5	
于	y2	
于	y2	~此
虧	kʰuei1	
云	yn2	
互	xu5	
五	u3	
井	tɕin3	
些	ɕiɛ1	
交	tɕiau1	
亥	xai5	
亦	i1	
產	tsʰan3	
亨	xən1	
畝	mu3	
享	ɕiaŋ3	
亭	tʰin2	
亮	liaŋ5	
親	tɕʰin1	~家
人	ʐən2	
億	i5	
什	ʂʅ2	
仁	ʐən2	
仆	pʰu1	倒
仇	tʂʰəu2	
仇	tɕʰiəu2	姓
今	tɕin1	
介	tɕiɛ5	
仍	ʐən2	
从	tsʰuŋ2	~容
仑	lun2	
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰa1	
仗	tʂaŋ5	
付	fu5	
仙	ɕian1	
代	tai5	
令	lin5	
以	i3	
儀	i2	
仰	iaŋ3	
