#漢字	音標	解釋
#簡稱	/	江門墟頂
#全稱	/	江門市區話（墟頂）
#聲母	/	
#韻母	/	
#聲調	/	23 1 1a 陰平陰去 ꜀,45 3 2 陰上 ꜂,,21 2 1b 陽平陽上 ꜁,,32 6 3 陽去 ꜅,45 7a 4a 上陰入 ꜆,23 7b 4b 下陰入 ꜀,32 8a 4c 陽入 ꜇,21 8b 4d 變入 ꜁
#版本	/	2022-02-13
#錄入人	/	Kwíngiem Chan
#參考資料	/	
#說明	/	
倫	lɐn4	
值	tsɪk9	
假	ka2	假如
假	ka2	放假
假	ka1	又音
偉	wɐi2	
偉	wɐi4	
偎	wui1	
偏	pʰin1	
偕	kai1	
做	tsou6	
停	hɪŋ4	
健	kin6	
側	sɐk7	邊側，地方
側	tsɐk7	
偵	tsɪŋ1	
偶	ŋɐu1	
偷	hɐu1	
僞	ŋɐi6	
傀	fai1	傀儡
傀	kwuɐi1	傀偉
傅	fu6	師傅
傅	fu1	傅粉施朱
傍	pɔŋ6	依山傍水
傍	pɔŋ6	傍晚
傍	pʰɔŋ4	傍晚
傑	kit9	
傘	san1	
備	pei6	
傢	ka1	
催	tsʰui1	
傭	jʊŋ4	
傲	ŋou6	
傳	tsʰin4	傳播
傳	tsin6	傳奇
債	tsai1	
傷	siɔŋ1	
傻	sɔ4	
傾	kʰɪŋ1	
僅	kɐn2	
像	tsiɔŋ6	
僑	kʰiu4	
僕	pʊk9	
僚	liu4	
僥	hiu1	僥倖
僥	jiu4	僬僥，短人，西南夷別名
僧	tsɐŋ1	習讀音應爲讀半邊“曾”導致
僮	hʊŋ4	書僮
僮	tsɔŋ6	僮族
僱	ku1	
僵	kiɔŋ1	
價	ka1	
僻	pʰɪk7	
儀	ji4	
億	jɪk7	
儉	kim6	
儒	ji4	
儘	tsɐn6	
償	siɔŋ4	
儡	lui1	
優	jɐu1	
儲	tsʰi1	
儸	lɔ4	
儼	jim4	
兀	ŋɐt9	
允	wɐn1	
元	jin4	
兄	hɪŋ1	
充	tsʰʊŋ1	
兆	siu6	
兇	hʊŋ1	
先	sin1	
光	kɔŋ1	
克	hɐk7	
兌	tui1	習讀音應爲與“對”字混淆導致
免	min2	
兒	ji4	
兔	hou1	
兜	tɐu1	
兢	kɪŋ1	
入	jɐp9	
內	nɔi6	
全	tsʰin4	
兩	liɔŋ2	兩個
兩	liɔŋ2	十兩
八	pat8	
公	kʊŋ1	
六	lʊk9	
兮	hɐi4	
共	kʊŋ6	
兵	pɪŋ1	
其	kʰei4	
具	kui6	
典	tin2	
兼	kim1	
冀	kʰei1	
冉	jim1	
冊	tsʰɐk8	
再	tsɔi1	
冑	tsɐu6	
冒	mɐk9	冒頓
冒	mou6	冒犯
冕	min2	
冠	kun1	
冢	tsʰʊŋ2	
冤	jin1	
冥	mɪŋ4	
冬	tʊŋ1	
冰	pɪŋ1	
冶	jɛ4	
冷	lɐŋ4	
冽	lit9	
准	tsɐn2	
凋	tiu1	
凌	lɪŋ4	
凍	tʊŋ1	
凜	lɐm1	
凝	jɪŋ4	
几	kei1	
凡	fan4	
凰	wɔŋ4	
凱	hɔi2	
凳	tɐŋ1	
凶	hʊŋ1	
凸	tɐt9	
凹	nɐp7	
出	tsʰɐt7	
函	ham4	
刀	tou1	
刁	tiu1	
刃	jɐn6	
分	fɐn1	分開
分	fɐn6	本分
切	tsʰɐi1	一切
切	tsʰit8	急切
刊	hɔn1	
刎	mɐn1	
刑	jɪŋ4	
划	wa1	划船
列	lit9	
初	tsʰɔ1	
判	pʰun1	
別	pit9	
刨	pʰau4	
利	lɐi6	
利	lei6	
刪	san1	
刮	kwuat8	
到	tou1	
制	tsɐi1	
刷	tsʰat8	
刷	tsʰat10	
券	kin1	習讀音應爲與形近字“卷”混淆導致
券	kʰin1	
刺	tsʰi1	
刻	hɐk7	
剃	hɐi1	
則	tsɐk7	
削	siɔk8	
剋	hɐk7	
前	tsʰin4	
剎	sat8	
剔	hɪk7	
剖	fɐu2	
剛	kɔŋ1	
剝	mɔk7	
剩	sɪŋ6	
剪	tsin2	
副	fu1	
割	kɔt8	
創	tsʰɔŋ1	
剷	tsʰan2	
劃	wɐk9	
劇	kʰiɐk9	
劇	kʰiɐk10	
劈	pʰɪk7	
劉	lɐu4	
劍	kim1	
劑	tsɐi1	
力	lɪk9	
功	kʊŋ1	
加	ka1	
劣	lit9	
助	tsɔ6	
努	nou1	
劫	kip8	
劭	siu6	
劾	hɐt9	
勁	kɪŋ6	
勃	put9	
勇	jʊŋ4	
勉	min1	
勒	lɐk9	
動	tʊŋ6	
勘	hɐm1	
務	mou6	
勛	fɐn1	
勝	sɪŋ1	勝任
勝	sɪŋ1	勝利
勞	lou4	勤勞
勞	lou4	慰勞
募	mou6	
勢	sɐi1	
勤	kʰɐn4	
勵	lɐi6	
勸	hin1	
勺	tsiɔk8	
勻	wɐn4	
勾	kɐu1	勾當
勾	ŋɐu1	勾劃
勿	mɐt9	
包	pau1	
匆	tsʰʊŋ1	
匈	hʊŋ1	
匍	pʰou4	
匐	fʊk9	
化	fa1	
北	pɐk7	
匙	tsʰi4	
匙	si4	鑰匙
匠	tsiɔŋ6	
匣	hap9	
匪	fei2	
匯	wui6	
匱	kwuɐi6	
匹	pʰɐt7	
匾	pin2	
匿	nei2	躲藏
匿	nɪk7	
匿	nɪk7	匿名
區	kʰui1	區別
區	ŋɐu1	姓區
十	sɐp9	
千	tsʰin1	
卅	sa1	
升	sɪŋ1	
午	m2	
卉	wɐi2	
半	pun1	
卑	pei1	
卒	tsɐt7	士卒
卓	tsʰiɔk8	
協	hip8	
南	nam4	
博	pɔk8	
博	pɔk7	
卜	pɐk9	萝卜
卜	pɔk7	
卜	pʊk7	
占	tsim1	占卜
占	tsim1	占領
卡	kʰa2	
卦	kwua1	
卬	ŋɔk10	我哋
卯	mau1	
印	jɐn1	
危	ŋɐi4	
即	tsɪk7	
卵	lɐn2	
卵	lin2	
卷	kin6	試卷
卷	kin2	卷曲
卸	sɛ1	
卻	kʰiɔk8	
卿	hɪŋ1	
厄	ŋɐk7	
厘	lei4	
厚	hɐu1	
厝	tsʰou1	
原	jin4	
厥	kʰiɐk10	佢哋
厭	jim1	
厲	lɐi6	
去	hui1	
參	tsʰam1	參加
參	tsʰɐm1	參差
參	sam1	三的大寫
參	sɐm1	人參
又	jɐu6	
叉	tsʰa1	
及	kʰɐp9	
友	jɐu4	
反	fan2	
叒	jiɔk9	
叔	sʊk7	
叕	tsit8	
取	tsʰui2	
受	sɐu6	
叛	pun6	
叟	sɐu2	
叢	tsʰʊŋ4	
口	hɐu2	
古	ku2	
句	kui1	
另	lɪŋ6	
叨	tou1	嘮叨
叨	hou1	叨擾
叩	kʰɐu1	
只	tsi2	
叫	kiu1	
召	siu6	召南
召	tsiu6	召喚
叭	pat8	
叮	tɪŋ1	
可	hɐk7	可汗
可	hɔ2	可以
台	hɔi1	天台，地名
台	ji4	古代第一人稱
史	si2	
右	jɐu6	
司	si1	
叼	tiu1	
吁	hui1	
吃	kɐt9	口吃
吃	hiɐk8	吃飯
各	kɔk8	
各	kɔk7	又音
吆	jiu1	
合	kɐp9	一合
合	hɐp9	合格
吉	kɐt7	
吊	tiu1	
同	hʊŋ4	
名	miɐŋ4	你叫乜名？
名	miɐŋ2	又音
名	mɪŋ4	
后	hɐu6	
吏	lɐi6	
吏	lei6	
吐	hou1	
向	hiɔŋ1	
吒	tsʰɐk7	叱吒
吒	tsa1	哪吒
吔	ja1	
君	kwuɐn1	
吝	lɐn6	
吞	hɐn1	
吟	jɐm4	
吠	fɐi6	
否	fɐu2	否定
否	pʰei2	否極泰來
吧	pa6	
吩	fɐn1	
含	hɐm4	
吭	hɔŋ4	引吭高歌
吭	hɔŋ1	吭聲
吱	tsi1	
吳	ŋ4	
吵	tsʰau2	
吶	nap9	
吸	kʰɐp7	
吹	tsʰui1	
吻	mɐn1	
吼	hɐu1	
吾	ŋ4	
呀	ŋa1	
呂	lui4	
呂	lui2	姓氏
呃	ŋɐk7	
呆	ŋɔi4	
呈	tsʰɪŋ4	
告	kou1	報告
呢	nɛ1	語氣助詞
呢	nei4	呢喃
周	tsɐu1	
呱	kwua1	
味	mei6	
呵	hɔ1	
呻	sɐn1	
呼	fu1	
命	miɐŋ6	
命	mɪŋ6	
咀	tsui2	
咄	tɐt7	
咆	pʰau4	
和	wɔ4	和諧
和	wɔ6	唱和
咎	kɐu1	
咐	fu1	
咒	tsɐu1	
咕	ku1	
咖	ka1	
咚	tʊŋ1	
咦	ji2	
咩	mɛ1	
咪	mei1	
咫	tsi2	
咬	ŋau1	
咯	kɔk8	咯咯笑
咯	hɐk8	咯血
咯	lɔ1	助詞
咱	tsa1	
咳	hɔi4	小兒笑
咳	kʰɐt7	咳嗽
咸	ham4	
咻	hui2	噢咻
咻	jɐu1	一傅眾咻
咽	jin1	咽喉
咽	jin1	狼吞虎咽
咽	jit8	哽咽
哀	ŋɔi1	
品	pɐn2	
哄	hʊŋ1	哄騙
哄	hʊŋ1	亂哄哄
哇	wa1	
哈	ha1	
哉	tsɔi1	
哎	ʔai2	
哞	mɐu4	
員	jin4	
哥	kɔ1	
哦	ŋɔ4	
哦	ʔɔ4	語氣助詞
哨	sau1	
哩	lei4	英哩
哩	li1	哩嚕
哪	na4	哪吒
哪	na1	那個
哪	na4	姓那
哭	hʊk7	
哮	hau1	
哲	tsit8	
哺	pou6	
哼	hɐŋ1	哼歌
哼	ŋ1	感歎詞
哽	kɐŋ2	
唉	ʔai2	
唐	hɔŋ4	
唔	m4	
唥	lɐŋ1	
唥	lɐŋ6	
唧	tsɪk7	
唬	fu2	
售	sɐu6	
唯	wɐi4	唯一
唯	wɐi2	唯唯諾諾
唱	tsʰiɔŋ1	
唷	jɔ1	
唸	tin1	呻吟
唸	nim6	吟誦
唾	hɔ1	
