#漢字	音標	解釋
#簡稱	/	東至
#全稱	/	東至話
#聲母	/	
#韻母	/	
#聲調	/	11 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,35 3 2 上 ꜂,,41 5 3 去 ꜄,,55 7 4 入 ꜆
#版本	/	2022-03-15
#錄入人	/	空島。
#參考資料	/	《東至縣誌》
#說明	/	
倘	tʰaŋ3	
候	xəu5	
候	xiəu5	
倚	i3	
借	tɕie5	
倡	tsʰaŋ1	
倡	tsʰaŋ5	
倦	tɕyan3	
倦	tɕyan5	
倩	tɕʰiɛn5	
倪	ȵi2	
債	tsai5	
值	tsʰɿ1	
傾	tɕʰin1	
假	tɕia3	
偎	uei1	
偏	pʰiɛn1	
做	tso5	
停	tʰin2	
健	tɕʰiɛn1	
偷	tʰəu1	
償	tsʰaŋ2	
傅	fu7	
傣	tai3	
儲	tsʰy3	
催	tsʰei1	
傲	ŋau5	
傻	sa3	
像	tɕʰiaŋ1	
僚	liau2	
僧	sən1	
僵	tɕiaŋ1	
僻	pʰi5	
儡	lei3	
兒	æ2	
兀	u7	
元	yan2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsʰau1	
先	ɕiɛn1	
光	kuaŋ1	
克	kʰæ7	
免	miɛn3	
兌	tei5	
兔	tʰu5	
黨	taŋ3	
兜	təu1	
全	tɕʰyan2	
八	pa7	
公	koŋ1	
六	lu7	
兮	ɕi1	
蘭	lan2	
共	kʰoŋ1	
關	kuan1	
興	ɕin1	
兵	pin1	
其	tɕʰi2	
具	tsy5	
典	tiɛn3	
兹	tsɿ1	
兹	tsʰɿ2	
養	iaŋ3	
兼	tɕiɛn1	
獸	səu1	
冀	tɕi5	
內	nei1	
冉	yan3	
冊	tsʰæ7	
再	tsai5	
冒	mau5	
冕	miɛn3	
冗	zoŋ3	
寫	ɕie3	
農	noŋ2	
冢	tsoŋ3	
冤	yan1	
冥	min2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	冲动
冲	tsʰoŋ5	冲人
决	tɕyæ7	
况	kʰuaŋ5	
冶	ie3	
冷	nən3	
冷	lən3	
凍	toŋ5	
凄	tɕʰi1	
凉	liaŋ2	
凋	tiau1	
凌	lin2	
減	tɕiɛn3	
湊	tsʰəu5	
凛	lin3	
凝	ȵin2	
几	tɕi3	
凡	fan2	
鳳	foŋ1	
凭	pʰin2	
凱	kʰai3	
凳	tən5	
凶	ɕioŋ1	
出	tsʰy7	
擊	tɕi1	
函	xan2	
刀	tau1	
刁	tiau1	
刃	zən1	
分	dən1	
分	dən5	
切	tɕʰie7	
刊	kʰan1	
刑	ɕin2	
划	xua2	
列	lie7	
劉	liəu2	
則	tsæ7	
剛	kaŋ1	
創	tsʰuaŋ5	
初	tsʰu1	
刪	san1	
判	pʰon5	
刨	pʰau2	
利	li1	
别	pʰie1	
别	pie7	错～字
刮	kua7	
到	tau5	
制	tsɿ5	
刷	ɕya7	
券	tɕʰyan5	
刹	sa1	
刺	tsʰɿ1	
刺	tsʰɿ5	
刻	kʰæ7	
剁	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕiau1	
削	ɕio7	
前	tɕʰiɛn2	
剮	kua3	
劍	tɕiɛn5	
剔	tʰi7	
剖	pʰo3	
劇	tsy5	
剩	sən1	
剪	tɕiɛn3	
副	fu5	
割	ko7	
剿	tɕiau3	
劈	pʰi1	
力	li7	
勸	tɕʰyan5	
辦	pan1	
功	koŋ1	
加	tɕia1	
務	u1	
劣	lie7	
動	tʰoŋ1	
努	nu3	
劫	tɕie7	
勵	li1	
勞	lau2	
勢	sɿ5	
勃	po7	
勇	ioŋ3	
勉	miɛn3	
勒	nei1	
勘	kʰan1	
勤	tɕʰin2	
勺	sau2	
勾	kəu1	
勾	kiəu1	
勿	u1	
包	pau1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
匕	pi7	
化	xua5	
北	pæ7	
匙	tsʰɿ2	
匝	tsa7	
匠	tɕiaŋ5	
匡	kʰuaŋ1	
匪	fei3	
匱	kʰuei5	
區	tsʰy1	
醫	i1	
匾	piɛn3	
匿	ȵi7	
十	sɿ1	
千	tɕʰiɛn1	
升	sən1	
午	u3	
卉	xuei5	
半	pon5	
華	xua2	
協	ɕie2	
卑	pei1	
卒	tsu7	
卓	tso7	
單	tan1	
賣	mai1	
南	non2	
博	po7	
卜	po1	萝～
占	tsan5	
卡	kʰa1	
卡	kʰa3	卡片
卤	lu3	
卦	kua5	
臥	uo7	
卯	mau3	
印	in5	
危	uei1	
即	tɕi7	
卻	tɕʰio7	
卷	tɕyan5	
卸	ɕie5	
卿	tɕʰin1	
廠	tsʰaŋ3	
厄	ŋo7	
廳	tʰin1	
历	li7	
厲	li1	
壓	ia1	
壓	ŋa7	
厭	iɛn5	
廁	sɿ1	茅厕
廁	tsʰæ1	
厘	li2	
厚	xəu5	
厚	xiəu5	
原	yan2	
廂	ɕiaŋ1	
厦	ɕia1	厦门
厦	sa5	
廚	tsʰy2	
厮	sɿ1	
去	tɕʰi5	
去	tsʰy5	去皮
縣	ɕiɛn1	
参	tsʰan1	
参	sən1	人参
又	iəu1	
叉	tsʰa1	
及	tɕi7	
友	iəu3	
雙	suaŋ1	
反	fan3	
发	fa7	
叔	sy7	
取	tɕʰi3	
受	səu1	
變	piɛn5	
叛	pʰon5	
疊	tie7	
口	kʰəu3	
口	kʰiəu3	
口	tɕʰiəu5	
古	ku3	
句	tsy5	
另	lin1	
叨	tau1	
叩	kʰəu5	
叩	kʰiəu5	
只	tsɿ1	
只	tsɿ3	只有
叫	kau5	～花子:乞丐
叫	tɕiau5	
召	tsau1	
叭	pa1	
叮	tin1	
可	kʰo3	
台	tʰai2	
史	sɿ3	
右	iəu1	
葉	ie7	
號	xau1	
司	sɿ1	
嘆	tʰan5	
叼	tiau1	
嘰	tɕi1	
吁	y1	
吃	tɕʰi7	
各	ko5	
吆	iau1	
合	xo7	
吊	tiau5	
同	tʰoŋ2	
名	min2	
后	xəu5	
后	xiəu5	
吏	li1	
吐	tʰu5	
向	ɕiaŋ5	
嚇	ɕia1	
嚇	xæ7	
吕	ly3	
吞	tʰən1	
吟	in2	
吠	fei5	
否	pʰi3	否极泰来
吧	pa1	
吨	tən1	
吨	tən3	
吩	dən1	
含	xan2	
听	tʰin5	
吭	kʰən1	
启	tɕʰi3	
吱	tsɿ1	
吴	u2	
吵	tsʰau3	
吹	tɕʰyei1	
吻	uən3	
吼	xəu3	
吼	xiəu3	
吾	u2	
呀	ia1	
呈	tsʰən2	
告	kau5	
呐	na7	
嘔	ŋəu3	
嘔	ŋiəu3	
員	yan2	
嗆	tɕʰiaŋ5	
嗚	u1	
周	tsəu1	
呱	kua1	
味	uei1	
呵	xo1	
呸	pʰei1	
呻	sən1	
呼	xu1	
呼	xon5	
命	min1	
咂	tsa7	
咄	to1	
咆	pʰau2	
和	xu2	和牌
和	xo2	
咏	ioŋ3	
咐	fu5	
咒	tsəu5	
咔	kʰa3	
咕	ku1	
咖	kʰa1	
咚	toŋ1	
咚	tʰoŋ2	
咣	kuaŋ1	
咦	i2	
咧	lie3	
咨	tsɿ1	
咪	mi1	
咬	ŋau3	
咳	kʰæ7	
咸	xan2	
咽	iɛn1	
哀	ai1	
哄	xoŋ1	
哄	xoŋ3	
哆	to1	
哇	ua1	
哈	xa1	
哉	tsai1	
響	ɕiaŋ3	
哎	ai1	
啞	ŋa3	
噠	ta1	
噦	yæ1	
哗	xua1	
哥	ko1	
哦	o1	
哨	sau5	
哪	na3	
哭	kʰu7	
哲	tsæ7	
哺	pu3	
哼	xən1	
哽	kən3	
唉	ai1	
唐	tʰaŋ2	
嘮	lau1	
嘮	pʰoŋ1	
售	səu5	
唯	uei2	
唱	tsʰaŋ5	
啃	kʰən3	
啄	tso1	
商	saŋ1	
啊	a1	
啤	pʰi2	
啪	pʰa1	
囉	lo1	
嘯	ɕiau5	
啼	tʰi2	
喂	uei5	
善	san5	
喇	la3	
喉	xəu2	
喉	xiəu2	
喊	xan3	
喋	tie7	
喘	tɕʰyan3	
喜	ɕi3	
喝	xo7	
喧	ɕyan1	
