#漢字	音標	解釋
個	ko3	
倌	kun1	
倍	pui5	
倏	ʃok7	
們	mun4	
倒	ɗəu2	打～
倒	ɗəu3	傾～、顛～
倒	tʰɛu2	白讀：～水
倔	kʷat9	
倖	a6	
倘	tʰɔŋ2	
候	au6	
倚	ji2	
倜	tʰek7	
借	ɗɛ3	
倡	tʃʰa1	
倥	hoŋ1	～侗：無知
倥	hoŋ2	～傯：事迫促；窮困
倦	kyn6	
倨	ky3	
倩	tʃʰin3	見《玉林市志》
倩	ʃin6	
倪	ȵi1	
倫	lan4	
倬	tʃɔk8	
倭	wo1	日本
倭	wo2	～墮
倮	lœ5	
值	tʃek9	
偃	jin2	
假	kɔ2	
偈	kɛt10	
偉	wai2	
偌	ȵɛ6	
偎	wui1	
偏	pʰin1	
偕	kɔi1	
做	ɗu3	
停	teŋ4	
健	kin6	
側	tʃʰak7	
偵	tʃeŋ1	
偶	ŋau5	
偷	tʰau1	
僞	ŋai6	
傀	kʷai1	木～戲
傀	kʷai2	
傅	fu6	
傍	paŋ6	倚靠
傍	pɔŋ6	
傑	kɛt10	
傖	ʃa4	
傘	ɬɔn3	
備	pi6	
傢	kɔ1	
催	tʰui1	
傭	joŋ4	
傯	ɗoŋ2	
傲	ŋəu6	
傳	tʃyn4	動詞
傳	tʃyn6	名詞
傳	tʃyn3	～舍、廣成～
傴	jy2	
債	tʃɔi3	
傷	ʃa1	
傺	tʃʰai3	
傻	ʃo6	
傾	kʰeŋ1	
傾	kʰeŋ3	又讀
僂	lau4	
僅	kʰan2	
僅	kan2	
僉	tʰim1	
像	ta5	似
像	ta6	雕～，偶～
僑	kiu4	
僕	pok9	～人，見《玉林市志》
僖	hi1	
僚	liu4	
僞	ŋai6	
僥	hiu1	
僦	ɗau3	
僧	ɗaŋ1	
僧	ɬaŋ1	白讀
僨	fan3	
僬	ɗiu1	
僭	ɗim3	
僮	tʃɔŋ6	～族
僱	ku3	
僵	kʰa1	
價	kɔ3	
僻	pʰek7	
儀	ȵi4	
儂	noŋ5	
億	ek7	
億	œk7	白讀
儆	keŋ2	
儇	jyn1	
儉	kim5	
儋	ɗɔm1	～州：在海南
儐	ɓan3	
儒	ʃy5	
儔	tʃau4	
儕	ʃɔi4	
儘	tan5	
償	ʃa4	
儡	lui5	
優	jau1	
儲	tʃy5	
儷	lai6	
儸	lo4	僂～
儺	no4	
儻	tʰɔŋ2	
儼	ȵim5	
兀	at9	
允	jan5	
元	jyn4	文讀。朝代名；貨幣單位。
元	ȵyn4	白讀：～旦，狀～
兄	weŋ1	
充	tʃʰoŋ1	
兆	tʃiu5	
兇	hoŋ1	
先	ɬin1	
光	kʷɔŋ1	
克	hak7	
兌	tui6	
免	min5	
兒	ȵi1	詞綴：表示幼崽或小的。雞～（小雞），凳～（小凳子）。
兒	ȵi4	～子，男～
兔	tʰu3	
兕	ti5	
兗	jyn5	
兜	ɗau1	
兢	keŋ1	
入	ȵap9	
內	nɔi6	
全	tyn4	
兩	la5	數目
兩	la2	重量單位
八	ɓɔt8	
八	ɓɛt8	又讀
公	koŋ1	
六	lok9	
兮	hi1	
共	koŋ6	
兵	ɓeŋ1	
其	ki4	
具	ky6	
典	ɗim2	
兼	kim1	
冀	kʰi3	
冂	kʷeŋ1	
冉	ȵim5	
冊	tʃʰa2	
再	ɗɔi3	
冑	tʃau6	
冒	məu6	
冕	min5	
冖	mek9	
冠	kun1	衣～
冠	kun3	～軍
冢	tʃoŋ2	
冤	jyn1	
冥	meŋ5	見《玉林话研究》
冫	ɓeŋ1	
冬	ɗoŋ1	
冰	ɓeŋ1	
冱	kʰœ1	
冶	jɛ5	
冷	la5	
冼	ɬin2	
冽	lɛt10	
准	tʃan2	
凇	ɬoŋ1	
凋	ɗiu1	
凌	leŋ4	
凍	ɗoŋ3	
凜	lam5	
凝	ŋaŋ1	白讀
凝	ŋeŋ4	
凝	ŋeŋ1	白讀
几	ki1	
凡	fɔn4	
凰	wɔŋ4	
凱	hɔi2	
凳	ɗaŋ3	
凵	hɔm2	
凶	hoŋ1	
凸	tat9	
凹	map7	
出	tʃʰat7	
函	ɔm4	
刀	ɗəu1	
刁	ɗiu1	
刂	ɗəu1	
刃	ȵan5	
分	fan1	～開
分	fan6	成～
切	tʰit7	
刈	ȵi6	
刊	hɔn1	
刎	man5	
刑	eŋ4	
划	kʷʰɔ3	胡寫亂畫
划	wa6	同「劃」
刖	ȵœt10	
列	lɛt10	
初	tʃʰo1	
初	tʃʰu1	文
判	pʰun3	
別	pɛt10	
刨	pɔu4	
利	li6	
刪	ʃɔn1	
刮	kʷɔt8	
刮	kʷɛt8	白讀
到	ɗəu3	
刳	kʰu1	
制	tʃai3	
刷	ʃɔ3	關於 ʃɔn3 音見「涮」
刷	ʃɔt8	～卡
券	kyn3	
刺	tʰek7	以針繡物
刺	tʰi3	
刻	hak7	
剃	tʰai3	
剄	keŋ2	
則	ɗak7	
削	ɬa2	
剋	kʰak7	
剌	lɔt10	
前	tin4	
剎	ʃɔt8	
剔	tʰek7	
剖	pʰau2	《玉林話研究》
剖	pʰəu2	《玉林市志》
剛	kɔŋ1	
剜	wun2	
剜	wɛn1	白讀
剝	mɔk8	文讀：～削
剝	mok7	白讀：～插頭
剞	ki1	
剡	jim5	
剡	ʃim5	地名；河流名
剩	ʃeŋ6	
剩	ʃœŋ6	白讀
剪	ɗin2	
副	fu3	
割	kɔt8	
剴	hɔi2	
創	tʃʰɔŋ3	
剷	tʃʰɔn2	
剺	li1	
剽	piu4	
剿	ɗiu2	
劁	tiu4	
劂	kyt7	
劃	wa6	
劇	kʷek7	又讀：戲～、電視～
劇	kek7	～烈
劈	pʰek7	
劉	lau4	
劌	kœ3	
劍	kim3	
劐	kʷʰɔk8	
劑	ɗai1	
劓	ȵi6	
劖	tʃɔm4	
力	lek9	
力	lœk9	白讀
力	lek7	朱古～：巧克力
功	koŋ1	
加	kɔ1	
劣	lyt7	
助	tʃu6	
努	nu6	
劫	kip7	
劬	ky4	
劭	ʃiu6	
劾	ak9	
勁	keŋ6	
勃	pɔt10	
勇	ȵoŋ5	
勉	min5	
勒	lak7	收緊繩子
勒	lak9	～令
動	toŋ5	
勖	hok7	
勘	hɔm2	
務	mu6	
勛	wan1	
勝	ʃeŋ3	
勞	ləu4	
募	mu6	
勢	ʃi3	
勤	kan4	
勰	jip7	
勱	mɔi6	
勵	lai6	
勸	jyn3	
勹	ɓɔu1	
勺	ʃa6	
勻	jan4	
勾	kau1	
勾	ŋau1	
勿	mat9	
包	ɓɔu1	
匆	tʰoŋ1	
匈	hoŋ1	
匍	pu4	
匏	pɔu4	
匐	fok9	
匕	ɓi3	
化	wɔ3	
北	ɓak7	
匙	ʃy4	又讀
匙	ʃi4	
匚	fɔŋ1	
匠	ta6	
匣	ɔp10	
匪	fi2	
匭	kʷai2	
匯	wai6	
匱	kʷai6	
匹	pʰat7	
匾	ɓɛn2	白讀
匾	ɓin2	
匿	nek9	
區	kʰy1	
區	au1	姓
十	ʃap9	
千	tʰin1	
卅	ɬɔp8	
升	ʃeŋ1	
升	ʃœŋ1	白讀：～起身、米～
午	ŋ̍5	
