#漢字	音標	解釋
央	ja1	
夯	haŋ1	
失	ʃat7	
夷	ji1	蠻～，東～，～族
夷	ji4	傷也；滅也
夸	kʷʰɔ1	
夼	kʷʰaŋ2	
夾	kɔp8	雙～：一種文具；～生：活生生地､硬生地地
夾	kɛp10	白讀
奄	jim2	
奇	ki4	
奈	nɔi6	
奉	foŋ6	
奎	kʷai4	
奏	ɗau3	
奐	wun3	
契	kʰai3	
奔	ɓan1	
奕	ek9	
套	tʰəu3	
奘	tɔŋ6	
奚	kʰai1	
奠	tin6	
奢	ʃɛ1	
奧	əu3	
奩	lim4	
奪	tœt10	
奮	fan6	
女	ny5	
奴	nu4	
奶	nɔi5	
奸	kɔn1	
她	tʰɔ1	
奼	tʃʰɔ3	
好	həu2	良～
好	həu3	喜～
妁	tʃa2	
如	ʃy4	
妃	fi1	
妄	mɔŋ5	
妍	nin1	
妒	ɗu3	
妓	ki6	
妖	jiu1	
妗	tʃam5	
妙	mɛu6	
妝	tʃɔŋ1	
妞	nau2	
妣	ɓi2	
妤	jy5	
妥	tʰœ2	
妨	fɔŋ4	
妮	ni1	
妯	tʃok9	
妲	ɗɔn3	奎～閣
妳	ni5	
妹	mɔi6	姐～
妹	mui6	moi6的異讀
妹	mui1	形容詞，文靜的，像女孩子一樣的。
妻	tʰai1	
妾	tʰip7	
姆	mu5	
姊	ɗi2	
始	tʃʰi11	纔
始	ʃi2	開～
姍	ʃɔn1	
姐	ɗɛ2	
姑	ku1	
姒	ti5	
姓	ɬeŋ3	
委	wai2	
姍	ʃɔn1	
姘	pʰeŋ1	
姚	jiu4	
姜	ka1	
姝	ʃy5	
姣	kɔu2	好
姣	ɔu4	淫亂
姦	kɔn1	
姨	ji4	
姪	tʃat9	
姬	ki1	
姹	tʃʰɔ3	
姻	an1	
姿	ɗi1	
威	wai1	
娃	wɔ4	
娉	pʰeŋ3	
娌	li5	
娑	ɬo1	
娓	mi2	
娘	na1	姑～
娘	na4	婦～
娛	ȵy4	
娜	nɔ6	
娟	kyn1	
娣	tai5	
娥	ŋo5	
娩	min5	
娶	tʰy2	文讀
娶	tʰu2	白讀
娼	tʃʰa1	
婀	ɔ1	
婆	po4	
婉	wun2	
婊	ɓiu2	
婕	ɗɛp8	
婚	wan1	又讀
婚	wun1	
婢	pi5	
婥	tʃʰɔk8	
婦	fu5	
婧	teŋ6	
婪	lɔm2	
婭	ɔ3	
婷	teŋ4	
婺	mu6	
婿	ɬai3	
媒	mui4	
媚	mi4	
媛	jyn4	
媧	wo1	
媯	kʷai1	
媲	pʰi3	
媳	ɬek7	
媵	eŋ6	
媸	tʃʰi1	
媼	əu2	
媽	mɔ1	
媾	kau3	交～
媾	kʰau1	
嫁	kɔ3	
嫂	ɬəu2	
嫉	tat9	
嫌	jim1	
嫖	piu4	
嫗	jy3	
嫘	lui4	
嫜	tʃa1	
嫠	li4	
嫣	jin1	
嫦	ʃa4	
嫩	nyn6	
嫫	mu4	
嫵	fu5	
嫻	ɔn4	
嬀	kʷai1	
嬈	niu5	戲弄
嬈	ȵiu4	
嬉	hi1	
嬋	ʃim4	
嬌	kiu1	
嬖	ɓai3	
嬗	ʃin6	
嬙	ta4	
嬛	jyn1	輕麗貌
嬛	wɔn4	嫏～
嬡	ɔi5	
嬤	mɛ1	
嬪	pan4	
嬰	eŋ1	
嬲	nau1	
嬴	eŋ4	
嬸	ʃam2	
孀	ʃɔŋ1	
孃	na2	老～
孌	lyn2	
子	ɗi2	
孑	kɛt8	
孓	kʰyt7	
孔	hoŋ2	
孕	ȵan6	
字	ti6	
存	tyn4	
孚	fu1	
孛	pui6	
孜	ɗi1	
孝	hɔu3	
孟	ma6	
孢	ɓɔu1	
季	kʷai3	
孤	ku1	
孥	nu4	
孩	ɔi4	
孫	ɬyn1	
孬	məu2	「冇好」合音
孰	ʃok9	
孱	tʃɔn4	
孳	ɗi1	
孵	fu1	
學	ɔ6	
孺	ʃy4	
孼	nɛp10	又讀
孼	nɛt10	
孼	ȵɛp10	
孽	nɛp10	又讀
孽	nɛt10	
孽	ȵɛp10	
孿	lyn4	
宀	min4	
它	tʰɔ1	
宄	kʷai2	
宅	tʃa6	
宇	jy5	
守	ʃau2	
安	ɔn1	
宋	ɬoŋ3	
完	jyn4	
宏	oŋ4	
宓	mat9	
宕	tɔŋ6	
宗	ɗoŋ1	
官	kun1	
宙	tʃau6	
定	teŋ6	
宛	wun2	
宜	ȵi4	
客	ha2	
宣	ɬyn1	
室	ʃat7	
宥	jau6	
宮	koŋ1	
宰	ɗɔi2	
害	ɔi6	
宴	jin3	～會
宵	ɬiu1	
家	kɔ1	
宸	ʃan4	
容	joŋ4	
宿	ɬok7	
寂	tek9	
寄	ki3	
寅	jan4	
密	mat9	
寇	kʰau3	
富	fu3	
寐	mi6	
寒	ɔn4	
寓	ȵy6	
寞	mɔk10	
察	tʃʰɔt8	
寡	kʷɔ2	
寡	kʷɔt8	1959年資料中記有的讀音
寢	tʰam2	
寤	ŋ̍6	
寥	liu4	
寥	lɛu1	
實	ʃat9	
寧	neŋ4	
寧	neŋ6	姓
寨	ʃɔi6	
審	ʃam2	
寫	ɬœ2	
寬	wun1	
寮	liu4	
寰	wɔn4	
寵	tʃʰoŋ2	
寶	ɓəu2	
寸	tʰyn3	
寺	ti4	
封	foŋ1	
射	ʃɛ6	～箭
射	jɛ6	僕～
將	ɗa1	～來，～要
將	ɗa3	～帥
專	tʃyn1	
尉	wai2	
尊	ɗyn1	
尋	tam4	
對	ɗui3	
導	təu5	
小	ɬiu2	
少	ʃiu3	～年
少	ʃiu2	多～
尕	nai3	
尖	ɗim1	
尚	ʃa5	～且
尚	ʃa6	和～，崇～，～書
尢	jau4	同「尤」
尢	wɔŋ1	曲脛
尣	wɔŋ1	曲脛
尤	jau4	
尥	pʰɛu1	
尪	wɔŋ1	曲脛
尬	kɔi3	
就	tau6	
尷	kɔm1	
尸	ʃi1	
尹	jan5	
尺	tʃʰek7	
尻	kʰɛu3	
尼	ni4	
尾	mi2	
尿	nɛu6	文讀：～素、～布
尿	ɬui1	白讀：屙～
局	kok9	
屁	pʰi3	
居	ky1	
屆	kɔi3	
屈	kʷat9	白讀
屈	wat7	文讀
屋	ok7	
屍	ʃi1	
屎	ʃi2	
屏	peŋ4	
屐	kek7	
屑	ɬit7	
展	tʃin2	
展	tʃʰin2	又讀
屙	o1	
屜	tʰai3	
屠	tu4	
屢	ly5	
屣	ʃi2	
層	taŋ4	
履	li5	
屨	ky3	
屬	ʃok9	
屮	tʃʰit7	
屯	tyn4	
山	ʃɔn1	
屹	at9	
屺	hi2	
岈	hɔ1	㟏～
岈	ȵɔ4	嵖～
岌	ŋap9	
岍	jin1	
岐	ki4	
岑	ʃam4	
岔	tʃʰɔ1	
岜	ɓɔ1	
岡	kɔŋ1	
岢	ho2	
岣	kau2	
岩	ȵɔm4	
岪	pat9	
岫	tau6	
岬	kɔp8	
岱	tɔi6	
岳	ŋɔk10	異讀
岳	ȵa6	
岵	wu5	
岷	man4	
岸	ŋɔn6	
峁	mɔu5	
峇	hɔp8	
峋	tan4	
峒	toŋ6	同「垌」
峙	tʃi5	
峨	ŋo4	
峪	jok9	
峭	tʰiu3	
峯	foŋ1	
峯	foŋ1	
峴	jin5	
島	ɗəu2	
峻	ɗan3	
峽	ɔp10	
崁	ham3	
崆	hoŋ1	
崇	ʃoŋ4	
崍	lɔi4	
崎	kʰi1	
崑	kʷan1	
崔	tʰui1	
崖	ŋɔi4	
崗	kɔŋ1	
崙	lan4	
崛	kʷat9	
崞	kʷʰɔk8	
崢	tʃa1	
崤	ȵɔu4	
崦	jim1	
崧	ɬoŋ1	
崩	ɓaŋ1	
崬	ɗoŋ1	
崮	ku3	
崳	jy4	
崴	wai1	
崽	ɗai2	
崾	jiu5	
嵇	kʰai1	
嵊	ʃeŋ6	
嵋	mi4	
嵌	jam3	
嵐	lɔn4	
嵩	ɬoŋ1	
嵫	ɗi1	
嵬	ŋai4	
嵯	to4	
嶁	lau5	
嶂	tʃa3	
嶄	tʃɔm2	
嶇	kʰy1	
嶗	ləu4	
嶙	lan4	
嶝	ɗaŋ3	
嶠	kiu4	
嶧	ek9	
嶴	əu3	
嶷	ŋek9	岐～
嶷	ȵi4	
嶸	weŋ4	
嶺	leŋ5	
嶼	jy5	
嶽	ȵa6	
巉	ʃɔm4	
巍	ŋai4	
巒	lyn4	
巔	ɗin1	
巖	ȵɔm4	
巛	tʃʰyn1	
川	tʃʰyn1	
州	tʃau1	
巡	tan4	
巢	tʃɔu4	
工	koŋ1	
左	ɗo2	
巧	hɔu2	
巧	kʰɛu2	
巨	ky5	白讀
巨	ky6	文讀
巫	mu1	
差	tʃʰɔ1	相～，～勁
差	tʃʰɔi1	出～
差	tʃʰi1	參～
巰	hau1	
己	ki2	
已	ji5	
巳	ti5	
巴	ɓɔ1	
巴	pɔ4	下～
巷	aŋ6	
巹	tʃan2	
巽	ɬyn3	
巾	kan1	
市	ʃi5	
布	ɓu3	
帆	fɔn4	
希	hi1	
帑	tʰɔŋ2	
帔	pi6	
帕	pʰa2	
帖	tʰip7	
帙	tʃat9	
帚	tʃɔu2	
帛	pa6	
帝	ɗai3	
帥	ʃui3	
師	ʃi1	
席	tek9	
帳	tʃa3	
帶	ɗɔi3	
帷	wai4	
常	ʃa4	
帽	məu6	
幃	wai4	
幄	ak7	
幅	fok7	
幎	meŋ1	蒙
幔	mɔn6	
幕	mu6	文讀
幕	mɔk10	白讀
幗	kʷɔk8	
幘	tʃa2	
幛	tʃa3	
幞	fok9	
幟	tʃek7	見《玉林话研究》
幡	fɔn1	
幢	tʃɔŋ6	
幣	pi6	
幫	ɓɔŋ1	
幬	təu6	覆盖
幬	tʃau4	帷幕
干	kɔn1	
平	peŋ4	
年	nin1	白讀
年	nin4	文讀
并	ɓeŋ3	
幸	a6	
幹	kɔn3	
幺	jiu1	
幻	wɔn6	
幼	jau3	
幽	jau1	
幾	ki1	～乎
幾	ki2	～多
广	ȵim5	
庀	pʰi2	
庄	tʃɔŋ1	
庇	ɓi3	
庉	tyn5	摞，疊
牀	ʃɔŋ4	
庋	kʷai2	
序	ty5	
序	tu5	白讀。工～
底	ɗai2	
庖	pɔu4	
店	ɗim3	
庚	ka1	
府	fu2	
庠	ta4	
庥	jau1	
度	tɔk10	計算、推測
度	tu6	
座	tœ6	
庫	wu3	
庭	teŋ4	
庳	ɓi1	
庵	ɔm1	
庶	ʃy3	
康	hɔŋ1	
庸	joŋ4	
庹	tʰɔk8	
庾	jy5	
廁	tʃʰak7	
廂	ɬa1	
廈	ɔ6	
廉	lim4	清～
廉	lɛm4	白讀。邊緣
廊	lɔŋ4	
廑	kʰan3	剩餘
廑	tʃan2	
廒	ŋəu4	
廓	kʷʰɔk8	
廖	liu6	
廚	tʃy4	
廛	tʃin4	
廝	ɬi1	
廟	mɛu6	
廠	tʃʰɔŋ2	
廡	fu5	
廢	fi3	
廣	kʷɔŋ2	
廨	kɔi3	
廩	lam5	
廬	lu4	
廳	tʰeŋ1	
廴	jan5	
延	jin5	
廷	teŋ4	
建	kin3	
廾	koŋ2	
廿	ȵa6	
弁	pin6	
弄	loŋ6	
弇	jim2	
弈	ek9	
弊	pi6	
弋	ek9	
弌	jat7	
弍	ȵi6	
弎	ɬɔm1	
式	ʃek7	
弑	ʃi3	
弓	koŋ1	
弓	kʰoŋ1	白讀量詞：一～蕉，一～葡萄
弔	ɗiu3	
引	jan5	
弗	fat9	
弘	oŋ4	
弛	tʃi4	
弟	tai5	
弦	jin4	
弧	wu4	
弩	nu5	
弭	mi5	
弱	ȵa6	
弳	keŋ3	
張	tʃa1	
強	ka4	～壯
強	ka5	勉～
強	ka6	同「犟」；倔～
强	ka4	
强	ka5	
弼	pat9	
彀	kau3	
彆	ɓit7	
彈	tɔn4	動詞
彈	tɔn6	名詞
彌	mi4	
彌	ni4	阿～陀佛
彎	wɔn1	
彐	kai3	
彑	kai3	
彖	tʰyn3	
彗	jui6	
彘	tʃi6	
彙	wai6	
彡	ʃɔm1	
形	eŋ4	
彤	toŋ4	
彥	ȵim6	
彩	tʰɔi2	
彪	ɓiu1	
彬	ɓan1	
彭	pa4	
彰	tʃa1	
影	eŋ2	
彳	tʃʰek7	
彷	fɔŋ1	
役	wek9	
彼	ɓi2	
彼	pʰi2	又讀
彿	fat7	
往	wɔŋ4	
征	tʃeŋ1	
徂	ty4	
待	tɔi6	
徇	tan6	
很	han2	
徉	ja4	
徊	wui4	
律	lat9	
後	au6	
徐	ty4	
徑	keŋ2	
徒	tu4	
得	ɗak7	
得	ɗak8	弱讀
徘	pui4	
徙	ɬai2	
徜	ʃa4	
從	toŋ4	
徠	lɔi4	
徠	lɔi6	慰勞
御	ȵy6	
徨	wɔŋ4	
復	fok7	
循	tan4	
徬	pɔŋ6	
徭	jiu4	
微	mi4	
徵	tʃeŋ1	
德	ɗak7	
徹	tʃʰit7	
徼	kɛu2	來自《第六屆國際粵方言硏討會論文集》中的論文《廣西玉林話音系》（周成松 著）。該文止給出的該字的韻母，聲母及聲調是錄入者推定。推定此字爲玉林話中[keu2]字，義爲「玩耍」。
徽	wui1	
心	ɬam1	
忄	ɬam1	
必	ɓit7	
忉	ɗəu1	
忌	ki6	
忍	ȵan5	
忐	tʰɔm2	
忑	tʰak7	
忒	tʰai12	實際調值爲35，[千閪」的合音
忖	tyn4	
志	tʃi3	
忘	mɔŋ4	
忙	mɔŋ4	
忝	tʰim2	
忠	tʃoŋ1	
忡	tʃʰoŋ1	
忤	ŋ̍5	
忪	ɬoŋ1	惺～
快	kʷʰɔi3	文讀：～樂，～餐，～遞
快	wɔi3	白讀
忭	pin6	
忮	tʃi3	
忱	ʃam4	
念	nim6	
忸	nau5	
忽	wat7	
忿	fan6	
怊	tʃʰiu1	
怍	tɔk10	
怎	tim2	俗作「點」「嚸」
怎	tʃam2	
怏	ja2	
怒	nu6	
怔	tʃeŋ1	
怕	pʰɔ3	
怖	ɓu3	
怙	wu5	
怛	ɗɔt8	
思	ɬi1	
怠	tɔi6	
怡	ji4	
急	kap7	異讀
急	tʃap7	
性	ɬeŋ3	
怨	jyn3	
怩	ni4	
怪	kʷɔi3	
怫	fat9	憤怒、抑鬱的樣子
怫	fi6	違反，逆亂
怯	kʰip7	
怵	tʃʰat7	
恁	nam2	想。俗作「諗」
恁	noŋ2	這麼，那麼
恁	ȵam1	想。
恂	ɬan1	
恃	tʃi5	
恆	aŋ4	
恌	ɗɛu1	
恍	wɔŋ2	
恐	hoŋ2	
恕	ʃy3	
恙	ja6	
恚	wai6	
恝	kɔt8	
恢	wui1	
恣	ɗi3	兇惡
恤	ɬat7	
恥	tʃʰi2	
恧	nok9	
恨	ŋan6	見1959年資料，其标記爲動詞。
恨	an6	
恩	an1	
恪	kʰɔk8	
恬	tim4	
恭	koŋ1	
息	ɬek7	
恰	hɔp8	
恿	ȵoŋ2	見《玉林话研究》
悃	kʷʰan2	
悄	tʰiu2	
悅	jœt10	
悉	ɬat7	
悌	tʰai3	
悍	ɔn6	
悒	jap7	
悔	wui2	
悖	pui6	
悚	ɬoŋ2	
悛	tʰyn1	
悝	wui1	嘲笑
悝	li5	憂愁
悟	ŋ̍6	
悠	jau1	～閒
悠	jau4	～久
患	wɔn6	
您	ni5	
悱	fi2	
悲	ɓi1	
悴	ɬui3	
悵	tʃʰa3	
悶	mun6	
悸	kʷai6	
悻	a6	
悼	təu6	
悽	tʰai1	
情	teŋ4	
惆	tʃau4	
惋	wun2	
惑	wɔk10	
惕	tʰek7	
惘	mɔŋ5	
惚	wat7	
惜	ɬek7	
惝	tʰɔŋ2	
惟	jui4	舊音
惟	wai4	
惠	jui6	
惡	ɔk8	凶～
惡	wu3	厭～
惦	ɗɛn3	
惰	tœ6	
惱	nəu5	
惲	wan3	
想	ɬa2	
惴	tʃui3	
惶	wɔŋ4	
惶	kʷɔŋ4	白讀
惹	ȵɛ5	
惺	ɬeŋ1	
惻	tʃʰak7	
愀	tʰiu2	
愁	ʃau4	
愆	jin1	
愈	jy6	
愉	jy6	
愎	pek9	
意	ji3	
愕	ŋɔk10	
愚	ȵy4	
愛	ɔi3	
愜	jip7	
感	kɔm2	
愣	laŋ4	
愧	kʷʰai3	
愨	kʰak7	
愫	ɬu3	
愴	tʃʰɔŋ3	
愷	hɔi2	
愾	kʰɔi3	
慄	lat9	
慈	ti4	
慊	jim3	不滿，怨恨
慊	kʰip7	滿足，滿意
態	tʰɔi3	
慌	wɔŋ1	
慍	wan3	
慎	ʃan6	
慕	mu6	
慘	tʰɔm2	
慚	tim4	
慝	tʰek7	
慟	toŋ6	
慢	mɔn6	
慣	kʷɔn3	
慤	kʰak7	
慧	jui6	
慨	kʰɔi3	
慪	au3	
慫	ɬoŋ2	
慮	ly6	
慰	wai2	見《玉林话研究》
慳	han1	
慵	joŋ4	
慶	heŋ3	
慷	hɔŋ1	
慾	jok9	
憂	jau1	
憊	pi6	
憋	ɓat7	～氣
憎	ɗaŋ1	
憐	lin4	
憑	paŋ4	
憒	kʷʰai3	
憔	tiu4	
憖	ȵan1	乞求
憚	tɔn4	
憝	tui6	
憤	fan6	
憧	tʃʰoŋ1	
憨	hɔm1	
憩	hai3	
憫	man5	
憬	keŋ2	
憮	fu5	
憲	jin2	
憶	ek7	
憾	ɔm6	
懂	ɗoŋ2	
懇	han2	
懈	ɔi5	見《玉林话研究》
應	eŋ1	理～
應	eŋ3	～成
應	œŋ3	白讀：冇～、～承
懊	əu3	
懋	mau6	
懌	ek9	
懍	lam5	
懟	tui6	
懣	mun6	
懦	nœ6	
懨	jim1	
懲	tʃeŋ4	
懵	moŋ2	
懶	lɔn5	
懷	wɔi4	
懸	jyn4	
懺	tʃʰɔm3	
懼	ky6	
懾	ʃip7	
懿	ji3	
戀	lyn4	
戇	ŋɔŋ3	
戇	ŋœŋ2	
戈	kʷo1	
戊	mu6	
戌	ɬat7	
戍	ʃy3	
戎	joŋ4	
成	ʃeŋ4	
我	ŋo5	
戒	kɔi3	
戔	ɗin1	
戕	ta4	
或	wɔk10	
戚	tʰek7	
戛	kɔt8	
戟	kek7	
戡	hɔm1	
戢	tʰap7	
戤	kɔi6	
戥	taŋ6	
戧	tʃʰɔŋ1	
戩	ɗin2	
截	tɛt10	
戰	tʃin3	
戲	hi3	
戳	tʃʰɔk8	
戴	ɗɔi3	
戶	wu5	
戶	wu5	
戶	wu5	
戽	wu3	
戾	lai6	狼～
房	fɔŋ4	
所	ʃo2	
扁	ɓɛn2	白讀
扁	ɓin2	
扃	kʷeŋ1	
扇	ʃin3	
扈	wu5	
扉	fi1	
手	ʃau2	
扌	ʃau2	
才	tɔi4	
扎	tʃɔt8	
扒	pɔ4	
打	ɗɔ2	
扔	ŋeŋ4	
托	tʰɔk8	
扙	tʃa5	
扛	kɔŋ1	～起身，力能～鼎
扣	kʰau2	～除，～分
扭	nau2	
扮	ɓɔn3	打～
扮	pɔn6	～窮，～豬喫老虎
扯	tʃʰɛ2	～名堂，～是非
扯	tʃʰɛ3	拉～
扳	pʰɔn1	
扶	fu4	
批	pʰai1	
扼	a2	
找	tʃɔu2	
承	ʃeŋ4	
承	ʃœŋ4	白讀：～得起
技	ki6	
抄	tʃʰɔu1	
抉	kʰyt7	
把	ɓɔ2	
抎	wan6	迷失，走失
抑	ek7	
抒	tʃy5	推
抓	tʃɔ1	
抓	ȵɔ1	白讀
投	tau4	
抖	ɗau2	
抗	kʰɔŋ3	～日戰爭
抗	kʰɔŋ1	反～、抵～
折	tʃit7	
折	ʃɛt10	～本、～底
抨	pʰa1	
披	pʰi1	
抬	tɔi4	
抯	tʃɔ1	文讀
抯	ȵɔ1	白讀
抱	pəu5	
抵	ɗai2	
抹	mɔt10	
抻	tʃʰan1	
押	ɔt8	～寶
押	ɔp8	
抽	tʰau1	僅見於周烈婷《玉林话的语音系统及语音特点》
抽	tʃʰau1	
拂	fat7	文讀
拂	pʰat7	白讀
拄	tʃy5	
拆	tʃʰa2	
拇	mu2	
拈	nɛm1	白～：掱手
拈	nim1	
拉	lɔ1	文讀：～丁，阿～伯，南斯～夫
拉	lɔi1	白讀：～扯，拖～
拊	fu2	
拋	pʰɔu1	
拌	pɔn6	凉～粉
拌	pun5	攪～
拍	pʰɛk8	白讀
拍	pʰa2	
拎	leŋ4	文讀
拎	neŋ1	白讀
拐	kʷɔi2	
拑	kɛm4	
拒	ky2	
拓	tʰɔk8	
拔	pɔt10	
拖	tʰo1	
拖	tʰo3	
拗	ɔu3	～口、屈理～理
拗	ɔu2	彎折
拘	ky1	～束
拘	kʰy1	～捕
拙	tʃyt7	
拚	pʰeŋ3	
招	tʃiu1	
拜	ɓɔi3	
括	kʷʰɔt8	又讀
括	kʷɔt8	
拭	ʃek7	
拮	kɛt8	
拯	tʃʰeŋ2	
拱	koŋ2	
拳	kyn4	
拴	ʃɔn1	
拶	ɗɔt8	
拷	hɔu2	
拼	pʰeŋ3	
拾	ʃap9	
拿	nɔ4	
拿	nɔ1	用於「～穩」「十～九穩」
持	tʃi4	
指	tʃi2	
挈	jit7	拿，提
按	ɔn3	
挑	tʰiu1	
挖	wɔt8	文讀
挖	wɛt8	白讀
挨	ɔi1	
挪	no4	
挫	tʰœ3	
挫	ɗɛ1	用手指按
振	tʃan3	
挲	ɬo1	
挹	jap7	
挺	teŋ5	
挽	wɔn2	
挾	kɔp10	要挾，挾持
挾	kɛp8	夾持
捃	kʷan3	
捆	kʷan2	
捉	tʃɔk8	
捋	lyt7	
捌	ɓɔt8	
捎	ʃɔu1	
捏	nat7	白讀
捏	nɛt10	
捏	nɛp10	又文讀
捐	kyn1	
捕	pu4	見於1959年資料及《玉林市志》
捕	pʰu2	見於《玉林话研究》及《广西通志·汉语方言志》
捧	ɓoŋ2	白讀
捧	poŋ4	文讀
捨	ʃɛ2	
捩	lai3	
捫	mun4	
捭	ɓai1	白讀，掌擊。
捭	ɓɔi2	
据	ky1	拮～
捱	ŋɔi4	
捲	kyn2	
捷	tɛp10	
捺	nɔt8	
掀	jin1	
掃	ɬəu3	
掄	lan1	
授	ʃau6	
掉	tiu6	
掊	pɔu4	
掌	tʃa2	
掎	ki2	
掏	təu4	
掐	hɔp8	常用作量詞。如：一～青菜。
排	pɔi4	
掘	kʷat9	
掙	tʃa1	
掛	kʷɔ3	文讀：～榜
掛	kʷak7	白讀：～衫
掠	la6	
採	tʰɔi2	
探	tʰɔm3	
掣	tʃai3	
接	ɗip7	
控	hoŋ3	白讀
控	kʰoŋ3	文讀
推	tʰui1	
掩	jim2	
措	tʰu3	
掬	kok7	
掭	tʰim3	
掮	kin4	
掰	mat7	
掾	jyn6	
揀	kɔn2	
揄	jy4	
揆	kʷai4	
揉	jau4	
揍	ɗau3	
揎	ɬyn1	
描	miu1	
提	tai4	
插	tʃʰɔp8	
揖	jap7	
揚	ja4	
換	wun6	
揞	am2	
揠	ɔt8	
握	ak7	
揣	tʃʰui2	～測
揩	kɔi1	
揪	tʃiu5	
揭	kʰit7	
揮	kʷʰai1	
揲	ʃɛt10	占卜；積累；取。
揲	tɛt10	摺疊
揲	jɛt10	箕舌
援	jyn4	
揶	jɛ4	
揸	ȵɔ1	白讀
揸	tʃɔ1	文讀
搆	kau3	
搉	kʷak7	～雞蛋
搋	tʃʰɔi1	
搋	ȵɔi1	
搌	tʃin2	
損	ɬyn2	
搏	ɓɔk8	
搓	tʰo1	
搔	ɬəu1	
搖	jiu4	
搗	ɗəu2	
搛	kim1	
搜	ɬau1	
搞	kɔu2	
搠	ʃɔk8	
搡	ɬɔŋ2	
搥	tʃui4	
搦	nek7	
搧	ʃin1	
搬	ɓun1	
搭	ɗɔp8	
搴	jin1	
搶	tʰa2	
搽	tʃɔ4	
搿	kɔp8	
摀	wu2	
摁	an3	
摁	jan3	
摑	kʷa2	
摒	ɓeŋ3	
摔	ɬat7	
摘	ɗek7	
摜	kʷɔn3	
摞	lœ6	
摟	lau2	
摣	ȵɔ1	白讀
摣	tʃɔ1	文讀
摧	tʰui1	
摩	mo1	
摭	tʃek7	
摯	tʃi3	
摳	kʰy1	
摶	tyn4	
摸	mo1	
摸	mɔk8	約～：大概
摹	mo1	臨～
摹	mu1	～仿
摺	tʃip7	
摻	tʃʰɔm1	
撅	kyt7	打
撇	pʰit7	
撈	lau1	～佬
撈	lɔu1	打撈
撈	ləu1	～生，～錢
撈	lu1	白讀，撈起
撈	ly1	白讀，撈去
撐	tʃʰa1	
撒	ɬɔt8	
撓	ȵɔu1	
撕	ɬi1	
撖	ɔm5	
撙	ɗyn2	勒住
撞	tʃɔŋ6	
撢	lam1	探
撤	tʃʰit7	
撥	ɓut7	
撩	lɛu1	
撫	fu5	
播	ɓo3	
撮	ɗyt7	
撰	tʃyn5	
撲	pʰɔk8	
撳	kam6	
撼	ɔm6	
撾	kʷo1	老～
撿	kim2	
擀	kɔn2	
擁	joŋ2	
擂	lui4	
擄	lu5	
擅	ʃin6	
擇	tʃa6	
擊	kek7	
擋	ɗɔŋ2	
操	tʰəu1	
擎	keŋ4	
擐	ɔn6	
擒	tʃam4	
擒	kam4	異讀
擔	ɗɔm1	動詞
擔	ɗɔm3	名詞；量詞，一個木傀戲班爲一～。
擗	pʰek7	
擘	ma2	
據	ky2	
據	ky3	又讀
擠	ɗai1	
擢	tʃɔk10	
擣	ɗəu2	
擤	ɬan3	
擦	tʃɔt10	白讀
擦	tʃœt10	白讀
擦	tʰɔt8	同「礤」
擦	ȵœt10	白讀
擦	tʃʰɔt8	
擬	ȵi5	
擱	kɔk8	
擲	tʃek9	
擴	kʷʰɔŋ3	
擷	kʰit7	
擸	lɔp8	
擺	ɓɔi2	
擻	ɬau2	
擼	lu5	
擾	ȵiu2	
攀	pʰɔn1	
攄	ɗy2	
攄	tʃy5	
攉	kʰɔk8	
攏	loŋ5	
攔	lɔn4	
攖	eŋ1	
攘	ȵa4	
攙	tʃʰɔm1	
攛	tʰyn1	
攜	kʷai4	
攝	ʃip7	
攞	lo2	
攤	tʰɔn1	
攥	ɗyn3	
攪	kɔu2	
攬	lɔm2	
攮	nɔŋ5	
支	tʃi1	
攴	pʰok7	
攵	pʰok7	
收	ʃau1	
攷	hɔu2	
攸	jau1	
改	kɔi2	
攻	koŋ1	
放	fɔŋ3	
政	tʃeŋ3	
故	ku3	
效	ȵɔu6	
敉	mi5	
敏	man5	
救	kau3	異讀
救	tʃau3	
敕	tʃʰek7	
敖	ŋəu4	
敗	pɔi6	
敘	ty5	
教	kɔu3	
敝	pi6	
敞	tʰɔŋ2	
敢	kɔm2	
散	ɬɔn3	解～
散	ɬɔn2	鬆～
敦	ɗan1	
敦	ɗyn1	又讀
敫	kiu2	光閃耀
敬	keŋ3	
敲	hɔu1	
整	tʃeŋ2	
敵	tek9	
敷	fu1	
數	ʃɔk8	多次：～見不鮮
數	ʃo2	白讀，動詞
數	ʃu2	動詞，文讀
數	ʃu3	名詞
斂	lim5	
斃	pi6	
文	man4	
文	man1	貨幣單位，一圓錢
斌	ɓan1	
斐	fi2	
斑	ɓɔn1	
斕	lɔn4	
斗	ɗau2	
料	liu6	
斛	kok7	
斜	tɛ4	
斟	tʃam1	
斤	kan1	
斥	tʃʰek7	
斧	fu2	
斫	tʃa2	
斬	tʃɔm2	
斯	ɬi1	
新	ɬan1	
斷	ɗyn3	決～
斷	tyn5	判～
方	fɔŋ1	
於	jy1	
施	ʃi1	
旁	pɔŋ4	
旃	tʃin1	
旄	məu4	
旄	məu6	長毛；同「耋」
旅	ly5	
旆	pʰui3	
旋	ʃyn4	
旌	ɬeŋ1	
旎	ni5	
族	tok9	
旒	lau4	
旖	ji2	
旗	ki4	
既	ki3	
日	ȵat9	
旦	ɗɔn3	
旨	tʃi2	
早	ɗəu2	
旬	tan4	
旭	jok7	
