#漢字	音標	解釋#('cmn_jh_hx_ch_ljn', '廬江南話', '廬江南', '#8B0000', None, None, '來源：《安徽廬江南部方言研究》，“空島。”整理', '55 1 1a 陰平 ꜀,53 2 1b 陽平 ꜁,213 3 2 上 ꜂,,44 5 3 去 ꜄,,5 7 4a 陰入 ꜆,3 8 4b 陽入 ꜇', None, None)
#簡稱	/	廬江南#與文件名一致
#全稱	/	廬江南話#xx話
#版本	/	#版本號或更新時間
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	55 1 1a 陰平 ꜀,53 2 1b 陽平 ꜁,213 3 2 上 ꜂,,44 5 3 去 ꜄,,5 7 4a 陰入 ꜆,3 8 4b 陽入 ꜇#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。如：55 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,214 3 2 上 ꜂,51 5 3 去 ꜄
#說明	/	來源：《安徽廬江南部方言研究》，“空島。”整理#HTML格式，僅允許一行，用<br>換行
一	iəʔ7	
丁	tin1	
七	tɕʰiəʔ7	
万	uɛ̃5	
丈	tsã5	
三	sɛ̃1	
上	sã5	
下	xa5	白
下	ɕia5	文
不	pəʔ7	
与	ʯ2	
丐	kɛ5	
丑	tsʰəu3	
專	ʈʂʯɛ̃1	
且	tɕʰiɪ3	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	iɪʔ7	
叢	tsʰən2	
東	tən1	
東	tən5	
絲	sɿ1	
丟	tiəu1	
兩	niã3	
嚴	ŋɛ̃2	关～
嚴	iẽ2	文
喪	sã1	～事
个	ko5	
丫	ŋa1	
中	ʈʂʯən1	当～
中	ʈʂʯən5	射～
丰	fən1	
串	ʈʂʰʯɛ̃5	
臨	nin2	
丸	uõ2	
丹	tɛ̃1	
爲	uei2	
爲	uei5	
主	ʈʂʯ3	
丽	ni5	
舉	ʈʂʯ3	
乃	nɛ3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu1	
樂	noʔ7	快～
樂	ioʔ7	音～
乒	pʰin1	
乓	pʰã1	
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tsʰən2	
乙	iəʔ7	
九	tɕiəu3	
乞	tɕʰiəʔ7	
也	iɪ3	
習	ɕiəʔ7	
鄉	ɕiã1	
書	ʂʯ1	
買	mɛ3	
亂	nõ5	
乳	ʯ3	
乾	tɕʰiẽ2	
了	niɔ3	
爭	tsən1	
事	sɿ5	
二	ɔ5	
于	ʯ2	
虧	kʰuei1	
雲	ʯən2	
互	xu5	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕiɪ1	
亡	uã2	
亢	kʰã5	
交	kɔ1	白
交	tɕiɔ1	文
亥	xɛ5	
亦	iəʔ7	
產	tsʰɛ̃3	
亨	xən1	
畝	mo3	
享	ɕiã3	
京	tɕin1	
亭	tʰin2	
亮	niã5	
親	tɕʰin1	
人	ʐən2	
億	i5	
仁	ʐən2	
僅	tɕin3	
仆	pʰəʔ7	
仇	tsʰəu2	～恨
仇	tɕʰiəu2	姓
今	kən1	白
今	tɕin1	文
介	tɕiɛ5	
仍	ʐən2	
从	tsʰən2	
仑	nən2	
倉	tsʰã1	
仔	tsɿ3	
仕	sɿ5	
他	tʰa1	
仗	tsã5	
付	fu5	
仙	ɕiẽ1	
代	tɛ5	
令	nin5	
以	i3	
儀	i2	
仰	niã3	
仲	ʈʂʯən5	
件	tɕiẽ5	
價	tɕia5	
任	ʐən2	姓
任	ʐən5	
份	fən5	
仿	pʰã2	
仿	fã3	
企	tɕʰi3	
伊	i2	
伍	u3	
伏	pu1	～鸡
伏	fəʔ7	埋～
伏	fəʔ8	～天
伐	fɛʔ7	
休	ɕiəu1	
衆	ʈʂʯən5	
優	iəu1	
伙	xo3	
會	kʰuɛ5	～计
會	xuei5	
傘	sɛ̃3	
偉	uei3	
傳	ʈʂʰʯɛ̃2	～达
傳	ʈʂʯɛ̃5	～记
伢	ŋa2	
傷	sã1	
倫	nən2	
僞	uei3	
伯	pɪʔ7	
估	ku3	
伴	põ5	
伶	nin2	
伸	tsʰən1	白
伸	sən1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiẽ5	
但	tɛ̃5	
位	uei5	
低	ti1	
住	ʈʂʯ5	
佐	tso3	
體	tʰi3	
何	xo2	
佘	sɪ2	
余	ʯ2	
佛	fəʔ7	
作	tsoʔ7	
你	ni3	文
佣	ʯən5	
佩	pʰei5	
佬	nɔ3	
佯	iã2	
佳	tɕia1	
使	sɿ3	
侄	tsəʔ8	
侈	tsʰɿ3	
例	ni5	
侍	sɿ5	
侏	ʈʂʯ1	
供	kuən5	
依	i1	
僥	tɕiɔ3	
偵	tsən1	
側	tsʰɪʔ7	
僑	tɕʰiɔ2	
儂	nən2	
侯	xəu2	
侵	tɕʰin1	
便	pʰiẽ2	～宜
便	piẽ5	顺～
促	tsʰəʔ7	
俄	uo2	
俊	ʈʂʯən5	
俏	tɕʰiɔ5	
俗	səʔ7	
俘	fu2	
保	pɔ3	
信	ɕin5	
儼	iẽ3	
儉	tɕiẽ3	
修	ɕiəu1	
俯	fu3	
俱	ʈʂʯ5	
倍	pei5	
倒	tɔ3	
倒	tɔ5	～水
倔	ʈʂʯɪʔ7	
倘	tʰã3	
候	xəu5	
倚	i3	
借	tɕiɪ5	
倡	tsʰã5	
倦	ʈʂʯɛ̃5	
倩	tɕʰiẽ5	
倪	ni2	
倭	uo1	
債	tsɛ5	
值	tsəʔ8	
傾	tɕʰin1	
假	tɕia3	
偏	pʰiẽ1	
做	tso5	
停	tʰin2	
健	tɕiẽ5	
偶	ŋəu3	
偷	tʰəu1	
償	tsʰã2	
傀	kʰuei3	
傅	fu5	
傍	pʰã1	
傍	pã5	
傣	fən5	
儲	ʈʂʰʯ2	
催	tɕʰi1	白
催	tsʰei1	文
傲	ŋɔ5	
傻	sa3	
像	tɕiã5	白
像	ɕiã5	文
僚	niɔ2	
僧	sən1	
僵	tɕiã1	
僻	pʰiəʔ7	
儒	ʯ2	
儡	nei3	
兒	ɔ2	
允	ʯən3	
元	ʯɛ̃2	
兄	ʂʯən1	
充	ʈʂʰʯən1	
兆	tsɔ5	
先	ɕiẽ1	
光	kuã1	
克	kʰɪʔ7	
免	miẽ3	
兌	ti5	白
兌	tei5	文
兔	tʰəu5	
黨	tã3	
兜	təu1	
兢	tɕin5	
入	ʯəʔ7	
全	ʈʂʰʯɛ̃2	
八	pɛʔ7	
公	kuən1	
六	nəʔ7	
兮	ɕi1	
蘭	nɛ̃2	
共	kuən5	
關	kuɛ̃1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	ʈʂʯ5	
典	tiẽ3	
兹	tsɿ1	
養	iã3	
兼	tɕiẽ1	
獸	səu5	
冀	tɕi5	
內	nei5	
岡	kã1	
冉	ʐɛ̃3	
冊	tsʰɪʔ7	
再	tsɛ5	
冒	mɔ5	
冗	ʯən3	
寫	ɕiɪ3	
軍	ʈʂʯən1	
農	nən2	
冠	kõ1	
冢	ʈʂʯən3	
冤	ʯɛ̃1	
冬	tən1	
馮	fən2	
冰	pin1	
冲	ʈʂʰʯən1	～击
冲	ʈʂʰʯən5	
决	ʈʂʯɪʔ7	
况	kʰuã5	
冶	iɪ3	
冷	nən3	
凍	tən5	
淨	tɕin5	
準	ʈʂʯən3	
凉	niã2	
凋	tiɔ1	
凌	nin2	
減	kɛ̃3	白
減	tɕiẽ3	文
湊	tsʰəu5	
凝	nin2	
几	tɕi3	
凡	fɛ̃2	
鳳	fən5	
凭	pʰin2	
凱	kʰɛ3	
凰	xuã2	
凶	ʂʯən1	
凹	ua5	
出	ʈʂʰʯəʔ7	
擊	tɕiəʔ7	
函	xɛ̃2	
鑿	tsoʔ8	
刀	tɔ1	
刁	tiɔ1	
刃	ʐən5	
分	fən1	
切	tɕʰiɪʔ7	
刊	kʰɛ̃1	
刑	ɕin2	
划	xua2	～船
划	xua5	计～
列	niɪʔ7	
劉	niəu2	
劉	i5	
則	tsɪʔ7	
剛	kã1	
剛	tɕiã1	～才
創	ʈʂʰuã5	
初	tsʰəu1	
刪	sɛ̃1	
判	pʰõ5	
利	ni5	
别	pɛ5	不要：～去
别	piɪʔ7	文
刮	kuɛʔ7	
到	tɔ5	
制	tsɿ5	
刷	ʂuɛʔ7	
券	ʈʂʯɛ̃5	
刺	tsʰɿ5	
刻	kʰɪʔ7	
劊	kʰuɛ5	
剁	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕioʔ7	
前	tɕʰiẽ2	
剮	kʰua3	
劍	tɕiẽ5	
剔	tʰiəʔ7	
剖	pʰo3	
剝	poʔ7	
劇	ʈʂʯ5	
剩	sən5	
剪	tɕiẽ3	
副	fu5	
割	kɪʔ7	
剿	tɕiɔ3	
力	niəʔ7	
勸	ʈʂʰʯɛ̃5	
辦	pɛ̃5	
功	kuən1	
加	tɕia1	
務	u5	
劣	niɪʔ7	
動	tən5	
助	tsəu5	
努	nəu3	
劫	tɕiɪʔ7	
勵	ni5	
勁	tɕin5	
勞	nɔ2	
勢	sɿ5	
勃	poʔ7	
勇	ʯən3	
勉	miẽ3	
勋	ʂʯən1	
勒	nəʔ7	
勘	kʰɛ̃1	
募	mo5	
勤	tɕʰin2	
勾	kəu1	
勻	ʈʂʯən1	
包	pɔ1	
匆	tsʰən1	
化	xua5	
北	pɪʔ7	
匙	tsʰɿ2	
匠	tɕiã5	
匡	kʰuã1	
匣	tɕiɛʔ7	
匪	fei3	
區	ʈʂʰʯ1	
醫	i1	
匾	piẽ3	
十	səʔ8	
千	tɕʰiẽ1	
升	sən1	
午	u3	
半	põ5	
華	xua2	
協	ɕiɪʔ7	
卑	pei1	
卒	tsəʔ7	
卓	ʈʂoʔ7	
單	tɛ̃1	
賣	mɛ5	
南	nɛ̃2	
博	poʔ7	
卜	pʰəʔ7	
占	tsɛ̃1	～卜
占	tsɛ̃5	～领
卡	kʰa3	
盧	nəu2	
卤	nəu3	
卦	kua5	
臥	uo1	
衛	uei5	
卯	mɔ3	
印	in5	
危	uei1	
即	tɕiəʔ7	
卻	tɕʰioʔ7	
卵	nõ3	
卷	ʈʂʯɛ̃3	
卷	ʈʂʯɛ̃5	试～
卸	ɕiɪ5	
卿	tɕʰin1	
廠	tsʰã3	
廳	tʰin1	
历	niəʔ7	
厲	ni5	
壓	tsʰən2	
壓	ŋɛʔ7	白
壓	iɛʔ7	文
厭	iẽ5	
廁	tsʰɪʔ7	
厘	ni2	
厚	xəu5	
原	ʯɛ̃2	
廂	ɕiã1	
厥	ʈʂʯɪʔ7	
厦	sa3	
厦	ɕia5	～门
廚	ʈʂʰʯ2	
厮	sɿ1	
去	tɕʰi5	白
去	ʈʂʰʯ5	文
縣	ɕiẽ5	
叄	sɛ̃1	
参	tsʰɛ̃1	～加
参	tsʰən1	～差
参	sən1	人～
又	iəu5	
叉	tsʰa1	
及	tɕiəʔ7	
友	iəu3	
雙	ʂuã1	
反	fɛ̃3	
发	fɛʔ7	
叔	ʂʯəʔ7	
取	ʈʂʰʯ3	
受	səu5	
變	piẽ5	
敘	ʂʯ5	
叛	pʰõ5	
叟	səu3	
疊	tiɪʔ7	
古	ku3	
句	ʈʂʯ5	
另	nin5	
叨	tɔ1	
叩	kʰəu5	
只	tsɿ3	～有
只	tsəʔ7	量词
叫	kɔ5	～花子
叫	tɕiɔ5	
召	tsɔ1	
叭	pa1	
叮	tin1	
可	kʰo3	
台	tʰɛ2	
史	sɿ3	
右	iəu5	
葉	iɪʔ7	
號	xɔ5	
司	sɿ1	
嘆	tʰɛ̃5	
叼	tiɔ1	
吁	ʂʯ1	
吃	tɕʰiəʔ7	
各	koʔ7	
吆	iɔ1	
合	xoʔ7	～计
吉	tɕiəʔ7	
吊	tiɔ5	
同	tʰən2	
名	min1	
后	xəu5	
吏	ni5	
吐	tʰəu5	
向	ɕiã5	
嚇	xɪʔ7	
吕	ʯ3	
君	ʈʂʯən1	
