#漢字	音標	解釋
靜	ʑieŋ6	
靠	kʰɑu5	
面	mieŋ5	脸
革	kəʔ7	
靴	ɕy1	
鞋	ai2	
鞭	pi1	
音	ieŋ1	
頂	tieŋ3	
頃	tɕʰiɔŋ3	
項	ɔ̃6	
順	ʑiɔŋ6	
须	ɕy1	
頓	tᴀŋ5	
領	liã3	
頸	tɕieŋ3	
顔	ŋe2	
顔	ŋa2	
額	ŋã6	
風	hɔŋ1	
飛	pø1	
飛	fi1	
食	ʑiəʔ8	
食	ʑi6	吃
饥	tsɿ1	饿
飩	dᴀŋ2	
飯	ve6	
飽	pɔ3	
飼	tsʰɿ5	喂养
餌	l̩6	
餅	piã3	
餓	ɑu1	
餿	sɑu1	
香	ɕiɔ̃1	
馬	mo3	
馱	dɑu2	拿
駁	pəʔ7	
驢	lu2	新文读
駡	mã5	
驕	tɕieu1	
驗	ȵi6	
騎	dzɿ2	
骨	kuəʔ7	
骹	kʰɔ1	
髓	ɕi3	
高	kɔ1	
鬥	tɔ5	
鬥	tɑu5	
鬼	kuai3	
魂	ø2	
魄	pʰəʔ7	
魚	ȵy2	
鱉	piəʔ7	
鳥	tieu3	
雞	tsɿ1	
鴨	a3	
鴿	kəʔ7	
鵝	ŋɑu2	
鷂	ieu5	
鶴	ŋəʔ8	
鸚	ieŋ1	
鷹	ieŋ1	
鹹	e2	~淡
鹿	ləʔ8	
麝	ʑi6	
麥	mã6	
麵	mi6	
麩	pʰu1	
麻	mo2	
黃	vɔ̃2	
黑	ha3	
鼠	tɕʰy3	
鼻	biəʔ8	
齊	zai2	
齊	dzɿ2	
齒	tsʰɿ3	
龍	lɔŋ2	
龜	kuai1	
