#漢字	音標	解釋
出	tɕʰiəʔ7	
擊	tɕiəʔ7	
函	e2	
鑿	zɑu6	
刀	tɑu1	
分	fᴀŋ1	
分	pø1	
切	tsʰəʔ7	
刑	ieŋ2	
剛	kɔ̃1	
剛	tɕiã1	
創	tsʰɔ̃5	
初	tsʰu1	
刣	da2	~鱼,原文记作治
刨	bɔ6	
别	bəʔ8	~人
刮	kuəʔ7	
到	tɔ5	
刷	səʔ7	
刺	tsʰɿ5	
刻	kʰəʔ7	
削	ɕiəʔ7	
前	zai2	
剝	pəʔ7	
劇	dʑiəʔ8	戏~
剪	tsai3	
割	kəʔ7	
力	liəʔ8	
勸	tɕʰy5	
辦	bai6	
加	ko1	
動	dɔŋ6	
劫	tɕiəʔ7	
勁	tɕieŋ5	有~
勃	bəʔ8	
勒	ləʔ8	
勤	dʑieŋ2	
匀	iɔŋ2	
化	ho5	
北	pəʔ7	
匠	ʑiã6	
匹	pʰiəʔ7	
區	tɕʰy1	
醫	i1	
十	zəʔ8	
千	tsʰai1	
升	ɕieŋ1	单位
半	pe5	
卒	tsəʔ7	
單	te1	简~
賣	mai6	
南	nei2	
博	pəʔ7	
印	ieŋ5	
卵	lø1	
卷	tɕy3	动
历	liəʔ8	
壓	a3	
厭	i5	
厚	ɡɔ6	
廚	dy2	
廚	dʑy2	
去	tɕʰy5	来~
縣	y6	
参	sai1	人~
雙	sɔŋ1	
反	fe3	
发	fəʔ7	
叔	səʔ7	
取	tɕʰy3	
受	ʑieu6	
變	pi5	
疊	dəʔ8	
口	kʰɑu3	
句	tɕy5	
只	tɕi5	
叫	tɕieu5	
台	dø2	戏~
號	ɑu6	
號	hɔ2	呼~
吃	tɕʰiəʔ7	~亏
各	kəʔ7	
合	ha6	
吉	tɕiəʔ7	
同	dɔŋ2	
名	miã2	
后	ɔ6	
向	ɕiɔ̃5	
吞	tʰø1	
含	ɡe2	
含	e2	
聽	tʰiã1	
吳	ŋu2	
吸	ɕiəʔ7	
吹	tsʰø1	
告	kɔ5	
周	tɕieu1	
命	miã6	
咒	tɕieu5	
咬	ɡɔ6	
品	pʰieŋ3	
啞	o3	~巴
哥	ku1	
脣	ʑiɔŋ2	
唐	dɔ̃2	
唱	tɕʰiɔ̃5	
唱	tɕʰiã5	
啼	di2	哭
善	ʑi6	
喉	ɑu2	
喜	ɕi3	
喝	ha3	
器	tsʰɿ5	
嚼	ʑy6	
四	sɿ5	
回	ø2	
因	ieŋ1	
团	dø2	
囥	kʰɔ̃5	藏放
園	y2	
困	kʰuᴀŋ5	
圍	y2	
國	kəʔ7	
圓	y2	
土	tʰu3	
在	dze6	
地	di6	天~
場	tiɔ̃2	
均	tɕiɔŋ1	
坐	zø6	
坑	kʰã1	
塊	kʰuai5	
墳	vᴀŋ2	
坡	pʰu1	
坪	bã2	
型	ieŋ2	
