#漢字	音標	解釋
□	ɡiɔ1	播撒
㪗	tʰɔ3	
䀁	huai2	陶瓷
䋎	tʰin5	縫
䨀	tia4	
䭕	tsiã3	
一	eʔ7	
七	tsʰeʔ7	
丈	tiŋ4	
三	sã1	
上	tsŋ̍4	
下	ɛ4	
世	si5	
中	tioŋ1	
主	tsau3	做主
主	tsu3	主席
久	ku3	
乖	kuɛ1	
乘	sin2	
九	kɔ3	
乞	kʰeʔ7	
亂	luan4	
事	sɯ4	
二	li1	
互	hu4	
五	ɡu4	
井	tsẽ3	
交	kiɔ1	
京	kiã1	
人	ɡin2	
仁	ɡin2	
仇	tsʰau2	
介	kɛ5	
仙	sien1	
代	tɛ4	
件	kiɔ̃4	
任	ɡiaŋ4	
份	hoŋ4	
伯	pa5	
伴	pʰɔ̃4	
伸	tsʰoŋ1	
位	ɡuai1	
佔	tsiaŋ5	
佛	hoʔ8	
作	tsoʔ7	
你	li3	
來	lei2	
侵	tsʰiaŋ1	
便	pan2	便宜
便	pien4	方便
保	pɔ3	
信	sin5	
修	siau1	
倉	tsʰŋ̍1	
個	kɛ5	
倍	pue4	
倒	tɯ5	
倚	ua3	閩南西片少用「倚」字,一般常用的是「靠」
借	tsiɯ5	
假	ke3	
偉	ɡuai3	
偏	pʰien1	
做	tsɯ5	
停	tʰin2	
健	kien5	
偷	tʰɔ1	
傅	hu4	
傑	kiaʔ8	
傘	sɔ̃5	
備	pi4	
傲	ŋɔ̃4	
傳	tsʰuan2	
債	tse5	
傷	saŋ1	
像	tsʰiŋ4	
價	ke5	
儂	laŋ2	
億	eʔ7	
儉	kʰiaŋ4	
優	ɡiau1	
兄	hiã1	
充	tsʰoŋ1	
先	sin1	
光	kuaĩ1	
兔	tʰu5	
入	leʔ8	
内	lɛ4	
全	tsʰiaŋ2	
全	tsaĩ2	
兩	nŋ̍4	兩個
兩	liŋ3	幾兩
八	pei5	
公	kaŋ1	
六	laʔ8	
共	koŋ4	
兵	pin1	
典	tiaŋ3	
册	tsʰe5	
冠	kuan5	
冬	taŋ1	
冰	pin1	
冷	lin3	
凡	huan2	
凶	hioŋ1	
出	tsʰeʔ7	
刀	tɯ1	
分	poŋ1	動詞
分	hoŋ1	分數
切	tsʰei5	
初	tsʰai1	初一
初	tsʰɯ1	初中
判	pʰɔ̃5	
别	piaʔ8	
利	lɛ1	刀利
利	li4	利益
刺	tsʰi5	
削	sia5	
前	tsin2	
剪	tsĩ3	
副	hu5	
割	kua5	
劉	lɔ2	
劍	kiaŋ5	
力	laʔ8	出力
力	leʔ8	力量
功	koŋ1	
加	ke1	
勇	ɡioŋ3	
勉	bien3	
動	taŋ4	動詞
動	toŋ4	運動
勞	lɔ2	
勤	kʰin2	
勵	lei4	
勸	kʰiaŋ5	
勾	kɔ1	
包	pɔ1	
北	paʔ7	
匠	tsʰiŋ5	
匪	huai3	
匯	hue4	
區	kʰi1	
十	tsiaʔ8	
千	tsʰan1	
升	sin1	
午	bu3	
半	pɔ̃5	
卒	tsoʔ7	
南	laŋ2	
博	pʰoʔ7	
印	in5	
危	ɡuai2	
卵	naĩ4	
卷	kuaĩ5	
厚	kɔ4	
厝	tsʰau5	
原	ɡien2	
厭	ɡiaŋ5	
厲	li4	
去	kʰiau5	
參	tsʰaŋ1	
友	ɡiau3	
反	huan3	
叔	tsəʔ7	
受	sau4	
口	kʰɔ3	
古	ku3	
句	ku5	
可	kʰɯ3	
史	sɯ3	
右	ɡiau4	
司	si1	
合	haʔ8	
吉	keʔ7	
名	miã2	
吐	tʰau5	
向	hiaŋ5	
吞	tʰoŋ1	
吠	pai1	
吵	tsʰa3	
吹	tsʰue1	
告	kɯ5	
周	tsau1	
味	bi1	
命	miã1	生命
命	bin4	革命
和	ɡue2	
品	pʰin3	
員	ɡuan2	
哲	tiaʔ7	
唱	tsʰaŋ5	
問	maĩ5	
問	boŋ1	
啞	ɛ3	
善	sien4	
喉	ɔ2	
喘	tsʰuan3	
喜	hi3	
單	tɔ̃1	被單
單	tan1	單獨
嗽	sɔ5	
噴	pʰoŋ5	
嚇	hɛ5	
嚴	ɡiaŋ2	
四	si5	
囝	kiɔ̃3	
因	in1	
囥	kʰŋ̍5	
國	koʔ7	
園	ɡuai2	
園	huaĩ2	菜園
園	ŋuaĩ2	西園鎮
園	ɡien2	公園
圓	ĩ2	
圖	tau2	
團	tʰuan2	
土	tʰau3	
地	ti4	
均	kin1	
坐	tsei4	
坑	kʰẽ1	
坪	pẽ2	
城	sã2	
基	ki1	
堂	tŋ̍2	
堂	tʰaŋ2	食堂
報	pɯ5	
場	tiŋ2	
塍	tsʰan2	田
塔	tʰa5	
墓	bu5	
增	tsin1	
墟	hiau1	
墨	baʔ8	
壁	pia5	
壓	aʔ7	
壩	pa5	
壺	hu2	
壽	sau4	
外	ɡuɛ4	
多	tɯ1	
够	kɔ5	
夢	baŋ5	
大	tɔ1	
天	tʰn̩1	
太	tʰɛ5	
央	ɡiaŋ1	
失	seʔ7	
奇	kʰi2	
奉	hoŋ4	
套	tʰɯ5	
奸	kan1	
好	hɯ3	
妹	maĩ5	
姆	ŋ̍3	嬸嬸
姑	ku1	
姓	sin5	
委	ɡuai3	
姨	i2	
威	ɡuai1	
娘	liaŋ2	
娶	tsʰɔ5	
婆	pɯ2	
婚	hoŋ1	
婦	pu4	媳婦
婦	hu4	婦女
婿	sɛ5	女婿
嫁	ke5	
嫂	sɯ3	
嫌	hiaŋ2	
嬰	ŋiã1	
嬴	ŋiã2	
子	tsi3	種子
子	tsu3	君子
字	tsi1	
孝	hiɔ5	
季	kuai5	
孫	soŋ1	
學	ɯ̃4	動詞
學	hiaʔ8	學習
守	sau3	
安	an1	
宗	tsoŋ1	
官	kɔ̃1	
定	tin4	
客	kʰe5	
室	seʔ7	
宮	kioŋ2	
害	hɛ1	
家	kia1	
容	ɡioŋ2	
寄	kia5	
密	baʔ8	
富	hu5	
寒	kɔ̃2	
察	tsaʔ7	
實	seʔ8	
寫	sia3	
寶	pɯ3	
寸	tsʰoŋ5	
封	hoŋ1	
射	sa1	
將	tsiaŋ1	
專	tsuan1	
尊	tsoŋ1	
小	siɯ3	
少	tsɯ3	
尖	tsiaŋ1	
尚	sŋ̍1	
尺	tsʰɯ5	
尾	bue3	
尿	liɯ1	
局	kioʔ8	
屁	pʰai5	
屈	kʰoʔ7	
屋	oʔ7	
屎	sɛ3	
屐	kʰia4	
展	tsan3	
層	tsan5	
山	si1	
島	tɔ3	
崎	kiɔ4	
巖	nã2	
州	tsau1	
工	koŋ1	
巧	kʰiɔ3	
差	tsʰa1	
差	tsʰiɛ1	出差
己	ki3	
巷	haŋ5	
巾	kin1	
市	tsʰi4	
布	pu5	
希	hi1	
帖	tʰiaʔ7	
帚	tsʰau3	
帝	tei5	
師	sɛ1	師傅
師	sɯ1	老師
席	seʔ8	
席	tsʰɯ4	草席
帳	tiŋ5	
帶	tɔ5	
帶	tɛ5	
帽	bɯ1	
幣	pi4	
幫	paŋ1	
平	pẽ2	很平
平	pʰin2	平安
年	nĩ2	
幸	hin4	
幼	ɡiau5	
幾	kuai3	
底	tei3	
店	tiaŋ5	
府	hu3	
庵	aŋ1	
康	kʰaŋ1	
厦	ɛ4	
廚	tiau2	
廠	tsʰŋ̍3	
廣	kuaŋ3	
廳	tʰiã1	
建	kien5	
引	in3	
弟	ti4	
張	tiŋ1	
強	kʰiaŋ2	
彈	taŋ2	
形	hin2	
彩	tsʰiɛ3	
彭	pʰẽ2	
影	ŋiã3	電影
影	in3	影子
律	loʔ8	
後	ɔ4	
得	teʔ7	
徙	sɔ3	
徛	kʰiɔ4	站
徵	tsin1	
德	teʔ7	
心	siaŋ1	
忍	loŋ3	
志	tsi5	
忙	baŋ2	
忠	tioŋ1	
快	kʰuɛ5	
思	sɯ1	
急	keʔ7	
怪	kuɛ5	
恨	hin4	
恩	in1	
恭	koŋ1	
息	seʔ7	
悔	huai3	
悲	pai1	
情	tsʰin2	
惜	seʔ7	
惡	oʔ7	
惱	nɔ̃3	
想	siŋ4	
意	i5	
愛	ɛ5	
感	kaŋ3	
態	tʰɛ5	
慘	tsʰaŋ3	
慣	kuan5	
慶	kʰin5	
憂	ɡiau1	
憐	lien2	
應	in1	
懸	kuaĩ2	
戀	lien4	
戍	tsʰau5	
成	tsʰin2	
我	ɡua3	
戒	kɛ5	
戰	tsien5	
戲	hi5	
戴	ti5	
户	hu4	
房	paŋ2	
所	sɯ3	
扁	pin3	扁扁
扁	pan3	扁食
扇	sin5	
手	tsʰau3	
才	tsiɛ2	
扣	kʰɔ5	
批	pʰei1	
抄	tsʰɔ1	
把	pe3	
抱	pʰɯ4	
抽	tʰiau1	
拆	tʰia5	
拍	pʰa5	
拖	tʰɔ1	
招	tsɯ1	
拜	pɛ5	
拳	koŋ2	
指	tsiɛ3	
挽	ban3	
捐	kien1	
捲	kuaĩ3	
捷	tsiaʔ8	
掀	hien1	
掃	sɔ5	
掌	tsaŋ3	
排	pɛ2	
掘	koʔ8	
掛	kue5	
接	tsiaʔ7	
插	tsʰa5	
換	huan4	
損	soŋ3	
摇	ɡiɯ2	
搬	pɔ̃1	
搶	tsʰiŋ3	
摺	tsi5	
擔	tã1	
擘	pe5	
攝	hiaʔ7	
攪	kiɔ3	
支	ki1	
收	sau1	
改	kɛ3	
放	paŋ5	
政	tsin5	
故	ku5	
效	hiɔ4	
救	kiau5	
敗	pɛ4	
教	ka5	動詞
教	kiɔ5	教育
敢	kã3	
散	sɔ̃5	
敬	kin5	
敵	teʔ8	
文	boŋ2	
斑	pan1	
斗	tɔ3	
料	liɔ1	
斜	tsʰia2	
斤	kin1	
新	sin1	
斷	taĩ4	
方	huaŋ1	
旅	li3	
族	tsoʔ8	
旗	ki2	
日	leʔ8	日子,日頭
早	tsa3	
旺	ɡuaŋ4	
明	mẽ2	
易	eʔ8	
星	tsʰẽ1	
春	tsʰoŋ1	
是	si4	
時	si2	
晏	nɔ̃5	
晝	tɔ5	
普	pʰu3	
暖	naĩ3	
暗	aŋ5	
暫	tsiaŋ4	
曆	leʔ8	
曝	pʰaʔ8	
更	kẽ1	
替	tʰei5	
會	hue4	開會
會	ei4	不會
月	ɡue4	
有	u4	
服	hoʔ8	
望	baŋ4	
朝	tiɔ1	
木	boʔ8	
本	poŋ3	
杉	saŋ1	
李	li3	
材	tsʰiɛ2	
村	tsʰaĩ1	
束	soʔ7	
杯	pue1	
東	taŋ1	
松	soŋ2	
板	paŋ3	
枕	tsiaŋ3	
林	nã2	
林	liaŋ2	
果	kɯ3	果子,水果
枝	ki1	
枵	ɡiɔ1	
柄	pẽ3	
柑	kaŋ1	
柱	tʰiɔ4	
柴	tsʰa2	本字樵
柿	kʰi4	
校	hiɔ4	
根	kin1	
格	ke5	
栽	tsiɛ1	
桂	kuai5	
桃	tʰɯ2	
案	an5	
桌	tɯ̃5	
桶	tʰaŋ3	
桸	hiɔ1	杓子
梁	liaŋ2	
梅	ŋ̍2	
條	tiɔ2	
梨	lɛ2	
梯	tʰai1	
梳	sai1	
棄	kʰi5	
棉	mĩ2	
棋	ki2	
棗	tsɯ3	
棚	pʰoŋ2	
棺	kɔ̃1	
椅	i3	
椒	tsiɯ1	
椿	tsʰoŋ1	
楊	ɡiŋ2	
業	ɡiaʔ8	
