#漢字	音標	解釋
□	pv̩1	~子:姑姑
㞞	sɔŋ2	
一	iʔ7	
丁	tin1	
七	tɕʰiəʔ7	
万	væ̃1	
丈	tsʰaŋ1-	
丈	tsaŋ5=	
三	sæ̃1	
上	saŋ1	
下	xa1-	下来
下	ɕia1	下降
不	pəʔ7	
与	yᶽ3	
丐	kɛ5	
丑	tsʰɤɯ3	
專	tsʊ̃1	
且	tɕʰɪ3	
丕	pʰɪ1	
世	sɿ5	
丘	tɕʰiɤɯ1	
丙	pin3	
業	iʔ7	
叢	tsʰɔŋ2	
東	tɔŋ1	
絲	sɿ1	
丞	tsʰən2	
兩	lɛ3	两个
兩	liaŋ3	几两
嚴	iɪ̃2	
喪	saŋ1	丧失
喪	saŋ5	婚丧
个	kɤɯ5	个人
丫	ia1=	丫头
中	tsɔŋ5	射中
中	tsɔŋ1	当中
丰	fɔŋ1	
串	tsʰʊ̃5	
臨	lin2	
丸	ʊ̃2	
丹	tæ̃1	
爲	vɪ1-	为什么
爲	vɪ5	为什么
爲	vɪ2	作为
主	tsv̩3	
麗	iᶽ5	
舉	tɕyᶽ3	
乃	nɛ3	
義	iᶽ5	
之	tsɿ1	
烏	v̩1	
乍	tsa5	
乎	fv̩1	
乏	fæʔ7	
樂	laʔ7	
樂	iaʔ7	音乐
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tsʰən2	
乙	iʔ7	
九	tɕiɤɯ3	
也	a3-	
也	ɛ3=	
習	ɕiʔ7	
鄉	ɕiaŋ1	
書	sv̩1	
買	mɛ3	
亂	lʊ̃1	
乳	lv̩3	
乾	tɕʰiɪ̃2	
乾	kæ̃1=	~湿
乾	kʊ̃1-	晒~
了	liɔ3	了结、明了
爭	tsən1	
事	sɿ1	
二	a1	
于	yᶽ2	
虧	kʰuɪ1	
雲	yn2	
互	fv̩5	
五	v̩3	
井	tɕin3	
亞	ia5	
亡	vaŋ2	
交	tɕiɔ1	
亥	xɛ5	
亦	iʔ7	
產	tsʰæ̃3	
亨	xən1	
畝	mo3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
親	tɕʰin1	
親	tɕʰin5	亲家
人	lən2	
億	iᶽ5	
什	səʔ7	什物
仁	lən2	
僅	tɕin3	
仇	tsʰɤɯ2	
仇	tɕʰiɤɯ2	姓
今	kən1-	
今	tɕin1-	
介	tɕiɛ5	
仍	lən2	
从	tsʰɔŋ2	
仑	lən2	
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰa1	
仗	tsaŋ5	
付	fv̩5	
仙	ɕiɪ̃1	
代	tʰɛ1-	
代	tɛ5	
令	lin1-	
令	lin5=	
以	iᶽ3	
儀	iᶽ2	
仰	niaŋ3	
仲	tsɔŋ5	
件	tɕʰiɪ̃1-	
件	tɕiɪ̃5=	
價	tɕia5	
任	lən5	
份	fən5	
仿	faŋ3	
企	tɕʰiᶽ3	
伊	iᶽ1	
伍	v̩3	
伏	fɔʔ7	
伐	fæʔ7	
休	ɕiɤɯ1	
衆	tsɔŋ5	
優	iɤɯ1	
伙	xo3	
會	xuɪ1	会不会
會	kʰuɛ5	会计
會	xuɪ5	开会
傘	sæ̃3	
偉	vɪ3	
傳	tsʰʊ̃2	传达
傳	tsʊ̃5	传记
伢	a2	
傷	saŋ1	
倫	lən2	
僞	vɪ3	
伯	pɔʔ7	
估	kv̩1	
伴	pʊ̃5	
伸	sən1	
伺	sɿ5	
似	sɿ5	
佃	tiɪ̃5	
但	tæ̃5	
位	vɪ1-	
位	vɪ5=	
低	tɕiᶽ1	
佐	tso3	
佑	iɤɯ1	
佑	iɤɯ5	
體	tɕʰiᶽ3	
何	xo2	
佘	sɪ1	
余	yᶽ2	
佛	fəʔ7	
作	tsaʔ7	作坊
佞	lin5	
你	nɪ3	
佩	pʰɪ5	
佳	tɕia1	
使	sɿ3	
侄	tsʰəʔ7	
侈	tsʰɿ3	
侉	kʰua3	
例	iᶽ1	
例	liʔ7	普化音
侍	sɿ5	
供	kɔŋ5	上供
供	kɔŋ5	供给
依	iᶽ1	
僥	tɕiɔ3	
偵	tsən1	
側	tsʰəʔ7	
僑	tɕʰiɔ2	
侮	v̩1	
侯	xɤɯ2	
侵	tɕʰin1	
便	pʰiɪ̃2	便宜
便	piɪ̃5	方便
促	tsʰɔʔ7	
俄	o2	
俊	tɕyn5	
俏	tɕʰiɔ5	
俗	sɔʔ7	
俘	fv̩2	
保	pɔ3	
信	ɕin5	
儉	tɕiɪ̃3	
修	ɕiɤɯ1	
俯	fv̩3	
俱	tɕyᶽ5	
俸	fɔŋ5	
倍	pɪ5	
倒	tɔ5	倒水
倒	tɔ3	打倒
倔	tɕyəʔ7	
倘	tʰaŋ3	
候	xɤɯ2	
倚	iᶽ3	
借	tɕia5-	
借	tɕɪ5=	
倡	tsʰaŋ5	
倦	tɕyʊ̃5	
倪	niᶽ2	(又)
倭	o1	
債	tsɛ5	
值	tsəʔ7	
值	tsʰəʔ7	
傾	tɕʰin1	
假	tɕia3	放假
假	tɕia3	真假
偏	pʰiɪ̃1	
做	tso5	
停	tʰin2	
健	tɕiɪ̃5	
偶	ŋɤɯ3	
偷	tʰɤɯ1	
償	tsʰaŋ2	
傀	kʰuɪ2	
傅	fv̩1	
傍	paŋ5	
儲	tsʰv̩3	
催	tɕʰyɪ1	
傲	ŋɔ5	
傻	sa3	
像	ɕiaŋ5	画像
像	tɕʰiaŋ1	长得像
僕	pʰv̩2	普化音:~人
僧	sən1	
僵	tɕiaŋ1	
僻	pʰiʔ7	
儒	lv̩2	
儡	lɪ3	
兒	a2	
允	yn3	
元	yʊ̃2	
兄	ɕiɔŋ1	
充	tsʰɔŋ1	
兆	tsɔ5	
先	ɕiɪ̃1	
光	kuaŋ1	
克	kʰəʔ7	
免	miɪ̃3	
兑	tɪ5	
兔	tʰv̩5	
黨	taŋ3	
兜	tɤɯ1	
入	yəʔ7-	
入	ləʔ7=	
全	tɕʰyʊ̃2	
八	pæʔ7	
公	kɔŋ1	
六	lɔʔ7	
兮	ɕiᶽ1	
蘭	læ̃2	
共	kɔŋ5	
關	kuæ̃1	
興	ɕin1	兴旺
興	ɕin5	高兴
兵	pin1	
其	tɕʰiᶽ2	
具	tɕyᶽ5	
典	tiɪ̃3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiɪ̃1	
獸	sɤɯ5	
冀	tɕiᶽ5	
内	nɪ5	
岡	kaŋ1	
冉	læ̃3	
册	tsʰəʔ7	
再	tsɛ5	
冒	mɔ1	
冗	lɔŋ3	
寫	ɕiᶽ3	
軍	tɕyn1	
農	nɔŋ2	
冠	kʊ̃5	
冢	tsɔŋ3	
冤	yʊ̃1	
冬	tɔŋ1	
馮	fɔŋ2	
冰	pin1	
冲	tsʰɔŋ1	
冲	tsʰɔŋ5	脾气不好
決	tɕyʊʔ7	
况	kʰuaŋ5	
冷	lən3	
凍	tɔŋ5	
淨	tɕin1-	
淨	tɕin5=	
準	tɕyn3	
涼	liaŋ2	
凌	lin2	
減	tɕiæ̃3	
湊	tsʰɤɯ5	
凝	nin2	
几	tɕiᶽ1	茶几
凡	fæ̃2	
鳳	fɔŋ5	
凭	pʰin2	
凱	kʰɛ3	
凳	tən5	
凶	ɕiɔŋ1	
出	tɕʰyəʔ7	
擊	tɕiʔ7	
函	xæ̃2	
鑿	tsʰaʔ7-	
刀	tɔ1	
刁	tiɔ1	
刃	lən5	
分	fən1	分开
切	tɕʰiʔ7	
刊	kʰæ̃1	
刎	vən3	
刑	ɕin2	
划	xua5	
划	xua2	划船
