#漢字	音標	解釋
□	ȵiəu5	扭
住	tsuᶹ5	
體	tʰi3	
何	xo2	
余	y2	
佛	fuᶹ2	
作	tso2	
你	ȵi3	
佩	pʰəi5	
佳	tɕiᴀ1	
使	sɿ3	
侄	tsɿ2	
例	ni5	
侍	sɿ5	
供	koŋ1	1
供	koŋ5	2
依	i1	
偵	tsən1	
側	tsʰe2	
侯	xəu2	
侵	tɕʰin5	
便	pʰiæⁿ2	~宜
便	piæⁿ5	方~
俄	ŋo2	
俊	tɕyn5	
俗	ɕio2	
信	ɕin5	
倍	pəi5	
倒	tɐɤ3	
候	xəu5	
借	tɕie5	
倦	tɕyæⁿ5	
債	tsae5	
值	tsɿ2	
傾	tɕʰyn1	
假	tɕiᴀ3	
偏	pʰiæⁿ1	
偕	ɕiae2	
做	tsuᶹ5	
停	tʰin2	
健	tɕiæⁿ5	
偶	ŋəu3	
偷	tʰəu1	
傻	sᴀ3	
傻	xᴀ3	俗
像	ɕiaŋ5	
像	tɕʰiaŋ5	白
僧	sən1	
僻	pʰie2	
儒	zuᶹ2	
兒	ɚ2	
允	yn3	
元	yæⁿ2	
兄	ɕioŋ1	
充	tsʰoŋ1	
先	ɕiæⁿ1	
光	kuaŋ1	
兑	tuəi5	
免	miæⁿ3	
兔	tʰuᶹ5	
黨	taŋ3	
兜	təu1	
入	zo2	
全	tɕʰyæⁿ2	
八	pᴀ2	
八	pᴀ7	
公	koŋ1	
六	nuᶹ2	
六	no2	
兮	ɕi1	
共	koŋ5	
興	ɕin1	
兵	pin1	
其	tɕʰi2	
典	tiæⁿ3	
養	iaŋ3	
獸	səu5	
内	nuəi5	
册	tsʰe2	
再	tsae5	
寫	ɕie3	
軍	tɕyn1	
農	noŋ2	
冤	yæⁿ1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
決	tɕye1	
况	kʰuaŋ5	
冷	nən3	
準	tsuən3	
減	tɕiæⁿ3	
凝	ȵin2	
几	tɕi3	
凡	faⁿ2	
凹	uᴀ5	
出	tsʰuᶹ2	
刀	tɐɤ1	
刁	tiɐɤ1	
刃	zən3	
分	fən1	
切	tɕʰie2	
列	nie2	
則	tse2	
剛	kaŋ1	
初	tsʰuᶹ1	
删	suaⁿ1	
判	pʰaⁿ5	
利	ni5	
别	pe2	
别	pie2	
刮	kuᴀ2	
到	tɐɤ5	
刷	suᴀ2	
刹	sᴀ2	
刺	tsɿ5	
刻	kʰe2	
削	ɕye2	
前	tɕʰiæⁿ2	
剝	po2	
剩	sən5	
剪	tɕiæⁿ3	
割	ko2	
力	nie2	
勸	tɕʰyæⁿ5	
辦	paⁿ5	
加	tɕiᴀ1	
劣	nie2	
動	toŋ5	
助	tsuᶹ5	
努	nuᶹ3	
勃	pʰo2	
勇	ioŋ3	
勒	ne2	
募	mo5	
勺	so2	
包	pɐɤ1	
化	xuᴀ5	
北	pe2	
匙	sɿ2	
匠	tɕiaŋ5	
匡	tɕʰiaŋ1	
匣	ɕiᴀ2	
匹	pʰi2	
區	tɕʰy1	
醫	i1	
匿	ȵie2	
十	sɿ2	
千	tɕʰiæⁿ1	
升	sən1	
午	vuᶹ3	
半	paⁿ5	
華	xuᴀ2	
協	ɕie2	
卑	pəi1	
卒	tɕio2	
單	taⁿ1	
賣	mae5	
南	naⁿ2	
卜	pʰo2	
卤	nuᶹ3	
卦	kuᴀ5	
臥	o5	
衛	uəi5	
卯	mɐɤ3	
印	in5	
危	uəi2	
卻	tɕʰio2	
卸	ɕie5	
厄	ŋe2	
厭	iæⁿ5	
厚	xəu5	
原	yæⁿ2	
厦	suᴀ3	
去	tɕʰy5	
去	tɕʰie5	白
縣	ɕiæⁿ5	
又	iəu5	
友	iəu3	
雙	suaŋ1	
反	faⁿ3	
发	fᴀ2	
取	tɕʰy3	
變	piæⁿ5	
叛	pʰaⁿ5	
口	kʰəu3	
古	kuᶹ3	
句	tɕy5	
叩	kʰəu5	
只	tsɿ3	
叫	tɕiɐɤ5	
召	tsɐɤ1	
可	kʰo3	
台	tʰae2	
右	iəu5	
葉	ie2	
嘆	tʰaⁿ5	
吃	tsʰɿ2	
各	ko2	
合	xo2	
吉	tɕie2	
同	tʰoŋ2	
名	min2	
吐	tʰuᶹ3	
呂	ny3	
君	tɕyn1	
吞	tʰən1	
否	fəu3	
含	xaⁿ2	
聽	tʰin5	1
聽	tʰin1	2
吳	vuᶹ2	
吸	ɕi2	
吹	tsʰuəi1	
吼	xəu3	
吾	vuᶹ2	
呈	tsʰən2	
告	kɐɤ5	
周	tsəu1	
味	uəi5	
呵	xᴀ1	~一口气
呼	fuᶹ1	
命	min5	
和	xo2	
詠	yn5	
咬	ŋɐɤ3	
咬	ȵiɐɤ3	文
哀	ŋae1	
品	pʰin3	
哈	xᴀ1	
啞	iᴀ3	
哭	kʰuᶹ2	
哲	tse2	
脣	suən2	
唐	tʰaŋ2	
喚	xuaⁿ5	
唱	tsʰaŋ5	
啄	tsuᴀ2	~米
商	saŋ1	
喘	tsʰuae3	
喜	ɕi3	
喝	xo1	
喧	ɕyæⁿ1	
喫	tsʰɿ2	
噴	fən5	
嗟	tɕiᴀ1	
嘉	tɕiᴀ1	
嘴	tsuəi3	
器	tɕʰi5	
囂	ɕiɐɤ1	
嚼	tɕiɐɤ5	
囊	naŋ2	
囚	ɕiəu2	
四	sɿ5	
回	xuəi2	
因	in1	
園	yæⁿ2	
困	kʰuən5	
圍	uəi2	
國	kue2	
圖	tʰuᶹ2	
圓	yæⁿ2	
圈	tɕʰyæⁿ1	
團	tʰuaⁿ2	
土	tʰuᶹ3	
在	tsae5	
地	ti5	
均	tɕyn1	
坊	faŋ1	
坊	faŋ2	
坎	kʰaⁿ3	
壞	xuae5	
坐	tso5	
坑	kʰən1	
塊	kʰuae3	
壩	pᴀ5	
墳	fən2	
坡	pʰo1	
坤	kʰuən1	
坦	tʰaⁿ3	
坯	pʰəi1	
垂	tsʰuəi2	
垒	nuəi3	
垮	kʰuᴀ3	
埋	mae2	
城	tsʰən2	
域	io2	
培	pʰəi2	
堂	tʰaŋ2	
堆	tuəi1	
堤	tʰi2	
塌	tʰᴀ2	
塔	tʰᴀ2	
墓	mo5	
增	tsən1	
墨	me2	
墩	tən1	
壤	zaŋ3	
士	sɿ5	
壬	zən2	
聲	sən1	
殼	kʰo2	
處	tsʰuᶹ3	~理,~所
處	tsʰuᶹ5	~所
備	pi5	
外	uae5	
多	to1	
夜	ie5	
够	kəu5	
大	tᴀ5	
天	tʰiæⁿ1	
太	tʰae5	
夫	fuᶹ1	
央	iaŋ1	
失	sɿ2	
頭	tʰəu2	
夷	i2	
夸	kʰuᴀ1	
夾	tɕiᴀ2	
奪	to2	
奇	tɕʰi2	
奈	nae5	
奉	foŋ5	
奮	fən5	
奏	tsəu5	
奏	tsʰəu5	
獎	tɕiaŋ3	
套	tʰɐɤ5	
奚	ɕi1	
奧	ŋɐɤ5	
女	ȵy3	
奴	nuᶹ2	
奶	nae3	
奶	nae1	白,喂~
好	xɐɤ3	~坏
好	xɐɤ5	喜~
如	zuᶹ2	
婦	fuᶹ5	
媽	mᴀ1	
妓	tɕi5	
妖	iɐɤ1	
妙	miɐɤ5	
妥	tʰo3	
妹	məi5	
妻	tɕʰi1	
始	sɿ3	
姐	tɕie3	
姓	ɕin5	
委	uəi3	
姜	tɕiaŋ1	
姦	tɕiæⁿ1	
威	uəi1	
娃	uᴀ2	
娘	ȵiaŋ2	
娩	uaⁿ3	
娶	tɕy5	
婆	pʰo2	
嬸	sən3	
婿	ɕi5	
嫂	sɐɤ3	
嫌	ɕiæⁿ2	
嫖	pʰiɐɤ2	
嫩	nən5	
子	tsɿ3	
孔	kʰoŋ3	
孕	zuən5	
字	tsɿ5	
存	tsʰən2	
孫	sən1	
孝	ɕiɐɤ5	
孟	moŋ5	
季	tɕi5	
孤	kuᶹ1	
學	ɕio2	
孩	ɕiae2	老文讀
孽	ȵie2	
寧	nin2	
宅	tsʰe2	
守	səu3	
安	ŋaⁿ1	
宋	soŋ5	
完	uaⁿ2	
宏	xoŋ2	
宗	tsoŋ1	
官	kuaⁿ1	
定	tin5	
宜	ȵi2	
實	sɿ2	
寵	tsʰoŋ3	
審	sən3	
客	kʰe2	
宣	ɕyæⁿ1	
宪	ɕiæⁿ5	
宮	koŋ1	
宰	tsae3	
害	xae5	
家	tɕiᴀ1	
容	ioŋ2	
寬	kʰuaⁿ1	
賓	pin1	
宿	ɕio2	
寄	tɕi5	
寅	in2	
寒	xaⁿ2	
察	tsʰᴀ2	
寡	kuᴀ3	
寨	tsae5	
寸	tsʰən5	
寸	tsʰuən5	
對	tuəi5	
寺	sɿ5	
尋	ɕyn2	
導	tɐɤ5	
導	tʰɐɤ5	
壽	səu5	
封	foŋ1	
射	se5	
將	tɕiaŋ1	
尊	tsən1	
小	ɕiɐɤ3	
少	sɐɤ5	~午
少	sɐɤ3	多~
尔	ɚ3	
尚	saŋ5	
嘗	saŋ2	
尤	iəu2	
堯	iɐɤ2	
就	tɕiəu5	
尹	yn3	
尺	tsʰɿ2	
尼	ȵi2	
尾	uəi3	
尿	ȵiɐɤ5	
局	tɕy2	
屁	pʰi5	
居	tɕy1	
屈	tɕʰio2	
屋	vuᶹ2	
屋	o2	
展	tsaⁿ3	
屢	nəu3	
履	ny3	
山	saⁿ1	
歲	suəi5	
岔	tsʰᴀ5	
巖	ŋae2	
岳	io2	
岸	ŋaⁿ5	
峽	ɕiᴀ2	
峰	foŋ1	
崇	tsʰoŋ2	
崖	ŋae2	
崩	pən1	
嵌	kʰaⁿ1	
嵩	soŋ1	
川	tsʰuaⁿ1	
巢	tsʰɐɤ2	
工	koŋ1	
左	tso3	
巧	tɕʰiɐɤ3	
巨	tɕy5	
差	tsʰᴀ1	~别,~错
己	tɕi3	
已	i3	
巴	pᴀ1	
巷	xaŋ5	
巾	tɕin1	
幣	pi5	
布	puᶹ5	
帆	faⁿ2	
師	sɿ1	
希	ɕi1	
帳	tsaŋ5	
帖	tʰie2	
帝	ti5	
帥	suae5	
帶	tae5	
席	ɕi2	
幫	paŋ1	
常	saŋ2	
帽	mɐɤ5	
幕	mo5	
干	kaⁿ1	~燥,~涉
干	kaⁿ5	干~,树~
平	pʰin2	
年	ȵiæⁿ2	
幸	ɕin5	
幻	xuaⁿ5	
幼	iəu5	
莊	tsuaŋ1	
慶	tɕʰin5	
牀	tsʰuaŋ2	
序	ɕy5	
庫	kʰuᶹ5	
應	in5	
底	ti3	
店	tiæⁿ5	
廟	miɐɤ5	
庚	kən1	
府	fuᶹ3	
廢	fəi5	
度	tuᶹ5	
座	tso5	
庵	ŋaⁿ1	
廉	niæⁿ2	
廣	kuaŋ3	
延	iae2	
延	iæⁿ2	
建	tɕiæⁿ5	
開	kʰae1	
式	sɿ5	
弓	koŋ1	
弔	tiɐɤ5	
引	in3	
弘	xoŋ2	
弟	ti5	
張	tsaŋ1	
弥	mi2	
弦	ɕyæⁿ2	
彎	uaⁿ1	
弱	zo2	
强	tɕʰiaŋ2	
歸	kuəi1	
當	taŋ5	上~
當	taŋ1	应~
彗	xuəi5	
形	ɕin2	
彪	piɐɤ1	
彭	pʰən2	
役	io2	
彼	pi3	
往	uaŋ3	
征	tsən1	
待	tae5	
很	xən3	
律	nuᶹ2	
律	no2	
後	xəu5	
徐	ɕy2	
得	te2	
徙	ɕi3	
微	uəi2	
徵	tsən1	
德	te2	
徹	tsʰe2	
徽	xuəi1	
心	ɕin1	
必	pi2	
憶	i5	
忌	tɕi5	
忍	zən3	
忏	tsʰaⁿ5	
志	tsɿ5	
忘	uaŋ2	1
忘	uaŋ5	2
忙	maŋ2	
憂	iəu1	
快	kʰuae5	
念	ȵiæⁿ5	
忽	fuᶹ2	
忾	kʰae5	
忿	fən5	
懷	xuae2	
怒	nuᶹ5	
怕	pʰᴀ5	
思	sɿ1	
性	ɕin5	
怪	kuae5	
總	tsoŋ3	
恐	kʰoŋ3	
恆	xən2	
恤	ɕie2	
恨	xən5	
恩	ŋən1	
恭	koŋ1	
息	ɕie2	
恰	tɕʰiᴀ2	
懇	kʰən3	
恶	ŋo2	
懸	ɕyæⁿ2	
悲	pəi1	
悴	tsʰuəi5	
情	tɕʰin2	
惜	ɕie2	
惟	uəi2	
惠	xuəi5	
慘	tsʰaⁿ3	
慣	kuaⁿ5	
想	ɕiaŋ3	
惹	ze3	
愁	tsʰəu2	
意	i5	
愚	y2	
感	kaⁿ3	
憤	fən5	
慎	tsʰən5	
慕	mo5	
慢	maⁿ5	
慰	y5	
慰	uəi5	
憋	pie1	
戌	ɕio2	
戲	ɕi5	
成	tsʰən2	
我	ŋo3	
戒	tɕiae5	
或	xue2	
戥	tən3	
戳	tsʰo2	
戶	fuᶹ5	
房	faŋ2	
所	so3	
扇	saⁿ5	
手	səu3	
才	tsʰae2	
扎	tsᴀ2	
扑	pʰo2	
打	tᴀ3	
托	tʰo2	
扣	kʰəu5	
掃	sɐɤ3	~地
掃	sɐɤ5	~帚
扭	ȵiəu3	
扯	tsʰe3	
扶	fuᶹ2	
批	pʰəi1	
承	tsʰən2	
承	sən2	白
技	tɕi5	
把	pᴀ3	
抓	tsuᴀ1	
抖	tʰəu3	
抗	kʰaŋ5	
抛	pʰɐɤ1	
報	pɐɤ5	
披	pʰəi1	
抱	pɐɤ5	
抱	pɐɤ1	口
抹	mᴀ2	
抽	tsʰəu1	
拂	fuᶹ2	
拆	tsʰe2	
拈	ȵiæⁿ1	
拉	nᴀ1	
拍	pʰe2	
拐	kuae3	
拔	pʰᴀ2	
拖	tʰo1	
拘	tɕy1	
拙	tɕye1	
拙	tsue2	
招	tsɐɤ1	
拜	pae5	
攏	noŋ3	
擁	ioŋ3	
擇	tsʰe2	
括	kʰue2	
拳	tɕʰyæⁿ2	
拼	pʰin1	
拿	nᴀ2	
挂	kuᴀ5	
指	tsɿ3	
挑	tʰiɐɤ1	
挖	uᴀ1	
挾	ɕiᴀ2	
撓	zɐɤ2	
擋	taŋ3	
挪	nᴀ1	
挺	tʰin3	
捉	tso2	
捏	ȵie2	
捐	tɕyæⁿ1	
撈	nɐɤ1	
損	sən3	
換	xuaⁿ5	
捧	pʰoŋ3	
捲	tɕyæⁿ3	
掀	ɕyæⁿ1	
掐	tɕʰiᴀ2	
排	pʰae2	
掘	tɕʰio2	
採	tsʰae3	
接	tɕie2	
推	tʰuəi1	
擲	tsɿ2	
提	tʰi2	
插	tsʰᴀ2	
握	o2	
揣	tsʰuae3	
摟	nəu3	
攪	tɕiɐɤ3	
攪	kʰɐɤ2	俗
搓	tsʰo1	
搭	tᴀ2	
摆	pae3	
摇	iɐɤ2	
摘	tse2	
撇	pʰie2	
撑	tsʰən1	
撒	sᴀ3	
撞	tsʰuaŋ3	
撞	tsuaŋ5	文
擦	tsʰᴀ2	
攀	pʰaⁿ1	
支	tsɿ1	
收	səu1	
改	kae3	
放	faŋ5	
政	tsən5	
故	kuᶹ5	
效	ɕiɐɤ5	
敏	min3	
救	tɕiəu5	
教	tɕiɐɤ5	1
教	tɕiɐɤ1	2
斂	niæⁿ5	
敝	pi5	
敢	kaⁿ3	
散	saⁿ5	
敦	tən1	
數	suᶹ5	
敲	kʰɐɤ1	
文	uən2	
齋	tsae1	
斗	təu3	
料	niɐɤ5	
斜	ɕiᴀ2	
斜	ɕie2	
斤	tɕin1	
斬	tsaⁿ3	
斷	tuaⁿ5	
斯	sɿ1	
新	ɕin1	
方	faŋ1	
於	y2	
施	sɿ1	
旁	pʰaŋ2	
旅	ny3	
旋	ɕyæⁿ2	~风了
旋	ɕyæⁿ5	~风
族	tɕʰio2	
旗	tɕʰi2	
無	vuᶹ2	
日	zɿ2	
旦	taⁿ5	
舊	tɕiəu5	
早	tsɐɤ3	
旬	ɕyn2	
旭	ɕio2	
旱	xaⁿ5	
時	sɿ2	
曠	kʰuaŋ5	
旺	uaŋ5	
昂	ŋaŋ2	
昆	kʰuən1	
昌	tsʰaŋ1	
明	min2	
昏	xuən1	
星	ɕin1	
春	tsʰuən1	
昨	tso2	
昨	tso7	
昭	tsɐɤ1	
是	sɿ5	
晉	tɕin5	
晏	iæⁿ5	1
晏	ŋaⁿ5	2
曬	sae5	
曉	ɕiɐɤ3	
暈	yn1	
晚	uaⁿ3	
晨	sən2	
普	pʰuᶹ3	
暫	tsaⁿ5	
暄	ɕyæⁿ1	
暑	suᶹ3	
暖	nuaⁿ3	
暗	ŋaⁿ5	
暮	mo5	
曰	ye2	
曲	tɕʰy2	
曲	tɕʰio2	
更	kən5	1
更	kən1	2
曹	tsʰɐɤ2	
曾	tsən1	
替	tʰi5	
最	tsuəi5	
月	ye2	
有	iəu3	
朋	pʰoŋ2	
服	fuᶹ2	
朗	naŋ3	
望	uaŋ5	
朝	tsɐɤ1	
木	muᶹ2	
未	uəi5	
末	mo2	
本	pən3	
术	suᶹ2	
术	tsʰuᶹ2	苍~
术	tsʰo2	苍~
朴	pʰuᶹ2	
朶	to3	
朽	ɕiəu3	
殺	sᴀ2	
雜	tsᴀ2	
權	tɕʰyæⁿ2	
杉	sᴀ1	
杉	saⁿ1	文
李	ni3	
杏	xən5	
杏	ɕin5	文
杜	tuᶹ5	
杠	kaŋ5	
條	tʰiɐɤ2	
來	nae2	
杰	tɕie2	
松	soŋ1	
板	paⁿ3	
枉	uaŋ3	
林	nin2	
果	ko3	
樞	tɕʰy1	
枯	kʰuᶹ1	
架	tɕiᴀ5	
柏	pe2	
某	moŋ3	
染	zaⁿ3	
柔	zəu2	
櫃	kuəi5	
查	tsʰᴀ2	
柱	tsuᶹ5	
柳	niəu3	
柴	tsʰae2	
棧	tsaⁿ5	
樹	suᶹ5	
校	ɕiɐɤ5	
樣	iaŋ5	
核	xe2	
根	kən1	
格	ke2	
桂	kuəi5	
桃	tʰɐɤ2	
框	kʰuaŋ1	
桌	tso2	
桑	saŋ1	
橋	tɕʰiɐɤ2	
樁	tsuaŋ1	
桶	tʰoŋ3	
梅	məi2	
梗	kən3	
夢	moŋ5	
梧	vuᶹ2	
梨	ni2	
梭	so1	
梯	tʰi1	
械	tɕiae5	
檢	tɕiæⁿ3	
棉	miæⁿ2	
棍	kuən5	
棒	paŋ5	
棚	pʰoŋ2	
森	sən1	
棲	tɕʰi1	
椅	i3	
植	tsɿ2	
椽	tsʰuaⁿ2	
椿	tsʰuən1	
楂	tsᴀ1	
楚	tsʰuᶹ3	
楦	ɕyæⁿ5	
楷	kʰae3	
樓	nəu2	
概	kʰae5	
榜	paŋ3	
槽	tsɐɤ1	
橫	xuən2	
櫻	ŋən1	
櫻	in1	文
橘	tɕy2	
橙	tsʰən2	
欠	tɕʰiæⁿ5	
次	tsʰɿ5	
歡	xuaⁿ1	
欣	ɕin1	
歐	ŋəu1	
欲	io2	
欵	kʰuaⁿ3	
欺	tɕʰi1	
歇	ɕie2	
歌	ko1	
正	tsən5	
此	tsʰɿ3	
步	puᶹ5	
武	vuᶹ3	
歪	uae1	
死	sɿ3	
殲	tɕʰiæⁿ1	
殊	suᶹ1	
殖	tsɿ2	
毁	xuəi3	
母	muᶹ3	
毒	tuᶹ2	
比	pi3	
毛	mɐɤ2	
毫	xɐɤ2	
毯	tʰaⁿ3	
民	min2	
气	tɕʰi5	
水	suəi3	
氷	pin1	
永	yn3	
求	tɕʰiəu2	
汗	xaⁿ5	
江	tɕiaŋ1	
池	tsʰɿ2	
湯	tʰaŋ1	
汪	uaŋ1	
沃	ŋo2	
沉	tsʰən2	
沙	sᴀ1	
溝	kəu1	
没	mo2	
沫	mo2	
河	xo2	
治	tsɿ5	
沾	tsaⁿ1	
沿	yæⁿ2	
泉	tɕʰyæⁿ2	
泊	pʰe2	
法	fᴀ2	
波	po1	
泣	ɕi2	
泥	ȵi2	
注	tsuᶹ5	
泰	tʰae5	
泳	yn5	
澤	tsʰe2	
洒	sᴀ3	
洗	ɕi3	
洛	no2	
洞	toŋ5	
津	tɕin1	
活	xo2	
派	pʰae5	
流	niəu2	
淺	tɕʰiæⁿ3	
測	tsʰe2	
渾	xuən1	
渾	xuən2	~身
浮	fəu2	
浴	io2	
海	xae3	
浸	tɕʰin5	
消	ɕiɐɤ1	
涉	se2	
澀	se2	
涯	iᴀ2	
液	ie5	
淆	ɕiɐɤ2	
淤	y1	
深	sən1	
混	xuən5	
淹	ŋaⁿ1	
清	tɕʰin1	
淵	yæⁿ1	
瀆	tuᶹ2	
漸	tɕiæⁿ5	
漁	y2	
渣	tsᴀ1	
溫	uən1	
港	kaŋ3	
渴	kʰo2	
溼	sɿ2	
溜	niəu1	
溪	tɕʰi1	
溶	ioŋ2	
溺	ȵie2	
滇	tiæⁿ1	
滑	xuᴀ2	
滔	tʰɐɤ1	
滚	kuən3	
滯	tsʰɿ5	
滿	maⁿ3	
濾	ny5	
漂	pʰiɐɤ1	~浮
漂	pʰiɐɤ3	~白
漂	pʰiɐɤ5	~亮
漆	tɕʰi2	
漏	nəu5	
演	iæⁿ3	
漢	xaⁿ5	
潘	pʰaⁿ1	
潭	tʰaⁿ2	
潮	tsʰɐɤ2	
澈	tsʰe2	
瀑	pʰo2	
火	xo3	
滅	me2	
滅	mie2	
燈	tən1	
灰	xuəi1	
災	tsae1	
炎	iæⁿ1	
炒	tsʰɐɤ1	
炒	tsʰɐɤ3	
炸	tsᴀ2	1
炸	tsᴀ5	2
點	tiæⁿ3	
煉	niæⁿ5	
烘	xoŋ1	
燭	tsuᶹ2	
燭	tso2	
烟	iæⁿ1	
燒	sɐɤ1	
熱	ze2	
烹	pʰən1	
然	zaⁿ2	
煎	tɕiæⁿ1	
照	tsɐɤ5	
熄	ɕie2	
熊	ɕioŋ2	
熏	ɕyn1	
熔	ioŋ2	
熟	suᶹ2	
熬	ŋɐɤ1	
熬	ŋɐɤ2	
燎	niɐɤ2	
燥	tsʰɐɤ5	
燥	sɐɤ5	白
爬	pʰᴀ2	
爬	pᴀ1	口
愛	ŋae5	
父	fuᶹ5	
爸	pᴀ2	
爹	tie1	
片	pʰiæⁿ5	
片	pʰiæⁿ3	口
牌	pʰae2	
牙	iᴀ2	
牛	ȵiəu2	
牢	nɐɤ2	
物	o2	
特	tʰe2	
犬	tɕʰyæⁿ3	
犯	faⁿ5	
狀	tsuaŋ5	
猶	iəu2	
狂	kʰuaŋ2	
狗	kəu3	
獅	sɿ1	
獄	io2	
狹	ɕiᴀ2	
猛	moŋ3	
猜	tsʰae1	
豬	tsuᶹ1	
猫	mɐɤ1	
猫	miɐɤ2	
玄	ɕyæⁿ2	
玉	y5	
王	uaŋ2	
玩	uaⁿ2	
環	xuaⁿ2	
現	ɕiæⁿ5	
璽	ɕi3	
玻	po1	
班	paⁿ1	
理	ni3	
瑣	so3	
瓊	tɕʰyn2	
瑞	suəi5	
瑟	se2	
璧	pi2	
瓜	kuᴀ1	
瓢	pʰiɐɤ2	
瓦	uᴀ3	
瓶	pʰin2	
甚	sən5	
甜	tʰiæⁿ2	
生	sən1	
用	ioŋ5	
田	tʰiæⁿ2	
由	iəu2	
甲	tɕiᴀ2	
申	sən1	
男	naⁿ2	
界	tɕiae5	
畏	uəi5	
留	niəu2	
畜	ɕio2	
略	nio2	
畫	xuᴀ5	
疑	ȵi2	
疤	pᴀ1	
疥	tɕiae5	
疫	io2	
瘡	tsʰuaŋ1	
病	pin5	
痛	tʰoŋ5	
癡	tsʰɿ1	
瘦	səu5	
癟	piᴀ3	扁
瘸	tɕʰye2	
癬	ɕyæⁿ3	
白	pe2	
百	pe2	
的	ti2	
的	ne1	白
皆	kae1	
皆	tɕiae1	
皇	xuaŋ2	
皖	kʰuaⁿ3	
皮	pʰi2	
皺	tsoŋ5	
盈	in2	
盍	xo2	
監	tɕiæⁿ1	
盖	kae5	
盜	tɐɤ5	
盤	pʰaⁿ2	
盟	min2	
目	mo2	
盼	pʰaⁿ5	
盾	tən5	
眉	mi2	
看	kʰaⁿ1	2
看	kʰaⁿ5	
真	tsən1	
眨	tsᴀ2	
眼	iæⁿ3	
着	tso2	
着	tsɐɤ2	白,遭
着	tɐɤ3	白,站~
睡	suəi5	
瞎	ɕiᴀ2	
瞞	maⁿ2	
矢	sɿ3	
矣	i3	
知	tsɿ1	
短	tuaⁿ3	
矮	ŋae3	
石	sɿ2	
砍	kʰaⁿ3	
研	ȵiæⁿ1	
硯	ȵiæⁿ5	
破	pʰo5	
硬	ŋən5	
確	tɕʰio2	
碎	tsʰuəi5	
碑	pəi1	
碗	uaⁿ3	
碧	pi2	
碾	ȵiæⁿ3	
磕	kʰo2	
礮	pʰɐɤ5	
示	sɿ5	
禮	ni3	
社	se5	
祖	tsuᶹ3	
神	sən2	
祥	ɕiaŋ2	
祭	tɕi5	
禍	xo5	
稟	pin3	
祿	nuᶹ2	
福	fuᶹ2	
离	ni2	
私	sɿ1	
秃	tʰuᶹ2	
秃	tʰo2	
秋	tɕʰiəu1	
科	kʰo1	
秒	miɐɤ3	
秘	mi2	
秘	pəi5	
租	tsuᶹ1	
秦	tɕʰin2	
秩	tsʰɿ2	
移	i2	
税	suəi5	
程	tsʰən2	
穩	uən3	
稻	tɐɤ5	
稼	tɕiᴀ1	
稿	kɐɤ3	
穆	muᶹ2	
穴	ɕie2	
窮	tɕʰioŋ2	
空	kʰoŋ1	1
空	kʰoŋ5	2
穿	tsʰuaⁿ1	
突	tʰuᶹ2	
突	tʰo2	
窄	tse2	
竅	tɕʰiɐɤ5	
窗	tsʰaŋ1	
窩	o1	
窟	kʰuᶹ2	
立	nie2	
站	tsaⁿ5	
章	tsaŋ1	
竭	tɕie2	
端	tuaⁿ1	
竹	tsuᶹ2	
篤	to2	
笋	sən3	
