#漢字	音標	解釋
㪗	tʰɯ3	展开，〜气
䝋	tsoŋ1	牡豕
一	ieʔ7	
丁	tɕiŋ1	
七	tɕʰieʔ7	
万	vɛ6	
丈	dʑia4	
三	sɛ1	
上	zɔ6	~面
上	zɔ4	〜山
下	ɕia5	2底〜.文
下	ɦo4	〜降
下	ɦo4	底〜，白
不	pɐʔ7	
与	y2	及,给〜
丐	ke3	乞〜
丑	tɕʰiu5	
專	tsø1	
且	tɕʰieʔ7	
丕	pʰᴇi5	
世	sʮ5	
丘	tɕʰiu1	
丙	piŋ3	
業	ȵieʔ8	
叢	dzoŋ2	
東	toŋ1	
絲	sɿ1	
丞	dʑiŋ2	
丢	tɕiu1	
兩	ia4	〜个
嚴	ȵi2	
喪	sɔ5	〜失
喪	sɔ1	婚~
个	kʊ5	〜人，一~
丫	yɔ1	2~头，文
丫	ia1	3〜头
丫	o1	~头，白
中	tsoŋ5	射~
中	tsoŋ1	当~
丰	foŋ1	
串	tsʰø1	
臨	iŋ2	
丸	uᴇi3	肉〜.弹〜
丹	tɛ1	
爲	uᴇi6	〜什么
爲	uᴇi2	作~
主	tsʮ3	
麗	i6	美~
舉	tɕy3	
乃	nɛ2	
久	tɕiu3	
義	ȵi6	
之	tsɿ1	
烏	u1	
乎	fu5	
乏	vɐʔ8	
樂	lɔʔ8	2音〜
樂	lɔʔ8	
樂	yeʔ8	音~
喬	dʑiɤ2	
乖	huɛ1	
乘	dʑiŋ2	
乘	tɕʰiŋ5	2
乙	ieʔ7	
九	tɕiu3	
乞	tɕʰieʔ7	
也	ie6	者~,~是
習	ʑieʔ8	
鄉	ɕia1	
書	sʮ1	
買	ma6	
亂	lø6	
乳	zʮ4	
乾	dʑi2	~坤
了	iɤ2	~结
爭	tsaŋ1	
事	zɿ4	
二	ȵi6	
于	y1	
于	y1	~此
虧	kʰuᴇi1	
云	yoŋ2	
互	vu2	
五	vu4	2文
五	ŋ̍4	白
井	tɕiŋ3	
亞	ia5	
些	ɕieʔ7	
亡	vɔ2	
交	tɕiɤ1	
亥	ɦe6	
亦	ieʔ8	
產	tsʰɛ3	
亨	ha3	
畝	mɯ2	
畝	m̩4	2
享	ɕia1	
京	tɕiŋ1	
亭	dʑiŋ2	
亮	ia5	
親	tɕʰiŋ1	
親	tɕʰiŋ1	〜家
人	zoŋ2	
人	ȵiŋ2	2
億	i5	
什	zɔʔ8	~物
仁	zoŋ2	
僅	dʑiŋ4	
仆	bu2	
仆	pʰɔʔ7	倒
仇	dʑiu2	
仇	dʑiu2	姓
今	tɕiŋ1	
介	ka1	2〜绍，白
介	tɕie5	文
介	kɛ1	蒋〜石，白
仍	dʑiŋ2	
从	tsoŋ5	~容
从	dzoŋ2	跟〜
仑	laŋ6	
倉	tsʰɔ1	
仕	zɿ4	
他	tʰa3	
仗	dʑia4	
付	fu5	
仙	ɕi1	
代	de6	
令	iŋ2	
以	i6	
儀	ȵi2	
仰	ȵia4	
仲	dzoŋ2	
件	dʑi4	
價	tɕia5	2文
價	ko5	白
任	ȵiŋ2	姓
任	zoŋ2	责任
份	vaŋ4	一~两~
仿	fɔ1	~佛
仿	fɔ1	〜效
仿	fɔ1	相似
企	tɕʰi3	
伊	i5	
伍	vu4	
伏	vɔʔ8	
伐	vɐʔ8	
休	ɕiu1	
衆	tsoŋ5	
優	iu1	
伙	hʊ3	
會	kuᴇi1	~计
會	ɦuᴇi6	~不~
會	ɦuᴇi6	开~
傘	sɛ5	
偉	uᴇi2	
傳	dzø2	〜达
傳	dzø2	〜记
伢	ia1	小孩子
傷	sɔ1	
倫	laŋ2	
僞	uᴇi6	
伯	pɐʔ7	
估	ku1	~计
伴	bø4	
伶	iŋ2	
伸	soŋ1	
伺	sɿ1	
似	zɿ2	
佃	dʑi6	
但	dɛ6	
位	uᴇi6	
低	tɕi1	
住	tsʮ5	
佐	tsʊ3	
佑	iu6	
體	tɕʰi3	
何	ɦʊ2	阴声韵
佘	dzo2	姓
余	y2	
佛	vɐʔ8	
佛	fɐʔ5	彷~
作	tsɔʔ7	〜坊,工〜
佞	ȵiŋ2	
你	ȵi4	
佩	bᴇi2	
佳	tɕyɔ1	2白
佳	tɕia1	文
使	sɿ3	
侄	dʑieʔ8	
侈	tɕʰi1	奢〜
侉	kʰua5	
例	i5	
侍	dzɿ2	
供	koŋ5	~给，~不起
供	koŋ5	~养,上供
依	i1	
僥	tɕiɤ1	〜幸
偵	tɕiŋ1	
側	tsɐʔ5	
僑	dʑiɤ2	
儂	noŋ2	我，你
侮	vu6	
侯	ɦɯ2	
侵	tɕʰiŋ5	
便	bi2	〜宜
便	bi6	方〜
促	tsʰɔʔ7	
俄	ŋʊ2	
俊	tsoŋ5	
俏	tɕʰiɤ5	
俗	dzɔʔ8	
俘	fu1	〜虏
保	pɤ3	
俟	zɿ4	
信	ɕiŋ5	
儼	ȵi2	〜然
倆	ia4	几〜几钱
儉	dʑi4	
修	ɕiu1	
俯	fu3	
俱	dʑy2	
俸	voŋ6	
俾	pi3	
