#漢字	音標	解釋
㵺	pʰai2	竹排
一	jɐʔ7a	数字
七	tsʰɐt7a	数字
丈	tsiøŋ6	三丈
丈	tsiøŋ6	姑~
三	sæŋ1	~国
上	siøŋ5	~山[动]
上	siøŋ5	安上,~灯,~灯泡
上	siøŋ6	~背[方位];~海(地名)
上	siøŋ6	桌~,床~
下	ha6	~背,底~
下	ha2	取下,~下来
下	ha6	~降,~流
不	pɐt7a	~过
丐	kʰui5	~帮
丑	tsʰɐu3	地支,子丑寅卯
且	tsʰiɛ3	而~,况~
丕	pʰɐi7a	人名用字,曹~
世	sɔi5	~界
世	sɔi5	出~
丘	jiɐu1	姓
丞	sɐŋ2	~相
丢	tiu1	~失
丫	ŋa1	~鬟,~头
串	tsʰin5	一~,~通
丸	jin7a	肉~,药~
丹	tæŋ7a	牡~,仙~
主	tsi3	~人,地~
乃	nai5	安~近;人名用字
久	kɐu3	长~
之	tsi1	~前
乎	fu2	在~
乏	faʔ8a	缺~
乖	kuai1	小孩听话
乘	sɐŋ2	~机,~车
乘	sɐŋ2	加减乘除
乙	jit8a	天干,甲乙丙丁
九	kɐu3	数字,~龙
乞	hɐt7a	~食,~求
也	jia5	~知
乳	jy5	哺~,母~[文]
乳	lin7a	食~(吃奶),麦~精[训]
乾	kʰin2	~坤,~隆
亁	kəŋ1	烘~,饼~
亂	lin6	混~
了	liu5	~结;明~,~解
予	ji6	给~
事	sɐi6	~实,~情[文]
事	sɐi6	做~[白]
二	ji6	数字
于	ji1	姓;等~
云	vɐn2	古人~
互	fu6	~相
五	ŋ̍5	数字
些	siɛ1	一~
亞	ŋa2	~洲,~军
亡	boŋ2	死~
交	kau1	~通,~钱[文]
交	kau1	交叉,~脚(翘二郎腿)[白]
亥	fui6	辛~革命
享	hiøŋ3	~受,分~
亮	liøŋ6	明~
人	jɐn2	老~,~民
仁	jɐn2	~义
仇	sɐu2	~人,报~
仇	sɐu2	姓
今	kɒŋ1	~日,~年,现~[文]
今	kɒŋ1	~日,~年[白]
介	kai5	~绍,中~
仍	jiɐŋ2	~然
仕	si6	~途
他	tʰa1	其~
仗	tsiøŋ5	打~;炮~(鞭炮)
付	fu6	应~
仙	sin1	神~
代	tui6	~替,~表
以	ji5	可~,~为
仰	jiøŋ5	~视
件	kin7a	事~
任	jiaŋ6	姓;责~,~何
份	fɐn6	~量
仿	foŋ3	~照,相~
企	kʰɐi5	~业,~鹅
伊	ji1	~犁;姓
伍	ŋ̍5	姓;队~
伐	faʔ8a	讨~,~木工人
休	jiɐu1	~息,退~
伯	pak7b	大~
估	ku3	~计
伴	pəŋ6	~随,伙~[文]
伴	pʰəŋ5	做~,冇~[白]
伸	sɐn1	~展,延~[文]
伸	sɐn1	~手[白]
伺	si6	~候,~机而动
似	tsʰɐi5	相~,~乎[文]
似	tsʰɐi5	好~(好像)[白]
但	tæŋ6	~係(但是),不~
佈	pɐu5	公~,~置
位	vɔi7a	座~,~置
低	tɔi1	高~
住	tsi6	~宿
佐	tsio3	辅~
佔	tsin5	~领,~地方
何	ho2	姓;如~
余	ji2	姓
佛	fɐt8a	拜~
作	tsiok7b	工~,种~
你	nɐi5	~们,第二人称[文]
你	nɐi5	第二人称[白]
佢	kʰui5	他,第三人称
佩	pʰui5	~服
佳	kai1	~人,~节
使	sɔi3	~用,假~,大~馆
來	lui2	过~,~去
侈	tsʰi3	奢~
例	lɔi6	举~,~外
侍	si6	服~,~卫
依	ji3	~靠
俠	haʔ8a	武~
侮	mɐu5	~辱
侯	hɐu2	姓;诸侯
侵	tsʰɐŋ1	~略
便	pʰin2	~宜
便	pin6	方~
係	hɔi6	关~[文]
係	hɔi6	是[白]
俄	ŋo2	~罗斯
俊	tsɐn5	英~
俏	tsʰiu5	俊~
俘	fu1	~虏
保	pɐu3	~护
信	sɐn5	相~
修	sɐu1	装~,~正
俯	fu3	~卧撑,~视
俱	kui6	~备,~乐部
倉	tsʰioŋ7a	~库
個	ko5	两~,~别
個	ko5	我~(我的)
倍	pʰui5	~数
倒	tɐu3	颠~
倒	tɐu3	~水,~退
倔	vɐt7a	~强
候	hɐu6	~车室,等~
倚	ji3	~靠,~老卖老
借	tsiɛ5	~钱
倡	tsʰiøŋ1	提~
倣	foŋ3	~效
倦	kin3	疲~
倪	ɡɔi2	姓,~萍
倫	lɐn2	~理,天~之乐
倭	vɔi3	~寇
值	tsɐk8a	价~,~日
假	ka3	真~,~设
假	ka3	放~,~期
偉	vɔi5	~大
偏	pʰin1	~~,~僻
做	tsɐu5	~好事
側	tsaʔ8a	~面
偶	ɡɐu5	配~,~然
偷	tʰɐu7a	小~
傅	fu7a	师~[文]
傅	fu6	姓[白]
傍	pʰoŋ2	~晚
傑	kit8a	~出
備	pɐi6	准~,~用
催	tsʰui1	~促,~眠
傲	ɡɐu6	骄~
傳	tsʰin2	~达,流~
傳	tsin7a	~记,自~
債	tsai5	欠~
傷	siøŋ1	受~
傻	su2	~瓜,~子
僅	kɐn3	~~,不~
像	siøŋ3	好~,相~
像	tsiøŋ6	头~,~章
僑	kʰiu2	华~
僞	ɡɔi6	虚~
僥	hiu1	~幸
僧	tsɒŋ1	唐~,沙~
僧	tsɒŋ1	~人
僵	kiøŋ1	冻~,~硬
價	ka5	~钱,~值
儀	ji1	礼~,~式
億	jiɐk7a	十~
儉	kin6	勤~
儒	jy2	~家思想
儘	tsɐn6	~管,~早
償	siøŋ2	赔~
優	jiɐu1	~秀
儲	tsʰy5	~蓄
允	vɐn5	~许
元	jin2	~旦[文]
元	jin2	一~钱[白]
兆	siu6	预~;人名用字
先	sin1	祖~,~进,~生
光	kuoŋ1	阳~,~明
克	hɒʔ7a	~服,攻~
免	bin5	难~,~除
兑	sui5	~水,~换
兒	ji2	~童
兔	tʰɐu5	野~
兜	tɐu1	~风
入	jiɐʔ8a	~门,进~
内	lui6	~行,~外
全	tsʰin2	~部,安~
兩	liøŋ5	~个
兩	liøŋ3	半斤八~
八	paʔ7b	数字
兮	hai1	神经~~
其	kʰɐi2	~他,~实
具	kui6	~体
典	tin3	~型,词~
兼	kin1	~职
冀	kʰɐi5	河北简称,晋察~
再	tsui5	~来
冒	bɐu6	~充,感~
冠	kəŋ1	衣~,鸡~花
冠	kuəŋ5	~军
冤	jin1	~枉
冰	pɐŋ1	结~,~箱
准	tsɐn3	批~,~确
凉	liøŋ2	天~
凜	lɐŋ5	威风~~
凝	jiɐŋ2	~聚,~结
凝	jiɐŋ2	凝固,~油[训]
凝	jiɐŋ2	冰霜,霜~[训]
几	kɐi7a	茶~
凡	fæŋ2	平~
凰	voŋ2	凤~
凱	fui3	~旋
凳	tɒŋ5	凳子
凸	tʰɐt8a	~起
凹	ɡau5	~面镜
出	tsʰɐt7a	~入,~发
函	hɔŋ2	~授,信~
刀	tɐu1	菜~
刁	tiu1	~钻,嘴~
刃	jɐn6	刀~
分	fɐn1	~数,区~[文]
分	fɐn1	给[白]
切	tsʰit7b	~菜
刊	fəŋ3	报~
刎	mɐn5	自~
列	lit8a	排~;~宁(人名)
列	laʔ8a	两~(两排)[白,量]
初	tsʰo1	当~,~中
判	pʰəŋ5	~断,审~
别	pit8a	离~,分~
刨	pʰau2	~地,~花板
利	lɐi6	~润,有~
删	sæŋ1	~除
别	pit8b	区~
刮	kuaʔ7b	~毛,搜~
到	tɐu5	~站
刴	tiak7b	~猪肉,~肉丸[训]
制	tsɔi5	~度
刷	tsʰaʔ7b	~牙,牙~
券	kin5	国库~,证~
刺	tsʰi5	~激,穿~
刻	hɒʔ7a	时~ ,~画[文]
刻	hɒʔ7a	~字[白]
剃	tʰɔi5	~头
則	tsɒʔ7a	否~,规~
削	siak7b	~皮,剥~
前	tsʰin2	从~,~后
剖	pʰɐu3	解~
剛	koŋ1	~才,~好
剝	mok8a	~削,~皮
剩	sɐŋ6	~下,~余
剪	tsin3	~刀
剮	kua3	千刀万~
副	fu6	正~
割	kuək7b	~禾(割稻)
創	tsʰoŋ3	开~,~造
剿	tsiu3	围~,~匪
劃	vak8a	~船
劉	lɐu2	姓
劊	kʰui3	~子手
劍	kin5	宝~
劑	tsɔi1	一~药,药~
力	lɐk8a	大~,~量
加	ka1	~工
劣	lit7b	~质,恶~
助	tso6	帮~
努	lɐu5	~力
劫	kit7b	抢~
勁	kɐŋ6	有~,~敌
勃	pʰɐʔ8a	勃,蓬~,生机~~
勉	bin5	~强,~励
勒	lɒʔ8a	~索
勘	hɔŋ6	~误,~探
務	mɐu6	任~,~农
勝	sɐŋ5	~任
勝	sɐŋ5	~利,战~
勞	lɐu2	~动
募	mɐu6	~捐
勢	sɔi5	~力,有权有~
勤	kʰɐn2	~劳
勳	fɐn6	~章
勵	lɔi6	鼓~
勸	hin5	规~
勺	siak8a	饭~
匀	vɐn2	均~
勾	ŋɐu1	~心斗角,~引
勾	ŋɐu1	~当
勿	mɐt8a	非礼~视
包	pau7a	钱~,~围
化	fa5	变~
北	pɒʔ7a	东南西北
匙	tsʰi2	锁~,汤~
匠	tsiøŋ6	木~
匡	hoŋ1	~扶正义;赵~胤(人名)
匣	haʔ8a	匣子
匪	fɐi3	土~
匯	vui6	~报,~款
匹	pʰɐt7a	~配
區	ɡɐu1	姓
匾	pin3	牌~
匿	lak7a	~名信
區	kʰui1	地~,~别
十	saʔ8a	数字
千	tsʰin1	~万
升	sɐŋ1	~级
午	ŋ̍5	中~,端~
半	pəŋ5	一~,~日
卑	pɐi1	自~,~鄙
卒	tsɐt7a	兵~,小~
卓	tsiak7b	~越;姓,~别林
協	hit7b	~会,~作
南	næŋ2	东南西北
博	pok7b	~士,广~
占	tsin5	~卜
卦	kua5	八~
卯	bau5	地支,子丑寅卯
印	jɐn5	手~
危	ɡɔi2	~险,安~
卵	tsʰɐn1	鸡~(鸡蛋),~生
卷	kin3	试~[名]
卸	siɛ5	~货,推~
卻	kʰiak7b	退~,~步
卽	tsɐk8b	~时,立~
厚	hɐu5	忠~
原	jin2	~来,平~
厭	jin5	讨~
厲	lɔi6	严~,~害
去	hui5	来~,过~
參	tsʰæŋ1	~军,~加
參	tsʰæŋ1	~差不齐
參	sɐŋ1	人~
又	jiɐu6	~来
叉	tsʰa7a	刀~,~腰
及	kʰɒʔ8a	~时
友	jiɐu5	朋~,~谊
反	fæŋ3	~对,造~
取	tsʰui3	~钱
受	sɐu6	接~
叛	pʰəŋ5	~徒,背~
口	hɐu3	~头,开~
口	tæŋ6	一~饭
古	ku3	~代
句	kui5	~号
叨	tʰɐu1	唠~
叩	kʰɐu5	~头
只	tsi3	~有
叫	kiu5	大~;小孩哭
召	tsiu1	号~,~集
可	ho3	~能,许~证
台	tʰui2	天台
史	si3	历~
右	jiɐu6	左~
司	sɐi1	公~,~令
吁	ji1	气喘~~,长~短叹
各	kok7b	~人
吆	jiu1	~喝
合	hæʔ8a	~作,~适[文]
合	hæʔ8a	~本,~伙[白]
吉	kɐt7a	~利
吊	tiu5	上~,~车
后	hɐu6	皇~
吏	lɐi6	官~
吐	tʰɐu5	~痰;呕~
向	hiøŋ5	~东
君	kuɐn1	~子
吞	tʰɐn1	~口水
吟	jiɒŋ2	~诗
吠	fɔi6	狗~
否	fɐu3	是~,~定
吧	pa7a	酒~
含	hɔŋ2	包~[文]
含	hɔŋ2	~糖[白]
吳	ŋ̍2	姓
吵	tsʰau2	~人,争~
吸	kʰɒʔ7a	呼~,~引
吹	tsʰui1	~牛皮,~喇叭
吻	mɐn5	接~
呂	lui5	姓
告	kɐu5	报~,~状
周	tsɐu1	姓;~围,~年
味	mɐi6	~道,~精
呼	fu1	称~,~吸,招~
和	vu2	~平,~气[文]
和	vu2	~尚[白]
和	vu2	唱~,~诗
咐	fu5	吩~
咒	tsɐu5	~人
咨	tsi7a	~询
咬	ɡau5	~人
咳	kɐt7a	~嗽,止~糖浆
咸	hæŋ2	~丰皇帝
哀	ɡui1	悲~
品	pʰɐn3	~德
員	jin2	人~,~工
哥	ko1	大~,学生~
哨	sau5	口~
哪	na6	~里
哪	na2	~吒
哮	hau1	~喘
哲	tsit7b	~学
唆	su1	~使
唐	tʰoŋ2	~朝;姓
售	sɐu6	~货,出~
唯	vɔi2	~物主义
唱	tsʰiøŋ5	~歌
啄	tiak7b	~木鸟,鸡~米
商	siøŋ1	~量,经~
問	mɐn6	~题
啞	ŋa3	哑巴,~佬
啟	kʰɔi3	~发
啼	tʰɔi2	哭哭~~[文]
啼	tʰɔi2	鸡~[白]
善	sin6	~良,心~
喉	hɐu2	~咙
喊	hæŋ5	叫[文]
喊	hæŋ5	叫[白]
喘	tsʰin3	哮~
喚	uəŋ6	呼~
喜	hɐi3	~欢
喝	fək7b	吆~,~彩
喧	sin1	~哗,~闹
喪	soŋ5	婚~,~事
喪	soŋ5	~失
喬	kʰiu2	姓
單	tæŋ1	~独
單	sin5	姓
喻	ji5	比~
嗅	tsʰɐu5	~觉
嗓	soŋ1	金~子
嗜	si6	~好
嗣	tsɐi3	后~;谭~同
嗽	sɐu5	咳~
嘆	tʰæŋ5	~气
嘉	ka1	~宾
嘔	ɡɐu3	~吐
嘗	siøŋ2	~试,品~
嘘	hui1	吹~
嘮	lɐu2	~叨
嘴	tsui5	嘴巴[文]
嘴	tsui5	嘴巴[白,训]
嘻	hɐi3	~皮笑脸
器	hɐi5	武~,机~,~重
噴	pʰɐn5	~水;~嚏
嚇	haʔ7b	~人
嚴	jin2	~格;姓
嚼	tsiu6	咀~,~碎
囂	hiu1	~张
囉	lu7a	喽~,~嗦
囊	loŋ2	背~
囚	tsʰɐu2	~犯
四	sɐi5	数字
回	vui2	~想[文]
回	vui2	~礼[白]
因	jɐn1	原~
囤	tʰin2	~积
囥	piøŋ5	藏
困	kʰuɐn5	~难
固	ku5	~定
圈	hin7a	圆~,~套
國	kuok8a	~家,中~
圍	vɔi2	包~,~墙
園	jin2	菜~,花~
圓	jin2	团~
圖	tʰɐu2	画~,地~
團	tʰin2	~结,~长
土	tʰɐu3	~地
在	tsui6	实~,现~[文]
在	tsʰui5	存在,还~[白]
圭	kuɔi7a	人名用字;乌拉~
地	tɐi6	土~
址	tsi3	地~
均	kuɐn1	平~,~匀
坍	lɔŋ5	~塌
坎	hɔŋ2	~坷
坐	tsʰu5	~车,~稳
坡	pu1	山~,~度
坤	kʰuɐn1	乾~
坦	tʰæŋ5	~白,~克
坯	pʰui7a	泥~,毛~房
坳	ɡau5	山~,~背
垂	sui2	下~,~头丧气
垮	kʰua6	~台
垻	pa5	平地,湖洋~
埃	ai1	尘~,~及
埋	mai2	~伏
域	vak8a	领~,地~
埠	fɐu1	开~
埠	fɐu1	庵~,蚌~(地名)
執	tsɐʔ8a	~行,~法
培	pʰui2	~训
基	kɐi1	~本,地~
堂	tʰoŋ2	~兄,拜~,课~
堅	kin1	~强
堆	tui1	一~[量],~放[动]
堡	pɐu3	碉~
堤	tʰɔi2	河~,~坝
堪	hɔŋ1	难~,不~
堯	jiu2	~舜禹
堰	jin5	坝,都江~
報	pɐu5	~告,日~
場	tsʰiøŋ2	排~,~地
堵	tɐu3	~车,~塞
塊	fai5	一~钱,~头
塌	lɔŋ5	倒~
塍	sɐŋ2	田~
塑	souk7b	雕~,~料
塔	tʰæʔ7b	宝~
塗	tʰɐu2	糊~,~改
塘	tʰoŋ2	鱼~
塞	sɒʔ7a	堵~,~车
塢	vu1	船~
填	tʰin2	~空
塵	tsʰɐn2	灰~,~灰
墊	tin6	~钱,座~
墓	mɐu6	坟~,~地
墜	tsui6	下~,玉~[文]
墜	tsui6	目~~[白]
增	tsɒŋ1	~加
墟	hui1	~日
墨	bɒk8b	~水
墩	tɐn3	桥~
墳	fɐn2	~墓,上~
墾	hɐn3	开~
壇	tʰæŋ2	天~,文~
壓	ŋaʔ7b	~力
壕	hɐu2	战~
壘	lui5	堡~,~球
壞	vai6	~人
壤	jiøŋ6	土~
壩	pa5	堤,溪~
