#漢字	音標	解釋
㸊	lai5	水很热
一	i1	
一	dʑiŋ5	
丁	tiŋ1	
七	tɕʰɿ1	
万	uãŋ5	
丈	dʑuãŋ5	
三	sãŋ1	
上	ʑuãŋ5	~山
上	ʑuãŋ5	~面
下	ʑia5	~降
下	ʑia5	底~
不	bu5	
与	y3	给~
丐	kai5	
丑	tɕʰiəu3	
專	tɕyɛŋ1	
且	tɕʰiɛ3	
丘	tɕʰiəu1	
丙	piŋ3	
業	iɛ2	
東	toŋ1	
絲	sɿ1	
丞	dʑiŋ2	
兩	luãŋ3	几~
嚴	iɛŋ2	
喪	sãŋ5	~失
喪	sãŋ5	婚~
个	ko5	~人
丫	ia1	~头
中	tsoŋ1	
中	tsoŋ5	射~
丰	foŋ1	
串	tɕʰyɛŋ3	
臨	liŋ2	
丸	uãŋ2	~子
丹	tãŋ1	
爲	uei2	~什么
爲	uei2	作~
主	tɕy3	
麗	li5	美~
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
義	i5	
義	tsʰa5	
之	tsɿ1	
烏	u1	
乎	fu1	
乏	ua2	
樂	lo2	
樂	io2	音~
喬	dʑiau2	
乖	kuai1	
乘	ʑyeŋ2	
乙	iɛ2	
九	tɕiəu3	
乞	tɕʰɿ1	
乞	tɕʰɿ3	
也	iɛ3	者也
習	ɕɿ1	
鄉	ɕuãŋ1	
書	ɕy1	
買	mai3	
亂	luãŋ5	
乳	ɕy3	
乾	dʑiɛŋ2	~坤
了	liau3	~结
爭	tsəŋ1	
事	zɿ5	
于	y2	
虧	kʰuei1	
云	yeŋ2	
互	u5	
五	u3	
井	tɕiŋ3	
亞	ia3	
些	ɕiɛ1	
亡	uãŋ2	
交	tɕiau1	
亥	ai5	
亦	i5	
產	tsʰãŋ3	
亨	xəŋ1	
畝	mu3	
享	ɕuãŋ3	
京	tɕiŋ1	
亭	diŋ2	
亮	luãŋ2	
親	tɕʰiŋ1	
親	tɕʰiŋ5	~家
人	ʑiŋ2	
億	i5	
什	ʑɿ2	~物
仁	ʑiŋ2	
僅	tɕiŋ3	
仆	pʰu1	倒
仇	dʑiəu2	
仇	dʑiəu2	姓
今	tɕiŋ1	
介	kai5	
从	dzoŋ2	
从	dzoŋ2	~容
从	dzoŋ2	跟~
仑	ləŋ2	
倉	tsʰãŋ1	
仕	sɿ5	
他	tʰa1	
仗	dʑuãŋ5	
付	fu5	
仙	ɕiɛŋ1	
代	dai5	
令	liŋ5	
以	i3	
儀	i5	
仰	uãŋ3	
仲	dzoŋ5	
件	dʑiɛŋ5	
價	tɕia5	
任	iŋ5	姓
任	iŋ5	责~
仿	fãŋ3	~效
企	tɕʰɿ5	
伊	i1	
伍	u3	
伏	u2	
伐	xua5	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xuo3	
會	kʰuai3	~计
會	uei5	开~
傘	sãŋ3	
偉	uei3	
傳	dʑyɛŋ2	~说
伢	ia2	~仔
傷	ɕuãŋ1	
倫	ləŋ2	
僞	uei5	
伯	pə1	
估	ku3	~计
伴	bãŋ5	
伸	ɕiŋ1	
伺	sɿ5	
似	sɿ5	
佃	diɛŋ5	
但	tãŋ5	
佈	pu5	
位	uei5	
低	ti1	
住	dʑy5	
佐	tso3	
體	tʰi3	
何	o2	
佘	ɕiɛ1	
余	y2	
佛	fu2	
佛	fu1	仿~
作	tsuo1	~坊
你	li3	
佩	pʰei5	
佳	tɕia1	
使	sɿ3	
侄	dʑɿ2	
侈	tsɿ3	奢~
例	li5	
侍	sɿ5	
供	koŋ5	~给
供	koŋ5	上~
依	i1	
偵	tɕiŋ1	
側	tsʰə1	
僑	dʑiau2	
儂	loŋ2	
侮	u3	
侯	əu2	
侵	tɕʰiŋ5	
便	biɛŋ2	~宜
便	biɛŋ5	方~
促	tsʰu1	
俄	o1	
俊	tsəŋ5	
俗	su1	
俘	fu1	~虏
保	pau3	
信	ɕiŋ5	
儼	iɛŋ2	~然
倆	luãŋ3	~个
修	ɕiəu1	
俯	fu3	
俱	tɕy5	
俸	oŋ5	
俾	pi3	
倍	bei5	
倒	tau5	~水
倒	tau3	打~
倔	tɕyɛ5	~强
倘	tʰãŋ3	~使
候	əu5	
倚	i1	
倚	i3	
借	tɕiɛ5	
倡	tɕʰuãŋ1	~导
倦	dʑyɛŋ5	
倦	tɕyɛŋ3	~起
倪	li2	
債	tsai5	
值	dʑɿ2	
傾	tɕʰyeŋ3	
假	tɕia3	放~
假	tɕia3	真~
偏	pʰiɛŋ1	
做	tso5	
停	diŋ2	
健	tɕiɛŋ5	
偶	əu3	~然
偶	əu3	配~
偷	tʰəu1	
償	ʑuãŋ2	
傀	kʰuei2	~儡
傅	fu5	
傍	bãŋ2	
傍	bãŋ2	~沱
儲	dʑy2	
催	tsʰuei1	
傲	au5	
傻	sa3	
像	ɕuãŋ5	
僕	pʰu1	
僧	dzəŋ2	
僵	tɕuãŋ1	
僻	pʰi1	
儒	y2	
儡	lei3	傀~
兒	ə2	
允	yeŋ3	
元	yɛŋ2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	dʑiau5	
先	ɕiɛŋ1	
光	kuãŋ1	
克	kʰə1	
免	miɛŋ3	
兑	dei5	
黨	tãŋ3	
兜	təu1	
入	y2	
全	dʑyɛŋ2	
八	pa1	
公	koŋ1	
蘭	lãŋ2	
共	ɡoŋ5	
關	kuãŋ1	
興	ɕiŋ1	~旺
興	ɕiŋ5	高~
兵	piŋ1	
其	dʑɿ2	
具	tɕy5	
典	tiɛŋ3	
兹	dzɿ2	
養	uãŋ3	
兼	tɕiɛŋ1	
獸	ɕiəu5	
冀	tɕɿ5	
内	lei5	
岡	kãŋ1	
冉	iɛŋ3	
册	tsʰə1	
再	tsai5	
冒	mau5	
寫	ɕiɛ3	
軍	tɕyeŋ1	
農	loŋ2	
冠	kuãŋ5	~军
冠	kuãŋ1	衣~
冤	yɛŋ1	
冬	toŋ1	
馮	oŋ2	
冰	piŋ1	
冲	tsʰoŋ1	
決	tɕyɛ1	
况	kʰuãŋ5	
冷	ləŋ3	
凍	toŋ5	
淨	dʑiŋ5	
準	tɕyeŋ3	
涼	luãŋ2	
凌	liŋ2	
減	tɕiɛŋ3	
湊	tsʰəu5	
凖	tɕyeŋ3	
几	tɕɿ3	~乎
几	tɕɿ3	~个
几	tɕɿ3	茶~
凡	uãŋ2	
鳳	oŋ5	
凭	biŋ2	
凱	kʰai1	
凱	tai1	
凳	təŋ5	
凶	ɕioŋ1	~恶
凶	ɕioŋ1	吉~
出	tɕʰy1	
擊	tɕɿ1	
函	ãŋ2	
鑿	dzuo2	
刀	tau1	
刁	tiau1	
刃	iŋ3	
分	fəŋ1	~开
切	tɕʰiɛ1	~开
刊	kʰãŋ1	
刑	ʑiŋ2	
划	ua2	
列	liɛ2	
劉	liəu2	
則	tsʰə1	
剛	kãŋ1	
創	tsʰuãŋ5	
初	tsʰu1	
删	suãŋ1	
判	pʰãŋ5	
刨	bau2	
利	li5	
别	biɛ2	区~
别	biɛ2	离~
刮	kua1	
到	tau5	
刷	sua1	
券	tɕʰyɛŋ5	
刺	tsɿ5	
刻	kʰə1	时~,用刀~
劊	kʰuai3	
刴	tuo5	
剃	tʰi5	
削	ɕio1	
前	dʑiɛŋ2	
前	dʑiŋ5	
剮	kua3	
劍	tɕiɛŋ5	
剔	tʰiɛ1	
剖	pʰo3	
剝	po1	
劇	tɕy5	~烈
劇	tɕy5	戏~
剩	ʑyeŋ5	
剪	tɕiɛŋ3	
割	ko1	
劄	tsa1	用针~
劈	pʰi1	
力	li2	
勸	tɕʰyɛŋ5	
功	koŋ1	
加	tɕia1	
務	u5	
劣	liɛ2	
動	doŋ5	
助	dzu5	
努	lu3	
劫	tɕiɛ1	
勵	li5	
勁	tɕiŋ5	~头
勞	lau2	
勇	ioŋ3	
勉	miɛŋ3	
勒	lə5	
勘	kʰãŋ1	~测
募	mu5	
勤	dʑiŋ2	
勳	ɕyeŋ1	
勾	kəu1	
勾	kəu5	~当
勿	u2	
匀	yeŋ2	
包	pau1	
匆	tsʰoŋ1	
化	xua5	
北	pə1	
匙	dzɿ2	汤~
匠	dʑuãŋ5	
匡	kʰuãŋ1	
匪	fei3	
匹	pʰi1	
區	tɕʰy1	~域
醫	i1	
匾	piɛŋ3	
匿	li5	
十	ʑɿ2	
千	tɕʰiɛŋ1	
升	ɕiŋ1	
午	u3	
半	pãŋ5	
華	ua5	~山
華	ua2	中~
協	ɕiɛ1	
卑	pei1	
卒	tsu1	兵~
卓	tsuo1	
單	tãŋ1	~独
賣	mai5	
南	lãŋ2	
博	po1	
卜	pʰu1	
占	tsãŋ5	~卜
占	tsãŋ5	~领
盧	lu2	
卦	kua5	
臥	o5	
衛	uei5	
卯	mau3	
印	iŋ5	
危	uei2	
即	tɕɿ1	
卻	tɕʰio1	
卵	luãŋ3	
卷	tɕyɛŋ3	
卸	ɕiɛ5	
卿	tɕʰiŋ1	
廠	tɕʰuãŋ3	
历	li2	
历	li5	
厲	li2	
壓	ia1	
厭	iɛŋ5	
厚	əu5	
原	yɛŋ2	
廂	ɕuãŋ1	
厦	ɕia5	~门
厦	sa5	偏~
廚	dʑy2	
厮	sɿ1	
去	tɕʰy5	
縣	ʑiɛŋ5	
縣	ɕyɛŋ5	
参	tsʰãŋ1	
参	tsʰãŋ1	~差
参	səŋ1	人~
又	iəu5	
及	dʑɿ2	
友	iəu3	
雙	suãŋ1	
反	fãŋ3	
发	fa1	~现
发	fa1	头~
叔	su1	
取	tɕʰy3	
受	ɕiəu5	
變	piɛŋ5	
敍	ɕy5	
叛	pʰãŋ5	
疊	diɛ2	
口	tsʰə1	
口	kʰəu3	
古	ku1	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tau1	
叩	kʰo1	~头
只	tsɿ1	
只	tsɿ3	
叫	tɕiau5	
召	tɕiau1	
可	kʰo1	
台	dai2	
史	sɿ3	
右	iəu5	
