#漢字	音標	解釋
㪕	tsʰɑɔ5	㪕起棍子
㿭	tsʰəʔ7	皴
一	iʔ7	
丁	tiŋ1	
七	tɕʰiʔ7	
丈	tsɑŋ1	
三	sæ1	
上	sɑŋ2	上山
上	sɑŋ5	上面
下	xʊ1	底下
下	xʊ5	下降
不	pəʔ7	
丐	kæ5	乞丐
丑	tsʰe	
丕	pʰɿ2	
世	sɿ5	
丘	tɕʰiou1	
丙	piŋ2	
丞	tsʰəŋ2	
丢	te1	
並	piŋ5	合併
並	piŋ2	並且,並行
丫	ʊ3	丫頭
中	tsoŋ1	當中
中	tsoŋ	射中
串	tɕʰiou5	穿
丸	œ2	肉丸,彈丸
丹	tæ3	
主	tsʮ3	
久	tɕiou3	
之	tsɿ1	
乎	fu1	
乏	fᴀʔ7	
乖	kuᴀ1	
乘	tsʰəŋ2	
乙	iʔ7	
九	tɕiou3	
乞	tɕʰiʔ7	
乳	lu2	
乾	kœ1	
乾	tɕʰi2	乾坤
亂	lœ5	
了	liɔ2	明瞭,了結
事	sɿ5	
二	ɯ5	
互	fu2	
五	ŋ̍2	
井	tɕiŋ3	
亞	iᴀ5	
亡	mɑŋ2	
交	tɕiɔ1	
亥	xæ3	
亨	xəŋ1	
享	ɕiæ2	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liæ5	
人	ᴇn1	
仁	ᴇn2	
仇	se2	
仇	tɕiou2	姓
今	tɕiŋ1	
介	kᴀ5	
仍	ᴇn2	
仕	sɿ1	
他	tʰʊ1	
仗	tsɑŋ1	
付	fu5	
仙	ɕi1	
代	tæ5	
令	liŋ5	
以	ɿ2	
仰	ȵiæ2	
仲	tsoŋ	
件	tɕi1	
任	ᴇn1	姓
任	ᴇn5	責任
仿	fɑŋ2	仿效
仿	fɑŋ3	相似
企	tɕʰɿ2	
伊	ɿ1	
伍	ŋ̍2	
伏	fɔʔ7	
伐	fᴀʔ7	
休	ɕiou1	
伯	pɔʔ7	
估	ku3	估計
伴	pœ1	
伸	səŋ1	
伺	sɿ5	
似	sɿ1	
佃	ti5	
但	tæ5	
佈	pu2	
位	ue5	
