#漢字	音標	解釋
□	tɕʰio5	~呸哒,相当“呸”
一	i7	
七	tɕʰi7	
下	xᴀ5	~降
下	ɕiᴀ5=	~降
下	xᴀ5	底~
下	ɕiᴀ5=	底~
不	pu7	
与	y3	
丕	pʰi3	
世	sɿ5	
業	ȵiᴇ7	
絲	sɿ1	
个	ko5	
丫	ŋᴀ1-	~头
丫	iᴀ1=	~头
主	tɕy3	
麗	ti5	美~
舉	tɕy3	
義	ȵi5	
之	tsɿ1	
烏	u1	
乍	tsᴀ5	
乏	fᴀ1	
樂	lo7	快~
樂	lo7	音~
樂	io7	音~
乙	iᴇ7	
乞	tɕʰi7	
也	iᴀ3-	者~
也	iᴇ3=	者~
習	ɕi7	
書	ɕy1	
乳	y3	
事	sɿ5	
二	ᴇ5	
于	y2	
于	y2	~此
互	xu5	
五	u3=	
亞	iᴀ5	
些	ɕi1	
亦	i7	
億	i7	
什	sɿ1	~物
仆	pʰu7	~倒
仆	pʰu7	~人
仕	sɿ5	
他	tʰᴀ1	
付	fu5	
以	i3	
儀	ȵi2	
價	tɕiᴀ5	
企	tɕʰi5	
伊	i1	
伍	u3=	
伏	fu7	樑
伐	fᴀ1	
伙	xo3	
伢	ŋᴀ2-	
伢	iᴀ2=	
伯	pᴇ7	
估	ku1	
伺	sɿ1	
伺	sɿ5	
似	sɿ5	
低	ti1	
住	tɕy5	
佐	tso3	
佐	tso5	
體	tʰi3	
何	xo2	
佘	sᴇ2	姓
余	y2	意为我
余	y2	有~
佛	fu7	仿~
作	tso7	工~
你	ȵi5	
佳	tɕiᴀ1	
使	sɿ3	
侄	tsʰɿ7	
侈	tsʰɿ3	
侉	kʰuᴀ3	
例	tiᴇ7	
侍	sɿ5	
侏	tɕy1	
依	i1	
側	tsᴇ7	
俄	ŋo1	
俘	fu1	~虏
俟	sɿ5	
俯	fu3	
俱	tɕy5	
俾	pʰi2	
倔	tɕyᴇ7	~强
倔	tɕyᴇ7-	脾气~
倚	i1	
借	tɕiᴀ5-	
借	tɕiᴇ5	
倪	ȵi2	
倭	o1	
值	tsʰɿ7	
假	tɕiᴀ3	放~
假	tɕiᴀ3	真~
傅	fu5	
儲	tɕʰy2	~蓄
傻	sᴀ3	
僻	pʰi7	
儒	y2	
兒	ᴇ2	
克	kʰᴇ7	
兔	tʰu5	
入	y7	
八	pᴀ7	
兮	ɕi1	
其	tɕʰi2	
具	tɕy5	
兹	tsɿ1	
冀	i5	
册	tsʰᴇ7	
寫	ɕiᴀ3-	
寫	ɕiᴇ3	
決	tɕyᴇ7	
几	tɕi1	~乎
几	tɕi1	~个
几	tɕi3	茶~
出	tɕʰy7	
擊	tɕi7	
鑿	tsʰo1	
切	tɕʰiᴇ7	~开
划	pʰᴀ2	~船
划	xuᴀ2	计~
列	tiᴇ7	
則	tsᴇ7	
利	ti5	
别	pʰiᴇ7	区~
别	pʰiᴇ7	离~
刮	kuᴀ7	
制	tsɿ5	
刷	sᴀ7	
刺	tsʰɿ7	
刻	kʰᴇ7	时~
刻	kʰᴇ7	用刀~
刴	to5	
劑	tɕi5	一~药
削	ɕio7	
剮	kuᴀ3	
剔	tʰi7	
剖	pʰo5	解~
剜	uᴀ7	
剝	po7	
劇	tɕy5	~烈
副	fu5	
割	kuᴇ7-	
割	ko7=	
劈	pʰi7=	
劐	kʰo7	用刀~开
力	ti7	
加	tɕiᴀ1	
務	u5	
劣	nᴇ7	
劫	tɕʰiᴇ7	
勵	ti5	
勢	sɿ5	
勃	pʰu7	
勃	po7	
勒	nᴇ7	
募	mu5	
勺	ɕio7	~子
勿	u7	
化	xuᴀ5	
北	tsʰɿ5	
北	pᴇ7	
匙	sɿ2	汤~
匣	xᴀ1	箱~
