#漢字	音標	解釋
□	liᴀ3	舔
止	tsʰɿ3	
正	tsən1	
正	tsən5	
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uæ̃1	
死	sɿ3	
殃	iᴀŋ1	
殆	tæ̃5	
殉	ɕyn5	
殊	su1	
殘	tsʰæ̃2	
殖	tsɿ2	
殯	pɪn5	
段	tuɤɯ5	
殷	ien1	
毁	xuɐi3	
毅	i5	
母	mu3	
每	mɐi3	
毒	tu2	
比	pi3	
畢	pi2	
毛	mɔ2	
毫	xɔ2	
毯	tʰæ̃3	
氈	tsɤɯ1	
民	mɪn2	
气	tɕʰi5	
水	suɐi3	
永	ioŋ3	
汁	tsɿ1	
求	tɕʰiɐu2	
汇	xuɐi5	
漢	xæ̃5	
汗	xæ̃5	
汞	koŋ3	
江	tɕiᴀŋ1	
池	tsʰɿ2	
污	u1	
湯	tʰᴀŋ1	
汪	uᴀŋ1	
沃	ŋɔ2	
沈	sən3	
沉	tsʰən2	
沓	tʰᴀ2	
沙	sᴀ1	
没	mɐi3	~有
没	mɔ2	沉~
沫	mɔ2	
河	xou2	
油	iɐu2	
治	tsɿ5	
沼	tsɔ1	
沾	tsæ̃1	
沿	ieɪ2	
泄	ɕieɪ5	
泅	tɕʰiɐu2	
泉	tɕʰyẽ2	
泊	pɔ2	
法	fᴀ2	
泛	fæ̃5	
泡	pʰɔ5	
波	pou1	
泣	tɕʰi5	
泥	ni2	
注	tsu5	
淚	lɐi5	
泰	tʰæ̃5	
泳	ioŋ3	
潑	pʰɔ2	
澤	tsɤɯ2	
潔	tɕieɪ2	
洋	iᴀŋ2	
洒	sᴀ3	
洗	ɕi3	
洛	lɔ2	
洞	toŋ5	
津	tɕien1	
洪	xoŋ2	
洽	tɕʰiᴀ2	
派	pʰæ̃5	
流	liu2	
淺	tɕʰieɪ3	
漿	tɕiᴀŋ1	
澆	tɕiɔ1	
測	tsʰɤɯ2	
濟	tɕi5	
濃	noŋ2	
浙	tsɤɯ2	
浦	pʰu3	
浪	lᴀŋ5	
浮	fu2	
浴	iu2	
海	xæ̃3	
消	ɕiɔ1	
涉	sɤɯ2	
涕	tʰi5	
濤	tʰɔ2	
澇	lɔ5	
漲	tsᴀŋ3	
澀	sɤɯ2	
涯	iᴀ2	
液	ieɪ5	
淆	ɕiɔ2	
淋	lɪn2	
淘	tʰɔ2	
淡	tæ̃5	
淫	ien2	
淮	xuæ̃2	
深	sən1	
混	xuən5	
淹	ieɪ1	
添	tʰei1	
清	tɕʰien1	
淵	ʏei1	
漸	tɕieɪ5	
漁	yi2	
渠	tɕʰyi2	
渡	tu5	
渣	tsᴀ1	
溫	uən1	
港	kᴀŋ3	
游	iɐu2	
渺	miɔ3	
湖	fu2	
湘	ɕiᴀŋ1	
湧	ioŋ3	
灣	uæ̃1	
溼	sɿ2	
潰	kʰuɐi5	
溉	kæ̃5	
源	ʏei2	
溜	liu1	
溪	ɕi1	
溺	ni2	
滋	tsɿ1	
滑	xuᴀ2	
滓	tsɿ3	
滔	tʰɔ1	
滿	mɤɯ3	
濾	lyi5	
濫	læ̃5	
灘	tʰæ̃1	
滷	lu3	
漂	pʰiɔ5	
漆	tɕʰi2	
漏	lɐu5	
演	ieɪ3	
漥	uᴀ1	
漫	mɤɯ5	
漱	su5	
潘	pʰɤɯ1	
潛	tɕʰieɪ2	
潦	liɔ2	
潭	tʰæ̃2	
潲	sɔ5	
澄	tsʰən2	
澡	tsɔ3	
激	tɕi2	
瀑	pʰu5	
灌	kuɤɯ5	
滅	mei2	
燈	tən1	
灰	xuɐi1	
靈	lɪn2	
竈	tsɔ5	
災	tsæ̃1	
炊	tsʰuɐi1	
炎	ieɪ1	
炒	tsʰɔ3	
炕	kʰᴀŋ5	
炭	tʰæ̃5	
炮	pʰɔ5	
炸	tsᴀ2	~油条
炸	tsᴀ5	~弹
點	tei3	
爛	læ̃5	
烈	lei2	
烘	xoŋ1	
烙	lɔ2	
燭	tsu2	
烟	ieɪ1	
煩	fæ̃2	
烹	pʰən1	
焚	fən2	
焦	tɕiɔ1	
焰	ieɪ5	
然	zɤɯ2	
煎	tɕieɪ1	
煤	mɐi2	
照	tsɔ5	
煨	uɐi1	
煮	tsu3	
熄	ɕi2	
熊	ɕioŋ2	
熏	ɕyn1	
熟	su2	
熨	yn5	
熬	ŋɔ2	
燃	zɤɯ2	
燎	liɔ2	
燕	ieɪ5	
燠	ŋɔ3	
爆	pɔ5	
爪	tsuᴀ3	
愛	ŋæ̃5	
父	fu5	
爺	ieɪ2	
爸	pᴀ2	
爹	tei1	
爽	suᴀŋ3	
片	pʰei5	
版	pæ̃3	
牌	pʰɐi2	
牙	iᴀ2	
牛	ȵiɐu2	
牡	mu3	
牢	lɔ2	
牧	mu2	
物	u2	
牲	sən1	
牽	tɕʰieɪ1	
特	tʰɤɯ2	
犁	li2	
犟	tɕʰiᴀŋ5	
犬	tɕʰyẽ3	
犯	fæ̃5	
狀	tsuᴀŋ5	
猶	iɐu2	
狂	kʰuᴀŋ2	
狗	kɐu3	
狡	tɕiɔ3	
獨	tu2	
狹	ɕiᴀ2	
獅	sɿ1	
獄	iu2	
狸	li2	
狼	lᴀŋ2	
獵	lei2	
猛	moŋ3	
猜	tsʰæ̃1	
豬	tsu1	
猫	mɔ1	
獻	ɕieɪ5	
猴	xɐu2	
猾	xuᴀ2	
獃	tæ̃1	
玄	ɕyẽ2	
率	li2	
率	suæ̃5	~领
玉	yi5	
王	uᴀŋ2	
玩	uæ̃2	
環	xuæ̃2	
現	ɕieɪ5	
玻	pou1	
珊	sæ̃1	
珍	tsən1	
珠	tsu1	
班	pæ̃1	
球	tɕʰiɐu2	
瑣	sou3	
琢	tsɔ2	
琴	tɕʰien2	
瑕	ɕiᴀ2	
璃	li2	
璧	pi2	
瓜	kuᴀ1	
瓣	pæ̃5	
瓤	zᴀŋ2	
瓦	uᴀ3	
瓶	pʰɪn2	
瓷	tsʰɿ2	
甘	kæ̃1	
甚	sən5	
甜	tʰei2	
生	sən1	
甥	sən1	
用	ioŋ5	
甬	ioŋ3	
田	tʰei2	
由	iɐu2	
甲	tɕiᴀ2	
申	sən1	
電	tei5	
男	næ̃2	
畫	xuᴀ5	
暢	tsʰᴀŋ5	
界	tɕieɪ5	
畏	uɐi5	
留	liu2	
畜	tsʰu2	
畜	ɕiu2	~牧
略	liɔ2	
番	fæ̃1	
疆	tɕiᴀŋ1	
疏	su1	
疑	i2	
疔	liɔ2	
瘍	iᴀŋ2	
疤	pᴀ1	
疫	i2	
瘡	tsʰuᴀŋ1	
瘋	foŋ1	
疲	pʰi2	
疾	tɕʰi2	
病	pɪn5	
症	tsən5	
痒	iᴀŋ3	
痔	tsɿ5	
痕	xən2	
痛	tʰoŋ5	
痣	tsɿ5	
痰	tʰæ̃2	
癡	tsʰɿ1	
瘟	uən1	
瘦	sɐu5	
瘸	tɕʰyẽ2	
癩	læ̃5	
登	tən1	
白	pɤɯ2	
百	pɤɯ2	
皂	tsɔ5	
的	ti2	目~
皆	tɕieɪ1	
皇	xuᴀŋ2	
皖	xuɤɯ3	
皮	pʰi2	
皺	tsɐu5	
皴	tsʰən1	
皿	mɪn3	
盆	pʰən2	
盈	ien2	
益	i2	
盞	tsæ̃3	
鹽	ieɪ2	
監	tɕieɪ1	
盒	xou2	
盔	kʰuɐi1	
盖	kæ̃5	
盜	tɔ5	
盤	pʰɤɯ2	
盛	sən5	
盛	tsʰən2	~饭
盟	moŋ2	
目	mu2	
直	tsɿ2	
相	ɕiᴀŋ1	
盼	pʰæ̃5	
盾	tuən5	
省	sən3	
省	ɕien3	反~
眉	mɐi2	
看	kʰæ̃5	
瞘	kʰɐu1	
真	tsən1	
眨	tsᴀ2	
眶	kʰuᴀŋ1	
眷	tɕyẽ5	
眼	ieɪ3	
着	tsɔ2	
睡	suɐi5	
督	tu2	
瞎	ɕiᴀ2	
瞞	mɤɯ2	
瞪	tən5	
瞳	tʰoŋ2	
瞻	tsæ̃1	
矛	mɔ2	
矢	sɿ3	
知	tsɿ1	
矩	tɕyi3	
矯	tɕiɔ3	
短	tuɤɯ3	
矮	ŋæ̃3	
石	sɿ2	
礦	kʰuᴀŋ5	
碼	mᴀ3	
研	ieɪ2	
磚	tsuɤɯ1	
破	pʰou5	
硝	ɕiɔ1	
硬	ŋən5	
確	tɕʰiou2	
碎	suɐi5	
碑	pɐi1	
碓	tuɐi5	
碗	uɤɯ3	
碟	tei2	
碧	pi2	
碾	lieɪ3	
磁	tsʰɿ2	
磕	kʰou2	
磨	mou2	
磨	mou5	
礙	ŋæ̃5	
示	sɿ5	
禮	li3	
社	sɤɯ5	
祀	sɿ5	
祁	tɕʰi2	
祈	tɕʰi2	
祐	iɐu5	
祖	tsu3	
祝	tsu2	
神	sən2	
祥	ɕiᴀŋ2	
票	pʰiɔ5	
祭	tɕi5	
禍	xou5	
禁	tɕien1	
禁	tɕien5	
祿	lu2	
福	fu2	
禹	yi3	
离	li2	
禽	tɕʰien2	
禾	xou2	
秀	ɕiɐu5	
私	sɿ1	
秃	tʰu2	
秉	pɪn3	
秋	tɕʰiɐu1	
種	tsoŋ3	
種	tsoŋ5	~树
科	kʰou1	
秒	miɔ3	
租	tsu1	
租	tsʰu1	
秤	tsʰən5	
秦	tɕʰien2	
秧	iᴀŋ1	
秩	tsʰɿ2	
積	tɕi2	
稱	tsʰən1	
稱	tsʰən5	相~
移	i2	
穢	xuɐi5	
稀	ɕi1	
稍	sɔ1	
税	suɐi5	
稚	tsɿ5	
穩	uən3	
稻	tɔ5	
稽	tɕi1	
稿	kɔ3	
穀	ku2	
穗	suɐi5	
穴	ɕyẽ2	
究	tɕiɐu5	
窮	tɕʰioŋ2	
空	kʰoŋ1	
空	kʰoŋ5	~缺
穿	tsʰuɤɯ1	
突	tʰu2	
窄	tsɤɯ2	
竅	tɕʰiɔ5	
窗	tsʰuᴀŋ1	
竄	tsʰuɤɯ5	
窟	kʰu1	
立	li2	
豎	su5	
站	tsæ̃5	
競	tɕien5	
章	tsᴀŋ1	
童	tʰoŋ2	
端	tuɤɯ1	
竹	tsu2	
竿	kæ̃1	
笑	ɕiɔ5	
筆	pi2	
笙	sən1	
笛	ti2	
笠	li2	
符	fu2	
笨	pən5	
第	ti5	
箋	tɕʰieɪ1	
籠	loŋ2	
等	tən3	
筋	tɕien1	
筐	kʰuᴀŋ1	
筑	tsu2	
筒	tʰoŋ2	
答	tᴀ2	
策	tsʰɤɯ2	
篩	sæ̃1	
籌	tsʰɐu2	
签	tɕʰieɪ1	
箅	pi5	
箍	kʰu1	
算	suɤɯ5	
管	kuɤɯ3	
籮	lou2	
簫	ɕiɔ1	
箭	tɕieɪ5	
箱	ɕiᴀŋ1	
篆	tsuɤɯ5	
篇	pʰei1	
簍	lɐu3	
籃	læ̃2	
篷	pʰoŋ2	
簧	xuᴀŋ2	
簪	tsæ̃1	
簸	pou3	
簿	pu5	
籍	tɕi2	
米	mi3	
類	lɐi5	
粉	fən3	
粒	li2	
粘	tsæ̃1	
粟	su2	
粤	ʏei2	
粥	tsɐu1	
糞	fən5	
糧	liᴀŋ2	
粹	suɐi5	
精	tɕien1	
糕	kɔ1	
糖	tʰᴀŋ2	
糙	tsʰɔ5	
糠	kʰᴀŋ1	
糯	nou5	
系	ɕi5	
素	su5	
索	sou3	
緊	tɕien3	
紫	tsɿ3	
累	lɐi5	
絮	ɕyi5	
綑	kʰuən3	
練	lei5	
繁	fæ̃2	
纂	tsʰuɤɯ5	
纂	tsʰuæ̃5	
糾	tɕiɐu1	
紅	xoŋ2	
約	iou2	
級	tɕi2	
紀	tɕi3	
緯	uɐi3	
純	tsʰuən2	
紗	sᴀ1	
納	nᴀ2	
縱	tsoŋ5	
紛	fən1	
紙	tsɿ3	
紋	uən2	
紡	fᴀŋ3	
紐	ȵiɐu3	
線	ɕieɪ5	
組	tsu3	
細	ɕi5	
織	tsɿ2	
終	tsoŋ1	
紹	sɔ5	
經	tɕien1	
綁	pᴀŋ3	
絨	zoŋ2	
結	tɕieɪ2	
繞	zɔ3	
繞	zɔ5	~线
絡	lɔ2	
絶	tɕyẽ2	
絞	tɕiɔ3	
統	tʰoŋ3	
絹	tɕyẽ1	
繡	ɕiɐu5	
繼	tɕi5	
績	tɕi2	
緒	ɕyi5	
續	ɕyi2	
續	ɕyi5	
維	uɐi2	
綢	tsʰɐu2	
綠	lu2	
緞	tuɤɯ5	
緩	xuɤɯ3	
編	pei1	
緣	ʏei2	
縫	foŋ2	
縫	foŋ5	
纏	tsʰæ̃2	
縮	sou2	
繳	tɕiɔ3	
缸	kᴀŋ1	
缺	tɕʰyẽ2	
罐	kuɤɯ5	
网	uᴀŋ3	
罕	xæ̃3	
羅	lou2	
罰	fᴀ2	
罷	pᴀ5	
罩	tsɔ5	
罪	tsuɐi5	
置	tsɿ2	
署	su3	
羊	iᴀŋ2	
美	mɐi3	
羞	ɕiu1	
羡	ɕieɪ5	
群	tɕʰyn2	
羶	sɤɯ1	
羹	kən1	
羽	yi3	
翁	oŋ1	
翅	tsʰɿ5	
翠	tsʰuɐi5	
翡	fɐi3	
翻	fæ̃1	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tsɤɯ3	
而	ɤɯ2	
耐	næ̃5	
耕	kən1	
耗	xɔ5	
耳	ɤɯ3	
耻	tsʰɿ3	
耿	kən3	
聊	liɔ2	
聾	loŋ1	
職	tsɿ2	
聯	lei2	
聘	pʰɪn5	
聚	tɕyi5	
聰	tsʰoŋ1	
聶	nei2	
肅	su2	
肄	i5	
肆	sɿ5	
肉	zu2	
肋	lɤɯ2	
肘	tsɐu3	
肚	tu5	
肚	tu3	鱼~
肝	kæ̃1	
股	ku3	
膚	fu1	
肥	fɐi2	
肩	tɕieɪ1	
肯	kʰən3	
育	iu2	
肺	fɐi5	
脹	tsʰᴀŋ2	
脹	tsᴀŋ5	
胃	uɐi5	
膽	tæ̃3	
背	pɐi5	
胎	tʰæ̃1	
胖	pʰᴀŋ5	
胚	pʰɐi1	
勝	sən5	
胞	pɔ1	
胡	fu2	
胳	kɤɯ5	
膠	tɕiɔ1	
胸	ɕioŋ1	
能	nən2	
脂	tsɿ1	
脆	tsʰuɐi5	
脉	mɤɯ2	
脊	tɕi2	
脏	tsᴀŋ1	
臍	tɕʰi2	
腦	nɔ3	
膿	noŋ2	
脚	tɕiou2	
脯	pʰu2	
脱	tʰou2	
腡	lou2	
臉	lei3	
臘	lᴀ2	
腋	ieɪ5	
腌	ieɪ1	
腐	fu3	
腔	tɕʰiᴀŋ1	
腕	uæ̃3	
腥	ɕien1	
腮	sæ̃1	
腰	iɔ1	
腹	fu2	
膩	ni5	
騰	tʰən2	
腿	tʰuɐi3	
膏	kɔ1	
膝	ɕi2	
膨	pʰən2	
臂	pi5	
臟	tsᴀŋ5	
臣	tsʰən2	
自	tsɿ5	
臭	tsʰɐu5	
至	tsɿ5	
致	tsɿ5	
臼	tɕiɐu5	
舀	iɔ3	
舂	tsʰoŋ1	
舅	tɕiɐu5	
舌	sɤɯ2	
舍	sɤɯ3	
舒	su1	
舞	u3	
舟	tsɐu1	
航	xᴀŋ2	
般	pæ̃1	
艦	tɕieɪ5	
舵	tʰou5	
船	tsʰuɤɯ2	
艇	tʰɪn3	
良	liᴀŋ2	
艱	tɕieɪ1	
色	sɤɯ2	
豔	ieɪ5	
藝	i5	
艾	ŋæ̃5	
節	tɕieɪ2	
芋	yi5	
芒	mᴀŋ2	
芙	fu2	
芝	tsɿ1	
蘆	lu2	
芬	fən1	
芭	pᴀ1	
花	xuᴀ1	
芳	fᴀŋ1	
芹	tɕʰien2	
芽	iᴀ2	
莧	xæ̃5	
蒼	tsʰᴀŋ1	
苏	su1	
苔	tʰæ̃2	
苗	miɔ2	
苟	kɐu3	
若	zɔ2	
苦	kʰu3	
英	ien1	
茂	mɔ5	
范	fæ̃5	
茄	tɕʰyẽ2	
茅	mɔ2	
莖	tɕien1	
繭	tɕieɪ3	
茫	mᴀŋ2	
茶	tsʰᴀ2	
茸	zoŋ2	
荆	tɕien1	
草	tsʰɔ3	
荒	xuᴀŋ1	
荔	li5	
蕩	tᴀŋ5	
蔭	ien1	
荷	xou2	
莫	mɔ2	
获	xɔ2	
莽	mᴀŋ3	
菊	tɕiu2	
菌	tɕyn5	
菖	tsʰᴀŋ1	
菜	tsʰæ̃5	
菠	pou1	
菢	pɔ5	
菩	pʰu2	
萌	moŋ2	
螢	ien2	
營	ien2	
薩	sᴀ1	
落	lɔ2	
著	tsu5	
董	toŋ3	
葬	tsᴀŋ5	
葱	tsʰoŋ1	
葵	kʰuɐi2	
蒙	moŋ2	
蒜	suɤɯ5	
蒲	pʰu2	
蒸	tsən1	
蒿	xɔ1	
蓄	ɕiu2	
蓉	zoŋ2	
蓑	suæ̃1	
藍	læ̃2	
蓬	pʰoŋ2	
蔑	mei2	
蔓	mæ̃5	
蔗	tsɤɯ5	
蔡	tsʰæ̃5	
蔫	ieɪ1	
蔬	su1	
蕉	tɕiɔ1	
薄	pɔ2	
薅	xɔ1	
薑	tɕiᴀŋ1	
薯	su3	
藏	tsʰᴀŋ2	
藏	tsᴀŋ5	西~
藐	miɔ3	
藕	ŋɐu3	
藤	tʰən2	
蘸	tsæ̃5	
虐	liɔ2	
慮	lyi5	
虚	ɕyi1	
虞	yi2	
蟲	tsʰoŋ2	
虹	xoŋ2	
雖	suɐi1	
蝕	sɿ2	
蟻	i3	
蚊	uən2	
蠶	tsʰæ̃2	
蚣	koŋ1	
蚤	tsɔ3	
蛀	tsu5	
蛆	tɕʰyi1	
蛇	sɤɯ2	
蛋	tæ̃5	
蛙	uᴀ1	
蛛	tsu1	
蠻	mæ̃2	
蜀	su2	
蜂	foŋ1	
蜈	u2	
蜒	tʰɪn2	
蜕	tʰuɐi5	
蜘	tsɿ1	
蜜	mi2	
蠟	lᴀ2	
蠅	ien1	
蟬	tsʰæ̃2	
蝗	xuᴀŋ2	
蝙	pei1	
蝦	ɕiᴀ1	
蝶	tei2	
螃	pʰᴀŋ2	
融	zoŋ2	
螳	tʰᴀŋ2	
螺	lou2	
蟒	mᴀŋ3	
蟹	xæ̃3	
蠓	moŋ3	
蠢	tsʰuən3	
血	ɕyẽ2	
行	ɕien2	~为
行	xᴀŋ2	银~
銜	ɕieɪ2	
街	kæ̃1	
衙	iᴀ2	
衡	xən2	
衣	i1	
補	pu3	
表	piɔ3	
衫	sæ̃1	
襯	tsʰən5	
衰	suɐi1	
袁	ʏei2	
袋	tæ̃5	
袍	pʰɔ2	
袖	ɕiɐu5	
袜	uᴀ2	
被	pɐi5	
襲	ɕi2	
袱	fu2	
裁	tsʰæ̃2	
裂	lei2	
裝	tsuᴀŋ1	
裕	yi5	
裙	tɕʰyn2	
褲	kʰu5	
裸	lou3	
裹	kou3	
褒	pɔ1	
褥	zu2	
襟	tɕien1	
襻	pʰæ̃5	
西	ɕi1	
要	iɔ5	
要	iɔ1	~求
覆	fu2	
見	tɕieɪ5	
觀	kuɤɯ1	
規	kuɐi1	
視	sɿ5	
覽	læ̃3	
覺	tɕiou2	
覺	tɕiɔ5	
角	tɕiou2	
解	tɕieɪ3	
觸	tsu2	
言	ieɪ2	
誇	kʰuᴀ1	
譽	yi5	
誓	sɿ5	
警	tɕien3	
讓	zᴀŋ5	
計	tɕi5	
訃	fu5	
認	zən5	
討	tʰɔ3	
託	tʰɔ2	
訓	ɕyn5	
議	i5	
記	tɕi5	
諱	xuɐi5	
許	ɕyi3	
論	luən5	
訟	soŋ5	
諷	foŋ3	
設	sɤɯ2	
訪	fᴀŋ3	
證	tsən5	
評	pʰɪn2	
識	sɿ2	
詐	tsᴀ5	
訴	su5	
診	tsən1	
詞	tsʰɿ2	
譯	i2	
試	sɿ5	
詩	sɿ1	
誠	tsʰən2	
誅	tsu1	
話	xuᴀ5	
誕	tæ̃5	
該	kæ̃1	
詳	ɕiᴀŋ2	
誣	u1	
語	yi3	
誤	u5	
誘	iɐu5	
誦	soŋ5	
請	tɕʰien3	
諾	nɔ2	
讀	tu2	
課	kʰou5	
誰	suɐi2	
調	tʰiɔ2	~整
談	tʰæ̃2	
誼	i5	
謀	mɐu2	
謊	xuᴀŋ3	
諺	ieɪ5	
謎	mi2	
謝	ɕieɪ5	
謡	iɔ2	
謙	tɕʰieɪ1	
謹	tɕien3	
謬	miɔ5	
譚	tʰæ̃2	
譜	pʰu3	
谷	ku2	
豉	sɿ2	
豌	uæ̃1	
象	ɕiᴀŋ5	
豪	xɔ2	
豫	yi5	
豹	pɔ5	
豺	tsʰæ̃2	
貂	tiɔ1	
貌	mɔ5	
貝	pɐi5	
貞	tsən1	
負	fu5	
貢	koŋ5	
財	tsʰæ̃2	
責	tsɤɯ2	
賢	ɕieɪ2	
敗	pæ̃5	
賬	tsᴀŋ5	
貨	xou5	
質	tsɿ2	
販	fæ̃5	
貪	tʰæ̃1	
貧	pʰɪn2	
貳	ɤɯ5	
賤	tɕieɪ5	
貼	tʰei2	
貸	tæ̃5	
貿	mɔ5	
費	fɐi5	
賀	xou2	
賊	tsɐi2	
賈	tɕiᴀ3	
賄	xuɐi5	
賃	lɪn5	
資	tsɿ1	
賒	sɤɯ1	
賦	fu5	
賭	tu3	
贖	su2	
賞	sᴀŋ3	
賠	pʰɐi2	
賴	læ̃5	
贅	tsuɐi5	
賺	tsuæ̃5	
賽	sæ̃5	
贊	tsæ̃5	
贈	tsən1	
赤	tsʰɿ2	
走	tsɐu3	
赴	fu5	
起	tɕʰi3	
趁	tsʰən5	
越	ʏei2	
趨	tɕʰyi1	
趣	tɕʰyi5	
足	tsu2	
趾	tsʰɿ3	
躍	iɔ5	
跑	pʰɔ3	
跛	pou3	
距	tɕyi5	
跟	kən1	
跡	tɕi2	
跨	kʰuᴀ5	
跳	tʰiɔ5	
踐	tɕieɪ5	
踏	tʰᴀ2	
踢	tʰi2	
蹄	tʰi2	
躁	tsɔ5	
身	sən1	
躬	koŋ1	
車	tsʰɤɯ1	
車	tɕyi1	~马炮
軋	ᴀ5	
軒	ɕyẽ1	
轉	tsuɤɯ3	
轉	tsuɤɯ5	
輪	luən2	
轟	xoŋ1	
軸	tsu2	
輕	tɕʰien1	
載	tsæ̃5	
轎	tɕiɔ5	
輔	fu3	
輦	lieɪ3	
輩	pɐi5	
輝	xuɐi1	
輸	su1	
轄	ɕiᴀ2	
辛	ɕien1	
辭	tsʰɿ2	
辣	lᴀ2	
辨	pei5	
辯	pei5	
辮	pei5	
辰	tsʰən2	
辱	zu2	
邊	pei1	
遼	liɔ2	
遷	tɕʰieɪ1	
迅	ɕyn5	
過	kou5	
邁	mæ̃5	
迎	ien2	
近	tɕien5	
還	xuæ̃2	
進	pɪn5	
進	tɕien5	
遠	ʏei3	
違	uɐi2	
連	lei2	
遲	tsʰɿ2	
述	su5	
迷	mi2	
追	tsuɐi1	
退	tʰuɐi5	
送	soŋ5	
適	sɿ2	
逃	tʰɔ2	
選	ɕyẽ3	
逐	tsu2	
遞	ti5	
途	tʰu2	
逗	tɐu1	
通	tʰoŋ1	
逛	kuᴀŋ5	
逝	sɿ5	
逞	tsʰən3	
速	su2	
造	tsɔ5	
逢	foŋ2	
逸	i2	
逼	pi2	
遂	suɐi5	
遇	yi5	
遍	pei5	
道	tɔ5	
遣	tɕʰieɪ3	
遭	tsɔ1	
遮	tsɤɯ1	
遵	tsuən1	
避	pi5	
鄧	tən5	
那	nᴀ5	
邦	pᴀŋ1	
邪	ɕieɪ2	
郵	iɐu2	
邵	sɔ5	
鄰	lɪn2	
郁	iu2	
郊	tɕiɔ1	
郎	lᴀŋ2	
鄭	tsən5	
部	pu5	
郭	kɔ2	
都	tou1	~是
都	tu1	首~
鄙	pi3	
酌	tsɔ2	
配	pʰɐi5	
酒	tɕiu3	
酥	su1	
酬	tsɐu2	
酷	kʰu5	
酸	suɤɯ1	
醃	ieɪ1	
醉	tsuɐi5	
醋	tsʰu5	
醒	ɕien3	
醜	tsʰɐu3	
釋	sɿ2	
里	li3	
重	tsʰoŋ2	~复
重	tsoŋ5	轻~
量	liᴀŋ5	
金	tɕien1	
鉤	kɐu1	
鑽	tsuɤɯ5	
針	tsən1	
釘	tɪn1	
釵	tsʰæ̃1	
鈍	tuən5	
钟	tsoŋ1	
鋼	kᴀŋ1	
鑰	iou2	
欽	tɕʰien1	
鈞	tɕyn1	
錢	tɕʰieɪ2	
鉗	tɕʰieɪ2	
鐵	tʰei2	
鈴	lɪn2	
鉛	tɕʰieɪ1	
銅	tʰoŋ2	
鍘	tsᴀ2	
銘	mɪn2	
鉸	tɕiɔ3	
鏟	tsʰæ̃3	
銀	ien2	
鑄	tsu5	
鋪	pʰu1	
鋪	pʰu5	
銷	ɕiɔ1	
鎖	sou3	
鋤	tsʰu2	
鍋	kou1	
鋒	foŋ1	
錯	tsʰɔ5	
錯	tsʰou5	
錫	ɕi2	
鑼	lou2	
錘	tsʰuɐi2	
錐	tsuɐi1	
錦	tɕien3	
鍵	tɕieɪ5	
鋸	tɕyi5	
鍍	tu5	
鎮	tsən5	
鏡	tɕien5	
鐲	tsɔ2	
鐮	lei2	
長	tsᴀŋ3	
長	tsʰᴀŋ2	~短
闢	pʰi2	
門	mən2	
閂	suæ̃1	
閃	sæ̃3	
閉	pi5	
問	uən5	
闖	tsʰuᴀŋ3	
闲	ɕieɪ2	
間	tɕieɪ1	
悶	mən5	
閘	tsᴀ2	
鬧	nɔ5	
閩	mɪn3	
閲	ʏei2	
閻	ieɪ2	
闌	læ̃2	
闊	kʰou2	
隊	tuɐi5	
防	fᴀŋ2	
陰	ien1	
陣	tsən5	
階	tɕieɪ1	
阻	tsu3	
阿	ᴀ1	
際	tɕi5	
陸	lu2	
隴	loŋ3	
陳	tsʰən2	
陋	lɐu5	
降	tɕʰiᴀŋ5	
降	xiᴀŋ2	投~
限	ɕieɪ5	
陝	sæ̃3	
陡	tʰɐu3	
院	ʏei5	
除	tsʰu2	
險	ɕieɪ3	
陪	pʰɐi2	
陵	lɪn2	
陶	tʰɔ2	
陷	ɕieɪ5	
隆	loŋ2	
隨	suɐi2	
隱	ien3	
隔	kɤɯ2	
障	tsᴀŋ5	
難	næ̃2	
難	næ̃5	
雀	tɕʰiou2	
雁	ieɪ5	
雄	ɕioŋ2	
雅	iᴀ3	
集	tɕʰi2	
雇	ku5	
雌	tsʰɿ2	
雍	ioŋ1	
雕	tiɔ1	
雨	yi3	
雪	ɕyẽ2	
零	lɪn2	
雷	lɐi2	
雹	pɔ5	
霧	u5	
需	ɕyi1	
震	tsən5	
霜	suᴀŋ1	
霞	ɕiᴀ2	
霸	pᴀ5	
青	tɕʰien1	
靜	tɕien5	
靠	kʰɔ5	
面	mei5	
革	kɤɯ2	
靴	ɕyẽ2	
鞋	xæ̃2	
鞍	ŋæ̃1	
鞭	pei1	
韓	xæ̃2	
韭	tɕiɐu3	
音	ien1	
韻	yn5	
頁	ieɪ2	
項	xiᴀŋ5	
须	ɕyi1	
頑	uæ̃2	
顧	ku5	
頓	tuən5	
頒	pæ̃1	
頌	soŋ5	
預	yi5	
領	lɪn3	
頸	tɕien3	
穎	ien3	
顆	kʰou1	
題	tʰi2	
顔	ieɪ2	
額	ŋɤɯ2	
顛	tei1	
顫	tsæ̃5	
風	foŋ1	
飄	pʰiɔ1	
食	sɿ2	
餐	tsʰæ̃1	
饥	tɕi1	
飯	fæ̃5	
飲	ien3	
飾	sɿ5	
飾	pu5	
飽	pɔ3	
餌	ɤɯ3	
饒	zɔ2	
餃	tɕiɔ3	
餅	pɪn3	
餓	ŋou5	
餘	yi2	
館	kuɤɯ3	
饞	tsʰæ̃2	
饅	mæ̃2	
首	sɐu3	
馨	ɕien1	
馬	mᴀ3	
馱	tʰou2	
馳	tsʰɿ2	
